,FedExCup_Playoffs_Points_RANK THIS WEEK,FedExCup_Playoffs_Points_RANK LAST WEEK,FedExCup_Playoffs_Points_PLAYER NAME,FedExCup_Playoffs_Points_EVENTS,FedExCup_Playoffs_Points_POINTS,FedExCup_Playoffs_Points_# OF WINS,FedExCup_Playoffs_Points_# OF TOP 10'S,FedExCup_Playoffs_Points_POINTS BEHIND LEAD,FedExCup_Playoffs_Points_RESET POINTS
0,1,1,Jim Furyk,21,2980,3.0,7.0,,480.0
1,2,2,Matt Kuchar,25,2728,1.0,11.0,252.0,2500.0
2,3,3,Luke Donald,20,2700,,7.0,280.0,1200.0
3,4,4,Charley Hoffman,23,2500,1.0,5.0,480.0,2000.0
4,5,5,Dustin Johnson,23,2493,2.0,7.0,487.0,2250.0
5,6,6,Paul Casey,17,2250,,7.0,730.0,1600.0
6,7,7,Steve Stricker,19,2028,2.0,9.0,952.0,1800.0
7,8,8,Jason Day,24,1660,1.0,5.0,1320.0,1400.0
8,9,9,Ernie Els,20,1438,2.0,7.0,1542.0,1000.0
9,10,10,Retief Goosen,19,1360,,10.0,1620.0,360.0
10,11,11,Martin Laird,25,1005,,3.0,1975.0,800.0
11,12,12,Nick Watney,23,880,,7.0,2100.0,230.0
12,13,13,Phil Mickelson,20,843,1.0,6.0,2137.0,600.0
13,14,14,Geoff Ogilvy,19,753,1.0,2.0,2227.0,460.0
14,15,15,K.J. Choi,22,718,,4.0,2262.0,280.0
15,15,15,Justin Rose,22,718,2.0,4.0,2262.0,440.0
16,17,17,Zach Johnson,24,683,1.0,3.0,2297.0,320.0
17,18,18,Hunter Mahan,24,678,2.0,3.0,2302.0,400.0
18,19,19,Adam Scott,20,640,1.0,4.0,2340.0,420.0
19,20,20,Camilo Villegas,20,623,1.0,7.0,2357.0,260.0
20,21,21,Ryan Moore,24,613,,6.0,2367.0,250.0
21,22,22,Bubba Watson,22,600,1.0,4.0,2380.0,340.0
22,23,23,Ryan Palmer,25,595,1.0,4.0,2385.0,380.0
23,24,24,Tim Clark,23,593,1.0,6.0,2387.0,300.0
24,25,25,Kevin Streelman,27,583,,5.0,2397.0,220.0
25,26,26,Kevin Na,25,570,,4.0,2410.0,310.0
26,27,27,Ben Crane,24,550,1.0,5.0,2430.0,290.0
27,28,28,Robert Allenby,21,500,,4.0,2480.0,240.0
28,29,29,Jeff Overton,26,480,,6.0,2500.0,270.0
29,30,30,Bo Van Pelt,26,445,,6.0,2535.0,210.0
30,31,31,Bill Haas,23,1565,1.0,2.0,3370.0,
31,32,32,Rickie Fowler,25,1564,,5.0,3371.0,
32,33,33,Charlie Wi,23,1560,,4.0,3375.0,
33,34,34,J.B. Holmes,23,1501,,3.0,3434.0,
34,35,35,Vaughn Taylor,23,1495,,6.0,3440.0,
35,36,36,Rory McIlroy,16,1489,1.0,5.0,3446.0,
36,37,37,Brandt Snedeker,26,1470,,5.0,3465.0,
37,38,38,Stewart Cink,22,1448,,3.0,3487.0,
38,39,39,Ian Poulter,15,1396,1.0,2.0,3539.0,
39,40,40,Carl Pettersson,27,1332,1.0,4.0,3603.0,
40,41,41,Anthony Kim,14,1328,1.0,4.0,3607.0,
41,42,42,Tiger Woods,12,1300,,2.0,3635.0,
42,43,43,Tom Gillis,24,1276,,3.0,3659.0,
43,44,44,Marc Leishman,24,1268,,2.0,3667.0,
44,45,45,Michael Sim,20,1244,,3.0,3691.0,
45,46,46,Heath Slocum,22,1222,,4.0,3713.0,
46,47,47,Sean O'Hair,23,1206,,3.0,3729.0,
47,48,48,Rory Sabbatini,23,1197,,3.0,3738.0,
48,49,49,D.J. Trahan,24,1195,,6.0,3740.0,
49,50,50,John Senden,26,1192,,1.0,3743.0,
50,51,51,Brendon de Jonge,29,1170,,6.0,3765.0,
51,52,52,Stuart Appleby,29,1157,1.0,3.0,3778.0,
52,53,53,Brian Davis,27,1149,,2.0,3786.0,
53,54,54,Brian Gay,26,1142,,2.0,3793.0,
54,55,55,David Toms,23,1118,,1.0,3817.0,
55,56,56,Greg Chalmers,25,1113,,2.0,3822.0,
56,57,57,Vijay Singh,23,1108,,2.0,3827.0,
57,58,58,Freddie Jacobson,21,1101,,3.0,3834.0,
58,59,59,Justin Leonard,24,1096,,1.0,3839.0,
59,60,60,Bryce Molder,24,1088,,6.0,3847.0,
60,61,61,Ángel Cabrera,19,1082,,2.0,3853.0,
61,62,62,Jason Bohn,22,1079,1.0,2.0,3856.0,
62,63,63,Matt Jones,25,1035,,5.0,3900.0,
63,64,64,Ricky Barnes,26,1027,,6.0,3908.0,
64,65,65,Jason Dufner,25,1000,,2.0,3935.0,
65,66,66,Tim Petrovic,27,937,,2.0,3998.0,
66,67,67,Y.E. Yang,21,923,,2.0,4012.0,
67,68,68,Stephen Ames,21,866,,1.0,4069.0,
68,69,69,Andres Romero,19,853,,2.0,4082.0,
69,70,70,Scott Verplank,22,813,,3.0,4122.0,
70,71,71,Kris Blanks,26,794,,3.0,4141.0,
71,72,72,Steve Marino,21,778,,2.0,4157.0,
72,73,73,Padraig Harrington,18,772,,5.0,4163.0,
73,74,74,Lucas Glover,22,770,,3.0,4165.0,
74,75,75,Charles Howell III,24,764,,4.0,4171.0,
75,76,76,Josh Teater,27,754,,2.0,4181.0,
76,77,77,John Rollins,23,736,,2.0,4199.0,
77,78,78,Ryuji Imada,24,720,,2.0,4215.0,
78,79,79,Chris Couch,22,709,,2.0,4226.0,
79,80,80,Davis Love III,21,708,,3.0,4227.0,
80,81,81,Spencer Levin,26,673,,1.0,4262.0,
81,82,82,D.A. Points,25,654,,3.0,4281.0,
82,83,83,J.P. Hayes,21,652,,3.0,4283.0,
83,84,84,Jimmy Walker,25,642,,2.0,4293.0,
84,85,85,Webb Simpson,26,628,,1.0,4307.0,
85,86,86,J.J. Henry,27,603,,2.0,4332.0,
86,87,87,Paul Goydos,23,602,,3.0,4333.0,
87,88,88,Shaun Micheel,17,600,,3.0,4335.0,
88,89,89,Chad Campbell,24,598,,2.0,4337.0,
89,90,90,Pat Perez,23,581,,3.0,4354.0,
90,91,91,Troy Matteson,23,575,,2.0,4360.0,
91,92,92,Steve Elkington,21,571,,3.0,4364.0,
92,93,93,Kenny Perry,20,565,,1.0,4370.0,
93,94,94,Aaron Baddeley,21,559,,1.0,4376.0,
94,95,95,Blake Adams,24,556,,2.0,4379.0,
95,96,96,Chad Collins,25,540,,3.0,4395.0,
96,97,97,Alex Prugh,26,526,,3.0,4409.0,
97,98,98,Boo Weekley,25,526,,3.0,4409.0,
98,99,99,Garrett Willis,21,517,,1.0,4418.0,
99,100,100,Chris Riley,20,512,,3.0,4423.0,
100,101,101,Kevin Sutherland,21,499,,1.0,4436.0,
101,102,102,Jerry Kelly,24,493,,1.0,4442.0,
102,103,103,Alex Cejka,24,489,,4.0,4446.0,
103,104,104,Derek Lamely,25,487,1.0,1.0,4448.0,
104,105,105,Jonathan Byrd,22,483,,2.0,4452.0,
105,106,106,Matt Bettencourt,28,472,1.0,1.0,4463.0,
106,107,107,Robert Garrigus,17,469,,2.0,4466.0,
107,108,108,Jeff Maggert,23,463,,2.0,4472.0,
108,109,109,Sergio Garcia,15,461,,1.0,4474.0,
109,110,110,John Merrick,26,459,,1.0,4476.0,
110,111,111,Briny Baird,23,458,,1.0,4477.0,
111,112,112,Joe Ogilvie,27,454,,1.0,4481.0,
112,113,113,Bill Lunde,25,449,1.0,3.0,4486.0,
113,114,114,Dean Wilson,13,434,,1.0,4501.0,
114,115,115,Corey Pavin,8,433,,2.0,4502.0,
115,116,116,Bob Estes,21,432,,2.0,4503.0,
116,117,117,David Duval,20,431,,1.0,4504.0,
117,118,118,Cameron Beckman,21,427,1.0,2.0,4508.0,
