,Ryder_Cup_World_Points_RANK THIS WEEK,Ryder_Cup_World_Points_RANK LAST WEEK,Ryder_Cup_World_Points_PLAYER NAME,Ryder_Cup_World_Points_POINTS
0,1,,Lee Westwood,422.01
1,2,,Rory McIlroy,316.95
2,3,,Martin Kaymer,285.42
3,4,,Graeme McDowell,249.35
4,5,,Edoardo Molinari,248.41
5,6,,Luke Donald,231.16
6,7,,Ian Poulter,211.24
7,8,,Padraig Harrington,204.97
8,9,,Justin Rose,195.74
9,10,,Francesco Molinari,181.91
10,11,,Miguel Angel Jiménez,171.21
11,12,,Paul Casey,164.51
12,13,,Peter Hanson,158.87
13,14,,Ross Fisher,152.6
14,15,,Rhys Davies,141.4
15,16,,Robert Karlsson,141.28
16,17,,Alvaro Quiros,135.6
17,18,,Simon Dyson,121.65
18,19,,Ross McGowan,107.49
19,20,,Sergio Garcia,104.08
20,21,,Henrik Stenson,97.2
21,22,,Grégory Bourdy,96.23
22,23,,Oliver Wilson,96.16
23,24,,Fredrik Andersson Hed,95.66
24,25,,Anders Hansen,85.99
25,26,,Martin Laird,85.46
26,27,,Simon Khan,84.95
27,28,,Brian Davis,84.49
28,29,,Darren Clarke,83.7
29,30,,David Horsey,82.34
30,31,,Alex Noren,79.85
31,32,,Bradley Dredge,77.63
32,33,,Stephen Gallacher,77.62
33,34,,Alejandro Cañizares,76.59
34,35,,Soren Hansen,75.47
35,36,,Raphael Jacquelin,71.42
36,37,,Grégory Havret,69.25
37,38,,Robert Rock,67.49
38,39,,Alex Cejka,66.94
39,40,,Danny Willett,65.21
40,41,,Richie Ramsay,65.1
41,42,,Freddie Jacobson,62.24
42,43,,Shane Lowry,60.87
43,44,,Peter Lawrie,59.88
44,45,,Rafa Cabrera Bello,59.43
45,46,,Chris Wood,57.5
46,47,,Robert-Jan Derksen,57.35
47,48,,Jamie Donaldson,55.56
48,49,,Gareth Maybin,54.66
49,50,,Thomas Bjørn,53.83
50,51,,Damian McGrane,52.61
51,52,,Mikko Ilonen,52.41
52,53,,Nicolas Colsaerts,51.98
53,54,,James Morrison,51.94
54,55,,Ignacio Garrido,51.07
55,56,,Oliver Fisher,49.17
56,57,,Peter Whiteford,48.92
57,58,,Marcel Siem,48.64
58,59,,Søren Kjeldsen,47.61
59,60,,Richard Johnson,44.86
60,61,,Rich Bland,44.29
61,62,,Johan Edfors,44.28
62,63,,David Drysdale,43.32
63,64,,Anthony Wall,40.4
64,65,,Gonzalo Fernandez-Castaño,40.19
65,66,,Richard Finch,36.75
66,67,,Pablo Martin Benavides,36.42
67,68,,Niclas Fasth,35.7
68,69,,Michael Jonzon,34.54
69,70,,Graeme Storm,33.92
70,71,,Gary Boyd,33.78
71,73,,Martin Wiegele,33.03
72,74,,George Murray,32.7
73,75,,Joost Luiten,30.45
74,76,,Robert Dinwiddie,30.0
75,77,,Stephen Dodd,29.99
76,78,,Pelle Edberg,29.39
77,79,,Paul Lawrie,29.38
78,80,,Peter Gustafsson,29.19
79,81,,Alessandro Tadini,28.3
80,82,,Mark Foster,27.45
81,83,,Pablo Larrazabal,27.35
82,84,,Christian Nilsson,27.19
83,85,,Bernd Wiesberger,27.05
84,86,,Floris De Vries,26.56
85,87,,Jose-Filipe Lima,26.33
