,PGA_Championship_Points_RANK THIS WEEK,PGA_Championship_Points_RANK LAST WEEK,PGA_Championship_Points_PLAYER NAME,PGA_Championship_Points_EVENTS,PGA_Championship_Points_POINTS
0,1,1,Matt Kuchar,7,2317312
1,2,2,Dustin Johnson,6,2072558
2,3,3,Charley Hoffman,6,1807613
3,4,4,Jim Furyk,5,1786850
4,5,5,Hunter Mahan,7,1717005
5,6,6,Ryan Palmer,8,1623184
6,7,7,Luke Donald,6,1569464
7,8,8,Paul Casey,6,1566050
8,9,9,Martin Laird,8,1517343
9,10,10,Martin Kaymer,2,1422000
10,11,11,Retief Goosen,6,1330500
11,12,12,Bill Haas,8,1319816
12,13,13,Bo Van Pelt,8,1240950
13,14,14,Jason Day,6,1235488
14,15,15,Steve Stricker,6,1208067
15,16,16,Arjun Atwal,4,1156653
16,17,17,Bubba Watson,6,1126238
17,18,18,Jonathan Byrd,7,1076770
18,19,19,Heath Slocum,8,1074393
19,20,20,Zach Johnson,7,1030625
20,21,21,David Toms,8,1014813
21,22,22,Rocco Mediate,6,973440
22,23,23,Robert Garrigus,8,907037
23,24,24,Geoff Ogilvy,6,871250
24,25,25,Adam Scott,6,868767
25,26,26,Nick Watney,7,842630
26,27,27,Kevin Streelman,7,828122
27,28,28,Bill Lunde,6,751140
28,29,29,John Senden,10,745315
29,30,30,K.J. Choi,6,703198
30,31,31,Ryan Moore,7,687950
31,32,32,Rickie Fowler,8,685577
32,33,33,Camilo Villegas,6,667675
33,34,34,Michael Sim,6,665663
34,35,35,Kevin Na,7,662984
35,36,36,Rory McIlroy,5,645208
36,37,37,D.J. Trahan,9,634364
37,38,38,Ernie Els,6,617833
38,39,39,Phil Mickelson,6,600764
39,40,40,Roland Thatcher,7,535870
40,41,41,Stewart Cink,6,526552
41,42,42,Justin Leonard,9,521674
42,43,43,Tiger Woods,5,505254
43,44,44,Tim Clark,7,498055
44,45,45,Alex Prugh,6,493956
45,46,46,Rory Sabbatini,8,493820
46,47,47,Webb Simpson,9,479564
47,48,48,Brandt Snedeker,5,475483
48,49,49,Spencer Levin,8,472108
49,50,50,J.J. Henry,4,471909
50,51,51,Robert Allenby,5,455130
51,52,52,Jerry Kelly,9,451014
52,53,53,Justin Rose,6,443583
53,54,54,Jason Dufner,6,440792
54,55,55,Tom Gillis,8,439826
55,56,56,Charles Warren,7,438683
56,57,57,Cameron Percy,7,429732
57,58,58,Charlie Wi,8,428263
58,59,59,Sean O'Hair,7,405602
59,60,60,Brendon de Jonge,8,399805
60,61,61,Michael Allen,4,399400
61,62,62,Ben Crane,6,397683
62,63,63,Michael Connell,7,397515
63,64,64,Jeff Overton,6,396575
64,65,65,Charles Howell III,8,392756
65,66,66,Johnson Wagner,7,378050
66,67,67,Steve Elkington,5,376090
67,68,68,Graham DeLaet,7,372811
68,69,69,Vijay Singh,6,371732
69,70,70,Josh Teater,8,371731
70,71,71,John Mallinger,7,366597
71,72,72,John Rollins,6,348350
72,73,73,Ryuji Imada,8,341871
73,74,74,Chris Stroud,7,339053
74,75,75,Joe Durant,6,329670
75,76,76,J.B. Holmes,8,326910
76,77,77,Ian Poulter,5,326550
77,78,78,Vaughn Taylor,8,325709
78,79,79,Tim Petrovic,11,310146
79,80,80,Marc Leishman,7,299828
80,81,81,Richard Johnson,7,298417
81,82,82,Ángel Cabrera,5,296825
82,83,83,Will MacKenzie,7,291759
83,84,84,Mark Wilson,7,276191
84,85,85,Brian Gay,9,267105
85,86,86,Scott Piercy,8,265647
86,87,87,Chris Tidland,7,264091
87,88,88,Brett Wetterich,6,260459
88,89,89,Lucas Glover,6,258525
89,90,90,Andres Romero,7,258034
90,91,91,Freddie Jacobson,8,233925
91,92,92,Chad Campbell,8,230191
92,93,93,Steve Marino,7,219876
93,94,94,Aaron Baddeley,8,218733
94,95,95,Chris Riley,7,215260
95,96,96,Bryce Molder,7,213406
96,97,97,WC Liang,1,210000
97,98,98,Brian Davis,10,208225
98,99,99,David Duval,7,206955
99,100,100,Tim Herron,7,205776
100,101,101,Scott McCarron,7,200723
101,102,102,Billy Mayfair,6,199800
102,103,103,Peter Hanson,2,195225
103,104,104,Aron Price,7,194502
104,105,105,Jeff Quinney,7,190386
105,106,106,D.A. Points,8,182278
106,107,107,Kevin Stadler,7,180919
