,Presidents_Cup_United_States_RANK THIS WEEK,Presidents_Cup_United_States_RANK LAST WEEK,Presidents_Cup_United_States_PLAYER NAME,Presidents_Cup_United_States_POINTS
0,1,1,Matt Kuchar,6453677
1,2,2,Steve Stricker,6322785
2,3,3,Jim Furyk,6239422
3,4,4,Phil Mickelson,5285977
4,5,5,Dustin Johnson,5109366
5,6,6,Tiger Woods,4114765
6,7,7,Heath Slocum,4047437
7,8,8,Hunter Mahan,3927612
8,9,9,Bo Van Pelt,3749451
9,10,10,Jeff Overton,3662281
10,11,11,Zach Johnson,3651968
11,12,12,Ryan Moore,3599967
12,13,13,Bill Haas,3517224
13,14,14,Rickie Fowler,3428198
14,15,15,Bubba Watson,3369905
15,16,16,Ben Crane,3104225
16,17,17,Nick Watney,3036782
17,18,18,Ryan Palmer,3016036
18,19,19,Sean O'Hair,2954040
19,20,20,Charley Hoffman,2829913
20,21,21,Anthony Kim,2688734
21,22,22,Scott Verplank,2684440
22,23,23,Kevin Na,2595752
23,24,24,Jason Bohn,2554234
24,25,25,Vaughn Taylor,2524321
25,26,26,J.B. Holmes,2456748
26,27,27,Brandt Snedeker,2224474
27,28,28,Steve Marino,2136239
28,29,29,David Toms,1978916
29,30,30,Jason Dufner,1969289
30,31,31,Brian Gay,1884313
31,32,32,Ricky Barnes,1866122
32,33,33,D.J. Trahan,1841322
33,34,34,Jonathan Byrd,1836780
34,35,35,Stewart Cink,1835761
35,36,36,Troy Matteson,1805710
36,37,37,Lucas Glover,1800374
37,38,38,Charles Howell III,1770404
38,39,39,Bryce Molder,1717488
39,40,40,Robert Garrigus,1703432
40,41,41,Justin Leonard,1670883
41,42,42,Kevin Streelman,1651226
42,43,43,Tim Petrovic,1628621
43,44,44,Jerry Kelly,1550128
44,45,45,Webb Simpson,1474287
45,46,46,Chad Campbell,1452446
46,47,47,George McNeill,1448054
47,48,48,Kevin Stadler,1432420
48,49,49,Davis Love III,1382713
49,50,50,Kenny Perry,1360636
50,51,51,Paul Goydos,1351260
51,52,52,Bill Lunde,1337855
52,53,53,D.A. Points,1323708
53,54,54,Alex Prugh,1272606
54,55,55,John Rollins,1267953
55,56,56,Spencer Levin,1264947
56,57,57,Jimmy Walker,1248629
57,58,58,Rocco Mediate,1240987
58,59,59,Chris Riley,1206867
59,60,60,Cameron Beckman,1205971
60,61,61,Kevin Sutherland,1197597
61,62,62,Tom Gillis,1166146
62,63,63,Chris Stroud,1143211
63,64,64,Kris Blanks,1129169
64,65,65,J.J. Henry,1115682
65,66,66,Pat Perez,1097650
66,67,67,Mark Wilson,1088400
67,68,68,Shaun Micheel,1025500
68,69,69,Josh Teater,1005323
69,70,70,Derek Lamely,972961
70,71,71,Blake Adams,963593
71,72,72,Michael Allen,951421
72,73,73,Boo Weekley,942324
73,74,74,Jeff Maggert,937271
74,75,75,David Duval,919584
75,76,76,Dean Wilson,914554
76,77,77,Scott Piercy,905369
77,78,78,Corey Pavin,902165
78,79,79,Matt Bettencourt,892480
79,80,80,Chris Couch,888146
80,81,81,J.P. Hayes,876741
81,82,82,Tom Pernice Jr.,876599
82,83,83,Garrett Willis,871763
83,84,84,Johnson Wagner,851900
84,85,85,Ben Curtis,850286
85,86,86,Michael Connell,846459
86,87,87,Roland Thatcher,833968
87,88,88,Chad Collins,815961
88,89,89,Nicholas Thompson,813204
89,90,90,Joe Durant,800575
90,91,91,Briny Baird,787750
91,92,92,Troy Merritt,786977
92,93,93,Woody Austin,775914
93,94,94,John Mallinger,763637
94,95,95,Scott McCarron,759317
95,96,96,Joe Ogilvie,742965
96,97,97,Bob Estes,740068
97,98,98,Billy Mayfair,690722
98,99,99,Lee Janzen,690570
99,100,100,John Merrick,677315
100,101,101,Jeff Quinney,676850
101,102,102,Paul Stankowski,666591
102,103,103,Will MacKenzie,658683
103,104,104,Fred Couples,608346
104,105,105,Chris Tidland,588291
105,106,106,Charles Warren,585414
106,107,107,Brett Quigley,584040
107,108,108,Michael Letzig,582239
108,109,109,Tim Herron,552684
109,110,110,Brian Stuard,536497
110,111,111,Chris DiMarco,519286
111,112,112,James Driscoll,511335
112,113,113,Brett Wetterich,510672
113,114,114,Matt Every,456847
114,115,115,Steve Flesch,451374
115,116,116,Jay Williamson,444945
116,117,117,Tom Lehman,440635
117,118,118,Harrison Frazar,423893
118,119,119,Steve Wheatcroft,408595
119,120,120,Jeff Klauk,406154
120,121,121,Michael Bradley,399486
121,122,122,Roger Tambellini,370736
122,123,123,Ted Purdy,357892
123,124,124,Martin Flores,318673
124,125,125,Matt Weibring,315052
125,126,126,Chez Reavie,312984
126,127,127,Skip Kendall,304439
127,128,128,Cameron Tringale,302618
128,129,129,Kirk Triplett,285104
129,130,130,Omar Uresti,283455
130,131,131,Kent Jones,279627
131,132,132,Glen Day,261150
132,133,133,Cliff Kresge,209376
133,134,134,Rich Beem,206089
134,135,135,Rich Barcelo,188892
135,136,136,Craig Barlow,184622
136,137,137,John Daly,167512
137,138,138,Todd Hamilton,165800
138,139,139,Mark Calcavecchia,150060
139,140,140,Tom Watson,149371
140,141,141,Steve Lowery,147195
141,142,142,Craig Bowden,140935
142,143,143,Vance Veazey,111370
143,144,144,Marco Dawson,108160
144,145,145,Robert Gamez,101700
145,146,146,Jason Gore,99613
146,147,147,Jeff Gove,92155
147,148,148,Jerod Turner,91343
148,149,149,Parker McLachlin,79791
149,150,150,Fred Funk,77803
150,151,151,Chris Wilson,76481
151,152,152,Brad Faxon,76253
152,153,153,Frank Lickliter II,74721
153,154,154,Justin Bolli,73990
154,155,155,Kevin Johnson,69806
155,156,156,Brent Delahoussaye,69708
156,157,157,John Huston,69249
157,158,158,Shane Bertsch,57108
158,159,159,Guy Boros,54833
159,160,160,Greg Kraft,52176
160,161,161,Mark Brooks,46360
161,162,162,Fran Quinn,45096
162,163,163,Dicky Pride,40120
163,164,164,Jonathan Kaye,38989
164,165,165,Jim Carter,29285
165,166,166,John Morse,28998
166,167,167,Arron Oberholser,26417
167,168,168,Eric Axley,24124
168,169,169,Chris Smith,23400
169,170,170,Len Mattiace,22200
170,171,171,Michael Clark II,21045
171,172,172,Marc Turnesa,19982
172,173,173,Tommy Armour III,19572
173,174,174,Robert Damron,17446
174,175,175,Tom Byrum,13420
175,176,176,Robin Freeman,13062
176,177,177,J.L. Lewis,12960
177,178,178,Ernie Gonzalez,10788
178,179,179,Paul Azinger,9486
179,180,180,Brian Bateman,8232
180,181,181,Spike McRoy,6840
181,182,182,"Jim Gallagher, Jr.",6552
182,183,183,Willie Wood,6540
