,FedExCup_Season_Points_RANK THIS WEEK,FedExCup_Season_Points_RANK LAST WEEK,FedExCup_Season_Points_PLAYER NAME,FedExCup_Season_Points_EVENTS,FedExCup_Season_Points_POINTS,FedExCup_Season_Points_# OF WINS,FedExCup_Season_Points_# OF TOP 10'S,FedExCup_Season_Points_POINTS BEHIND LEAD,FedExCup_Season_Points_RESET POINTS
0,1,1,Ernie Els,16,1846.0,2.0,6.0,,
1,2,2,Steve Stricker,15,1697.0,2.0,6.0,149.0,
2,3,3,Jim Furyk,18,1691.0,2.0,6.0,155.0,
3,4,4,Phil Mickelson,16,1629.0,1.0,5.0,217.0,
4,5,5,Justin Rose,18,1593.0,2.0,4.0,253.0,
5,6,6,Jeff Overton,22,1536.0,,6.0,310.0,
6,7,7,Hunter Mahan,20,1528.0,2.0,3.0,318.0,
7,8,8,Bubba Watson,18,1498.0,1.0,4.0,348.0,
8,9,9,Matt Kuchar,21,1437.0,,9.0,409.0,
9,10,10,Tim Clark,19,1409.0,1.0,6.0,437.0,
10,11,11,Dustin Johnson,19,1362.0,1.0,5.0,484.0,
11,12,12,Ben Crane,20,1304.0,1.0,5.0,542.0,
12,13,13,Bo Van Pelt,22,1272.0,,6.0,574.0,
13,14,14,Anthony Kim,11,1216.0,1.0,4.0,630.0,
14,15,15,Camilo Villegas,16,1213.0,1.0,6.0,633.0,
15,16,16,Zach Johnson,20,1191.0,1.0,2.0,655.0,
16,17,17,Robert Allenby,17,1169.0,,4.0,677.0,
17,18,18,J.B. Holmes,20,1153.0,,3.0,693.0,
18,19,19,Rickie Fowler,22,1147.0,,5.0,699.0,
19,20,20,Carl Pettersson,24,1142.0,1.0,4.0,704.0,
20,21,21,Rory McIlroy,13,1101.0,1.0,5.0,745.0,
21,22,22,Luke Donald,16,1089.0,,5.0,757.0,
22,23,23,Ryan Palmer,21,1071.0,1.0,3.0,775.0,
23,24,24,Retief Goosen,15,1068.0,,8.0,778.0,
24,25,25,Brendon de Jonge,26,1035.0,,6.0,811.0,
25,26,26,Bill Haas,20,1025.0,1.0,2.0,821.0,
26,27,27,Paul Casey,13,992.0,,5.0,854.0,
27,28,28,Jason Day,20,988.0,1.0,3.0,858.0,
28,29,29,Nick Watney,19,984.0,,6.0,862.0,
29,30,30,Stuart Appleby,26,957.0,1.0,3.0,889.0,
30,31,31,Ricky Barnes,23,947.0,,6.0,899.0,
