,Sand_Saves_from_20-30_yards_RANK THIS WEEK,Sand_Saves_from_20-30_yards_RANK LAST WEEK,Sand_Saves_from_20-30_yards_PLAYER NAME,Sand_Saves_from_20-30_yards_ROUNDS,Sand_Saves_from_20-30_yards_%,Sand_Saves_from_20-30_yards_# OF SAVES,Sand_Saves_from_20-30_yards_# OF BUNKERS
0,1,1,Rocco Mediate,87,75.0,18,24
1,2,2,Mike Weir,88,70.37,19,27
2,3,3,Bob Tway,70,68.42,13,19
3,T4,T4,Glen Day,64,66.67,16,24
4,T4,T4,Padraig Harrington,52,66.67,12,18
5,T6,T6,Sergio Garcia,72,65.22,15,23
6,T6,T6,Tim Herron,97,65.22,30,46
7,8,8,Steve Stricker,75,64.0,16,25
8,9,9,Aaron Baddeley,76,62.07,18,29
9,10,10,Tommy Armour III,77,61.9,13,21
10,T11,T11,David Duval,51,61.54,8,13
11,T11,T11,Adam Scott,51,61.54,8,13
12,13,13,Billy Mayfair,103,61.22,30,49
13,T14,T14,Retief Goosen,59,60.71,17,28
14,T14,T14,Matt Kuchar,88,60.71,17,28
15,T16,T16,Jeff Gove,50,60.0,6,10
16,T16,T16,Nathan Green,95,60.0,27,45
17,18,18,Ryuji Imada,80,59.46,22,37
18,T19,T19,Cameron Beckman,87,58.33,14,24
19,T19,T19,Jerry Kelly,89,58.33,21,36
20,21,21,Joe Ogilvie,100,57.89,22,38
21,22,22,Tom Scherrer,56,57.14,4,7
22,T23,T23,Steve Flesch,95,56.67,17,30
23,T23,T23,Mark Hensby,71,56.67,17,30
24,25,25,Phil Mickelson,80,56.52,13,23
25,26,26,Briny Baird,113,56.41,22,39
26,27,27,Jesper Parnevik,88,56.25,18,32
27,28,28,George McNeill,97,55.88,19,34
28,29,29,John Merrick,98,55.56,15,27
29,30,30,Daniel Chopra,84,55.26,21,38
30,31,31,K.J. Choi,74,55.17,16,29
31,32,32,Camilo Villegas,79,54.17,13,24
32,T33,T33,Shane Bertsch,96,53.85,21,39
33,T33,T33,Jim Furyk,95,53.85,21,39
34,T33,T33,Tag Ridings,88,53.85,14,26
35,T36,T36,Freddie Jacobson,78,53.57,15,28
36,T36,T36,Chris Riley,51,53.57,15,28
37,T36,T36,Heath Slocum,104,53.57,15,28
38,39,39,Brenden Pappas,66,53.33,8,15
39,40,40,Steve Lowery,74,53.13,17,32
40,41,41,John Mallinger,95,53.06,26,49
41,T42,T42,Shigeki Maruyama,50,52.94,9,17
42,T42,T42,Mark Wilson,107,52.94,18,34
43,T44,T44,Dudley Hart,74,52.63,20,38
44,T44,T44,John Riegger,73,52.63,10,19
45,46,46,Rod Pampling,83,52.27,23,44
46,T47,T47,Tommy Gainey,60,52.17,12,23
47,T47,T47,Corey Pavin,69,52.17,12,23
48,T49,T49,Fred Couples,60,51.61,16,31
49,T49,T49,Brandt Snedeker,85,51.61,16,31
50,51,51,Jim McGovern,75,51.52,17,33
51,T52,T52,Cliff Kresge,84,51.35,19,37
52,T52,T52,Bo Van Pelt,101,51.35,19,37
53,54,54,Charles Howell III,101,51.28,20,39
54,55,55,Brad Adamonis,87,51.16,22,43
55,T56,T56,Jason Allred,63,50.0,14,28
56,T56,T56,Stuart Appleby,87,50.0,8,16
57,T56,T56,Paul Casey,55,50.0,6,12
58,T56,T56,Chad Collins,72,50.0,16,32
59,T56,T56,Ben Crane,86,50.0,13,26
60,T56,T56,Ben Curtis,80,50.0,17,34
61,T56,T56,Marco Dawson,64,50.0,11,22
62,T56,T56,James Driscoll,85,50.0,18,36
63,T56,T56,Mathew Goggin,91,50.0,19,38
64,T56,T56,John Huston,56,50.0,10,20
65,T56,T56,Brandt Jobe,52,50.0,9,18
66,T56,T56,Craig Kanada,65,50.0,11,22
67,T56,T56,Martin Laird,98,50.0,17,34
68,T56,T56,Stephen Leaney,53,50.0,9,18
69,T56,T56,Justin Leonard,101,50.0,18,36
70,T56,T56,Steve Marino,119,50.0,23,46
71,T56,T56,Parker McLachlin,88,50.0,22,44
