,Proximity_to_Hole_from_Other_Locations_RANK THIS WEEK,Proximity_to_Hole_from_Other_Locations_RANK LAST WEEK,Proximity_to_Hole_from_Other_Locations_PLAYER NAME,Proximity_to_Hole_from_Other_Locations_ROUNDS,Proximity_to_Hole_from_Other_Locations_AVG DTP,Proximity_to_Hole_from_Other_Locations_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Other_Locations_# OF SHOTS,Proximity_to_Hole_from_Other_Locations_SCRAMBLING RANK
0,1,1,Padraig Harrington,52,"4' 7""",2.725,50,21
1,2,2,K.J. Choi,74,"5' 3""",5.2589999999999995,83,95
2,3,3,Tim Wilkinson,95,"5' 6""",8.297,126,28
3,T4,T4,Retief Goosen,59,"5' 7""",4.481,67,76
4,T4,T4,Chris Riley,51,"5' 7""",5.444,81,2
5,T6,T6,John Mallinger,95,"5' 8""",10.724,157,61
6,T6,T6,Kevin Na,97,"5' 8""",13.173,193,13
7,T8,T8,Stewart Cink,87,"5' 9""",7.077999999999999,103,142
8,T8,T8,Vijay Singh,82,"5' 9""",5.904,86,51
9,T10,T10,Ernie Els,51,"5' 10""",3.488,50,112
10,T10,T10,Trevor Immelman,70,"5' 10""",6.305,90,181
11,T12,T12,Jim Furyk,95,"5' 11""",6.749,95,29
12,T12,T12,Brian Gay,102,"5' 11""",10.189,143,1
13,T12,T12,Mathew Goggin,91,"5' 11""",10.839,152,77
14,T12,T12,Shigeki Maruyama,50,"5' 11""",5.712000000000001,80,14
15,T12,T12,Steve Stricker,75,"5' 11""",6.997000000000001,99,12
16,T17,T17,Marco Dawson,64,"6' 0""",6.7010000000000005,93,144
17,T17,T17,Greg Kraft,63,"6' 0""",5.61,78,64
18,T17,T17,Justin Leonard,101,"6' 0""",6.2410000000000005,87,34
19,T17,T17,Peter Lonard,92,"6' 0""",11.449000000000002,158,107
20,T17,T17,Sean O'Hair,81,"6' 0""",7.017,97,134
21,T17,T17,Nick O'Hern,82,"6' 0""",7.87,110,22
22,T23,T23,Briny Baird,113,"6' 1""",9.912,135,5
23,T23,T23,Richard Johnson,77,"6' 1""",9.642999999999999,133,67
24,T23,T23,Patrick Sheehan,124,"6' 1""",12.189,167,39
25,T26,T26,Brad Adamonis,87,"6' 2""",9.125,123,131
26,T26,T26,Robert Allenby,108,"6' 2""",8.594,116,149
27,T26,T26,Bob Estes,90,"6' 2""",11.232999999999999,151,33
28,T26,T26,Scott McCarron,63,"6' 2""",8.548,115,59
29,T26,T26,Adam Scott,51,"6' 2""",4.355,59,173
30,T31,T31,Stuart Appleby,87,"6' 3""",7.646,102,30
31,T31,T31,Chad Campbell,94,"6' 3""",10.498,140,158
32,T31,T31,Alex Cejka,75,"6' 3""",8.287,110,140
33,T31,T31,Sergio Garcia,72,"6' 3""",5.501,73,89
34,T31,T31,Doug LaBelle II,65,"6' 3""",5.202000000000001,69,68
35,T31,T31,Jesper Parnevik,88,"6' 3""",12.287,164,23
36,T31,T31,Brandt Snedeker,85,"6' 3""",9.683,129,100
37,T31,T31,Vaughn Taylor,103,"6' 3""",9.038,121,92
38,T31,T31,David Toms,70,"6' 3""",7.796,104,187
39,T40,T40,Chris DiMarco,87,"6' 4""",9.162,120,114
40,T40,T40,Nathan Green,95,"6' 4""",15.745,207,32
41,T42,T42,Cameron Beckman,87,"6' 5""",8.512,110,69
42,T42,T42,Brian Davis,108,"6' 5""",15.297,198,17
43,T42,T42,Ryuji Imada,80,"6' 5""",9.573,124,34
44,T42,T42,Michael Letzig,88,"6' 5""",9.871,128,108
45,T42,T42,Corey Pavin,69,"6' 5""",6.926,90,3
46,T42,T42,Tom Pernice Jr.,104,"6' 5""",12.295,160,11
47,T48,T48,Brad Elder,67,"6' 6""",8.689,111,37
48,T48,T48,Lee Janzen,89,"6' 6""",8.809,113,91
49,T48,T48,Jerry Kelly,89,"6' 6""",9.593,123,83
50,T48,T48,Will MacKenzie,62,"6' 6""",7.042999999999999,90,130
51,T48,T48,George McNeill,97,"6' 6""",11.834000000000001,152,191
52,T48,T48,Ian Poulter,51,"6' 6""",4.132,53,120
53,T48,T48,Brett Rumford,72,"6' 6""",8.149,105,151
54,T48,T48,Rory Sabbatini,77,"6' 6""",7.62,98,122
55,T48,T48,Scott Verplank,82,"6' 6""",9.012,116,83
56,T48,T48,Jimmy Walker,73,"6' 6""",8.884,114,134
57,T48,T48,Mike Weir,88,"6' 6""",7.6339999999999995,98,7
58,T48,T48,Charlie Wi,97,"6' 6""",12.005,153,4
59,T60,T60,Bart Bryant,81,"6' 7""",8.327,106,47
60,T60,T60,Jonathan Byrd,88,"6' 7""",12.619000000000002,160,72
61,T60,T60,Daniel Chopra,84,"6' 7""",9.265,118,95
62,T60,T60,Glen Day,64,"6' 7""",7.457999999999999,95,6
63,T60,T60,James Driscoll,85,"6' 7""",13.163,166,155
64,T60,T60,Freddie Jacobson,78,"6' 7""",7.994,101,81
65,T60,T60,Martin Laird,98,"6' 7""",13.218,167,117
66,T60,T60,Frank Lickliter II,107,"6' 7""",13.362,169,87
67,T60,T60,Billy Mayfair,103,"6' 7""",11.344000000000001,144,34
68,T60,T60,Parker McLachlin,88,"6' 7""",11.265999999999998,142,42
69,T60,T60,Tim Petrovic,97,"6' 7""",11.033,139,53
70,T60,T60,Brett Quigley,80,"6' 7""",11.350999999999999,144,97
71,T60,T60,Jeff Quinney,87,"6' 7""",10.942,139,70
72,T60,T60,Chris Stroud,81,"6' 7""",7.711,98,165
73,T60,T60,Bo Van Pelt,101,"6' 7""",14.421,182,118
74,T75,T75,Stephen Ames,83,"6' 8""",6.973,87,57
75,T75,T75,Tommy Armour III,77,"6' 8""",8.963,112,132
76,T75,T75,Tim Clark,90,"6' 8""",7.081,89,65
77,T75,T75,Davis Love III,78,"6' 8""",9.234,115,145
78,T75,T75,David Lutterus,59,"6' 8""",6.99,87,184
79,T75,T75,John Merrick,98,"6' 8""",10.048,125,160
80,T75,T75,Johnson Wagner,83,"6' 8""",9.573,120,103
81,T82,T82,Chad Collins,72,"6' 9""",11.072000000000001,137,88
82,T82,T82,Ben Curtis,80,"6' 9""",7.854,97,46
83,T82,T82,Steve Flesch,95,"6' 9""",10.352,128,44
84,T82,T82,Carlos Franco,73,"6' 9""",8.642000000000001,107,153
85,T82,T82,Stephen Leaney,53,"6' 9""",7.617000000000001,94,53
86,T82,T82,Steve Marino,119,"6' 9""",14.651,181,55
87,T82,T82,Andres Romero,69,"6' 9""",7.1129999999999995,88,85
88,T89,T89,Aaron Baddeley,76,"6' 10""",9.059,111,60
89,T89,T89,Fred Couples,60,"6' 10""",5.016,61,71
90,T89,T89,Jeff Gove,50,"6' 10""",7.227,88,80
91,T89,T89,John Riegger,73,"6' 10""",9.841000000000001,120,58
92,T89,T89,Dean Wilson,109,"6' 10""",12.009,146,97
93,T94,T94,Jason Allred,63,"6' 11""",8.507,102,127
94,T94,T94,Rich Beem,90,"6' 11""",13.295,160,169
95,T94,T94,Shane Bertsch,96,"6' 11""",11.674000000000001,140,18
96,T94,T94,Richard Johnson,60,"6' 11""",5.135,62,97
97,T94,T94,Dustin Johnson,92,"6' 11""",11.982000000000001,144,192
98,T94,T94,Anthony Kim,81,"6' 11""",9.846,118,45
99,T94,T94,Brenden Pappas,66,"6' 11""",9.176,110,50
100,T94,T94,Chez Reavie,102,"6' 11""",11.425999999999998,137,52
101,T94,T94,Kevin Sutherland,98,"6' 11""",10.92,132,25
102,T103,T103,Ryan Armour,87,"7' 0""",9.835,117,194
103,T103,T103,Robert Gamez,79,"7' 0""",10.242,122,162
