,Scrambling_Fringe_RTP_Score_RANK THIS WEEK,Scrambling_Fringe_RTP_Score_RANK LAST WEEK,Scrambling_Fringe_RTP_Score_PLAYER NAME,Scrambling_Fringe_RTP_Score_ROUNDS,Scrambling_Fringe_RTP_Score_AVG RTP,Scrambling_Fringe_RTP_Score_TOTAL HOLES,Scrambling_Fringe_RTP_Score_TOTAL RTP
0,1,1,Stephen Ames,83,-.137,51,-7.00
1,2,2,Sergio Garcia,72,-.133,30,-4.00
2,3,3,John Huston,56,-.118,34,-4.00
3,4,4,Gavin Coles,54,-.103,39,-4.00
4,5,5,Bob Estes,90,-.095,63,-6.00
5,6,6,Phil Mickelson,80,-.093,43,-4.00
6,7,7,Ryan Moore,72,-.087,69,-6.00
7,8,8,Padraig Harrington,52,-.079,38,-3.00
8,T9,T9,Lee Janzen,89,-.063,63,-4.00
9,T9,T9,Charlie Wi,97,-.063,80,-5.00
10,11,11,Andres Romero,69,-.059,34,-2.00
11,12,12,Ryuji Imada,80,-.052,58,-3.00
12,13,13,Harrison Frazar,73,-.041,49,-2.00
13,14,14,Glen Day,64,-.039,51,-2.00
14,15,15,Patrick Sheehan,124,-.033,90,-3.00
15,16,16,Jonathan Byrd,88,-.029,70,-2.00
16,T17,T17,Ángel Cabrera,55,-.028,36,-1.00
17,T17,T17,John Mallinger,95,-.028,72,-2.00
18,T17,T17,Corey Pavin,69,-.028,72,-2.00
19,20,20,Olin Browne,77,-.027,73,-2.00
20,21,21,John Rollins,94,-.026,76,-2.00
21,22,22,Kevin Sutherland,98,-.024,82,-2.00
22,T23,T23,Geoff Ogilvy,65,-.022,45,-1.00
23,T23,T23,Kevin Streelman,114,-.022,90,-2.00
24,25,25,Tom Pernice Jr.,104,-.021,97,-2.00
25,T26,T26,Paul Goydos,78,-.018,55,-1.00
26,T26,T26,Jesper Parnevik,88,-.018,57,-1.00
27,28,28,Kevin Na,97,-.012,85,-1.00
28,29,29,Tim Herron,97,-.009,107,-1.00
29,T30,T30,Aaron Baddeley,76,E,60,E
30,T30,T30,Ben Crane,86,E,68,E
31,T30,T30,James Driscoll,85,E,60,E
32,T30,T30,Retief Goosen,59,E,42,E
33,T30,T30,Nathan Green,95,E,78,E
34,T30,T30,J.P. Hayes,67,E,61,E
35,T30,T30,Richard Johnson,77,E,56,E
36,T30,T30,Anthony Kim,81,E,56,E
37,T30,T30,Steve Lowery,74,E,59,E
38,T30,T30,Will MacKenzie,62,E,56,E
39,T30,T30,Scott McCarron,63,E,61,E
40,T30,T30,Rocco Mediate,87,E,60,E
41,T30,T30,Steve Stricker,75,E,37,E
42,T30,T30,Scott Verplank,82,E,56,E
43,T44,T44,Shane Bertsch,96,+.011,94,+1.00
44,T44,T44,Frank Lickliter II,107,+.011,88,+1.00
45,T46,T46,Matt Kuchar,88,+.012,83,+1.00
46,T46,T46,Carl Pettersson,110,+.012,82,+1.00
47,48,48,Vaughn Taylor,103,+.013,76,+1.00
48,49,49,Woody Austin,109,+.014,70,+1.00
49,50,50,Jerry Kelly,89,+.015,66,+1.00
50,51,51,Parker McLachlin,88,+.016,62,+1.00
51,T52,T52,Stewart Cink,87,+.017,58,+1.00
52,T52,T52,Mark Hensby,71,+.017,58,+1.00
53,T52,T52,Freddie Jacobson,78,+.017,58,+1.00
54,55,55,Ben Curtis,80,+.018,57,+1.00
55,56,56,Brad Elder,67,+.019,54,+1.00
56,57,57,Fred Couples,60,+.020,51,+1.00
57,58,58,Brett Rumford,72,+.021,47,+1.00
58,59,59,Ken Duke,116,+.022,93,+2.00
59,T60,T60,Dustin Johnson,92,+.025,80,+2.00
60,T60,T60,Shigeki Maruyama,50,+.025,40,+1.00
61,T60,T60,Bo Van Pelt,101,+.025,80,+2.00
62,T63,T63,Paul Casey,55,+.027,37,+1.00
63,T63,T63,Kenny Perry,97,+.027,75,+2.00
64,T63,T63,D.J. Trahan,94,+.027,75,+2.00
65,T66,T66,Jon Mills,95,+.029,69,+2.00
66,T66,T66,Jeff Quinney,87,+.029,70,+2.00
67,T66,T66,Scott Sterling,89,+.029,68,+2.00
68,T69,T69,Billy Andrade,71,+.030,66,+2.00
69,T69,T69,Stuart Appleby,87,+.030,66,+2.00
70,T69,T69,Chris DiMarco,87,+.030,66,+2.00
71,T72,T72,Ernie Els,51,+.031,32,+1.00
72,T72,T72,Zach Johnson,85,+.031,64,+2.00
73,74,74,Chez Reavie,102,+.034,89,+3.00
74,T75,T75,Todd Hamilton,92,+.035,86,+3.00
75,T75,T75,Dudley Hart,74,+.035,57,+2.00
76,T75,T75,Charles Howell III,101,+.035,57,+2.00
77,T75,T75,Mark Wilson,107,+.035,85,+3.00
78,T79,T79,David Duval,51,+.036,28,+1.00
79,T79,T79,Bob Sowards,61,+.036,56,+2.00
80,81,81,Carlos Franco,73,+.038,53,+2.00
81,82,82,Jeff Gove,50,+.040,50,+2.00
82,83,83,Brenden Pappas,66,+.041,49,+2.00
83,T84,T84,Eric Axley,113,+.043,94,+4.00
84,T84,T84,Nick O'Hern,82,+.043,70,+3.00
85,T86,T86,Doug LaBelle II,65,+.044,45,+2.00
86,T86,T86,Tom Lehman,51,+.044,45,+2.00
87,88,88,Davis Love III,78,+.045,66,+3.00
88,89,89,Cliff Kresge,84,+.046,65,+3.00
89,90,90,Brandt Snedeker,85,+.047,43,+2.00
90,T91,T91,Todd Demsey,80,+.048,62,+3.00
91,T91,T91,Camilo Villegas,79,+.048,63,+3.00
92,T93,T93,Robert Gamez,79,+.049,61,+3.00
93,T93,T93,Heath Slocum,104,+.049,81,+4.00
94,T95,T95,Jin Park,85,+.051,78,+4.00
95,T95,T95,Marc Turnesa,87,+.051,79,+4.00
96,97,97,Bill Haas,99,+.052,58,+3.00
97,98,98,Justin Leonard,101,+.053,57,+3.00
98,99,99,Mike Weir,88,+.054,74,+4.00
99,T100,T100,Michael Allen,91,+.056,72,+4.00
100,T100,T100,Kyle Thompson,70,+.056,72,+4.00
101,102,102,Jeff Overton,103,+.057,88,+5.00
102,103,103,Steve Elkington,84,+.058,69,+4.00
103,T104,T104,Chad Collins,72,+.059,51,+3.00
104,T104,T104,Marco Dawson,64,+.059,51,+3.00
105,106,106,Stephen Leaney,53,+.064,47,+3.00
