,Scrambling_from_the_Rough_RANK THIS WEEK,Scrambling_from_the_Rough_RANK LAST WEEK,Scrambling_from_the_Rough_PLAYER NAME,Scrambling_from_the_Rough_ROUNDS,Scrambling_from_the_Rough_%,Scrambling_from_the_Rough_SUCCESSES,Scrambling_from_the_Rough_ATTEMPTS
0,1,1,Eric Axley,113,67.57,175,259
1,2,2,Steve Stricker,75,67.15,92,137
2,3,3,Justin Leonard,101,66.86,113,169
3,4,4,Brian Gay,102,65.35,132,202
4,5,5,Shigeki Maruyama,50,63.7,86,135
5,6,6,Chris Riley,51,63.37,64,101
6,7,7,Brandt Snedeker,85,63.03,104,165
7,8,8,Stephen Ames,83,62.67,94,150
8,9,9,Charlie Wi,97,62.5,125,200
9,10,10,Peter Lonard,92,62.22,112,180
10,11,11,Billy Mayfair,103,62.04,134,216
11,T12,T12,Jonathan Byrd,88,61.9,104,168
12,T12,T12,Carl Pettersson,110,61.9,156,252
13,14,14,Matt Kuchar,88,61.85,107,173
14,15,15,Ben Crane,86,61.8,110,178
15,16,16,Stephen Leaney,53,61.76,63,102
16,17,17,Scott Sterling,89,61.64,98,159
17,18,18,Ian Poulter,51,61.54,64,104
18,19,19,Phil Mickelson,80,61.33,92,150
19,20,20,Jesper Parnevik,88,61.19,134,219
20,21,21,Vijay Singh,82,60.96,89,146
21,22,22,Patrick Sheehan,124,60.94,181,297
22,23,23,Shane Bertsch,96,60.71,136,224
23,24,24,Tim Petrovic,97,60.66,128,211
24,25,25,Briny Baird,113,60.5,121,200
25,26,26,Nick O'Hern,82,60.48,101,167
26,27,27,Padraig Harrington,52,60.42,58,96
27,28,28,Michael Letzig,88,60.3,120,199
28,29,29,Jeff Quinney,87,60.22,112,186
29,30,30,Scott Verplank,82,59.86,88,147
30,31,31,Vaughn Taylor,103,59.83,143,239
31,32,32,Chez Reavie,102,59.71,123,206
32,33,33,Retief Goosen,59,59.66,71,119
33,34,34,Charles Howell III,101,59.45,129,217
34,35,35,Glen Day,64,59.4,79,133
35,36,36,Kevin Sutherland,98,59.31,121,204
36,T37,T37,Zach Johnson,85,59.15,97,164
37,T37,T37,Steve Marino,119,59.15,126,213
38,T37,T37,Corey Pavin,69,59.15,97,164
39,40,40,John Rollins,94,59.04,111,188
40,T41,T41,Brad Elder,67,58.96,79,134
41,T41,T41,Rocco Mediate,87,58.96,102,173
42,43,43,Tim Clark,90,58.95,112,190
43,44,44,Gavin Coles,54,58.82,60,102
44,45,45,Alejandro Cañizares,52,58.77,67,114
45,46,46,Parker McLachlin,88,58.5,117,200
