,Scrambling_from_the_Fringe_RANK THIS WEEK,Scrambling_from_the_Fringe_RANK LAST WEEK,Scrambling_from_the_Fringe_PLAYER NAME,Scrambling_from_the_Fringe_ROUNDS,Scrambling_from_the_Fringe_%,Scrambling_from_the_Fringe_SUCCESSES,Scrambling_from_the_Fringe_ATTEMPTS
0,1,1,Bob Estes,90,98.41,62,63
1,2,2,Gavin Coles,54,97.44,38,39
2,T3,T3,John Huston,56,97.06,33,34
3,T3,T3,Andres Romero,69,97.06,33,34
4,5,5,Sergio Garcia,72,96.67,29,30
5,6,6,Will MacKenzie,62,96.43,54,56
6,7,7,Jon Mills,95,95.65,66,69
7,8,8,Steve Lowery,74,94.92,56,59
8,9,9,Ángel Cabrera,55,94.44,34,36
9,10,10,Ryan Moore,72,94.2,65,69
10,11,11,Ben Crane,86,94.12,64,68
11,12,12,Kevin Sutherland,98,93.9,77,82
12,T13,T13,Harrison Frazar,73,93.88,46,49
13,T13,T13,Brenden Pappas,66,93.88,46,49
14,T15,T15,Ernie Els,51,93.75,30,32
15,T15,T15,Bo Van Pelt,101,93.75,75,80
16,T15,T15,Charlie Wi,97,93.75,75,80
17,18,18,Nathan Green,95,93.59,73,78
18,19,19,Tim Herron,97,93.46,100,107
19,20,20,J.P. Hayes,67,93.44,57,61
20,T21,T21,James Driscoll,85,93.33,56,60
21,T21,T21,Patrick Sheehan,124,93.33,84,90
22,23,23,Olin Browne,77,93.15,68,73
23,24,24,Ryuji Imada,80,93.1,54,58
24,T25,T25,Tommy Armour III,77,93.02,40,43
25,T25,T25,Phil Mickelson,80,93.02,40,43
26,27,27,Jesper Parnevik,88,92.98,53,57
27,28,28,Kevin Na,97,92.94,79,85
28,T29,T29,Retief Goosen,59,92.86,39,42
29,T29,T29,Richard Johnson,77,92.86,52,56
30,T29,T29,Jeff Quinney,87,92.86,65,70
31,32,32,Tom Pernice Jr.,104,92.78,90,97
32,33,33,Paul Goydos,78,92.73,51,55
33,T34,T34,Stephen Ames,83,92.16,47,51
34,T34,T34,Glen Day,64,92.16,47,51
35,T36,T36,Padraig Harrington,52,92.11,35,38
36,T36,T36,John Rollins,94,92.11,70,76
37,38,38,Parker McLachlin,88,91.94,57,62
38,T39,T39,Aaron Baddeley,76,91.67,55,60
39,T39,T39,Rocco Mediate,87,91.67,55,60
40,T39,T39,Corey Pavin,69,91.67,66,72
41,42,42,Vijay Singh,82,91.53,54,59
42,43,43,Carl Pettersson,110,91.46,75,82
43,44,44,Nick O'Hern,82,91.43,64,70
44,45,45,Stewart Cink,87,91.38,53,58
45,46,46,Charles Howell III,101,91.23,52,57
46,47,47,Scott Sterling,89,91.18,62,68
47,T48,T48,Geoff Ogilvy,65,91.11,41,45
48,T48,T48,Kevin Streelman,114,91.11,82,90
49,50,50,Scott Verplank,82,91.07,51,56
50,51,51,Chez Reavie,102,91.01,81,89
51,T52,T52,Brandt Jobe,52,90.91,30,33
52,T52,T52,Jerry Kelly,89,90.91,60,66
53,54,54,Vaughn Taylor,103,90.79,69,76
54,55,55,Brad Elder,67,90.74,49,54
55,56,56,Brandt Snedeker,85,90.7,39,43
