,Scrambling_from_the_Sand_RANK THIS WEEK,Scrambling_from_the_Sand_RANK LAST WEEK,Scrambling_from_the_Sand_PLAYER NAME,Scrambling_from_the_Sand_ROUNDS,Scrambling_from_the_Sand_%,Scrambling_from_the_Sand_SUCCESSES,Scrambling_from_the_Sand_ATTEMPTS
0,1,1,Mike Weir,88,72.45,71,98
1,2,2,Padraig Harrington,52,68.18,30,44
2,3,3,Corey Pavin,69,66.27,55,83
3,4,4,Chris Riley,51,65.45,36,55
4,5,5,Scott Verplank,82,65.0,52,80
5,6,6,Adam Scott,51,64.71,22,34
6,7,7,Phil Mickelson,80,64.38,47,73
7,8,8,Billy Mayfair,103,62.3,76,122
8,9,9,Ernie Els,51,61.7,29,47
9,10,10,Richard Johnson,77,61.06,69,113
10,T11,T11,Jin Park,85,60.87,56,92
11,T11,T11,Steve Stricker,75,60.87,42,69
12,13,13,Mark Wilson,107,60.71,68,112
13,14,14,Omar Uresti,74,60.67,54,89
14,15,15,Tom Scherrer,56,60.47,26,43
15,16,16,Dudley Hart,74,60.4,61,101
16,17,17,Gavin Coles,54,60.32,38,63
17,18,18,Ben Curtis,80,59.79,58,97
18,19,19,Daniel Chopra,84,59.41,60,101
19,20,20,Craig Kanada,65,59.04,49,83
20,21,21,Freddie Jacobson,78,58.95,56,95
21,22,22,Briny Baird,113,58.77,67,114
22,23,23,Frank Lickliter II,107,58.59,75,128
23,24,24,Stuart Appleby,87,58.54,48,82
24,25,25,Pat Perez,93,58.33,49,84
25,26,26,Ryuji Imada,80,58.25,60,103
26,27,27,Brett Quigley,80,58.24,53,91
27,28,28,Brian Davis,108,58.16,82,141
28,29,29,Mathew Goggin,91,58.1,61,105
29,T30,T30,Charles Howell III,101,58.0,58,100
30,T30,T30,Sean O'Hair,81,58.0,58,100
31,32,32,Heath Slocum,104,57.94,62,107
32,T33,T33,Brian Gay,102,57.86,81,140
33,T33,T33,Kevin Na,97,57.86,81,140
34,35,35,Sergio Garcia,72,57.35,39,68
35,36,36,Ben Crane,86,57.29,55,96
36,T37,T37,Retief Goosen,59,57.14,28,49
37,T37,T37,Jeff Gove,50,57.14,20,35
38,T37,T37,Tom Lehman,51,57.14,32,56
39,40,40,Todd Demsey,80,57.02,65,114
40,41,41,Rich Beem,90,57.0,57,100
41,42,42,Glen Day,64,56.96,45,79
42,43,43,Aaron Baddeley,76,56.94,41,72
43,44,44,Kevin Sutherland,98,56.73,59,104
44,45,45,Charlie Wi,97,56.7,55,97
45,T46,T46,John Huston,56,56.6,30,53
46,T46,T46,Steve Lowery,74,56.6,60,106
47,48,48,Michael Allen,91,56.38,53,94
48,49,49,Rory Sabbatini,77,56.34,40,71
49,50,50,Brenden Pappas,66,56.14,32,57
50,51,51,Jim Furyk,95,55.91,52,93
51,52,52,Nathan Green,95,55.63,79,142
52,53,53,Justin Leonard,101,55.43,51,92
53,54,54,Marco Dawson,64,55.42,46,83
54,55,55,Geoff Ogilvy,65,55.41,41,74
55,56,56,Richard Johnson,60,55.38,36,65
56,57,57,K.J. Choi,74,55.29,47,85
57,T58,T58,Steve Flesch,95,55.17,48,87
58,T58,T58,Matt Kuchar,88,55.17,48,87
59,T58,T58,Kevin Streelman,114,55.17,64,116
60,61,61,Rod Pampling,83,55.1,54,98
61,62,62,Bart Bryant,81,55.0,44,80
62,63,63,Hunter Mahan,87,54.93,39,71
63,64,64,Ian Poulter,51,54.9,28,51
64,65,65,Bob Tway,70,54.84,34,62
65,66,66,Tim Clark,90,54.81,57,104
66,67,67,Joe Ogilvie,100,54.78,63,115
67,68,68,Ted Purdy,68,54.72,29,53
68,69,69,Anthony Kim,81,54.67,41,75
69,70,70,Stephen Ames,83,54.35,50,92
70,71,71,Brett Rumford,72,54.32,44,81
71,72,72,Paul Claxton,63,54.17,39,72
72,73,73,Jerry Kelly,89,54.13,59,109
73,74,74,Parker McLachlin,88,54.05,60,111
74,75,75,J.P. Hayes,67,54.0,54,100
75,76,76,Tim Wilkinson,95,53.72,65,121
76,77,77,Rocco Mediate,87,53.64,59,110
77,78,78,Brad Elder,67,53.52,38,71
78,79,79,Tommy Gainey,60,53.45,31,58
79,80,80,Jon Mills,95,53.19,50,94
80,81,81,Harrison Frazar,73,53.13,34,64
81,82,82,Chad Collins,72,53.01,44,83
82,83,83,Jason Allred,63,52.94,36,68
83,84,84,Cameron Beckman,87,52.83,56,106
84,85,85,Matt Jones,95,52.59,61,116
85,86,86,Carlos Franco,73,52.5,42,80
86,87,87,Robert Gamez,79,52.44,43,82
87,88,88,Jim McGovern,75,52.38,44,84
88,89,89,Jonathan Byrd,88,52.29,57,109
89,90,90,Nick O'Hern,82,52.22,47,90
90,91,91,John Mallinger,95,52.21,71,136
91,92,92,Stewart Cink,87,52.05,38,73
92,93,93,Eric Axley,113,52.0,65,125
93,94,94,Tim Petrovic,97,51.91,68,131
94,T95,T95,Charley Hoffman,94,51.85,56,108
95,T95,T95,J.B. Holmes,86,51.85,42,81
96,97,97,Ken Duke,116,51.68,77,149
97,T98,T98,Olin Browne,77,51.61,48,93
98,T98,T98,Jeff Maggert,86,51.61,48,93
99,100,100,Cliff Kresge,84,51.55,50,97
100,101,101,Michael Letzig,88,51.52,51,99
