,Proximity_to_Hole_from_Fringe_RANK THIS WEEK,Proximity_to_Hole_from_Fringe_RANK LAST WEEK,Proximity_to_Hole_from_Fringe_PLAYER NAME,Proximity_to_Hole_from_Fringe_ROUNDS,Proximity_to_Hole_from_Fringe_AVG DTP,Proximity_to_Hole_from_Fringe_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Fringe_# OF SHOTS,Proximity_to_Hole_from_Fringe_SCRAMBLING RANK
0,1,1,Sergio Garcia,72,"2' 2""",87.917,41,89
1,T2,T2,John Mallinger,95,"2' 5""",231.25,95,61
2,T2,T2,Adam Scott,51,"2' 5""",90.167,37,173
3,T4,T4,Olin Browne,77,"2' 6""",196.583,78,113
4,T4,T4,Stewart Cink,87,"2' 6""",160.833,65,142
5,T4,T4,Chris DiMarco,87,"2' 6""",197.667,78,114
6,T7,T7,Gavin Coles,54,"2' 7""",125.5,48,9
7,T7,T7,Ben Curtis,80,"2' 7""",180.75,71,46
8,T7,T7,Padraig Harrington,52,"2' 7""",121.5,47,21
9,T10,T10,Retief Goosen,59,"2' 8""",143.417,53,76
10,T10,T10,Ryuji Imada,80,"2' 8""",177.5,67,34
11,T10,T10,Brandt Jobe,52,"2' 8""",118.333,44,172
12,T10,T10,Richard Johnson,77,"2' 8""",183.833,68,67
13,T10,T10,Ryan Moore,72,"2' 8""",232.167,86,48
14,T10,T10,Nick O'Hern,82,"2' 8""",223.0,83,22
15,T10,T10,Patrick Sheehan,124,"2' 8""",256.25,97,39
16,T10,T10,Steve Stricker,75,"2' 8""",123.167,46,12
17,T18,T18,Jonathan Byrd,88,"2' 9""",234.417,85,72
18,T18,T18,Glen Day,64,"2' 9""",160.917,58,6
19,T18,T18,Tom Pernice Jr.,104,"2' 9""",323.16700000000003,117,11
20,T18,T18,Vijay Singh,82,"2' 9""",227.667,82,51
21,T22,T22,Stephen Ames,83,"2' 10""",162.5,58,57
22,T22,T22,Eric Axley,113,"2' 10""",306.91700000000003,107,40
23,T22,T22,Ernie Els,51,"2' 10""",106.583,38,112
24,T22,T22,Bob Estes,90,"2' 10""",222.417,78,33
25,T22,T22,Lee Janzen,89,"2' 10""",203.0,72,91
26,T22,T22,Greg Kraft,63,"2' 10""",190.583,67,64
27,T22,T22,Rocco Mediate,87,"2' 10""",207.75,73,109
28,T29,T29,Shane Bertsch,96,"2' 11""",298.58299999999997,103,18
29,T29,T29,Chad Collins,72,"2' 11""",169.833,59,88
30,T29,T29,Tommy Gainey,60,"2' 11""",113.917,39,197
31,T29,T29,Steve Lowery,74,"2' 11""",208.417,71,141
32,T29,T29,George McNeill,97,"2' 11""",222.5,76,191
33,T29,T29,Jin Park,85,"2' 11""",223.167,76,128
34,T35,T35,Ryan Armour,87,"3' 0""",260.83299999999997,87,194
35,T35,T35,Alejandro Cañizares,52,"3' 0""",121.5,41,111
36,T35,T35,James Driscoll,85,"3' 0""",234.333,79,155
37,T35,T35,Harrison Frazar,73,"3' 0""",197.333,65,175
38,T35,T35,Paul Goydos,78,"3' 0""",188.75,63,74
39,T35,T35,Mark Hensby,71,"3' 0""",189.083,63,185
40,T35,T35,John Huston,56,"3' 0""",130.833,44,79
41,T35,T35,Corey Pavin,69,"3' 0""",213.75,72,3
42,T35,T35,Ted Purdy,68,"3' 0""",215.583,71,123
43,T35,T35,Brandt Snedeker,85,"3' 0""",148.167,49,100
44,T35,T35,Nicholas Thompson,113,"3' 0""",343.333,116,85
45,T35,T35,D.J. Trahan,94,"3' 0""",275.41700000000003,91,139
46,T35,T35,Mike Weir,88,"3' 0""",257.5,85,7
47,T35,T35,Charlie Wi,97,"3' 0""",281.08299999999997,93,4
48,T49,T49,Todd Demsey,80,"3' 1""",242.833,78,65
49,T49,T49,Brian Gay,102,"3' 1""",263.5,86,1
50,T49,T49,Nathan Green,95,"3' 1""",291.83299999999997,95,32
51,T49,T49,Anthony Kim,81,"3' 1""",214.083,70,45
52,T49,T49,Matt Kuchar,88,"3' 1""",251.667,82,14
53,T49,T49,Scott McCarron,63,"3' 1""",189.5,61,59
54,T49,T49,Kevin Na,97,"3' 1""",312.33299999999997,100,13
55,T49,T49,Kenny Perry,97,"3' 1""",295.5,95,90
56,T49,T49,Carl Pettersson,110,"3' 1""",289.91700000000003,95,49
57,T49,T49,Chez Reavie,102,"3' 1""",311.66700000000003,101,52
58,T49,T49,Heath Slocum,104,"3' 1""",302.33299999999997,97,75
59,T49,T49,Bob Sowards,61,"3' 1""",215.0,70,150
60,T49,T49,Kevin Streelman,114,"3' 1""",329.167,108,56
61,T49,T49,Vaughn Taylor,103,"3' 1""",295.33299999999997,95,92
62,T49,T49,Kyle Thompson,70,"3' 1""",226.167,73,183
63,T49,T49,Johnson Wagner,83,"3' 1""",248.833,81,103
64,T49,T49,Nick Watney,96,"3' 1""",335.0,108,101
65,T66,T66,Steve Allan,58,"3' 2""",126.083,40,175
66,T66,T66,Michael Allen,91,"3' 2""",249.833,78,110
67,T66,T66,Aaron Baddeley,76,"3' 2""",257.58299999999997,81,60
68,T66,T66,Bart Bryant,81,"3' 2""",252.25,80,47
69,T66,T66,Mark Calcavecchia,67,"3' 2""",191.75,60,161
70,T66,T66,Tim Clark,90,"3' 2""",271.5,85,65
71,T66,T66,Steve Flesch,95,"3' 2""",284.41700000000003,90,44
72,T66,T66,Carlos Franco,73,"3' 2""",221.583,70,153
73,T66,T66,Kent Jones,68,"3' 2""",131.75,42,105
74,T66,T66,Matt Jones,95,"3' 2""",301.66700000000003,96,62
75,T66,T66,Frank Lickliter II,107,"3' 2""",326.16700000000003,102,87
76,T66,T66,Tim Petrovic,97,"3' 2""",281.25,89,53
77,T66,T66,Jeff Quinney,87,"3' 2""",241.75,76,70
78,T66,T66,John Senden,93,"3' 2""",222.75,71,156
79,T66,T66,Kevin Sutherland,98,"3' 2""",315.16700000000003,99,25
80,T66,T66,Jimmy Walker,73,"3' 2""",174.5,55,134
81,T66,T66,Ron Whittaker,54,"3' 2""",176.333,55,164
82,T83,T83,Jason Allred,63,"3' 3""",223.083,68,127
83,T83,T83,Woody Austin,109,"3' 3""",271.16700000000003,83,147
84,T83,T83,Ángel Cabrera,55,"3' 3""",142.25,44,180
85,T83,T83,Ben Crane,86,"3' 3""",261.91700000000003,81,16
86,T83,T83,Ken Duke,116,"3' 3""",337.167,104,82
87,T83,T83,Robert Gamez,79,"3' 3""",235.917,73,162
88,T83,T83,Jeff Gove,50,"3' 3""",171.25,53,80
89,T83,T83,Bill Haas,99,"3' 3""",269.08299999999997,82,148
90,T83,T83,Tim Herron,97,"3' 3""",363.583,113,10
91,T83,T83,Charley Hoffman,94,"3' 3""",309.41700000000003,96,93
92,T83,T83,Dustin Johnson,92,"3' 3""",310.83299999999997,96,192
93,T83,T83,Craig Kanada,65,"3' 3""",185.667,57,24
94,T83,T83,Cliff Kresge,84,"3' 3""",239.583,74,166
95,T83,T83,Michael Letzig,88,"3' 3""",283.5,88,108
96,T83,T83,Hunter Mahan,87,"3' 3""",216.667,67,170
97,T83,T83,Geoff Ogilvy,65,"3' 3""",180.167,56,38
98,T83,T83,Jesper Parnevik,88,"3' 3""",239.833,74,23
99,T83,T83,Tag Ridings,88,"3' 3""",312.58299999999997,97,118
100,T83,T83,Bubba Watson,97,"3' 3""",309.66700000000003,95,156
101,T83,T83,Jay Williamson,96,"3' 3""",302.25,94,159
102,T83,T83,Dean Wilson,109,"3' 3""",308.75,95,97
103,T104,T104,Justin Bolli,87,"3' 4""",221.75,67,182
104,T104,T104,Daniel Chopra,84,"3' 4""",256.58299999999997,77,95
105,T104,T104,Marco Dawson,64,"3' 4""",184.833,56,144
106,T104,T104,Steve Elkington,84,"3' 4""",235.167,70,78
107,T104,T104,Mathias Grönberg,87,"3' 4""",317.25,96,121
108,T104,T104,Trevor Immelman,70,"3' 4""",160.0,48,181
109,T104,T104,John Merrick,98,"3' 4""",272.66700000000003,82,160
110,T104,T104,Jeff Overton,103,"3' 4""",349.833,105,125
111,T104,T104,Pat Perez,93,"3' 4""",310.0,93,124
112,T104,T104,Travis Perkins,53,"3' 4""",144.833,44,193
113,T104,T104,Marc Turnesa,87,"3' 4""",289.16700000000003,87,41
114,T104,T104,Bob Tway,70,"3' 4""",249.333,75,27
115,T104,T104,Scott Verplank,82,"3' 4""",226.167,68,83
116,T117,T117,Robert Allenby,108,"3' 5""",284.41700000000003,83,149
117,T117,T117,Fred Couples,60,"3' 5""",218.917,64,71
118,T117,T117,Brad Elder,67,"3' 5""",199.333,58,37
119,T117,T117,Charles Howell III,101,"3' 5""",225.0,66,116
120,T117,T117,Tom Lehman,51,"3' 5""",176.583,52,101
121,T117,T117,Will MacKenzie,62,"3' 5""",227.75,67,130
122,T117,T117,Steve Marino,119,"3' 5""",357.417,104,55
123,T117,T117,Jim McGovern,75,"3' 5""",213.917,63,167
124,T117,T117,Parker McLachlin,88,"3' 5""",257.41700000000003,76,42
125,T117,T117,Phil Mickelson,80,"3' 5""",206.583,60,26
126,T117,T117,Jon Mills,95,"3' 5""",283.33299999999997,82,154
127,T117,T117,John Riegger,73,"3' 5""",241.083,70,58
128,T117,T117,Kevin Stadler,90,"3' 5""",299.16700000000003,87,186
129,T117,T117,Scott Sterling,89,"3' 5""",256.5,76,19
130,T117,T117,Omar Uresti,74,"3' 5""",234.333,68,8
131,T132,T132,Brad Adamonis,87,"3' 6""",241.917,69,131
132,T132,T132,Briny Baird,113,"3' 6""",335.667,95,5
133,T132,T132,Lucas Glover,91,"3' 6""",325.33299999999997,92,115
134,T132,T132,Peter Lonard,92,"3' 6""",272.75,78,107
135,T132,T132,Davis Love III,78,"3' 6""",265.41700000000003,75,145
136,T132,T132,Shigeki Maruyama,50,"3' 6""",162.5,46,14
137,T132,T132,John Rollins,94,"3' 6""",341.583,97,43
138,T132,T132,Andres Romero,69,"3' 6""",160.917,46,85
139,T132,T132,Tim Wilkinson,95,"3' 6""",287.41700000000003,82,28
140,T141,T141,Billy Andrade,71,"3' 7""",243.25,68,163
141,T141,T141,Stuart Appleby,87,"3' 7""",284.16700000000003,79,30
142,T141,T141,Tommy Armour III,77,"3' 7""",196.0,55,132
143,T141,T141,David Duval,51,"3' 7""",106.25,30,195
144,T141,T141,Robert Garrigus,90,"3' 7""",343.5,95,190
145,T141,T141,Mathew Goggin,91,"3' 7""",321.58299999999997,90,77
146,T141,T141,Troy Matteson,94,"3' 7""",350.083,98,173
