,Scrambling__30_yds_RTP_Score_RANK THIS WEEK,Scrambling__30_yds_RTP_Score_RANK LAST WEEK,Scrambling__30_yds_RTP_Score_PLAYER NAME,Scrambling__30_yds_RTP_Score_ROUNDS,Scrambling__30_yds_RTP_Score_AVG RTP,Scrambling__30_yds_RTP_Score_TOTAL HOLES,Scrambling__30_yds_RTP_Score_TOTAL RTP
106,T106,T106,Todd Hamilton,92,0.88,83,73.0
107,108,108,Heath Slocum,104,0.8809999999999999,59,52.0
108,109,109,Rich Beem,90,0.882,85,75.0
109,110,110,Pat Perez,93,0.884,86,76.0
110,111,111,J.B. Holmes,86,0.885,87,77.0
111,112,112,Rocco Mediate,87,0.8859999999999999,70,62.0
112,113,113,Billy Andrade,71,0.887,71,63.0
113,114,114,Jesper Parnevik,88,0.889,99,88.0
114,T115,T115,Jeff Gove,50,0.8909999999999999,46,41.0
115,T115,T115,Jin Park,85,0.8909999999999999,101,90.0
116,117,117,Jay Williamson,96,0.892,74,66.0
117,118,118,Geoff Ogilvy,65,0.8959999999999999,48,43.0
118,T119,T119,Ted Purdy,68,0.897,78,70.0
119,T119,T119,Jimmy Walker,73,0.897,78,70.0
120,121,121,Patrick Sheehan,124,0.9,120,108.0
121,T122,T122,Stewart Cink,87,0.902,82,74.0
122,T122,T122,Brandt Jobe,52,0.902,51,46.0
123,124,124,Lee Janzen,89,0.903,113,102.0
124,125,125,Richard Johnson,60,0.905,42,38.0
125,126,126,Zach Johnson,85,0.912,57,52.0
126,127,127,Trevor Immelman,70,0.9129999999999999,80,73.0
127,T128,T128,Doug LaBelle II,65,0.915,59,54.0
128,T128,T128,Jim McGovern,75,0.915,82,75.0
129,T128,T128,Brenden Pappas,66,0.915,71,65.0
130,131,131,Martin Laird,98,0.917,96,88.0
131,132,132,Daniel Chopra,84,0.919,99,91.0
132,T133,T133,Jeff Maggert,86,0.92,88,81.0
133,T133,T133,Chez Reavie,102,0.92,87,80.0
134,135,135,Cliff Kresge,84,0.922,90,83.0
135,136,136,Joe Durant,92,0.924,66,61.0
136,137,137,Lucas Glover,91,0.925,80,74.0
137,T138,T138,Rod Pampling,83,0.9309999999999999,87,81.0
138,T138,T138,Kevin Streelman,114,0.9309999999999999,87,81.0
139,T140,T140,Tommy Armour III,77,0.938,81,76.0
140,T140,T140,Gavin Coles,54,0.938,32,30.0
141,T140,T140,Matt Kuchar,88,0.938,64,60.0
142,143,143,Ryan Moore,72,0.9390000000000001,66,62.0
143,144,144,Kent Jones,68,0.94,50,47.0
144,145,145,Kenneth Ferrie,72,0.9420000000000001,69,65.0
