,Proximity_to_Hole_ARG_RANK THIS WEEK,Proximity_to_Hole_ARG_RANK LAST WEEK,Proximity_to_Hole_ARG_PLAYER NAME,Proximity_to_Hole_ARG_ROUNDS,Proximity_to_Hole_ARG_AVG DTP,Proximity_to_Hole_ARG_TOTAL DISTANCE (FEET),Proximity_to_Hole_ARG_# OF SHOTS,Proximity_to_Hole_ARG_SCRAMBLING RANK
0,T1,T1,Retief Goosen,59,"5' 10""",1773.1670000000001,305,76
1,T1,T1,Padraig Harrington,52,"5' 10""",1471.4170000000001,253,21
2,3,3,Vijay Singh,82,"5' 11""",2501.5,423,51
3,4,4,Mike Weir,88,"6' 2""",2788.0,455,7
4,5,5,Brian Gay,102,"6' 4""",3524.0,555,1
5,T6,T6,Marco Dawson,64,"6' 5""",2508.917,389,144
6,T6,T6,Trevor Immelman,70,"6' 5""",2206.583,344,181
7,T6,T6,Kevin Na,97,"6' 5""",4322.75,675,13
8,T6,T6,Adam Scott,51,"6' 5""",1606.1670000000001,251,173
9,10,10,Jeff Gove,50,"6' 6""",1729.8329999999999,266,80
10,T11,T11,K.J. Choi,74,"6' 7""",2408.75,364,95
11,T11,T11,Justin Leonard,101,"6' 7""",2809.667,429,34
12,T11,T11,Steve Stricker,75,"6' 7""",2533.167,384,12
13,T11,T11,Scott Verplank,82,"6' 7""",2808.25,426,83
14,T15,T15,Briny Baird,113,"6' 8""",3881.0,580,5
15,T15,T15,Ben Curtis,80,"6' 8""",2913.167,435,46
16,T15,T15,Steve Flesch,95,"6' 8""",3525.5,526,44
17,T15,T15,Matt Kuchar,88,"6' 8""",3105.25,464,14
18,T15,T15,Phil Mickelson,80,"6' 8""",2801.5,422,26
19,T15,T15,Omar Uresti,74,"6' 8""",2833.75,424,8
20,T21,T21,Bart Bryant,81,"6' 9""",2925.667,436,47
21,T21,T21,Jonathan Byrd,88,"6' 9""",3751.333,557,72
22,T21,T21,Ernie Els,51,"6' 9""",1692.5,251,112
23,T21,T21,Ryuji Imada,80,"6' 9""",3291.417,486,34
24,T21,T21,Lee Janzen,89,"6' 9""",3270.5,483,91
25,T21,T21,Craig Kanada,65,"6' 9""",2568.333,381,24
26,T21,T21,John Mallinger,95,"6' 9""",4206.75,623,61
27,T21,T21,Corey Pavin,69,"6' 9""",2687.083,398,3
28,T21,T21,Brett Rumford,72,"6' 9""",3023.75,446,151
29,T21,T21,David Toms,70,"6' 9""",2547.333,376,187
30,T21,T21,Tim Wilkinson,95,"6' 9""",3732.667,554,28
31,T32,T32,Brian Davis,108,"6' 10""",4877.083,710,17
32,T32,T32,Doug LaBelle II,65,"6' 10""",2175.583,318,68
33,T32,T32,Tom Pernice Jr.,104,"6' 10""",4483.75,658,11
34,T32,T32,Camilo Villegas,79,"6' 10""",2999.667,437,171
35,T36,T36,Gavin Coles,54,"6' 11""",1833.1670000000001,266,9
36,T36,T36,Glen Day,64,"6' 11""",2601.083,377,6
37,T36,T36,Sergio Garcia,72,"6' 11""",2609.167,378,89
38,T36,T36,Shigeki Maruyama,50,"6' 11""",2195.667,318,14
39,T36,T36,Nick O'Hern,82,"6' 11""",3123.917,454,22
40,T36,T36,Brenden Pappas,66,"6' 11""",2733.917,397,50
41,T36,T36,Ian Poulter,51,"6' 11""",1807.5,262,120
42,T36,T36,Kevin Sutherland,98,"6' 11""",3943.75,571,25
43,T36,T36,Bob Tway,70,"6' 11""",2573.333,372,27
44,T36,T36,Charlie Wi,97,"6' 11""",3950.083,572,4
45,T46,T46,Stephen Ames,83,"7' 0""",2834.75,406,57
46,T46,T46,Tim Clark,90,"7' 0""",3325.417,476,65
47,T46,T46,Jerry Kelly,89,"7' 0""",3449.5,492,83
48,T46,T46,Geoff Ogilvy,65,"7' 0""",2344.917,335,38
49,T46,T46,Chris Riley,51,"7' 0""",2080.833,298,2
50,T46,T46,Heath Slocum,104,"7' 0""",3609.5,517,75
51,T52,T52,Mark Calcavecchia,67,"7' 1""",2556.833,362,161
52,T52,T52,Robert Gamez,79,"7' 1""",3276.417,461,162
53,T52,T52,Tim Herron,97,"7' 1""",4533.583,637,10
54,T52,T52,Charley Hoffman,94,"7' 1""",4285.917,603,93
55,T52,T52,Stephen Leaney,53,"7' 1""",2071.167,292,53
56,T52,T52,Michael Letzig,88,"7' 1""",3781.833,537,108
57,T52,T52,Pat Perez,93,"7' 1""",3672.833,520,124
58,T52,T52,Brandt Snedeker,85,"7' 1""",3277.417,460,100
59,T52,T52,Dean Wilson,109,"7' 1""",4113.083,580,97
60,T61,T61,Tommy Armour III,77,"7' 2""",2842.25,397,132
61,T61,T61,Shane Bertsch,96,"7' 2""",4359.917,608,18
62,T61,T61,Carlos Franco,73,"7' 2""",3071.917,428,153
63,T61,T61,Jim Furyk,95,"7' 2""",3408.667,476,29
64,T61,T61,Nathan Green,95,"7' 2""",5170.167,725,32
65,T61,T61,J.B. Holmes,86,"7' 2""",3708.417,515,152
66,T61,T61,Freddie Jacobson,78,"7' 2""",3166.25,444,81
67,T61,T61,Davis Love III,78,"7' 2""",3290.667,460,145
68,T61,T61,Sean O'Hair,81,"7' 2""",3356.0,467,134
69,T61,T61,Tim Petrovic,97,"7' 2""",4194.917,588,53
70,T61,T61,Nick Watney,96,"7' 2""",4318.417,602,101
71,T72,T72,Stuart Appleby,87,"7' 3""",3433.833,471,30
72,T72,T72,Daniel Chopra,84,"7' 3""",3986.0,547,95
73,T72,T72,Chad Collins,72,"7' 3""",3362.75,465,88
74,T72,T72,Fred Couples,60,"7' 3""",2552.583,353,71
75,T72,T72,Todd Demsey,80,"7' 3""",3805.083,523,65
76,T72,T72,Ken Duke,116,"7' 3""",5285.1669999999995,726,82
77,T72,T72,Paul Goydos,78,"7' 3""",3299.333,456,74
78,T72,T72,Bill Haas,99,"7' 3""",4472.583,615,148
79,T72,T72,John Huston,56,"7' 3""",2140.25,296,79
80,T72,T72,Anthony Kim,81,"7' 3""",3266.667,452,45
81,T72,T72,Peter Lonard,92,"7' 3""",3936.667,544,107
82,T72,T72,Parker McLachlin,88,"7' 3""",4088.583,565,42
83,T72,T72,Rocco Mediate,87,"7' 3""",3558.417,490,109
84,T72,T72,Carl Pettersson,110,"7' 3""",4917.167,675,49
85,T72,T72,Rory Sabbatini,77,"7' 3""",2904.333,399,122
86,T72,T72,Ron Whittaker,54,"7' 3""",1802.1670000000001,250,164
87,T72,T72,Mark Wilson,107,"7' 3""",4838.083,665,31
88,T89,T89,Eric Axley,113,"7' 4""",5068.917,688,40
89,T89,T89,Alex Cejka,75,"7' 4""",3090.667,421,140
90,T89,T89,Stewart Cink,87,"7' 4""",3042.333,417,142
91,T89,T89,James Driscoll,85,"7' 4""",4077.167,554,155
92,T89,T89,David Lutterus,59,"7' 4""",2577.333,350,184
93,T89,T89,Will MacKenzie,62,"7' 4""",2879.167,393,130
94,T89,T89,Jon Mills,95,"7' 4""",3950.25,537,154
95,T89,T89,Tom Scherrer,56,"7' 4""",2189.083,299,126
96,T89,T89,John Senden,93,"7' 4""",3689.083,501,156
97,T98,T98,Michael Allen,91,"7' 5""",3741.833,504,110
98,T98,T98,Jason Allred,63,"7' 5""",2904.75,390,127
99,T98,T98,Aaron Baddeley,76,"7' 5""",3466.333,468,60
100,T98,T98,Cameron Beckman,87,"7' 5""",3601.917,486,69
101,T98,T98,Rich Beem,90,"7' 5""",3923.25,529,169
102,T98,T98,Chad Campbell,94,"7' 5""",3766.5,509,158
103,T98,T98,Alejandro Cañizares,52,"7' 5""",2252.25,304,111
104,T98,T98,Chris DiMarco,87,"7' 5""",3836.25,519,114
105,T98,T98,Lucas Glover,91,"7' 5""",4177.583,563,115
106,T98,T98,Jesper Parnevik,88,"7' 5""",4320.25,584,23
107,T98,T98,Jeff Quinney,87,"7' 5""",3578.5,485,70
108,T98,T98,Chez Reavie,102,"7' 5""",4307.333,579,52
109,T98,T98,Patrick Sheehan,124,"7' 5""",5322.1669999999995,715,39
110,T98,T98,D.J. Trahan,94,"7' 5""",4145.333,558,139
111,T98,T98,Jay Williamson,96,"7' 5""",3714.667,501,159
112,T113,T113,Ben Crane,86,"7' 6""",3712.167,493,16
113,T113,T113,Dudley Hart,74,"7' 6""",3336.417,444,20
114,T113,T113,Mark Hensby,71,"7' 6""",3370.417,447,185
115,T113,T113,Charles Howell III,101,"7' 6""",4413.75,591,116
116,T113,T113,Richard Johnson,77,"7' 6""",4291.083,571,67
117,T113,T113,Kent Jones,68,"7' 6""",2581.083,346,105
118,T113,T113,Jim McGovern,75,"7' 6""",2967.75,397,167
119,T113,T113,George McNeill,97,"7' 6""",4341.583,578,191
120,T113,T113,John Merrick,98,"7' 6""",3841.583,510,160
121,T113,T113,Rod Pampling,83,"7' 6""",3687.0,494,129
122,T113,T113,Ted Purdy,68,"7' 6""",3019.167,402,123
123,T113,T113,Brett Quigley,80,"7' 6""",3829.25,508,97
124,T113,T113,Andres Romero,69,"7' 6""",2951.0,395,85
125,T113,T113,Vaughn Taylor,103,"7' 6""",4588.333,614,92
126,T113,T113,Nicholas Thompson,113,"7' 6""",5603.0830000000005,743,85
127,T113,T113,Bo Van Pelt,101,"7' 6""",4679.417,626,118
128,T129,T129,Olin Browne,77,"7' 7""",3432.833,455,113
129,T129,T129,Brad Elder,67,"7' 7""",2808.417,370,37
130,T129,T129,Mathew Goggin,91,"7' 7""",4251.583,562,77
131,T129,T129,Matt Jones,95,"7' 7""",4938.0,653,62
132,T129,T129,Greg Kraft,63,"7' 7""",2804.583,371,64
133,T129,T129,Billy Mayfair,103,"7' 7""",4641.583,611,34
134,T129,T129,Scott McCarron,63,"7' 7""",2879.667,379,59
135,T129,T129,John Riegger,73,"7' 7""",3058.417,403,58
136,T129,T129,Scott Sterling,89,"7' 7""",3374.167,447,19
137,T129,T129,Marc Turnesa,87,"7' 7""",4143.25,548,41
138,T129,T129,Bubba Watson,97,"7' 7""",4245.167,559,156
139,T129,T129,Y.E. Yang,89,"7' 7""",4209.583,555,137
140,T141,T141,Bob Estes,90,"7' 8""",4189.0,544,33
141,T141,T141,Cody Freeman,66,"7' 8""",3129.333,406,177
142,T141,T141,Zach Johnson,85,"7' 8""",3284.25,430,103
143,T141,T141,Cliff Kresge,84,"7' 8""",3795.833,495,166
144,T141,T141,Kenny Perry,97,"7' 8""",4712.333,616,90
145,T141,T141,Johnson Wagner,83,"7' 8""",3882.25,507,103
146,T147,T147,Woody Austin,109,"7' 9""",4517.417,585,147
147,T147,T147,Harrison Frazar,73,"7' 9""",3117.25,402,175
148,T147,T147,Mathias Grönberg,87,"7' 9""",4596.0,596,121
149,T147,T147,Martin Laird,98,"7' 9""",4519.75,584,117
150,T147,T147,Frank Lickliter II,107,"7' 9""",5494.4169999999995,711,87
151,T147,T147,Joe Ogilvie,100,"7' 9""",4961.083,640,62
152,T147,T147,Jin Park,85,"7' 9""",3639.167,469,128
153,T147,T147,Chris Stroud,81,"7' 9""",3246.0,419,165
154,T155,T155,Brad Adamonis,87,"7' 10""",4184.333,533,131
155,T155,T155,Billy Andrade,71,"7' 10""",3400.083,435,163
156,T155,T155,David Duval,51,"7' 10""",2284.5,291,195
157,T155,T155,Nick Flanagan,89,"7' 10""",4608.0,588,179
158,T155,T155,J.P. Hayes,67,"7' 10""",3691.667,470,73
159,T155,T155,Tom Lehman,51,"7' 10""",2107.333,269,101
160,T155,T155,Steve Lowery,74,"7' 10""",4050.917,518,141
161,T155,T155,Steve Marino,119,"7' 10""",5280.6669999999995,671,55
162,T163,T163,Robert Allenby,108,"7' 11""",4232.333,534,149
163,T163,T163,Justin Bolli,87,"7' 11""",3607.083,458,182
164,T163,T163,Dustin Johnson,92,"7' 11""",4862.5,614,192
165,T166,T166,Paul Claxton,63,"8' 0""",2692.917,336,178
166,T166,T166,Jason Day,81,"8' 0""",4630.667,579,94
167,T166,T166,Todd Hamilton,92,"8' 0""",4018.417,503,168
168,T166,T166,Ryan Moore,72,"8' 0""",4083.583,509,48
169,T166,T166,Jeff Overton,103,"8' 0""",5312.3330000000005,662,125
170,T166,T166,Travis Perkins,53,"8' 0""",2361.917,295,193
171,T166,T166,John Rollins,94,"8' 0""",4572.333,574,43
172,T166,T166,Kevin Streelman,114,"8' 0""",5400.6669999999995,672,56
173,T166,T166,Kyle Thompson,70,"8' 0""",3260.25,408,183
174,T166,T166,Jimmy Walker,73,"8' 0""",3686.917,459,134
175,T176,T176,Ángel Cabrera,55,"8' 1""",2296.75,285,180
176,T176,T176,Robert Garrigus,90,"8' 1""",5012.0,620,190
177,T176,T176,Jason Gore,94,"8' 1""",4783.5,591,136
178,T176,T176,J.J. Henry,108,"8' 1""",4847.25,600,143
179,T176,T176,Brandt Jobe,52,"8' 1""",2456.0,303,172
180,T176,T176,Richard Johnson,60,"8' 1""",2572.083,317,97
181,T176,T176,Troy Matteson,94,"8' 1""",4902.333,606,173
182,T176,T176,Bob Sowards,61,"8' 1""",3067.167,380,150
183,T176,T176,Kevin Stadler,90,"8' 1""",4217.0,523,186
184,T176,T176,Boo Weekley,86,"8' 1""",3300.75,408,106
185,T186,T186,Jeff Maggert,86,"8' 2""",4356.25,532,133
186,T186,T186,Ryan Palmer,69,"8' 2""",3309.5,405,138
187,T188,T188,Ryan Armour,87,"8' 3""",4120.833,502,194
188,T188,T188,Steve Elkington,84,"8' 3""",3892.083,474,78
189,T188,T188,Kenneth Ferrie,72,"8' 3""",3598.5,438,145
190,191,191,Tag Ridings,88,"8' 4""",5121.417,612,118
191,192,192,Charles Warren,79,"8' 5""",4433.25,526,196
192,T193,T193,Steve Allan,58,"8' 6""",2823.083,331,175
193,T193,T193,Paul Casey,55,"8' 6""",2014.6670000000001,238,188
194,T193,T193,Tommy Gainey,60,"8' 6""",2610.417,307,197
195,196,196,Joe Durant,92,"8' 10""",4204.0,475,189
196,197,197,Hunter Mahan,87,"9' 0""",3884.25,433,170
