,Sand_Saves_from_10-20_yards_RANK THIS WEEK,Sand_Saves_from_10-20_yards_RANK LAST WEEK,Sand_Saves_from_10-20_yards_PLAYER NAME,Sand_Saves_from_10-20_yards_ROUNDS,Sand_Saves_from_10-20_yards_%,Sand_Saves_from_10-20_yards_# OF SAVES,Sand_Saves_from_10-20_yards_# OF BUNKERS
0,1,1,Chris Riley,51,73.91,17,23
1,2,2,Corey Pavin,69,69.39,34,49
2,3,3,Kevin Sutherland,98,68.66,46,67
3,4,4,Ernie Els,51,68.29,28,41
4,T5,T5,Phil Mickelson,80,67.86,38,56
5,T5,T5,Adam Scott,51,67.86,19,28
6,7,7,Mike Weir,88,67.69,44,65
7,8,8,Mark Wilson,107,67.42,60,89
8,9,9,Freddie Jacobson,78,67.21,41,61
9,10,10,Dudley Hart,74,67.16,45,67
10,11,11,Richard Johnson,77,67.09,53,79
11,12,12,Padraig Harrington,52,65.63,21,32
12,13,13,Scott Verplank,82,65.31,32,49
13,14,14,Tim Clark,90,65.28,47,72
14,15,15,Gavin Coles,54,65.12,28,43
15,16,16,Robert Gamez,79,64.91,37,57
16,17,17,Brian Gay,102,64.37,56,87
17,18,18,Brian Davis,108,64.2,52,81
18,19,19,Brett Quigley,80,64.18,43,67
19,T20,T20,Rich Beem,90,64.0,48,75
20,T20,T20,Daniel Chopra,84,64.0,48,75
21,22,22,Jin Park,85,63.46,33,52
22,23,23,Pat Perez,93,63.24,43,68
23,24,24,Brett Rumford,72,63.16,36,57
24,25,25,Ryuji Imada,80,62.9,39,62
25,26,26,J.P. Hayes,67,62.3,38,61
26,27,27,Brenden Pappas,66,62.26,33,53
27,28,28,Mathew Goggin,91,61.84,47,76
28,29,29,Jim McGovern,75,61.7,29,47
29,30,30,Rod Pampling,83,61.67,37,60
30,T31,T31,Justin Leonard,101,61.54,32,52
31,T31,T31,Ted Purdy,68,61.54,24,39
32,33,33,Charles Howell III,101,61.25,49,80
33,34,34,Paul Casey,55,61.11,11,18
34,35,35,Omar Uresti,74,61.02,36,59
35,T36,T36,Marco Dawson,64,60.71,34,56
36,T36,T36,Carlos Franco,73,60.71,34,56
37,38,38,Matt Jones,95,60.56,43,71
38,39,39,K.J. Choi,74,60.38,32,53
39,40,40,Kevin Na,97,60.19,62,103
40,T41,T41,Steve Flesch,95,60.0,30,50
41,T41,T41,Carl Pettersson,110,60.0,54,90
42,T41,T41,Tim Wilkinson,95,60.0,45,75
43,44,44,Parker McLachlin,88,59.7,40,67
44,45,45,Paul Claxton,63,59.57,28,47
45,46,46,Billy Mayfair,103,59.49,47,79
46,47,47,Rory Sabbatini,77,59.26,32,54
47,48,48,Doug LaBelle II,65,59.18,29,49
48,49,49,Heath Slocum,104,58.82,40,68
49,50,50,Todd Demsey,80,58.67,44,75
50,51,51,Geoff Ogilvy,65,58.49,31,53
51,52,52,Kevin Streelman,114,58.23,46,79
52,53,53,Glen Day,64,57.45,27,47
53,54,54,Mark Hensby,71,57.41,31,54
54,55,55,Vaughn Taylor,103,57.33,43,75
55,T56,T56,Chez Reavie,102,57.14,40,70
56,T56,T56,Nicholas Thompson,113,57.14,60,105
57,T58,T58,Michael Allen,91,56.92,37,65
58,T58,T58,Ben Curtis,80,56.92,37,65
59,60,60,Stewart Cink,87,56.9,33,58
60,61,61,Craig Kanada,65,56.82,25,44
61,62,62,Tom Scherrer,56,56.67,17,30
62,T63,T63,Eric Axley,113,56.63,47,83
63,T63,T63,Tim Petrovic,97,56.63,47,83
64,65,65,Joe Ogilvie,100,56.58,43,76
65,66,66,Zach Johnson,85,56.52,26,46
66,67,67,Shigeki Maruyama,50,56.41,22,39
67,T68,T68,Jonathan Byrd,88,56.25,45,80
68,T68,T68,Sergio Garcia,72,56.25,36,64
69,70,70,Stephen Ames,83,56.14,32,57
70,T71,T71,Jeff Gove,50,56.0,14,25
71,T71,T71,Hunter Mahan,87,56.0,28,50
