,Proximity_to_Hole_from_30_yards_RANK THIS WEEK,Proximity_to_Hole_from_30_yards_RANK LAST WEEK,Proximity_to_Hole_from_30_yards_PLAYER NAME,Proximity_to_Hole_from_30_yards_ROUNDS,Proximity_to_Hole_from_30_yards_AVG DTP,Proximity_to_Hole_from_30_yards_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_30_yards_# OF SHOTS,Proximity_to_Hole_from_30_yards_SCRAMBLING RANK
157,T155,T155,Scott Sterling,89,"13' 7""",762.3330000000001,56,19
158,T159,T159,Michael Allen,91,"13' 8""",764.0830000000001,56,110
159,T159,T159,Zach Johnson,85,"13' 8""",709.0830000000001,52,103
160,T159,T159,Frank Lickliter II,107,"13' 8""",1117.75,82,87
161,T159,T159,Tag Ridings,88,"13' 8""",1218.083,89,118
162,T163,T163,Richard Johnson,60,"13' 9""",371.167,27,97
163,T163,T163,Bob Sowards,61,"13' 9""",603.9169999999999,44,150
164,165,165,Jeff Maggert,86,"13' 10""",1158.833,84,133
165,T166,T166,Kenneth Ferrie,72,"13' 11""",903.9169999999999,65,145
166,T166,T166,Brett Quigley,80,"13' 11""",892.0830000000001,64,97
167,T168,T168,Richard Johnson,77,"14' 0""",894.4169999999999,64,67
168,T168,T168,Nick O'Hern,82,"14' 0""",560.8330000000001,40,22
169,170,170,Ryan Moore,72,"14' 1""",969.4169999999999,69,48
170,T171,T171,Cliff Kresge,84,"14' 2""",721.4169999999999,51,166
171,T171,T171,John Mallinger,95,"14' 2""",905.0,64,61
172,T171,T171,Jeff Overton,103,"14' 2""",1204.583,85,125
173,T171,T171,Chez Reavie,102,"14' 2""",893.5830000000001,63,52
174,175,175,Paul Casey,55,"14' 3""",327.41700000000003,23,188
175,176,176,Bart Bryant,81,"14' 4""",416.583,29,47
176,177,177,Rod Pampling,83,"14' 5""",909.5830000000001,63,129
177,T178,T178,Joe Durant,92,"14' 7""",963.75,66,189
178,T178,T178,Nick Flanagan,89,"14' 7""",1049.833,72,179
179,T178,T178,Robert Garrigus,90,"14' 7""",1051.583,72,190
180,T178,T178,Steve Lowery,74,"14' 7""",905.75,62,141
181,T178,T178,John Senden,93,"14' 7""",801.1669999999999,55,156
182,T178,T178,Charles Warren,79,"14' 7""",890.4169999999999,61,196
183,T184,T184,Kevin Streelman,114,"14' 8""",1175.833,80,56
184,T184,T184,Jay Williamson,96,"14' 8""",833.9169999999999,57,159
185,186,186,Boo Weekley,86,"14' 9""",619.1669999999999,42,106
186,187,187,Steve Marino,119,"14' 10""",1230.75,83,55
187,188,188,Todd Hamilton,92,"15' 1""",859.5,57,168
188,189,189,Kevin Stadler,90,"15' 6""",912.3330000000001,59,186
189,190,190,Tom Lehman,51,"15' 7""",560.5,36,101
190,191,191,Steve Allan,58,"15' 8""",735.0830000000001,47,175
191,T192,T192,Scott McCarron,63,"15' 11""",620.4169999999999,39,59
192,T192,T192,John Riegger,73,"15' 11""",811.9169999999999,51,58
193,194,194,Ryan Palmer,69,"16' 3""",585.8330000000001,36,138
194,195,195,Travis Perkins,53,"17' 0""",509.333,30,193
195,196,196,Ángel Cabrera,55,"17' 1""",683.1669999999999,40,180
196,197,197,Hunter Mahan,87,"17' 10""",1033.417,58,170
