,SG_Around-the-Green_RANK THIS WEEK,SG_Around-the-Green_RANK LAST WEEK,SG_Around-the-Green_PLAYER NAME,SG_Around-the-Green_ROUNDS,SG_Around-the-Green_AVERAGE,SG_Around-the-Green_TOTAL SG:ARG,SG_Around-the-Green_MEASURED ROUNDS
0,1,1,Chris Riley,51,0.65,26.018,40
1,2,2,Mike Weir,88,0.541,35.722,66
2,3,3,Brett Rumford,72,0.526,32.064,61
3,T4,T4,Shigeki Maruyama,50,0.47,19.753,42
4,T4,T4,Kevin Na,97,0.47,42.787,91
5,6,6,Steve Stricker,75,0.46399999999999997,26.938000000000002,58
6,7,7,Padraig Harrington,52,0.46,14.705,32
7,T8,T8,Retief Goosen,59,0.45,18.917,42
8,T8,T8,Vijay Singh,82,0.45,28.319000000000003,63
9,10,10,Adam Scott,51,0.44,15.411,35
10,11,11,Trevor Immelman,70,0.42700000000000005,23.069000000000003,54
11,12,12,Omar Uresti,74,0.385,24.276,63
12,13,13,Glen Day,64,0.37,20.741,56
13,14,14,Stuart Appleby,87,0.36200000000000004,24.26,67
14,15,15,Phil Mickelson,80,0.36,21.24,59
15,16,16,Ryuji Imada,80,0.349,23.765,68
16,17,17,Brad Adamonis,87,0.298,22.642,76
17,18,18,Billy Mayfair,103,0.294,27.883000000000003,95
18,19,19,Chad Collins,72,0.292,18.37,63
19,20,20,Todd Demsey,80,0.263,18.656,71
20,21,21,Tim Wilkinson,95,0.262,20.945999999999998,80
21,22,22,Kevin Sutherland,98,0.261,22.943,88
22,23,23,Marco Dawson,64,0.254,13.700999999999999,54
23,24,24,K.J. Choi,74,0.252,14.380999999999998,57
24,25,25,Rod Pampling,83,0.25,16.977999999999998,68
25,26,26,Charlie Wi,97,0.249,21.929000000000002,88
26,27,27,Jason Allred,63,0.24100000000000002,12.072000000000001,50
27,28,28,Ian Poulter,51,0.23800000000000002,8.574,36
28,29,29,Corey Pavin,69,0.237,13.257,56
29,T30,T30,Ben Curtis,80,0.23600000000000002,14.850999999999999,63
30,T30,T30,Charles Howell III,101,0.23600000000000002,20.52,87
31,32,32,Tim Petrovic,97,0.235,19.033,81
32,33,33,Brett Quigley,80,0.231,16.868,73
33,34,34,Sergio Garcia,72,0.23,12.898,56
34,35,35,Jesper Parnevik,88,0.22899999999999998,17.153,75
35,T36,T36,Ernie Els,51,0.228,8.206,36
36,T36,T36,Jeff Gove,50,0.228,10.044,44
37,38,38,Mathew Goggin,91,0.222,18.225,82
38,39,39,Nathan Green,95,0.221,20.070999999999998,91
39,40,40,Aaron Baddeley,76,0.218,13.095999999999998,60
40,41,41,Tim Herron,97,0.217,18.854,87
41,42,42,Brenden Pappas,66,0.214,12.008,56
42,43,43,Steve Flesch,95,0.209,16.962,81
43,44,44,Brian Davis,108,0.2,20.351,102
44,T45,T45,Stephen Ames,83,0.198,13.052,66
45,T45,T45,Brian Gay,102,0.198,17.003,86
46,47,47,David Lutterus,59,0.196,9.822000000000001,50
47,48,48,Craig Kanada,65,0.193,10.638,55
48,49,49,Brad Elder,67,0.185,9.996,54
49,50,50,Carlos Franco,73,0.184,11.574000000000002,63
50,51,51,Daniel Chopra,84,0.183,12.607999999999999,69
51,52,52,Tom Pernice Jr.,104,0.179,17.496,98
52,53,53,Rory Sabbatini,77,0.17800000000000002,11.225,63
53,54,54,Gavin Coles,54,0.16699999999999998,7.36,44
54,T55,T55,Jonathan Byrd,88,0.165,12.687999999999999,77
55,T55,T55,Justin Leonard,101,0.165,12.064,73
56,T57,T57,Tom Lehman,51,0.162,6.16,38
57,T57,T57,Parker McLachlin,88,0.162,12.827,79
58,T59,T59,Cameron Beckman,87,0.16,11.819,74
59,T59,T59,Mark Wilson,107,0.16,16.633,104
60,61,61,John Mallinger,95,0.159,13.329,84
61,62,62,Eric Axley,113,0.158,15.466,98
62,63,63,Jerry Kelly,89,0.156,11.522,74
63,64,64,Fred Couples,60,0.154,7.832000000000001,51
64,65,65,Matt Jones,95,0.14800000000000002,12.418,84
65,66,66,Nick O'Hern,82,0.147,10.443,71
66,67,67,Lee Janzen,89,0.14400000000000002,10.824000000000002,75
67,68,68,Dudley Hart,74,0.132,8.863,67
68,T69,T69,Freddie Jacobson,78,0.127,8.156,64
69,T69,T69,Scott Verplank,82,0.127,8.274,65
70,71,71,Michael Letzig,88,0.126,9.314,74
71,72,72,Brandt Snedeker,85,0.11599999999999999,7.752999999999999,67
72,73,73,Pat Perez,93,0.115,9.121,79
73,74,74,David Duval,51,0.111,4.561,41
74,75,75,Tim Clark,90,0.109,7.93,73
75,76,76,Scott McCarron,63,0.10800000000000001,5.845,54
76,77,77,Matt Kuchar,88,0.106,7.431,70
77,78,78,Alejandro Cañizares,52,0.105,4.311,41
78,79,79,Richard Johnson,77,0.09699999999999999,6.617999999999999,68
79,T80,T80,Mark Hensby,71,0.094,6.028,64
80,T80,T80,Geoff Ogilvy,65,0.094,4.598,49
81,T82,T82,Anthony Kim,81,0.09300000000000001,6.041,65
82,T82,T82,Camilo Villegas,79,0.09300000000000001,5.882999999999999,63
83,84,84,Jim McGovern,75,0.084,5.297999999999999,63
84,85,85,Bob Estes,90,0.08199999999999999,7.035,86
85,T86,T86,Shane Bertsch,96,0.079,7.143,90
86,T86,T86,Andres Romero,69,0.079,3.846,49
87,88,88,Briny Baird,113,0.073,7.031000000000001,96
88,89,89,D.J. Trahan,94,0.064,5.0089999999999995,78
89,90,90,Stewart Cink,87,0.057999999999999996,3.7310000000000003,64
90,91,91,Bill Haas,99,0.051,4.63,90
91,92,92,Ben Crane,86,0.045,3.3939999999999997,75
92,93,93,J.P. Hayes,67,0.043,2.68,63
93,94,94,Carl Pettersson,110,0.036000000000000004,3.463,97
94,95,95,Jim Furyk,95,0.031,2.291,75
95,96,96,Bart Bryant,81,0.03,1.996,67
96,97,97,Nicholas Thompson,113,0.027999999999999997,2.7030000000000003,96
97,98,98,Davis Love III,78,0.026000000000000002,1.72,65
98,99,99,David Toms,70,0.018000000000000002,0.983,56
99,100,100,Jon Mills,95,0.013999999999999999,1.092,78
100,101,101,Peter Lonard,92,0.01,0.77,80
101,102,102,Sean O'Hair,81,-0.003,-0.218,68
102,103,103,Doug LaBelle II,65,-0.004,-0.221,51
103,104,104,Chris DiMarco,87,-0.005,-0.344,76
104,105,105,Kent Jones,68,-0.006999999999999999,-0.374,55
105,T106,T106,Paul Goydos,78,-0.01,-0.7,67
106,T106,T106,George McNeill,97,-0.01,-0.9009999999999999,90
107,108,108,Ken Duke,116,-0.018000000000000002,-1.881,105
108,109,109,Marc Turnesa,87,-0.019,-1.411,76
109,110,110,James Driscoll,85,-0.021,-1.5959999999999999,76
110,111,111,Joe Ogilvie,100,-0.032,-2.7439999999999998,87
111,112,112,Steve Lowery,74,-0.04,-2.648,67
112,113,113,Dean Wilson,109,-0.040999999999999995,-3.823,93
113,114,114,John Rollins,94,-0.042,-3.282,79
114,115,115,Steve Marino,119,-0.044000000000000004,-4.537,104
115,116,116,Michael Allen,91,-0.047,-3.642,78
116,117,117,Rocco Mediate,87,-0.05,-3.4419999999999997,69
117,118,118,Bubba Watson,97,-0.051,-4.085,80
118,T119,T119,John Merrick,98,-0.052000000000000005,-3.9730000000000003,77
119,T119,T119,Chris Stroud,81,-0.052000000000000005,-3.44,66
120,121,121,Jeff Quinney,87,-0.055,-4.0360000000000005,73
121,122,122,Frank Lickliter II,107,-0.057999999999999996,-5.754,100
122,123,123,Jimmy Walker,73,-0.063,-3.904,62
123,124,124,J.J. Henry,108,-0.069,-6.815,99
124,125,125,Bo Van Pelt,101,-0.071,-6.5889999999999995,93
125,126,126,Bob Sowards,61,-0.07200000000000001,-3.742,52
126,T127,T127,Ángel Cabrera,55,-0.07400000000000001,-2.891,39
127,T127,T127,Chez Reavie,102,-0.07400000000000001,-6.68,90
128,T129,T129,Woody Austin,109,-0.081,-7.164,88
129,T129,T129,Tom Scherrer,56,-0.081,-3.576,44
130,T131,T131,Richard Johnson,60,-0.083,-4.0489999999999995,49
131,T131,T131,Jeff Overton,103,-0.083,-7.596,91
132,T133,T133,Paul Claxton,63,-0.084,-4.22,50
133,T133,T133,Ted Purdy,68,-0.084,-4.939,59
134,T135,T135,Rich Beem,90,-0.08800000000000001,-6.928999999999999,79
135,T135,T135,Steve Elkington,84,-0.08800000000000001,-6.4079999999999995,73
136,T135,T135,Scott Sterling,89,-0.08800000000000001,-6.489,74
137,138,138,Cody Freeman,66,-0.096,-5.265,55
138,139,139,Johnson Wagner,83,-0.10400000000000001,-7.077000000000001,68
139,140,140,Boo Weekley,86,-0.109,-6.981,64
140,141,141,Martin Laird,98,-0.111,-9.44,85
141,142,142,John Senden,93,-0.11599999999999999,-9.481,82
142,143,143,Jin Park,85,-0.11699999999999999,-8.2,70
143,144,144,Kenny Perry,97,-0.11800000000000001,-10.838,92
144,145,145,J.B. Holmes,86,-0.11900000000000001,-8.229,69
145,146,146,Cliff Kresge,84,-0.125,-9.134,73
146,147,147,Dustin Johnson,92,-0.129,-10.415,81
147,148,148,Will MacKenzie,62,-0.13,-7.428999999999999,57
148,149,149,Stephen Leaney,53,-0.131,-5.901,45
149,150,150,Heath Slocum,104,-0.132,-11.376,86
150,151,151,Patrick Sheehan,124,-0.136,-14.257,105
151,152,152,Tag Ridings,88,-0.13699999999999998,-11.065999999999999,81
152,153,153,Vaughn Taylor,103,-0.14400000000000002,-13.578,94
153,154,154,Nick Watney,96,-0.146,-12.290999999999999,84
154,155,155,Robert Gamez,79,-0.154,-10.953,71
155,156,156,Ron Whittaker,54,-0.155,-6.372999999999999,41
156,157,157,John Riegger,73,-0.159,-10.196,64
157,T158,T158,Billy Andrade,71,-0.162,-10.06,62
158,T158,T158,Lucas Glover,91,-0.162,-13.475999999999999,83
159,160,160,Mark Calcavecchia,67,-0.163,-8.796,54
160,161,161,Chad Campbell,94,-0.166,-14.135,85
161,162,162,John Huston,56,-0.17,-8.322000000000001,49
162,163,163,Kenneth Ferrie,72,-0.171,-10.263,60
163,164,164,Bob Tway,70,-0.17300000000000001,-9.871,57
164,165,165,Jay Williamson,96,-0.18100000000000002,-14.503,80
