,Scrambling_from_20-30_yards_RANK THIS WEEK,Scrambling_from_20-30_yards_RANK LAST WEEK,Scrambling_from_20-30_yards_PLAYER NAME,Scrambling_from_20-30_yards_ROUNDS,Scrambling_from_20-30_yards_%,Scrambling_from_20-30_yards_SUCCESSES,Scrambling_from_20-30_yards_ATTEMPTS
0,1,1,Steve Stricker,75,69.44,50,72
1,2,2,Chris Riley,51,67.8,40,59
2,3,3,Sergio Garcia,72,67.35,33,49
3,4,4,David Duval,51,66.04,35,53
4,5,5,Cameron Beckman,87,63.89,46,72
5,6,6,Eric Axley,113,63.57,82,129
6,7,7,Tommy Armour III,77,63.01,46,73
7,8,8,Mark Calcavecchia,67,62.79,27,43
8,9,9,Briny Baird,113,62.65,52,83
9,10,10,Mike Weir,88,62.5,45,72
10,11,11,Retief Goosen,59,62.0,31,50
11,12,12,Matt Kuchar,88,61.8,55,89
12,13,13,Stuart Appleby,87,61.76,42,68
13,14,14,Craig Kanada,65,61.25,49,80
14,15,15,Frank Lickliter II,107,61.16,74,121
15,16,16,Marc Turnesa,87,60.82,59,97
16,17,17,Brett Quigley,80,60.47,52,86
17,18,18,Jerry Kelly,89,60.22,56,93
18,19,19,Gavin Coles,54,60.0,24,40
19,20,20,Glen Day,64,59.68,37,62
20,21,21,Billy Mayfair,103,59.63,65,109
21,22,22,Padraig Harrington,52,59.46,22,37
22,23,23,Tim Herron,97,59.05,62,105
23,24,24,Steve Marino,119,58.93,66,112
24,25,25,Parker McLachlin,88,58.77,67,114
25,26,26,Tim Wilkinson,95,58.43,52,89
26,27,27,Jesper Parnevik,88,58.33,63,108
27,28,28,Mathew Goggin,91,58.24,53,91
28,29,29,Kevin Sutherland,98,58.0,58,100
29,30,30,Shigeki Maruyama,50,57.89,33,57
30,31,31,Jeff Quinney,87,57.65,49,85
31,32,32,Joe Ogilvie,100,57.28,59,103
32,T33,T33,Steve Flesch,95,57.14,48,84
33,T33,T33,Greg Kraft,63,57.14,36,63
34,35,35,Charlie Wi,97,56.98,49,86
35,36,36,Alejandro Cañizares,52,56.67,34,60
36,37,37,Stephen Leaney,53,56.6,30,53
37,38,38,John Mallinger,95,56.57,56,99
