,Proximity_to_Hole_from_Rough_RANK THIS WEEK,Proximity_to_Hole_from_Rough_RANK LAST WEEK,Proximity_to_Hole_from_Rough_PLAYER NAME,Proximity_to_Hole_from_Rough_ROUNDS,Proximity_to_Hole_from_Rough_AVG DTP,Proximity_to_Hole_from_Rough_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Rough_# OF SHOTS,Proximity_to_Hole_from_Rough_SCRAMBLING RANK
0,1,1,Retief Goosen,59,"6' 0""",725.75,121,76
1,2,2,Trevor Immelman,70,"6' 5""",831.25,130,181
2,T3,T3,Justin Leonard,101,"6' 6""",1218.25,187,34
3,T3,T3,Ian Poulter,51,"6' 6""",720.75,111,120
4,T3,T3,Vijay Singh,82,"6' 6""",1090.667,168,51
5,T3,T3,Steve Stricker,75,"6' 6""",1058.5,162,12
6,7,7,Brian Gay,102,"6' 7""",1260.083,192,1
7,8,8,Padraig Harrington,52,"6' 8""",709.0,106,21
8,T9,T9,K.J. Choi,74,"7' 0""",922.8330000000001,132,95
9,T9,T9,Marco Dawson,64,"7' 0""",1053.25,150,144
10,T9,T9,Paul Goydos,78,"7' 0""",1202.833,172,74
11,T12,T12,Fred Couples,60,"7' 1""",1065.5,151,71
12,T12,T12,Jim Furyk,95,"7' 1""",1385.9170000000001,195,29
13,T12,T12,Lee Janzen,89,"7' 1""",1331.1670000000001,187,91
14,T12,T12,Tim Wilkinson,95,"7' 1""",1481.75,210,28
15,T16,T16,Tommy Armour III,77,"7' 2""",1139.167,159,132
16,T16,T16,Shane Bertsch,96,"7' 2""",1604.5829999999999,224,18
17,T16,T16,Bart Bryant,81,"7' 2""",1182.25,165,47
18,T16,T16,Ernie Els,51,"7' 2""",706.9169999999999,99,112
19,T16,T16,Phil Mickelson,80,"7' 2""",1322.1670000000001,184,26
20,T16,T16,Brenden Pappas,66,"7' 2""",1091.833,152,50
21,T16,T16,Chris Riley,51,"7' 2""",785.0,109,2
22,T23,T23,Matt Kuchar,88,"7' 3""",1259.0,173,14
23,T23,T23,Doug LaBelle II,65,"7' 3""",886.5,122,68
24,T23,T23,Brett Rumford,72,"7' 3""",1397.4170000000001,193,151
25,T23,T23,Mike Weir,88,"7' 3""",1182.25,163,7
26,T27,T27,Stephen Ames,83,"7' 4""",1259.417,171,57
27,T27,T27,Eric Axley,113,"7' 4""",1968.0,267,40
28,T27,T27,Briny Baird,113,"7' 4""",1599.25,217,5
29,T27,T27,Cliff Kresge,84,"7' 4""",1438.6670000000001,197,166
30,T27,T27,Andres Romero,69,"7' 4""",1317.1670000000001,179,85
31,T27,T27,Brandt Snedeker,85,"7' 4""",1277.333,175,100
32,T33,T33,Woody Austin,109,"7' 5""",1752.25,236,147
33,T33,T33,Tim Clark,90,"7' 5""",1375.4170000000001,185,65
34,T33,T33,Gavin Coles,54,"7' 5""",735.9169999999999,99,9
35,T33,T33,Kevin Na,97,"7' 5""",1654.8329999999999,224,13
36,T33,T33,Camilo Villegas,79,"7' 5""",1282.167,173,171
37,T33,T33,Dean Wilson,109,"7' 5""",1629.75,219,97
38,T39,T39,Jonathan Byrd,88,"7' 6""",1441.8329999999999,193,72
39,T39,T39,Steve Flesch,95,"7' 6""",1590.75,212,44
40,T39,T39,Sergio Garcia,72,"7' 6""",1326.0829999999999,177,89
41,T39,T39,Jerry Kelly,89,"7' 6""",1300.583,174,83
42,T39,T39,Anthony Kim,81,"7' 6""",1283.75,172,45
43,T39,T39,Peter Lonard,92,"7' 6""",1481.0,197,107
44,T39,T39,Tim Petrovic,97,"7' 6""",1707.25,228,53
45,T39,T39,Carl Pettersson,110,"7' 6""",2045.25,274,49
46,T39,T39,Patrick Sheehan,124,"7' 6""",2341.833,311,39
47,T39,T39,Bob Tway,70,"7' 6""",999.4169999999999,133,27
48,T39,T39,Nick Watney,96,"7' 6""",1678.6670000000001,224,101
49,T50,T50,Zach Johnson,85,"7' 7""",1361.25,179,103
50,T50,T50,Michael Letzig,88,"7' 7""",1590.0829999999999,210,108
51,T50,T50,Geoff Ogilvy,65,"7' 7""",1060.0,140,38
52,T50,T50,Scott Verplank,82,"7' 7""",1224.167,161,83
53,T50,T50,Y.E. Yang,89,"7' 7""",1586.1670000000001,209,137
54,T55,T55,Ken Duke,116,"7' 8""",2192.167,286,82
55,T55,T55,Cody Freeman,66,"7' 8""",1206.167,157,177
56,T55,T55,J.B. Holmes,86,"7' 8""",1709.1670000000001,222,152
