,Sand_Saves_from_30_yards_RANK THIS WEEK,Sand_Saves_from_30_yards_RANK LAST WEEK,Sand_Saves_from_30_yards_PLAYER NAME,Sand_Saves_from_30_yards_ROUNDS,Sand_Saves_from_30_yards_%,Sand_Saves_from_30_yards_# OF SAVES,Sand_Saves_from_30_yards_# OF BUNKERS
0,1,1,Davis Love III,78,87.5,7.0,8
1,2,2,Olin Browne,77,66.67,4.0,6
2,T3,T3,Tom Lehman,51,62.5,5.0,8
3,T3,T3,Corey Pavin,69,62.5,5.0,8
4,T3,T3,Ian Poulter,51,62.5,5.0,8
5,6,6,Carl Pettersson,110,60.0,9.0,15
6,7,7,Chad Collins,72,57.14,8.0,14
7,8,8,Parker McLachlin,88,56.25,9.0,16
8,T9,T9,Stuart Appleby,87,55.56,5.0,9
9,T9,T9,Ernie Els,51,55.56,5.0,9
10,T9,T9,Carlos Franco,73,55.56,5.0,9
11,T9,T9,Jeff Quinney,87,55.56,5.0,9
12,T9,T9,Chris Stroud,81,55.56,5.0,9
13,14,14,Mike Weir,88,53.85,7.0,13
14,T15,T15,J.P. Hayes,67,53.33,8.0,15
15,T15,T15,John Senden,93,53.33,8.0,15
16,T17,T17,Michael Allen,91,50.0,7.0,14
17,T17,T17,Billy Andrade,71,50.0,5.0,10
18,T17,T17,Aaron Baddeley,76,50.0,5.0,10
19,T17,T17,Fred Couples,60,50.0,6.0,12
20,T17,T17,Dudley Hart,74,50.0,4.0,8
21,T17,T17,Will MacKenzie,62,50.0,2.0,4
22,T17,T17,Steve Marino,119,50.0,9.0,18
23,T17,T17,Jesper Parnevik,88,50.0,9.0,18
24,T17,T17,Ted Purdy,68,50.0,4.0,8
25,T17,T17,Brett Rumford,72,50.0,5.0,10
26,T17,T17,Tom Scherrer,56,50.0,2.0,4
27,T17,T17,Adam Scott,51,50.0,2.0,4
28,T17,T17,Scott Sterling,89,50.0,7.0,14
29,T17,T17,Steve Stricker,75,50.0,5.0,10
30,T17,T17,Nicholas Thompson,113,50.0,6.0,12
31,T17,T17,Scott Verplank,82,50.0,4.0,8
32,T17,T17,Ron Whittaker,54,50.0,1.0,2
33,T17,T17,Charlie Wi,97,50.0,9.0,18
34,T17,T17,Dean Wilson,109,50.0,7.0,14
35,36,36,John Mallinger,95,46.67,7.0,15
36,T37,T37,Jim Furyk,95,46.15,6.0,13
37,T37,T37,Michael Letzig,88,46.15,6.0,13
38,T37,T37,Tim Petrovic,97,46.15,6.0,13
39,40,40,David Toms,70,45.45,5.0,11
40,T41,T41,Stewart Cink,87,44.44,4.0,9
41,T41,T41,Marco Dawson,64,44.44,4.0,9
42,T41,T41,Nathan Green,95,44.44,12.0,27
43,T41,T41,Frank Lickliter II,107,44.44,8.0,18
44,T41,T41,Phil Mickelson,80,44.44,4.0,9
45,T41,T41,Heath Slocum,104,44.44,4.0,9
46,T41,T41,Marc Turnesa,87,44.44,4.0,9
47,T41,T41,Jimmy Walker,73,44.44,4.0,9
48,49,49,Jay Williamson,96,43.75,7.0,16
49,T50,T50,Steve Allan,58,42.86,3.0,7
50,T50,T50,Stephen Ames,83,42.86,3.0,7
51,T50,T50,Ryuji Imada,80,42.86,6.0,14
52,T50,T50,Trevor Immelman,70,42.86,3.0,7
53,T50,T50,Kent Jones,68,42.86,3.0,7
54,T50,T50,Brandt Snedeker,85,42.86,6.0,14
55,56,56,Matt Jones,95,42.11,8.0,19
56,T57,T57,Steve Flesch,95,41.67,5.0,12
57,T57,T57,Richard Johnson,77,41.67,5.0,12
58,T57,T57,Pat Perez,93,41.67,5.0,12
59,T60,T60,Tommy Armour III,77,40.0,4.0,10
60,T60,T60,Tim Clark,90,40.0,2.0,5
