,Scrambling_10-20_yds_RTP_Score_RANK THIS WEEK,Scrambling_10-20_yds_RTP_Score_RANK LAST WEEK,Scrambling_10-20_yds_RTP_Score_PLAYER NAME,Scrambling_10-20_yds_RTP_Score_ROUNDS,Scrambling_10-20_yds_RTP_Score_AVG RTP,Scrambling_10-20_yds_RTP_Score_TOTAL HOLES,Scrambling_10-20_yds_RTP_Score_TOTAL RTP
129,T129,T129,John Senden,93,0.384,185,71.0
130,131,131,David Duval,51,0.385,104,40.0
131,T132,T132,Cameron Beckman,87,0.386,197,76.0
132,T132,T132,Michael Letzig,88,0.386,215,83.0
133,T134,T134,James Driscoll,85,0.387,204,79.0
134,T134,T134,John Merrick,98,0.387,163,63.0
135,T134,T134,Sean O'Hair,81,0.387,181,70.0
136,T134,T134,Heath Slocum,104,0.387,217,84.0
137,T138,T138,Michael Allen,91,0.38799999999999996,209,81.0
138,T138,T138,Ryan Palmer,69,0.38799999999999996,147,57.0
139,T138,T138,Bo Van Pelt,101,0.38799999999999996,245,95.0
140,T141,T141,Frank Lickliter II,107,0.389,247,96.0
141,T141,T141,Vijay Singh,82,0.389,144,56.0
142,143,143,John Riegger,73,0.391,133,52.0
143,144,144,Olin Browne,77,0.392,194,76.0
144,145,145,Paul Goydos,78,0.39299999999999996,191,75.0
145,146,146,Charley Hoffman,94,0.395,228,90.0
146,T147,T147,Shane Bertsch,96,0.397,242,96.0
147,T147,T147,Tag Ridings,88,0.397,224,89.0
148,T149,T149,Cody Freeman,66,0.39899999999999997,143,57.0
149,T149,T149,Dustin Johnson,92,0.39899999999999997,223,89.0
150,T149,T149,Will MacKenzie,62,0.39899999999999997,168,67.0
151,T152,T152,Steve Elkington,84,0.4,185,74.0
152,T152,T152,Mark Hensby,71,0.4,160,64.0
153,T152,T152,Joe Ogilvie,100,0.4,240,96.0
154,155,155,Kevin Streelman,114,0.401,232,93.0
155,156,156,Y.E. Yang,89,0.402,214,86.0
156,157,157,Tommy Armour III,77,0.40299999999999997,154,62.0
157,158,158,Jason Gore,94,0.40399999999999997,230,93.0
158,159,159,Bob Estes,90,0.405,205,83.0
159,160,160,Robert Garrigus,90,0.406,202,82.0
160,T161,T161,Billy Andrade,71,0.40700000000000003,177,72.0
161,T161,T161,Davis Love III,78,0.40700000000000003,162,66.0
162,T163,T163,Steve Allan,58,0.408,120,49.0
163,T163,T163,Joe Durant,92,0.408,179,73.0
164,T163,T163,Martin Laird,98,0.408,228,93.0
165,T166,T166,Carlos Franco,73,0.409,154,63.0
166,T166,T166,Stephen Leaney,53,0.409,127,52.0
167,T168,T168,Ángel Cabrera,55,0.41,100,41.0
168,T168,T168,J.B. Holmes,86,0.41,178,73.0
169,T168,T168,Kevin Stadler,90,0.41,188,77.0
170,T168,T168,Jimmy Walker,73,0.41,178,73.0
171,T172,T172,Brad Elder,67,0.41100000000000003,129,53.0
172,T172,T172,Ryan Moore,72,0.41100000000000003,185,76.0
173,174,174,Paul Casey,55,0.415,94,39.0
174,175,175,Jim McGovern,75,0.41700000000000004,151,63.0
175,176,176,Robert Allenby,108,0.419,191,80.0
176,177,177,Robert Gamez,79,0.42100000000000004,178,75.0
177,T178,T178,Troy Matteson,94,0.42200000000000004,230,97.0
178,T178,T178,George McNeill,97,0.42200000000000004,206,87.0
179,T178,T178,Kyle Thompson,70,0.42200000000000004,166,70.0
180,181,181,Camilo Villegas,79,0.423,168,71.0
181,182,182,Chad Campbell,94,0.428,187,80.0
182,T183,T183,Greg Kraft,63,0.43,149,64.0
183,T183,T183,Jay Williamson,96,0.43,207,89.0
184,185,185,Mark Calcavecchia,67,0.44,141,62.0
185,186,186,Bill Haas,99,0.44299999999999995,221,98.0
186,T187,T187,Alex Cejka,75,0.44799999999999995,165,74.0
187,T187,T187,Brandt Jobe,52,0.44799999999999995,116,52.0
188,189,189,Tommy Gainey,60,0.45299999999999996,106,48.0
189,190,190,Ron Whittaker,54,0.465,99,46.0
190,191,191,Nick Flanagan,89,0.47100000000000003,238,112.0
191,192,192,Chris Stroud,81,0.475,158,75.0
192,193,193,Justin Bolli,87,0.47700000000000004,176,84.0
193,194,194,Sergio Garcia,72,0.48700000000000004,150,73.0
194,195,195,Travis Perkins,53,0.495,109,54.0
195,196,196,Ryan Armour,87,0.514,181,93.0
196,197,197,Charles Warren,79,0.525,198,104.0
