,Sand_Saves_from__10_yards_RANK THIS WEEK,Sand_Saves_from__10_yards_RANK LAST WEEK,Sand_Saves_from__10_yards_PLAYER NAME,Sand_Saves_from__10_yards_ROUNDS,Sand_Saves_from__10_yards_%,Sand_Saves_from__10_yards_# OF SAVES,Sand_Saves_from__10_yards_# OF BUNKERS
0,T1,T1,Jason Allred,63,100.0,4,4
1,T1,T1,Rich Beem,90,100.0,6,6
2,T1,T1,Olin Browne,77,100.0,2,2
3,T1,T1,Alejandro Cañizares,52,100.0,4,4
4,T1,T1,Stewart Cink,87,100.0,1,1
5,T1,T1,Jeff Gove,50,100.0,5,5
6,T1,T1,Dudley Hart,74,100.0,6,6
7,T1,T1,Tom Scherrer,56,100.0,2,2
8,T1,T1,Boo Weekley,86,100.0,2,2
9,T1,T1,Mike Weir,88,100.0,10,10
10,11,11,Briny Baird,113,92.31,12,13
11,T12,T12,Robert Allenby,108,88.89,8,9
12,T12,T12,Paul Goydos,78,88.89,8,9
13,T12,T12,Rod Pampling,83,88.89,8,9
14,T12,T12,Jesper Parnevik,88,88.89,8,9
15,T16,T16,Shane Bertsch,96,87.5,7,8
16,T16,T16,Craig Kanada,65,87.5,7,8
17,T16,T16,Phil Mickelson,80,87.5,7,8
18,T16,T16,Jeff Quinney,87,87.5,7,8
19,T20,T20,Stuart Appleby,87,85.71,6,7
20,T20,T20,Aaron Baddeley,76,85.71,6,7
21,T20,T20,Daniel Chopra,84,85.71,12,14
22,T20,T20,Chad Collins,72,85.71,6,7
23,T20,T20,John Mallinger,95,85.71,6,7
24,T20,T20,Geoff Ogilvy,65,85.71,6,7
25,T20,T20,Corey Pavin,69,85.71,6,7
26,27,27,Ken Duke,116,84.62,11,13
27,T28,T28,Gavin Coles,54,83.33,5,6
28,T28,T28,Brad Elder,67,83.33,5,6
29,T28,T28,Pat Perez,93,83.33,5,6
30,T28,T28,Kevin Sutherland,98,83.33,5,6
31,32,32,Ben Curtis,80,81.82,9,11
32,T33,T33,Todd Demsey,80,80.0,4,5
33,T33,T33,Richard Johnson,60,80.0,4,5
34,T33,T33,Anthony Kim,81,80.0,4,5
35,T33,T33,Ted Purdy,68,80.0,8,10
36,T33,T33,John Riegger,73,80.0,4,5
37,T33,T33,Kevin Stadler,90,80.0,4,5
38,T33,T33,Chris Stroud,81,80.0,4,5
39,T33,T33,Nicholas Thompson,113,80.0,8,10
40,T33,T33,Camilo Villegas,79,80.0,8,10
41,42,42,Brian Davis,108,78.57,11,14
42,T43,T43,J.B. Holmes,86,77.78,7,9
43,T43,T43,John Huston,56,77.78,7,9
44,T43,T43,Justin Leonard,101,77.78,7,9
45,T43,T43,John Senden,93,77.78,7,9
46,47,47,Tag Ridings,88,76.19,16,21
47,T48,T48,Michael Allen,91,75.0,3,4
48,T48,T48,Ben Crane,86,75.0,12,16
49,T48,T48,Jim Furyk,95,75.0,6,8
50,T48,T48,Sergio Garcia,72,75.0,3,4
51,T48,T48,Freddie Jacobson,78,75.0,6,8
52,T48,T48,Richard Johnson,77,75.0,6,8
53,T48,T48,Stephen Leaney,53,75.0,3,4
54,T48,T48,Brett Rumford,72,75.0,3,4
55,T48,T48,Bubba Watson,97,75.0,6,8
56,T57,T57,Bart Bryant,81,71.43,5,7
57,T57,T57,Ángel Cabrera,55,71.43,5,7
58,T57,T57,Retief Goosen,59,71.43,5,7
59,T57,T57,Ryuji Imada,80,71.43,5,7
60,T57,T57,Will MacKenzie,62,71.43,5,7
61,T57,T57,Kevin Na,97,71.43,10,14
62,T57,T57,Brenden Pappas,66,71.43,5,7
63,T57,T57,Scott Sterling,89,71.43,5,7
64,T65,T65,Harrison Frazar,73,70.0,7,10
65,T65,T65,Brian Gay,102,70.0,7,10
66,T65,T65,Nathan Green,95,70.0,7,10
67,T65,T65,Jeff Overton,103,70.0,7,10
68,T69,T69,Stephen Ames,83,66.67,4,6
69,T69,T69,Carlos Franco,73,66.67,2,3
70,T69,T69,Mathew Goggin,91,66.67,8,12
71,T69,T69,Tom Lehman,51,66.67,2,3
72,T69,T69,Jon Mills,95,66.67,8,12
73,T69,T69,Ryan Moore,72,66.67,4,6
74,T69,T69,Sean O'Hair,81,66.67,6,9
75,T69,T69,Chris Riley,51,66.67,4,6
76,T69,T69,Rory Sabbatini,77,66.67,6,9
77,T69,T69,Vijay Singh,82,66.67,6,9
78,T69,T69,D.J. Trahan,94,66.67,6,9
79,T80,T80,Bob Estes,90,63.64,7,11
80,T80,T80,Cody Freeman,66,63.64,7,11
81,T80,T80,Jeff Maggert,86,63.64,7,11
82,T80,T80,Marc Turnesa,87,63.64,7,11
83,T80,T80,Tim Wilkinson,95,63.64,7,11
84,T85,T85,Jonathan Byrd,88,62.5,5,8
85,T85,T85,Mark Calcavecchia,67,62.5,5,8
86,T85,T85,Alex Cejka,75,62.5,10,16
87,T85,T85,J.J. Henry,108,62.5,5,8
88,T85,T85,Matt Kuchar,88,62.5,5,8
89,T85,T85,Hunter Mahan,87,62.5,5,8
90,T85,T85,George McNeill,97,62.5,10,16
91,T92,T92,Joe Ogilvie,100,61.54,8,13
92,T92,T92,Jin Park,85,61.54,8,13
93,T92,T92,Tim Petrovic,97,61.54,8,13
94,T95,T95,Steve Allan,58,60.0,3,5
95,T95,T95,Woody Austin,109,60.0,6,10
96,T95,T95,Chad Campbell,94,60.0,6,10
97,T95,T95,Paul Claxton,63,60.0,3,5
98,T95,T95,Bill Haas,99,60.0,6,10
99,T95,T95,Todd Hamilton,92,60.0,3,5
100,T95,T95,J.P. Hayes,67,60.0,3,5
101,T95,T95,Lee Janzen,89,60.0,3,5
102,T95,T95,Kent Jones,68,60.0,6,10
103,T95,T95,Matt Jones,95,60.0,6,10
104,T95,T95,Jerry Kelly,89,60.0,3,5
105,T95,T95,Shigeki Maruyama,50,60.0,3,5
106,T95,T95,Jim McGovern,75,60.0,3,5
107,T95,T95,Kevin Streelman,114,60.0,6,10
108,T95,T95,Steve Stricker,75,60.0,3,5
109,T95,T95,Scott Verplank,82,60.0,6,10
110,T111,T111,Marco Dawson,64,58.33,7,12
111,T111,T111,Chris DiMarco,87,58.33,7,12
112,T111,T111,Michael Letzig,88,58.33,7,12
113,T111,T111,Vaughn Taylor,103,58.33,7,12
114,T115,T115,Lucas Glover,91,57.14,8,14
115,T115,T115,Zach Johnson,85,57.14,4,7
116,T115,T115,Billy Mayfair,103,57.14,8,14
117,T115,T115,Bo Van Pelt,101,57.14,4,7
118,T119,T119,K.J. Choi,74,55.56,5,9
119,T119,T119,Jason Gore,94,55.56,5,9
120,T119,T119,Dustin Johnson,92,55.56,5,9
121,T119,T119,Ryan Palmer,69,55.56,5,9
122,T119,T119,Ian Poulter,51,55.56,5,9
123,T119,T119,Brett Quigley,80,55.56,5,9
124,T125,T125,David Lutterus,59,54.55,6,11
125,T125,T125,Heath Slocum,104,54.55,6,11
126,T125,T125,Charlie Wi,97,54.55,6,11
127,128,128,Rocco Mediate,87,53.85,7,13
128,129,129,Steve Lowery,74,53.33,8,15
129,130,130,Jimmy Walker,73,52.94,9,17
130,T131,T131,Cameron Beckman,87,50.0,5,10
131,T131,T131,Tim Clark,90,50.0,4,8
132,T131,T131,Fred Couples,60,50.0,3,6
133,T131,T131,Glen Day,64,50.0,3,6
134,T131,T131,James Driscoll,85,50.0,6,12
135,T131,T131,David Duval,51,50.0,1,2
136,T131,T131,Kenneth Ferrie,72,50.0,5,10
137,T131,T131,Tommy Gainey,60,50.0,1,2
138,T131,T131,Mathias Grönberg,87,50.0,4,8
139,T131,T131,Charley Hoffman,94,50.0,7,14
140,T131,T131,Charles Howell III,101,50.0,3,6
141,T131,T131,Trevor Immelman,70,50.0,2,4
142,T131,T131,Greg Kraft,63,50.0,4,8
143,T131,T131,Doug LaBelle II,65,50.0,2,4
144,T131,T131,Martin Laird,98,50.0,4,8
145,T131,T131,Frank Lickliter II,107,50.0,6,12
146,T131,T131,Peter Lonard,92,50.0,5,10
147,T131,T131,Davis Love III,78,50.0,3,6
148,T131,T131,Troy Matteson,94,50.0,5,10
149,T131,T131,Parker McLachlin,88,50.0,6,12
150,T131,T131,Nick O'Hern,82,50.0,2,4
151,T131,T131,Travis Perkins,53,50.0,3,6
152,T131,T131,Adam Scott,51,50.0,3,6
153,T131,T131,Kyle Thompson,70,50.0,4,8
154,T131,T131,David Toms,70,50.0,4,8
155,T131,T131,Bob Tway,70,50.0,1,2
156,T131,T131,Ron Whittaker,54,50.0,2,4
157,T158,T158,Tom Pernice Jr.,104,46.15,6,13
158,T158,T158,John Rollins,94,46.15,6,13
159,T160,T160,Eric Axley,113,44.44,4,9
160,T160,T160,Jason Day,81,44.44,4,9
161,T160,T160,Cliff Kresge,84,44.44,4,9
162,T160,T160,John Merrick,98,44.44,4,9
163,T160,T160,Kenny Perry,97,44.44,4,9
164,T160,T160,Andres Romero,69,44.44,4,9
165,T166,T166,Patrick Sheehan,124,42.86,6,14
166,T166,T166,Omar Uresti,74,42.86,3,7
167,T166,T166,Johnson Wagner,83,42.86,6,14
168,T169,T169,Steve Elkington,84,41.67,5,12
169,T169,T169,Chez Reavie,102,41.67,5,12
170,T171,T171,Ernie Els,51,40.0,2,5
171,T171,T171,Nick Flanagan,89,40.0,2,5
172,T171,T171,Robert Gamez,79,40.0,2,5
173,T171,T171,Padraig Harrington,52,40.0,2,5
174,T171,T171,Brandt Snedeker,85,40.0,4,10
175,T171,T171,Bob Sowards,61,40.0,4,10
176,T171,T171,Nick Watney,96,40.0,4,10
177,T171,T171,Jay Williamson,96,40.0,2,5
178,T179,T179,Brad Adamonis,87,37.5,3,8
179,T179,T179,Mark Hensby,71,37.5,3,8
180,T179,T179,Tim Herron,97,37.5,3,8
181,182,182,Ryan Armour,87,36.36,4,11
182,T183,T183,Justin Bolli,87,33.33,2,6
183,T183,T183,Dean Wilson,109,33.33,2,6
184,T185,T185,Robert Garrigus,90,31.58,6,19
185,T185,T185,Carl Pettersson,110,31.58,6,19
186,187,187,Billy Andrade,71,30.77,4,13
187,188,188,Joe Durant,92,30.0,3,10
188,T189,T189,Tommy Armour III,77,28.57,2,7
189,T189,T189,Paul Casey,55,28.57,2,7
190,T189,T189,Charles Warren,79,28.57,4,14
191,T189,T189,Mark Wilson,107,28.57,2,7
192,T193,T193,Brandt Jobe,52,25.0,1,4
193,T193,T193,Scott McCarron,63,25.0,1,4
194,195,195,Steve Flesch,95,23.08,3,13
195,196,196,Steve Marino,119,22.22,2,9
196,197,197,Y.E. Yang,89,16.67,1,6
