,Scrambling_20-30_yds_RTP_Score_RANK THIS WEEK,Scrambling_20-30_yds_RTP_Score_RANK LAST WEEK,Scrambling_20-30_yds_RTP_Score_PLAYER NAME,Scrambling_20-30_yds_RTP_Score_ROUNDS,Scrambling_20-30_yds_RTP_Score_AVG RTP,Scrambling_20-30_yds_RTP_Score_TOTAL HOLES,Scrambling_20-30_yds_RTP_Score_TOTAL RTP
0,1,1,Steve Stricker,75,0.319,72,23.0
1,2,2,David Duval,51,0.321,53,17.0
2,3,3,Sergio Garcia,72,0.34700000000000003,49,17.0
3,4,4,Chris Riley,51,0.35600000000000004,59,21.0
4,5,5,Mike Weir,88,0.361,72,26.0
5,6,6,Briny Baird,113,0.373,83,31.0
6,7,7,Glen Day,64,0.387,62,24.0
7,8,8,Cameron Beckman,87,0.389,72,28.0
8,9,9,Steve Marino,119,0.39299999999999996,112,44.0
9,10,10,Eric Axley,113,0.395,129,51.0
10,11,11,Stuart Appleby,87,0.397,68,27.0
11,12,12,Retief Goosen,59,0.4,50,20.0
12,T13,T13,Matt Kuchar,88,0.40399999999999997,89,36.0
13,T13,T13,Shigeki Maruyama,50,0.40399999999999997,57,23.0
14,15,15,Brett Quigley,80,0.40700000000000003,86,35.0
15,16,16,Craig Kanada,65,0.413,80,33.0
16,17,17,Tim Wilkinson,95,0.41600000000000004,89,37.0
17,18,18,Tim Herron,97,0.419,105,44.0
18,19,19,Kevin Sutherland,98,0.42,100,42.0
19,20,20,Gavin Coles,54,0.425,40,17.0
20,21,21,Steve Flesch,95,0.429,84,36.0
21,22,22,Charlie Wi,97,0.43,86,37.0
22,23,23,Marc Turnesa,87,0.433,97,42.0
23,24,24,Jesper Parnevik,88,0.435,108,47.0
24,T25,T25,Tommy Armour III,77,0.43799999999999994,73,32.0
25,T25,T25,Daniel Chopra,84,0.43799999999999994,89,39.0
26,27,27,Mathew Goggin,91,0.44,91,40.0
27,28,28,Jerry Kelly,89,0.441,93,41.0
28,T29,T29,Greg Kraft,63,0.444,63,28.0
29,T29,T29,Phil Mickelson,80,0.444,54,24.0
30,T29,T29,Bob Tway,70,0.444,63,28.0
31,32,32,Frank Lickliter II,107,0.446,121,54.0
32,33,33,Bob Estes,90,0.44799999999999995,87,39.0
33,34,34,Tom Pernice Jr.,104,0.449,107,48.0
34,35,35,Alejandro Cañizares,52,0.45,60,27.0
35,36,36,Jeff Gove,50,0.452,42,19.0
36,37,37,Todd Demsey,80,0.455,99,45.0
37,38,38,Joe Ogilvie,100,0.456,103,47.0
38,T39,T39,Jim Furyk,95,0.457,81,37.0
39,T39,T39,Dudley Hart,74,0.457,92,42.0
40,41,41,Rod Pampling,83,0.45899999999999996,85,39.0
41,T42,T42,Ben Curtis,80,0.46299999999999997,67,31.0
42,T42,T42,John Riegger,73,0.46299999999999997,67,31.0
43,T44,T44,Brian Davis,108,0.465,142,66.0
44,T44,T44,Trevor Immelman,70,0.465,71,33.0
45,T44,T44,John Mallinger,95,0.465,99,46.0
46,T44,T44,Parker McLachlin,88,0.465,114,53.0
47,48,48,Vijay Singh,82,0.466,58,27.0
48,T49,T49,Mark Hensby,71,0.46799999999999997,79,37.0
49,T49,T49,Billy Mayfair,103,0.46799999999999997,109,51.0
50,T51,T51,Stewart Cink,87,0.47100000000000003,68,32.0
51,T51,T51,Brad Elder,67,0.47100000000000003,68,32.0
52,T51,T51,Jeff Quinney,87,0.47100000000000003,85,40.0
53,T54,T54,Stephen Ames,83,0.47200000000000003,72,34.0
54,T54,T54,Chad Collins,72,0.47200000000000003,89,42.0
55,T54,T54,Stephen Leaney,53,0.47200000000000003,53,25.0
56,57,57,Scott Verplank,82,0.473,55,26.0
57,58,58,Ernie Els,51,0.474,38,18.0
58,59,59,J.J. Henry,108,0.47600000000000003,103,49.0
59,60,60,Nick O'Hern,82,0.47700000000000004,88,42.0
60,61,61,J.P. Hayes,67,0.478,92,44.0
61,62,62,Scott McCarron,63,0.479,73,35.0
62,63,63,Brandt Snedeker,85,0.48100000000000004,77,37.0
63,T64,T64,Steve Lowery,74,0.48200000000000004,83,40.0
64,T64,T64,Ted Purdy,68,0.48200000000000004,56,27.0
65,66,66,Aaron Baddeley,76,0.483,87,42.0
66,67,67,Padraig Harrington,52,0.486,37,18.0
