,Scrambling_from_10-20_yards_RANK THIS WEEK,Scrambling_from_10-20_yards_RANK LAST WEEK,Scrambling_from_10-20_yards_PLAYER NAME,Scrambling_from_10-20_yards_ROUNDS,Scrambling_from_10-20_yards_%,Scrambling_from_10-20_yards_SUCCESSES,Scrambling_from_10-20_yards_ATTEMPTS
0,1,1,Corey Pavin,69,72.93,132,181
1,2,2,Phil Mickelson,80,72.08,111,154
2,3,3,Mike Weir,88,71.43,120,168
3,4,4,Steve Stricker,75,71.32,97,136
4,5,5,John Rollins,94,71.19,173,243
5,6,6,Padraig Harrington,52,71.11,64,90
6,7,7,Tim Herron,97,71.05,162,228
7,8,8,Shigeki Maruyama,50,70.97,88,124
8,9,9,Richard Johnson,77,70.32,154,219
9,10,10,Brian Gay,102,70.13,162,231
10,11,11,K.J. Choi,74,69.92,93,133
11,12,12,Tom Lehman,51,69.72,76,109
12,13,13,Eric Axley,113,69.55,169,243
13,14,14,Jeff Quinney,87,69.35,138,199
14,15,15,Scott McCarron,63,69.29,97,140
15,16,16,Freddie Jacobson,78,69.23,108,156
16,17,17,Justin Leonard,101,69.13,103,149
17,18,18,Charlie Wi,97,69.06,154,223
18,19,19,Steve Flesch,95,68.98,129,187
19,20,20,Nick O'Hern,82,68.93,122,177
20,21,21,Omar Uresti,74,68.89,124,180
21,22,22,Ryuji Imada,80,68.82,128,186
22,23,23,Chris Riley,51,68.64,81,118
23,24,24,Lee Janzen,89,68.56,133,194
24,25,25,Daniel Chopra,84,68.5,137,200
25,26,26,Dudley Hart,74,68.48,113,165
26,27,27,Stephen Ames,83,68.39,106,155
27,28,28,Retief Goosen,59,68.33,82,120
28,29,29,Vaughn Taylor,103,68.14,154,226
29,30,30,Tom Pernice Jr.,104,67.87,169,249
30,31,31,Carl Pettersson,110,67.79,181,267
31,32,32,Jonathan Byrd,88,67.48,139,206
32,33,33,Mark Wilson,107,67.45,172,255
33,34,34,Jesper Parnevik,88,67.43,147,218
34,35,35,Geoff Ogilvy,65,67.42,89,132
35,36,36,Pat Perez,93,67.37,128,190
36,37,37,Brenden Pappas,66,67.36,97,144
37,38,38,Brett Quigley,80,67.33,136,202
38,39,39,Mathias Grönberg,87,67.32,138,205
39,40,40,Nick Watney,96,67.3,142,211
40,41,41,Tom Scherrer,56,67.26,76,113
41,42,42,Chez Reavie,102,67.13,145,216
42,43,43,Glen Day,64,67.11,100,149
43,44,44,Tim Petrovic,97,67.08,161,240
44,45,45,J.P. Hayes,67,67.05,116,173
45,46,46,Scott Sterling,89,67.03,124,185
46,47,47,Mathew Goggin,91,66.99,138,206
47,48,48,Brian Davis,108,66.92,178,266
48,49,49,Stewart Cink,87,66.91,93,139
49,50,50,Stuart Appleby,87,66.84,125,187
50,51,51,Jon Mills,95,66.83,133,199
51,52,52,Kevin Na,97,66.79,183,274
52,T53,T53,Gavin Coles,54,66.67,76,114
53,T53,T53,Ernie Els,51,66.67,62,93
54,T53,T53,Trevor Immelman,70,66.67,82,123
55,T53,T53,Tim Wilkinson,95,66.67,156,234
56,57,57,Tim Clark,90,66.51,141,212
57,58,58,Bob Tway,70,66.43,93,140
58,T59,T59,Zach Johnson,85,66.06,109,165
59,T59,T59,Scott Verplank,82,66.06,109,165
60,61,61,Andres Romero,69,66.01,101,153
61,62,62,Bart Bryant,81,65.98,128,194
62,T63,T63,Kenneth Ferrie,72,65.81,102,155
63,T63,T63,Billy Mayfair,103,65.81,154,234
64,65,65,Cliff Kresge,84,65.76,121,184
65,66,66,Brandt Snedeker,85,65.73,117,178
66,T67,T67,Chad Collins,72,65.52,114,174
67,T67,T67,Nathan Green,95,65.52,171,261
68,69,69,Dean Wilson,109,65.45,161,246
69,70,70,Craig Kanada,65,65.36,100,153
70,71,71,Doug LaBelle II,65,65.35,83,127
71,72,72,Matt Jones,95,65.34,164,251
72,73,73,Jason Allred,63,65.25,92,141
73,74,74,Briny Baird,113,65.2,163,250
74,75,75,Marc Turnesa,87,65.09,138,212
75,76,76,Marco Dawson,64,65.07,95,146
76,77,77,Charles Howell III,101,65.05,134,206
77,78,78,Richard Johnson,60,65.03,93,143
78,79,79,Steve Marino,119,65.0,156,240
79,80,80,Brett Rumford,72,64.85,107,165
80,81,81,Matt Kuchar,88,64.84,118,182
81,82,82,Rocco Mediate,87,64.8,127,196
82,83,83,Nicholas Thompson,113,64.79,184,284
83,84,84,Adam Scott,51,64.71,55,85
84,85,85,Paul Claxton,63,64.62,84,130
85,86,86,Jeff Maggert,86,64.58,124,192
86,87,87,Rod Pampling,83,64.53,111,172
87,88,88,Jeff Overton,103,64.41,152,236
88,89,89,Jim Furyk,95,64.36,121,188
