,Scrambling_from__30_yards_RANK THIS WEEK,Scrambling_from__30_yards_RANK LAST WEEK,Scrambling_from__30_yards_PLAYER NAME,Scrambling_from__30_yards_ROUNDS,Scrambling_from__30_yards_%,Scrambling_from__30_yards_SUCCESSES,Scrambling_from__30_yards_ATTEMPTS
0,1,1,Ben Crane,86,42.5,34,80
1,T2,T2,John Huston,56,42.31,22,52
2,T2,T2,Stephen Leaney,53,42.31,22,52
3,4,4,Corey Pavin,69,42.11,32,76
4,5,5,Steve Elkington,84,41.94,26,62
5,6,6,Brad Elder,67,41.56,32,77
6,7,7,Chris Riley,51,41.18,21,51
7,8,8,Jerry Kelly,89,40.7,35,86
8,9,9,Peter Lonard,92,40.43,38,94
9,10,10,Shane Bertsch,96,39.62,42,106
10,11,11,Stuart Appleby,87,39.53,34,86
11,12,12,Anthony Kim,81,39.47,30,76
12,13,13,Parker McLachlin,88,38.05,43,113
13,14,14,Brian Gay,102,37.86,39,103
14,15,15,Brad Adamonis,87,37.78,34,90
15,16,16,Bob Estes,90,37.5,33,88
16,T17,T17,Alex Cejka,75,37.1,23,62
17,T17,T17,Carl Pettersson,110,37.1,46,124
18,19,19,Tim Petrovic,97,37.04,30,81
19,20,20,Mike Weir,88,36.99,27,73
20,21,21,Charlie Wi,97,36.36,36,99
21,22,22,Matt Jones,95,35.96,41,114
22,23,23,Dean Wilson,109,35.2,44,125
23,24,24,Eric Axley,113,35.12,59,168
24,25,25,Nathan Green,95,34.92,44,126
25,26,26,Tim Wilkinson,95,34.88,30,86
26,T27,T27,Stephen Ames,83,34.85,23,66
27,T27,T27,Tim Clark,90,34.85,23,66
28,29,29,Michael Letzig,88,34.78,24,69
29,30,30,Vijay Singh,82,34.69,17,49
30,31,31,Brian Davis,108,34.48,30,87
31,32,32,Joe Ogilvie,100,34.44,31,90
32,33,33,Steve Stricker,75,34.21,26,76
33,34,34,Brandt Snedeker,85,34.09,30,88
34,35,35,Doug LaBelle II,65,33.9,20,59
35,36,36,Aaron Baddeley,76,33.78,25,74
36,37,37,Johnson Wagner,83,33.71,30,89
37,38,38,Steve Flesch,95,33.66,34,101
38,39,39,Billy Mayfair,103,32.95,29,88
39,40,40,Bill Haas,99,32.58,29,89
40,41,41,Paul Goydos,78,32.53,27,83
41,42,42,Carlos Franco,73,32.31,21,65
42,43,43,Kenny Perry,97,32.18,28,87
43,44,44,Briny Baird,113,32.1,26,81
44,45,45,Jimmy Walker,73,32.05,25,78
45,T46,T46,J.P. Hayes,67,31.91,30,94
46,T46,T46,Ian Poulter,51,31.91,15,47
47,48,48,Omar Uresti,74,31.82,21,66
48,49,49,Olin Browne,77,31.75,20,63
49,T50,T50,Robert Allenby,108,31.67,19,60
50,T50,T50,Fred Couples,60,31.67,19,60
51,52,52,Greg Kraft,63,31.58,18,57
52,53,53,Kevin Sutherland,98,31.33,26,83
53,54,54,Jesper Parnevik,88,31.31,31,99
54,55,55,Scott Sterling,89,31.25,25,80
55,56,56,David Duval,51,31.18,29,93
56,57,57,Freddie Jacobson,78,31.03,27,87
57,58,58,Mark Wilson,107,30.97,35,113
58,59,59,Richard Johnson,60,30.95,13,42
59,60,60,Patrick Sheehan,124,30.83,37,120
60,T61,T61,Sergio Garcia,72,30.77,12,39
61,T61,T61,Ron Whittaker,54,30.77,16,52
62,63,63,Michael Allen,91,30.67,23,75
63,64,64,Shigeki Maruyama,50,30.65,19,62
64,T65,T65,Justin Bolli,87,30.53,29,95
65,T65,T65,Kevin Na,97,30.53,29,95
66,67,67,John Rollins,94,30.49,25,82
67,68,68,Ken Duke,116,30.47,39,128
68,69,69,Jim Furyk,95,30.43,21,69
69,70,70,Hunter Mahan,87,30.3,20,66
70,T71,T71,Woody Austin,109,30.16,19,63
71,T71,T71,J.J. Henry,108,30.16,38,126
72,73,73,Bubba Watson,97,30.14,22,73
73,74,74,Jonathan Byrd,88,30.0,24,80
74,75,75,Ernie Els,51,29.79,14,47
75,76,76,Matt Kuchar,88,29.69,19,64
76,T77,T77,Jeff Overton,103,29.63,32,108
77,T77,T77,Bob Tway,70,29.63,16,54
78,79,79,Brenden Pappas,66,29.58,21,71
79,80,80,Tim Herron,97,29.57,34,115
80,81,81,Bart Bryant,81,29.55,13,44
81,82,82,Marco Dawson,64,29.49,23,78
82,83,83,Chris Stroud,81,29.41,20,68
83,84,84,Chris DiMarco,87,29.35,27,92
84,85,85,Ben Curtis,80,29.23,19,65
85,T86,T86,Martin Laird,98,29.17,28,96
86,T86,T86,Tom Pernice Jr.,104,29.17,35,120
87,88,88,Mark Calcavecchia,67,28.81,17,59
88,89,89,Ryan Moore,72,28.79,19,66
89,90,90,Retief Goosen,59,28.33,17,60
90,91,91,Lee Janzen,89,28.32,32,113
91,92,92,John Mallinger,95,28.26,26,92
92,T93,T93,Mathew Goggin,91,28.0,21,75
93,T93,T93,Kent Jones,68,28.0,14,50
94,T95,T95,Ryuji Imada,80,27.91,24,86
95,T95,T95,Pat Perez,93,27.91,24,86
96,97,97,John Senden,93,27.63,21,76
97,T98,T98,Chez Reavie,102,27.59,24,87
98,T98,T98,Scott Verplank,82,27.59,16,58
99,100,100,K.J. Choi,74,27.54,19,69
100,101,101,Chad Campbell,94,27.47,25,91
101,102,102,Nicholas Thompson,113,27.37,26,95
102,103,103,Jeff Quinney,87,27.35,32,117
103,T104,T104,Chad Collins,72,27.27,27,99
104,T104,T104,George McNeill,97,27.27,30,110
105,106,106,Will MacKenzie,62,27.14,19,70
106,107,107,Nick O'Hern,82,26.98,17,63
107,108,108,Brett Quigley,80,26.97,24,89
108,109,109,Ted Purdy,68,26.92,21,78
109,110,110,Glen Day,64,26.79,15,56
110,111,111,Vaughn Taylor,103,26.77,34,127
111,112,112,Billy Andrade,71,26.76,19,71
112,113,113,Jin Park,85,26.73,27,101
113,114,114,Camilo Villegas,79,26.67,16,60
114,115,115,Brett Rumford,72,26.6,25,94
115,116,116,Jason Allred,63,26.56,17,64
116,117,117,Todd Hamilton,92,26.51,22,83
117,118,118,Zach Johnson,85,26.32,15,57
118,119,119,Lucas Glover,91,26.25,21,80
119,120,120,Phil Mickelson,80,26.23,16,61
120,121,121,Justin Leonard,101,26.15,17,65
121,122,122,Charles Howell III,101,26.09,24,92
122,123,123,Alejandro Cañizares,52,26.0,13,50
123,T124,T124,Tommy Armour III,77,25.93,21,81
124,T124,T124,Frank Lickliter II,107,25.93,28,108
125,126,126,Rich Beem,90,25.88,22,85
126,T127,T127,Sean O'Hair,81,25.81,16,62
127,T127,T127,Travis Perkins,53,25.81,16,62
128,129,129,Davis Love III,78,25.71,18,70
129,130,130,Todd Demsey,80,25.68,19,74
130,T131,T131,Jason Day,81,25.61,21,82
131,T131,T131,Jim McGovern,75,25.61,21,82
132,133,133,Cameron Beckman,87,25.58,22,86
133,134,134,Boo Weekley,86,25.53,12,47
134,135,135,David Toms,70,25.45,14,55
135,136,136,Robert Gamez,79,25.35,18,71
136,137,137,J.B. Holmes,86,25.29,22,87
137,138,138,Steve Lowery,74,25.26,24,95
138,139,139,Daniel Chopra,84,25.25,25,99
139,T140,T140,Ryan Armour,87,25.0,22,88
140,T140,T140,Cody Freeman,66,25.0,17,68
141,T140,T140,Tom Lehman,51,25.0,12,48
142,T140,T140,Geoff Ogilvy,65,25.0,12,48
143,T140,T140,D.J. Trahan,94,25.0,17,68
144,T140,T140,Bo Van Pelt,101,25.0,26,104
145,146,146,Steve Marino,119,24.74,24,97
146,147,147,Kenneth Ferrie,72,24.64,17,69
147,148,148,Rory Sabbatini,77,24.62,16,65
148,149,149,Stewart Cink,87,24.39,20,82
149,T150,T150,Dudley Hart,74,24.32,18,74
150,T150,T150,Jay Williamson,96,24.32,18,74
151,152,152,Charles Warren,79,24.19,15,62
152,T153,T153,Rod Pampling,83,24.14,21,87
153,T153,T153,Tom Scherrer,56,24.14,14,58
154,155,155,Jeff Gove,50,23.91,11,46
155,156,156,Jeff Maggert,86,23.86,21,88
156,157,157,Adam Scott,51,23.81,10,42
157,158,158,Heath Slocum,104,23.73,14,59
158,T159,T159,Paul Claxton,63,23.53,16,68
159,T159,T159,Brandt Jobe,52,23.53,12,51
160,161,161,Scott McCarron,63,23.4,11,47
161,162,162,Cliff Kresge,84,23.33,21,90
162,163,163,Mathias Grönberg,87,23.0,23,100
