,Sand_Save_Percentage_RANK THIS WEEK,Sand_Save_Percentage_RANK LAST WEEK,Sand_Save_Percentage_PLAYER NAME,Sand_Save_Percentage_ROUNDS,Sand_Save_Percentage_%,Sand_Save_Percentage_# SAVES,Sand_Save_Percentage_# BUNKERS,Sand_Save_Percentage_TOTAL O/U PAR
0,1,1,Dudley Hart,74,63.71,79,124,28.0
1,2,2,Corey Pavin,69,63.11,65,103,37.0
2,3,3,Phil Mickelson,80,62.5,80,128,20.0
3,4,4,Mike Weir,88,62.09,95,153,39.0
4,5,5,Daniel Chopra,84,61.64,98,159,45.0
5,6,6,Mark Wilson,107,60.14,86,143,46.0
6,7,7,Gavin Coles,54,59.42,41,69,26.0
7,8,8,Craig Kanada,65,58.43,52,89,31.0
8,T9,T9,Padraig Harrington,52,58.06,54,93,23.0
9,T9,T9,Ian Poulter,51,58.06,54,93,29.0
10,11,11,Brenden Pappas,66,57.65,49,85,22.0
11,12,12,Kevin Na,97,57.54,103,179,53.0
12,13,13,Adam Scott,51,57.47,50,87,14.0
13,14,14,Ben Curtis,80,57.43,85,148,52.0
14,15,15,Chris Riley,51,57.35,39,68,19.0
15,16,16,Ryuji Imada,80,57.24,87,152,51.0
16,17,17,Brian Davis,108,57.23,95,166,50.0
17,18,18,Ted Purdy,68,57.14,48,84,14.0
18,19,19,Freddie Jacobson,78,57.04,81,142,45.0
19,20,20,Sergio Garcia,72,57.02,69,121,23.0
20,21,21,Jin Park,85,56.88,62,109,47.0
21,22,22,Brian Gay,102,56.71,93,164,69.0
22,23,23,Marco Dawson,64,56.57,56,99,49.0
23,T24,T24,Stuart Appleby,87,56.3,76,135,42.0
24,T24,T24,J.P. Hayes,67,56.3,67,119,49.0
25,26,26,Briny Baird,113,56.25,90,160,46.0
26,27,27,Richard Johnson,77,56.03,79,141,40.0
27,28,28,Tom Scherrer,56,56.0,28,50,18.0
28,29,29,Pat Perez,93,55.8,77,138,38.0
29,30,30,Bob Tway,70,55.56,45,81,24.0
30,31,31,Chad Collins,72,55.34,57,103,37.0
31,32,32,Joe Ogilvie,100,55.28,89,161,46.0
32,33,33,Justin Leonard,101,55.17,80,145,49.0
33,34,34,Glen Day,64,54.95,50,91,28.0
34,35,35,Camilo Villegas,79,54.61,77,141,36.0
35,T36,T36,Billy Mayfair,103,54.6,95,174,56.0
36,T36,T36,Kevin Sutherland,98,54.6,89,163,33.0
37,38,38,Tim Clark,90,54.55,90,165,56.0
38,39,39,Rich Beem,90,54.49,85,156,43.0
39,40,40,Ernie Els,51,54.37,56,103,23.0
40,41,41,Carlos Franco,73,54.21,58,107,29.0
41,T42,T42,Jeff Gove,50,54.17,26,48,18.0
42,T42,T42,Geoff Ogilvy,65,54.17,65,120,52.0
43,44,44,Parker McLachlin,88,54.05,80,148,51.0
44,45,45,Vaughn Taylor,103,54.04,87,161,63.0
45,46,46,Heath Slocum,104,53.95,82,152,60.0
46,T47,T47,Jason Allred,63,53.85,49,91,31.0
47,T47,T47,Brett Rumford,72,53.85,56,104,37.0
48,49,49,Tom Lehman,51,53.66,44,82,29.0
49,50,50,Tommy Gainey,60,53.57,45,84,26.0
50,51,51,Robert Gamez,79,53.47,54,101,30.0
51,52,52,Rod Pampling,83,53.46,85,159,52.0
52,53,53,Scott Verplank,82,53.44,70,131,53.0
53,54,54,Mathew Goggin,91,53.33,80,150,47.0
54,55,55,Nathan Green,95,53.26,98,184,68.0
55,56,56,Rocco Mediate,87,53.25,82,154,64.0
56,57,57,Omar Uresti,74,53.15,59,111,39.0
57,58,58,Carl Pettersson,110,53.13,102,192,60.0
58,59,59,Ben Crane,86,52.94,72,136,42.0
59,60,60,Todd Demsey,80,52.9,73,138,43.0
60,61,61,Jim McGovern,75,52.88,55,104,37.0
61,62,62,Charles Howell III,101,52.8,85,161,50.0
62,63,63,Matt Kuchar,88,52.76,67,127,55.0
63,64,64,Bo Van Pelt,101,52.67,79,150,53.0
64,65,65,Steve Flesch,95,52.63,70,133,48.0
65,66,66,Charlie Wi,97,52.52,73,139,37.0
66,67,67,Cameron Beckman,87,52.46,64,122,53.0
67,68,68,Kevin Streelman,114,52.35,89,170,56.0
68,69,69,Steve Stricker,75,52.34,56,107,37.0
69,70,70,Tim Wilkinson,95,52.29,80,153,58.0
70,71,71,Frank Lickliter II,107,52.05,89,171,72.0
71,T72,T72,Aaron Baddeley,76,52.0,65,125,36.0
72,T72,T72,John Huston,56,52.0,39,75,22.0
73,74,74,Nick O'Hern,82,51.69,61,118,50.0
74,75,75,Michael Allen,91,51.67,62,120,41.0
75,76,76,Marc Turnesa,87,51.64,63,122,49.0
76,77,77,Brad Elder,67,51.61,48,93,38.0
77,78,78,Matt Jones,95,51.59,81,157,57.0
78,79,79,George McNeill,97,51.33,77,150,49.0
79,80,80,Tim Petrovic,97,51.27,81,158,64.0
80,81,81,Richard Johnson,60,51.25,41,80,35.0
81,T82,T82,K.J. Choi,74,51.16,66,129,47.0
