,Scrambling_Rough_RTP_Score_RANK THIS WEEK,Scrambling_Rough_RTP_Score_RANK LAST WEEK,Scrambling_Rough_RTP_Score_PLAYER NAME,Scrambling_Rough_RTP_Score_ROUNDS,Scrambling_Rough_RTP_Score_AVG RTP,Scrambling_Rough_RTP_Score_TOTAL HOLES,Scrambling_Rough_RTP_Score_TOTAL RTP
0,1,1,Steve Stricker,75,0.321,137,44.0
1,2,2,Justin Leonard,101,0.34299999999999997,169,58.0
2,3,3,Eric Axley,113,0.344,259,89.0
3,4,4,Chris Riley,51,0.35600000000000004,101,36.0
4,5,5,Stephen Ames,83,0.36,150,54.0
5,6,6,Brian Gay,102,0.366,202,74.0
6,7,7,Shigeki Maruyama,50,0.37799999999999995,135,51.0
7,8,8,Carl Pettersson,110,0.385,252,97.0
8,9,9,Billy Mayfair,103,0.389,216,84.0
9,10,10,Tim Petrovic,97,0.39299999999999996,211,83.0
10,11,11,Charlie Wi,97,0.395,200,79.0
11,T12,T12,Vijay Singh,82,0.397,146,58.0
12,T12,T12,Heath Slocum,104,0.397,174,69.0
13,14,14,Matt Kuchar,88,0.39899999999999997,173,69.0
14,15,15,Brandt Snedeker,85,0.4,165,66.0
15,T16,T16,Charles Howell III,101,0.401,217,87.0
16,T16,T16,Scott Verplank,82,0.401,147,59.0
17,T18,T18,Shane Bertsch,96,0.402,224,90.0
18,T18,T18,Kevin Sutherland,98,0.402,204,82.0
19,20,20,Ian Poulter,51,0.40399999999999997,104,42.0
20,21,21,Jonathan Byrd,88,0.405,168,68.0
21,22,22,Glen Day,64,0.406,133,54.0
22,23,23,Corey Pavin,69,0.409,164,67.0
23,24,24,Ben Crane,86,0.41,178,73.0
24,25,25,Peter Lonard,92,0.41100000000000003,180,74.0
25,T26,T26,Briny Baird,113,0.415,200,83.0
26,T26,T26,Scott Sterling,89,0.415,159,66.0
27,28,28,Anthony Kim,81,0.41700000000000004,156,65.0
28,29,29,Jeff Quinney,87,0.419,186,78.0
29,30,30,Jim Furyk,95,0.42100000000000004,183,77.0
30,T31,T31,Gavin Coles,54,0.42200000000000004,102,43.0
31,T31,T31,Stephen Leaney,53,0.42200000000000004,102,43.0
32,T31,T31,Mike Weir,88,0.42200000000000004,161,68.0
33,T34,T34,Nick O'Hern,82,0.425,167,71.0
34,T34,T34,Jesper Parnevik,88,0.425,219,93.0
35,T36,T36,Tim Clark,90,0.426,190,81.0
36,T36,T36,Steve Elkington,84,0.426,176,75.0
37,T36,T36,Tim Herron,97,0.426,237,101.0
38,T39,T39,Jerry Kelly,89,0.42700000000000005,164,70.0
39,T39,T39,Steve Marino,119,0.42700000000000005,213,91.0
40,T41,T41,Zach Johnson,85,0.433,164,71.0
41,T41,T41,John Mallinger,95,0.433,217,94.0
42,43,43,Rocco Mediate,87,0.434,173,75.0
43,44,44,Vaughn Taylor,103,0.435,239,104.0
44,T45,T45,Ben Curtis,80,0.436,140,61.0
45,T45,T45,Andres Romero,69,0.436,163,71.0
46,47,47,Woody Austin,109,0.43700000000000006,213,93.0
47,48,48,Brad Elder,67,0.44,134,59.0
48,T49,T49,K.J. Choi,74,0.441,127,56.0
49,T49,T49,Ryuji Imada,80,0.441,195,86.0
50,T49,T49,Kenny Perry,97,0.441,227,100.0
51,T52,T52,John Riegger,73,0.444,126,56.0
52,T52,T52,Patrick Sheehan,124,0.444,297,132.0
53,T54,T54,Retief Goosen,59,0.445,119,53.0
54,T54,T54,Bob Tway,70,0.445,119,53.0
55,T56,T56,Phil Mickelson,80,0.447,150,67.0
56,T56,T56,Chez Reavie,102,0.447,206,92.0
57,T58,T58,Bart Bryant,81,0.45,171,77.0
58,T58,T58,Parker McLachlin,88,0.45,200,90.0
59,60,60,Michael Letzig,88,0.452,199,90.0
60,61,61,Joe Ogilvie,100,0.45399999999999996,238,108.0
61,T62,T62,Chad Collins,72,0.455,178,81.0
62,T62,T62,Brett Rumford,72,0.455,200,91.0
63,64,64,Alejandro Cañizares,52,0.456,114,52.0
64,T65,T65,Brian Davis,108,0.45799999999999996,225,103.0
65,T65,T65,Padraig Harrington,52,0.45799999999999996,96,44.0
66,67,67,Lucas Glover,91,0.45899999999999996,209,96.0
67,68,68,Steve Flesch,95,0.46,198,91.0
68,69,69,Tom Lehman,51,0.462,104,48.0
69,70,70,Greg Kraft,63,0.46299999999999997,149,69.0
70,T71,T71,Stuart Appleby,87,0.465,172,80.0
71,T71,T71,Tom Pernice Jr.,104,0.465,258,120.0
72,73,73,Michael Allen,91,0.466,174,81.0
73,T74,T74,Mark Calcavecchia,67,0.467,137,64.0
74,T74,T74,Kevin Na,97,0.467,212,99.0
75,76,76,John Rollins,94,0.46799999999999997,188,88.0
76,77,77,Richard Johnson,60,0.47,132,62.0
77,78,78,Ángel Cabrera,55,0.47100000000000003,102,48.0
78,T79,T79,Scott McCarron,63,0.473,131,62.0
79,T79,T79,Omar Uresti,74,0.473,150,71.0
80,T81,T81,Mathew Goggin,91,0.474,173,82.0
81,T81,T81,Kevin Streelman,114,0.474,228,108.0
82,T81,T81,Chris Stroud,81,0.474,152,72.0
83,T84,T84,Cliff Kresge,84,0.475,183,87.0
84,T84,T84,Jimmy Walker,73,0.475,179,85.0
85,86,86,Tim Wilkinson,95,0.47600000000000003,210,100.0
86,87,87,Geoff Ogilvy,65,0.47700000000000004,128,61.0
87,T88,T88,Tommy Armour III,77,0.479,163,78.0
88,T88,T88,Matt Jones,95,0.479,257,123.0
89,T88,T88,Frank Lickliter II,107,0.479,261,125.0
90,T88,T88,Dean Wilson,109,0.479,219,105.0
