,Proximity_to_Hole_from__10_yards_RANK THIS WEEK,Proximity_to_Hole_from__10_yards_RANK LAST WEEK,Proximity_to_Hole_from__10_yards_PLAYER NAME,Proximity_to_Hole_from__10_yards_ROUNDS,Proximity_to_Hole_from__10_yards_AVG DTP,Proximity_to_Hole_from__10_yards_TOTAL DISTANCE (FEET),Proximity_to_Hole_from__10_yards_# OF SHOTS,Proximity_to_Hole_from__10_yards_SCRAMBLING RANK
0,T1,T1,Jeff Gove,50,"2' 7""",155.5,61,80
1,T1,T1,Ron Whittaker,54,"2' 7""",145.583,57,164
2,3,3,Anthony Kim,81,"2' 8""",282.75,106,45
3,4,4,Briny Baird,113,"2' 9""",375.5,136,5
4,T5,T5,John Mallinger,95,"2' 10""",438.25,154,61
5,T5,T5,Charlie Wi,97,"2' 10""",381.667,134,4
6,T7,T7,Ben Curtis,80,"2' 11""",358.667,123,46
7,T7,T7,Zach Johnson,85,"2' 11""",314.33299999999997,109,103
8,T7,T7,Vijay Singh,82,"2' 11""",306.5,105,51
9,T7,T7,Bob Tway,70,"2' 11""",257.75,88,27
10,T11,T11,Tommy Armour III,77,"3' 0""",273.33299999999997,90,132
11,T11,T11,Chad Collins,72,"3' 0""",271.16700000000003,90,88
12,T11,T11,Harrison Frazar,73,"3' 0""",301.66700000000003,100,175
13,T11,T11,Brian Gay,102,"3' 0""",426.167,141,1
14,T11,T11,Ryuji Imada,80,"3' 0""",359.5,119,34
15,T11,T11,Trevor Immelman,70,"3' 0""",219.25,74,181
16,T11,T11,Pat Perez,93,"3' 0""",380.0,127,124
17,T11,T11,Omar Uresti,74,"3' 0""",272.83299999999997,90,8
18,T19,T19,Shane Bertsch,96,"3' 1""",467.167,153,18
19,T19,T19,Carlos Franco,73,"3' 1""",275.25,90,153
20,T19,T19,J.J. Henry,108,"3' 1""",336.0,110,143
21,T19,T19,Charley Hoffman,94,"3' 1""",487.0,156,93
22,T19,T19,Justin Leonard,101,"3' 1""",332.333,109,34
23,T19,T19,Will MacKenzie,62,"3' 1""",247.667,81,130
24,T19,T19,Shigeki Maruyama,50,"3' 1""",214.583,69,14
25,T19,T19,Nick O'Hern,82,"3' 1""",371.25,120,22
26,T19,T19,Geoff Ogilvy,65,"3' 1""",273.25,89,38
27,T19,T19,Kevin Streelman,114,"3' 1""",510.833,165,56
28,T19,T19,Chris Stroud,81,"3' 1""",271.08299999999997,89,165
29,T19,T19,Tim Wilkinson,95,"3' 1""",345.417,112,28
30,T31,T31,Eric Axley,113,"3' 2""",472.167,148,40
31,T31,T31,Gavin Coles,54,"3' 2""",255.333,80,9
32,T31,T31,Bob Estes,90,"3' 2""",390.25,123,33
33,T31,T31,Retief Goosen,59,"3' 2""",241.833,76,76
34,T31,T31,Matt Kuchar,88,"3' 2""",359.917,114,14
35,T31,T31,Chris Riley,51,"3' 2""",182.917,58,2
36,T31,T31,Brett Rumford,72,"3' 2""",277.91700000000003,88,151
37,T31,T31,Camilo Villegas,79,"3' 2""",312.91700000000003,99,171
38,T39,T39,Stephen Ames,83,"3' 3""",338.417,105,57
39,T39,T39,Jonathan Byrd,88,"3' 3""",461.167,142,72
40,T39,T39,Tim Clark,90,"3' 3""",372.417,114,65
41,T39,T39,Glen Day,64,"3' 3""",327.833,101,6
42,T39,T39,Todd Demsey,80,"3' 3""",291.66700000000003,90,65
43,T39,T39,Mathias Grönberg,87,"3' 3""",442.0,135,121
44,T39,T39,Padraig Harrington,52,"3' 3""",226.167,69,21
45,T39,T39,Lee Janzen,89,"3' 3""",378.917,116,91
46,T39,T39,Jerry Kelly,89,"3' 3""",402.917,123,83
47,T39,T39,Brenden Pappas,66,"3' 3""",287.75,88,50
48,T49,T49,Michael Allen,91,"3' 4""",405.5,122,110
49,T49,T49,Rich Beem,90,"3' 4""",430.0,128,169
50,T49,T49,Stewart Cink,87,"3' 4""",317.91700000000003,96,142
51,T49,T49,Bill Haas,99,"3' 4""",463.667,140,148
52,T49,T49,J.B. Holmes,86,"3' 4""",398.583,120,152
53,T49,T49,Tom Lehman,51,"3' 4""",215.25,65,101
54,T49,T49,Jim McGovern,75,"3' 4""",290.0,87,167
55,T49,T49,John Merrick,98,"3' 4""",399.333,120,160
56,T49,T49,Kevin Na,97,"3' 4""",506.667,153,13
57,T49,T49,Rod Pampling,83,"3' 4""",333.083,101,129
58,T49,T49,Jesper Parnevik,88,"3' 4""",397.667,120,23
59,T49,T49,Tom Pernice Jr.,104,"3' 4""",589.0830000000001,176,11
60,T49,T49,Heath Slocum,104,"3' 4""",509.417,151,75
61,T49,T49,Jay Williamson,96,"3' 4""",424.75,126,159
62,T63,T63,Aaron Baddeley,76,"3' 5""",377.917,110,60
63,T63,T63,Brian Davis,108,"3' 5""",522.0,153,17
64,T63,T63,Nick Flanagan,89,"3' 5""",478.417,141,179
65,T63,T63,Jim Furyk,95,"3' 5""",365.167,107,29
66,T63,T63,Dudley Hart,74,"3' 5""",356.083,105,20
67,T63,T63,Charles Howell III,101,"3' 5""",413.667,121,116
68,T63,T63,Steve Marino,119,"3' 5""",523.0,154,55
69,T63,T63,Corey Pavin,69,"3' 5""",283.58299999999997,84,3
70,T63,T63,Chez Reavie,102,"3' 5""",546.25,159,52
71,T63,T63,Scott Sterling,89,"3' 5""",365.833,106,19
72,T63,T63,Steve Stricker,75,"3' 5""",309.25,90,12
73,T74,T74,Alejandro Cañizares,52,"3' 6""",250.333,72,111
74,T74,T74,Daniel Chopra,84,"3' 6""",402.333,114,95
75,T74,T74,Ben Crane,86,"3' 6""",415.917,119,16
76,T74,T74,Brad Elder,67,"3' 6""",286.66700000000003,82,37
77,T74,T74,J.P. Hayes,67,"3' 6""",333.417,95,73
78,T74,T74,Brandt Jobe,52,"3' 6""",251.333,71,172
79,T74,T74,Richard Johnson,77,"3' 6""",413.25,119,67
80,T74,T74,Matt Jones,95,"3' 6""",459.25,131,62
81,T74,T74,Davis Love III,78,"3' 6""",380.417,109,145
82,T74,T74,David Lutterus,59,"3' 6""",254.917,73,184
83,T74,T74,Scott McCarron,63,"3' 6""",283.08299999999997,80,59
84,T74,T74,Phil Mickelson,80,"3' 6""",317.41700000000003,91,26
85,T74,T74,Tim Petrovic,97,"3' 6""",487.833,141,53
86,T74,T74,Ian Poulter,51,"3' 6""",253.167,72,120
87,T74,T74,Jeff Quinney,87,"3' 6""",390.5,111,70
88,T74,T74,D.J. Trahan,94,"3' 6""",487.833,139,139
89,T74,T74,Mike Weir,88,"3' 6""",374.333,108,7
90,T91,T91,Bart Bryant,81,"3' 7""",418.0,116,47
91,T91,T91,Ángel Cabrera,55,"3' 7""",268.5,75,180
92,T91,T91,K.J. Choi,74,"3' 7""",287.58299999999997,80,95
93,T91,T91,Jason Day,81,"3' 7""",462.083,129,94
94,T91,T91,Lucas Glover,91,"3' 7""",498.5,139,115
95,T91,T91,Nathan Green,95,"3' 7""",570.75,159,32
96,T91,T91,Mark Hensby,71,"3' 7""",368.0,103,185
97,T91,T91,Tim Herron,97,"3' 7""",570.4169999999999,160,10
98,T91,T91,Craig Kanada,65,"3' 7""",294.16700000000003,82,24
99,T91,T91,Stephen Leaney,53,"3' 7""",246.0,69,53
100,T91,T91,Parker McLachlin,88,"3' 7""",469.833,132,42
101,T91,T91,Ryan Moore,72,"3' 7""",460.583,130,48
102,T91,T91,Patrick Sheehan,124,"3' 7""",720.9169999999999,199,39
103,T91,T91,Kevin Sutherland,98,"3' 7""",442.833,123,25
104,T91,T91,Scott Verplank,82,"3' 7""",416.333,116,83
105,T91,T91,Bubba Watson,97,"3' 7""",479.25,134,156
106,T91,T91,Mark Wilson,107,"3' 7""",549.0,155,31
107,T108,T108,Sergio Garcia,72,"3' 8""",318.41700000000003,87,89
108,T108,T108,Greg Kraft,63,"3' 8""",378.25,104,64
109,T108,T108,Doug LaBelle II,65,"3' 8""",294.41700000000003,80,68
110,T108,T108,George McNeill,97,"3' 8""",405.25,111,191
111,T108,T108,Tag Ridings,88,"3' 8""",560.1669999999999,154,118
112,T108,T108,David Toms,70,"3' 8""",295.66700000000003,81,187
113,T108,T108,Marc Turnesa,87,"3' 8""",452.5,123,41
114,T108,T108,Johnson Wagner,83,"3' 8""",456.583,125,103
115,T108,T108,Dean Wilson,109,"3' 8""",475.417,129,97
116,T117,T117,Steve Allan,58,"3' 9""",248.917,66,175
117,T117,T117,Stuart Appleby,87,"3' 9""",368.333,99,30
118,T117,T117,David Duval,51,"3' 9""",188.333,50,195
119,T117,T117,Cody Freeman,66,"3' 9""",367.0,97,177
120,T117,T117,Robert Garrigus,90,"3' 9""",593.8330000000001,159,190
121,T117,T117,Mathew Goggin,91,"3' 9""",401.583,107,77
122,T117,T117,Peter Lonard,92,"3' 9""",427.5,115,107
123,T117,T117,Kenny Perry,97,"3' 9""",577.75,155,90
124,T117,T117,Ted Purdy,68,"3' 9""",380.25,101,123
125,T117,T117,Andres Romero,69,"3' 9""",389.583,103,85
126,T127,T127,Jason Allred,63,"3' 10""",305.16700000000003,79,127
127,T127,T127,Alex Cejka,75,"3' 10""",419.25,110,140
128,T127,T127,Paul Claxton,63,"3' 10""",258.16700000000003,68,178
129,T127,T127,Ernie Els,51,"3' 10""",274.75,72,112
130,T127,T127,Tommy Gainey,60,"3' 10""",236.083,61,197
131,T127,T127,Cliff Kresge,84,"3' 10""",445.667,116,166
132,T127,T127,Michael Letzig,88,"3' 10""",467.833,122,108
133,T127,T127,Frank Lickliter II,107,"3' 10""",682.0830000000001,177,87
134,T127,T127,Jeff Maggert,86,"3' 10""",423.583,110,133
135,T127,T127,Hunter Mahan,87,"3' 10""",373.0,97,170
136,T127,T127,Troy Matteson,94,"3' 10""",507.083,131,173
137,T127,T127,John Riegger,73,"3' 10""",389.667,101,58
138,T139,T139,Billy Andrade,71,"3' 11""",421.833,107,163
139,T139,T139,Woody Austin,109,"3' 11""",559.5,143,147
140,T139,T139,Olin Browne,77,"3' 11""",441.167,113,113
141,T139,T139,Fred Couples,60,"3' 11""",366.0,94,71
142,T139,T139,Ken Duke,116,"3' 11""",666.5,172,82
143,T139,T139,Robert Gamez,79,"3' 11""",458.75,118,162
144,T139,T139,Paul Goydos,78,"3' 11""",391.583,101,74
145,T139,T139,John Huston,56,"3' 11""",318.66700000000003,82,79
