,Scrambling_from_the_Fringe_RANK THIS WEEK,Scrambling_from_the_Fringe_RANK LAST WEEK,Scrambling_from_the_Fringe_PLAYER NAME,Scrambling_from_the_Fringe_ROUNDS,Scrambling_from_the_Fringe_%,Scrambling_from_the_Fringe_SUCCESSES,Scrambling_from_the_Fringe_ATTEMPTS
0,1,1,Scott Brown,100,97.7,85,87
1,2,2,Graeme McDowell,66,97.5,39,40
2,T3,T3,Billy Horschel,92,97.3,36,37
3,T3,T3,D.A. Points,75,97.3,36,37
4,5,5,Kevin Tway,64,97.06,33,34
5,6,6,Dustin Johnson,58,96.97,32,33
6,7,7,Nick Watney,80,96.55,56,58
7,8,8,Luke Donald,57,96.43,27,28
8,9,9,Hideki Matsuyama,82,96.15,50,52
9,10,10,Greg Chalmers,85,96.1,74,77
10,11,11,William McGirt,96,95.95,71,74
11,12,12,Mike Weir,69,95.83,46,48
12,13,13,Chris Kirk,105,95.71,67,70
13,14,14,Brian Harman,111,95.6,87,91
14,15,15,Jim Furyk,84,95.08,58,61
15,T16,T16,Ben Curtis,77,94.83,55,58
16,T16,T16,Seung-Yul Noh,92,94.83,55,58
17,T18,T18,Matt Every,85,94.74,54,57
18,T18,T18,Lee Westwood,57,94.74,36,38
19,20,20,Ricky Barnes,92,94.52,69,73
20,21,21,Kevin Chappell,100,94.44,68,72
21,22,22,Keegan Bradley,89,94.34,50,53
22,23,23,Brandt Snedeker,89,94.0,47,50
23,24,24,Camilo Villegas,95,93.42,71,76
24,T25,T25,Jonas Blixt,64,93.33,28,30
25,T25,T25,Bryce Molder,77,93.33,42,45
26,T25,T25,Daniel Summerhays,98,93.33,70,75
27,28,28,Charlie Wi,72,93.24,69,74
28,T29,T29,Ernie Els,85,93.18,41,44
29,T29,T29,Rickie Fowler,91,93.18,41,44
30,T29,T29,Patrick Reed,92,93.18,41,44
31,32,32,David Lingmerth,80,93.1,54,58
32,T33,T33,Brendan Steele,89,93.06,67,72
33,T33,T33,Chris Stroud,88,93.06,67,72
34,35,35,Erik Compton,88,92.86,65,70
35,T36,T36,Andres Romero,81,92.31,60,65
36,T36,T36,Mark Wilson,69,92.31,48,52
37,38,38,Morgan Hoffmann,103,92.21,71,77
38,39,39,David Hearn,97,92.19,59,64
39,T40,T40,Robert Allenby,83,92.06,58,63
40,T40,T40,Zach Johnson,97,92.06,58,63
41,42,42,Brian Davis,93,91.95,80,87
42,43,43,Charley Hoffman,93,91.94,57,62
43,44,44,Phil Mickelson,71,91.89,34,37
44,T45,T45,Jason Kokrak,65,91.84,45,49
45,T45,T45,Kevin Streelman,79,91.84,45,49
46,T45,T45,Michael Thompson,74,91.84,45,49
47,48,48,Charles Howell III,106,91.76,78,85
48,T49,T49,Brad Fritsch,50,91.67,33,36
49,T49,T49,Kevin Kisner,85,91.67,66,72
50,51,51,Justin Leonard,75,91.55,65,71
51,T52,T52,Ryan Palmer,85,91.53,54,59
52,T52,T52,Josh Teater,90,91.53,54,59
53,54,54,Bubba Watson,76,91.49,43,47
54,55,55,Gary Woodland,93,91.38,53,58
55,56,56,Brendon de Jonge,109,91.3,63,69
56,57,57,James Driscoll,71,91.23,52,57
57,58,58,Rory McIlroy,66,91.18,31,34
58,59,59,Russell Henley,92,91.11,41,45
59,T60,T60,Jeff Overton,80,91.07,51,56
60,T60,T60,Scott Stallings,77,91.07,51,56
61,T62,T62,Stewart Cink,91,90.91,60,66
62,T62,T62,Brooks Koepka,56,90.91,40,44
63,T62,T62,John Senden,99,90.91,50,55
64,T62,T62,Kevin Stadler,90,90.91,40,44
65,T62,T62,David Toms,64,90.91,40,44
66,67,67,Marc Leishman,81,90.74,49,54
67,68,68,J.J. Henry,91,90.67,68,75
68,69,69,J.B. Holmes,86,90.63,58,64
69,70,70,Scott Langley,95,90.59,77,85
70,71,71,Brice Garnett,92,90.54,67,74
71,72,72,Hudson Swafford,75,90.38,47,52
72,T73,T73,Tim Clark,75,90.32,56,62
73,T73,T73,Russell Knox,92,90.32,84,93
74,75,75,Jerry Kelly,80,90.2,46,51
75,76,76,Tyrone Van Aswegen,79,90.16,55,61
76,T77,T77,Sangmoon Bae,76,90.0,54,60
77,T77,T77,Sergio Garcia,61,90.0,27,30
78,T77,T77,Freddie Jacobson,91,90.0,63,70
79,T77,T77,Wes Roach,67,90.0,54,60
80,81,81,Aaron Baddeley,74,89.74,35,39
81,82,82,George McNeill,79,89.71,61,68
82,83,83,Ángel Cabrera,69,89.66,52,58
83,84,84,Matt Jones,83,89.39,59,66
84,T85,T85,Martin Laird,66,89.36,42,47
85,T85,T85,Andrew Loupe,65,89.36,42,47
86,87,87,Harris English,95,89.29,50,56
87,T88,T88,Geoff Ogilvy,84,89.23,58,65
88,T88,T88,Tim Wilkinson,86,89.23,58,65
89,90,90,Jhonattan Vegas,77,89.06,57,64
90,T91,T91,Roberto Castro,76,88.89,56,63
91,T91,T91,Jason Dufner,57,88.89,32,36
92,T91,T91,Ian Poulter,57,88.89,32,36
93,T91,T91,Justin Rose,70,88.89,40,45
94,T91,T91,Adam Scott,68,88.89,32,36
95,T91,T91,Brendon Todd,108,88.89,72,81
96,T97,T97,Ryan Moore,86,88.68,47,53
97,T97,T97,Vijay Singh,83,88.68,47,53
98,T99,T99,Graham DeLaet,80,88.64,39,44
99,T99,T99,Jeff Maggert,54,88.64,39,44
100,101,101,Jason Day,54,88.46,23,26
101,102,102,Martin Kaymer,65,88.37,38,43
102,103,103,Jimmy Walker,98,88.33,53,60
103,104,104,Paul Casey,56,88.24,30,34
104,105,105,Jonathan Byrd,76,88.14,52,59
105,106,106,Boo Weekley,73,88.1,37,42
106,T107,T107,Rory Sabbatini,82,88.0,44,50
107,T107,T107,Y.E. Yang,79,88.0,44,50
108,109,109,Retief Goosen,94,87.88,58,66
109,T110,T110,Martin Flores,85,87.72,50,57
110,T110,T110,Hunter Mahan,88,87.72,50,57
111,T112,T112,Stuart Appleby,92,87.5,70,80
112,T112,T112,James Hahn,82,87.5,63,72
113,T112,T112,Billy Hurley III,86,87.5,56,64
114,T112,T112,Bronson La'Cassie,51,87.5,35,40
115,T112,T112,D.H. Lee,54,87.5,35,40
116,T112,T112,Davis Love III,74,87.5,56,64
117,T112,T112,Shawn Stefani,60,87.5,49,56
118,T112,T112,Nicholas Thompson,85,87.5,49,56
119,T120,T120,Matt Kuchar,91,87.3,55,63
120,T120,T120,Kevin Na,94,87.3,55,63
121,122,122,Michael Putnam,106,87.18,68,78
122,123,123,Charl Schwartzel,64,86.96,40,46
123,T124,T124,Jason Bohn,81,86.76,59,68
124,T124,T124,Cameron Tringale,111,86.76,59,68
125,126,126,Steven Bowditch,93,86.67,65,75
126,T127,T127,K.J. Choi,80,86.54,45,52
127,T127,T127,Gonzalo Fernandez-Castaño,83,86.54,45,52
128,T129,T129,Charlie Beljan,76,86.44,51,59
129,T129,T129,Sean O'Hair,77,86.44,51,59
130,T129,T129,"Ted Potter, Jr.",68,86.44,51,59
131,T132,T132,Brian Gay,81,86.36,57,66
132,T132,T132,Jim Herman,62,86.36,38,44
133,T132,T132,Jordan Spieth,102,86.36,57,66
134,T135,T135,Briny Baird,50,86.27,44,51
135,T135,T135,Webb Simpson,87,86.27,44,51
136,137,137,Justin Hicks,103,86.11,62,72
137,138,138,Johnson Wagner,69,86.0,43,50
138,139,139,Troy Matteson,62,85.96,49,57
139,T140,T140,Ben Crane,81,85.94,55,64
140,T140,T140,Tommy Gainey,73,85.94,55,64
141,142,142,Robert Garrigus,80,85.92,61,71
142,143,143,Robert Streb,75,85.51,59,69
143,T144,T144,Bill Haas,107,85.48,53,62
144,T144,T144,Ben Martin,80,85.48,53,62
145,T146,T146,Heath Slocum,71,85.45,47,55
146,T146,T146,Bo Van Pelt,83,85.45,47,55
