,Proximity_to_Hole_ARG_RANK THIS WEEK,Proximity_to_Hole_ARG_RANK LAST WEEK,Proximity_to_Hole_ARG_PLAYER NAME,Proximity_to_Hole_ARG_ROUNDS,Proximity_to_Hole_ARG_AVG DTP,Proximity_to_Hole_ARG_TOTAL DISTANCE (FEET),Proximity_to_Hole_ARG_# OF SHOTS,Proximity_to_Hole_ARG_SCRAMBLING RANK
0,1,1,Jim Furyk,84,"5' 11""",2304.583,387,1
1,2,2,Bud Cauley,56,"6' 0""",1870.3329999999999,311,57
2,3,3,Justin Rose,70,"6' 2""",2211.333,359,31
3,T4,T4,Luke Donald,57,"6' 3""",1871.8329999999999,299,38
4,T4,T4,Justin Leonard,75,"6' 3""",2880.167,460,6
5,T4,T4,Kevin Na,94,"6' 3""",3489.5,556,4
6,7,7,Zach Johnson,97,"6' 4""",3347.417,527,36
7,8,8,Jason Day,54,"6' 5""",1495.1670000000001,233,5
8,T9,T9,Paul Casey,56,"6' 6""",1948.0829999999999,301,128
9,T9,T9,Roberto Castro,76,"6' 6""",2809.583,430,136
10,T9,T9,Gonzalo Fernandez-Castaño,83,"6' 6""",3403.167,526,100
11,T9,T9,Brian Gay,81,"6' 6""",3143.25,481,3
12,T9,T9,Matt Kuchar,91,"6' 6""",3156.0,483,12
13,T9,T9,Tyrone Van Aswegen,79,"6' 6""",2793.333,428,94
14,T15,T15,Tim Clark,75,"6' 7""",2561.917,388,70
15,T15,T15,Chris Stroud,88,"6' 7""",3416.75,516,18
16,T15,T15,Charlie Wi,72,"6' 7""",3175.75,483,15
17,T18,T18,Stuart Appleby,92,"6' 8""",3863.167,579,34
18,T18,T18,Kevin Chappell,100,"6' 8""",3810.333,569,114
19,T18,T18,Phil Mickelson,71,"6' 8""",2570.417,384,20
20,T18,T18,Ian Poulter,57,"6' 8""",2052.417,309,98
21,T18,T18,Jordan Spieth,102,"6' 8""",4148.083,622,13
22,T18,T18,Mike Weir,69,"6' 8""",2747.833,411,56
23,T24,T24,Scott Brown,100,"6' 9""",3961.917,588,86
24,T24,T24,Jonathan Byrd,76,"6' 9""",3188.083,471,99
25,T24,T24,Brian Davis,93,"6' 9""",4138.583,614,25
26,T24,T24,J.B. Holmes,86,"6' 9""",4230.583,629,89
27,T24,T24,Ryo Ishikawa,75,"6' 9""",2923.083,433,152
28,T24,T24,Rory McIlroy,66,"6' 9""",2297.25,340,88
29,T24,T24,Bryce Molder,77,"6' 9""",2887.333,430,44
30,T24,T24,Webb Simpson,87,"6' 9""",3210.5,475,77
31,T24,T24,Vijay Singh,83,"6' 9""",3540.75,525,73
32,T24,T24,Shawn Stefani,60,"6' 9""",2618.25,389,67
33,T34,T34,Briny Baird,50,"6' 10""",2024.5,296,118
34,T34,T34,Sergio Garcia,61,"6' 10""",1793.9170000000001,261,2
35,T34,T34,Brian Harman,111,"6' 10""",4665.667,684,60
36,T34,T34,Brandt Snedeker,89,"6' 10""",3168.667,463,66
37,T34,T34,Tim Wilkinson,86,"6' 10""",3630.667,531,10
38,T39,T39,Steven Bowditch,93,"6' 11""",4085.417,589,120
39,T39,T39,Jason Dufner,57,"6' 11""",1990.75,287,166
40,T39,T39,Ernie Els,85,"6' 11""",3523.25,512,26
41,T39,T39,Harris English,95,"6' 11""",3401.5,491,110
42,T39,T39,Rickie Fowler,91,"6' 11""",3024.333,438,17
