,Proximity_to_Hole_from_Other_Locations_RANK THIS WEEK,Proximity_to_Hole_from_Other_Locations_RANK LAST WEEK,Proximity_to_Hole_from_Other_Locations_PLAYER NAME,Proximity_to_Hole_from_Other_Locations_ROUNDS,Proximity_to_Hole_from_Other_Locations_AVG DTP,Proximity_to_Hole_from_Other_Locations_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Other_Locations_# OF SHOTS,Proximity_to_Hole_from_Other_Locations_SCRAMBLING RANK
0,1,1,Justin Leonard,75,"4' 10""",7.027,122,6
1,2,2,Paul Casey,56,"5' 2""",5.4510000000000005,88,128
2,T3,T3,Jonathan Byrd,76,"5' 4""",9.2,143,99
3,T3,T3,Jeff Maggert,54,"5' 4""",5.734,90,93
4,T5,T5,Zach Johnson,97,"5' 7""",8.939,133,36
5,T5,T5,Pat Perez,84,"5' 7""",9.6,144,46
6,T7,T7,Luke Donald,57,"5' 8""",5.603,82,38
7,T7,T7,Jim Furyk,84,"5' 8""",6.112,90,1
8,T7,T7,John Merrick,87,"5' 8""",10.434000000000001,154,175
9,T7,T7,Wes Roach,67,"5' 8""",7.388999999999999,108,103
10,T11,T11,Brian Gay,81,"5' 9""",9.218,134,3
11,T11,T11,Louis Oosthuizen,50,"5' 9""",3.719,54,172
12,T11,T11,Ian Poulter,57,"5' 9""",5.027,73,98
13,T14,T14,Stuart Appleby,92,"5' 10""",11.475,164,34
14,T14,T14,Scott Brown,100,"5' 10""",11.276,161,86
15,T14,T14,Ernie Els,85,"5' 10""",9.57,136,26
16,T17,T17,Gonzalo Fernandez-Castaño,83,"5' 11""",10.96,155,100
17,T17,T17,Tyrone Van Aswegen,79,"5' 11""",8.455,119,94
18,T17,T17,Boo Weekley,73,"5' 11""",7.374,104,160
19,T20,T20,Bud Cauley,56,"6' 0""",7.683,106,57
20,T20,T20,Jason Day,54,"6' 0""",4.436,62,5
21,T20,T20,Jordan Spieth,102,"6' 0""",11.082,153,13
22,T23,T23,Steven Bowditch,93,"6' 1""",13.025,179,120
23,T23,T23,Matt Every,85,"6' 1""",8.56,118,82
24,T23,T23,J.B. Holmes,86,"6' 1""",12.97,177,89
25,T23,T23,Phil Mickelson,71,"6' 1""",6.0329999999999995,83,20
26,T23,T23,Kevin Na,94,"6' 1""",11.675999999999998,159,4
27,T28,T28,Stewart Cink,91,"6' 2""",7.598,103,142
28,T28,T28,Chad Collins,78,"6' 2""",11.45,154,60
29,T28,T28,Trevor Immelman,84,"6' 2""",10.622,144,150
30,T28,T28,D.H. Lee,54,"6' 2""",5.806,78,86
31,T28,T28,Troy Merritt,62,"6' 2""",6.8420000000000005,92,130
32,T28,T28,Patrick Reed,92,"6' 2""",10.520999999999999,142,69
33,T28,T28,Robert Streb,75,"6' 2""",8.702,118,80
34,T28,T28,Tim Wilkinson,86,"6' 2""",12.18,164,10
35,T36,T36,Brad Fritsch,50,"6' 3""",5.468,73,54
36,T36,T36,Brian Harman,111,"6' 3""",14.311,190,60
37,T36,T36,Jim Herman,62,"6' 3""",7.369,98,149
38,T36,T36,Bronson La'Cassie,51,"6' 3""",6.192,83,48
39,T36,T36,Rory McIlroy,66,"6' 3""",5.462000000000001,73,88
40,T41,T41,Kevin Chappell,100,"6' 4""",12.135,159,114
41,T41,T41,Jerry Kelly,80,"6' 4""",9.971,131,16
42,T41,T41,Kevin Kisner,85,"6' 4""",8.17,108,122
43,T41,T41,Davis Love III,74,"6' 4""",8.756,115,140
44,T41,T41,Geoff Ogilvy,84,"6' 4""",10.583,140,137
45,T41,T41,John Senden,99,"6' 4""",11.373,149,49
46,T41,T41,Brandt Snedeker,89,"6' 4""",8.9,117,66
47,T41,T41,Chris Stroud,88,"6' 4""",11.76,155,18
48,T49,T49,Erik Compton,88,"6' 5""",13.464,175,83
49,T49,T49,Luke Guthrie,85,"6' 5""",12.933,167,29
50,T49,T49,David Hearn,97,"6' 5""",13.091,169,35
51,T49,T49,John Huh,87,"6' 5""",10.21,133,107
52,T49,T49,Billy Hurley III,86,"6' 5""",9.808,128,26
53,T49,T49,Hideki Matsuyama,82,"6' 5""",8.479,110,41
54,T49,T49,Justin Rose,70,"6' 5""",6.9479999999999995,90,31
55,T49,T49,Daniel Summerhays,98,"6' 5""",12.458,161,96
56,T49,T49,David Toms,64,"6' 5""",9.424,123,23
57,T58,T58,Woody Austin,63,"6' 6""",9.561,123,146
58,T58,T58,Aaron Baddeley,74,"6' 6""",10.919,140,47
59,T58,T58,Ricky Barnes,92,"6' 6""",13.870999999999999,178,19
60,T58,T58,Roberto Castro,76,"6' 6""",8.895,114,136
61,T58,T58,Tim Clark,75,"6' 6""",8.676,111,70
62,T58,T58,Brian Davis,93,"6' 6""",15.293,196,25
63,T58,T58,Harris English,95,"6' 6""",10.991,141,110
64,T58,T58,Freddie Jacobson,91,"6' 6""",11.855,152,28
65,T58,T58,Seung-Yul Noh,92,"6' 6""",10.869000000000002,139,45
66,T58,T58,Shawn Stefani,60,"6' 6""",8.927999999999999,115,67
67,T68,T68,Morgan Hoffmann,103,"6' 7""",13.118,167,106
68,T68,T68,Ryo Ishikawa,75,"6' 7""",11.104000000000001,140,152
69,T68,T68,Jamie Lovemark,64,"6' 7""",7.751,98,129
70,T68,T68,Ben Martin,80,"6' 7""",9.262,117,75
71,T68,T68,Bryce Molder,77,"6' 7""",9.42,119,44
72,T68,T68,"Ted Potter, Jr.",68,"6' 7""",8.547,108,11
73,T68,T68,Adam Scott,68,"6' 7""",6.973,88,37
74,T68,T68,Brendan Steele,89,"6' 7""",11.254000000000001,142,67
75,T68,T68,Camilo Villegas,95,"6' 7""",11.255999999999998,142,125
76,T68,T68,Mike Weir,69,"6' 7""",10.308,130,56
77,T78,T78,Keegan Bradley,89,"6' 8""",10.85,135,14
78,T78,T78,James Driscoll,71,"6' 8""",10.227,128,141
79,T78,T78,Rickie Fowler,91,"6' 8""",7.466,93,17
80,T78,T78,Jim Renner,61,"6' 8""",8.573,107,177
81,T78,T78,Webb Simpson,87,"6' 8""",9.777000000000001,122,77
82,T78,T78,Johnson Wagner,69,"6' 8""",11.152000000000001,140,92
83,T84,T84,Robert Allenby,83,"6' 9""",10.713,132,52
84,T84,T84,Ben Crane,81,"6' 9""",13.763,170,75
85,T84,T84,Graham DeLaet,80,"6' 9""",9.936,123,85
86,T84,T84,Charles Howell III,106,"6' 9""",15.569,193,30
87,T84,T84,Russell Knox,92,"6' 9""",10.244000000000002,127,8
88,T84,T84,Scott Langley,95,"6' 9""",12.802,158,21
89,T84,T84,Graeme McDowell,66,"6' 9""",5.997000000000001,74,39
90,T84,T84,Charl Schwartzel,64,"6' 9""",8.184,101,21
91,T84,T84,Heath Slocum,71,"6' 9""",10.06,124,24
92,T84,T84,Bo Van Pelt,83,"6' 9""",9.418,116,101
93,T84,T84,Jhonattan Vegas,77,"6' 9""",11.709000000000001,145,72
94,T84,T84,Bubba Watson,76,"6' 9""",8.042,99,74
95,T84,T84,Charlie Wi,72,"6' 9""",12.356,152,15
96,T84,T84,Gary Woodland,93,"6' 9""",11.41,141,50
97,T84,T84,Y.E. Yang,79,"6' 9""",11.282,140,122
98,T99,T99,Jonas Blixt,64,"6' 10""",6.559,80,84
99,T99,T99,K.J. Choi,80,"6' 10""",9.5,116,119
100,T99,T99,Ben Curtis,77,"6' 10""",11.507,141,126
101,T99,T99,Matt Kuchar,91,"6' 10""",10.356,127,12
102,T99,T99,Sean O'Hair,77,"6' 10""",11.247,138,63
103,T99,T99,Ryan Palmer,85,"6' 10""",10.609000000000002,129,95
104,T99,T99,Jimmy Walker,98,"6' 10""",12.069,147,91
105,T106,T106,Greg Chalmers,85,"6' 11""",13.062000000000001,157,65
106,T106,T106,Andrew Loupe,65,"6' 11""",9.248,112,139
107,T106,T106,William McGirt,96,"6' 11""",15.107999999999999,181,79
108,T106,T106,Vijay Singh,83,"6' 11""",13.437000000000001,162,73
109,T106,T106,Kevin Streelman,79,"6' 11""",9.516,114,155
110,T106,T106,Kevin Tway,64,"6' 11""",8.892000000000001,107,162
111,T112,T112,Charlie Beljan,76,"7' 0""",10.472999999999999,124,162
112,T112,T112,Sergio Garcia,61,"7' 0""",4.954,59,2
113,T112,T112,Brice Garnett,92,"7' 0""",14.5,172,62
114,T112,T112,Martin Kaymer,65,"7' 0""",6.779,81,158
115,T112,T112,Brooks Koepka,56,"7' 0""",7.817,93,108
116,T112,T112,Martin Laird,66,"7' 0""",9.526,113,157
117,T112,T112,Ryan Moore,86,"7' 0""",10.445,125,103
118,T112,T112,John Rollins,84,"7' 0""",12.151,145,165
119,T112,T112,Henrik Stenson,56,"7' 0""",5.154,61,171
120,T112,T112,Cameron Tringale,111,"7' 0""",14.814,176,70
121,T122,T122,Russell Henley,92,"7' 1""",12.014000000000001,142,170
122,T122,T122,Charley Hoffman,93,"7' 1""",13.658,161,64
123,T122,T122,Billy Horschel,92,"7' 1""",11.7,138,144
124,T122,T122,Dustin Johnson,58,"7' 1""",5.043,59,57
125,T122,T122,Matt Jones,83,"7' 1""",10.12,119,133
126,T122,T122,Jeff Overton,80,"7' 1""",12.905999999999999,151,39
127,T122,T122,Carl Pettersson,91,"7' 1""",11.363,133,113
128,T122,T122,D.A. Points,75,"7' 1""",8.892000000000001,105,156
129,T122,T122,Rory Sabbatini,82,"7' 1""",10.157,120,142
130,T122,T122,Nick Watney,80,"7' 1""",8.023,94,132
131,T122,T122,Mark Wilson,69,"7' 1""",10.148,120,138
132,T133,T133,Brendon de Jonge,109,"7' 2""",15.075999999999999,175,117
133,T133,T133,Bill Haas,107,"7' 2""",13.329,155,43
134,T133,T133,Andres Romero,81,"7' 2""",13.776,161,52
135,T133,T133,Nicholas Thompson,85,"7' 2""",10.929,127,164
136,T137,T137,Jason Bohn,81,"7' 3""",10.469000000000001,120,131
137,T137,T137,Retief Goosen,94,"7' 3""",14.534,168,33
138,T137,T137,James Hahn,82,"7' 3""",12.062000000000001,139,145
139,T137,T137,Marc Leishman,81,"7' 3""",9.127,105,115
140,T137,T137,Will MacKenzie,82,"7' 3""",12.251,141,134
141,T137,T137,Michael Putnam,106,"7' 3""",14.184000000000001,163,122
142,T137,T137,Brian Stuard,91,"7' 3""",13.445,154,41
143,T137,T137,Brendon Todd,108,"7' 3""",13.713,158,7
144,T145,T145,Ken Duke,80,"7' 4""",10.989,125,109
145,T145,T145,Derek Ernst,80,"7' 4""",12.88,147,173
146,T145,T145,Martin Flores,85,"7' 4""",12.713,145,111
147,T145,T145,Chris Kirk,105,"7' 4""",15.579,178,9
148,T145,T145,Kevin Stadler,90,"7' 4""",10.717,122,159
149,T145,T145,Michael Thompson,74,"7' 4""",11.787,134,90
150,T151,T151,J.J. Henry,91,"7' 5""",16.012,179,121
151,T151,T151,Hunter Mahan,88,"7' 5""",10.182,115,148
152,T153,T153,David Lingmerth,80,"7' 6""",12.113,135,151
153,T153,T153,Scott Stallings,77,"7' 6""",9.27,103,154
154,T153,T153,Andrew Svoboda,77,"7' 6""",13.853,154,77
155,T156,T156,Jason Dufner,57,"7' 7""",5.735,63,166
156,T156,T156,Robert Garrigus,80,"7' 7""",13.232999999999999,146,116
157,T156,T156,Lucas Glover,68,"7' 7""",9.422,103,176
158,T156,T156,Richard Lee,80,"7' 7""",12.331,135,32
159,T156,T156,John Peterson,62,"7' 7""",11.642999999999999,128,134
160,T156,T156,Willy Wilcox,51,"7' 7""",8.839,97,81
161,T162,T162,Sangmoon Bae,76,"7' 8""",12.636,138,112
162,T162,T162,Lee Westwood,57,"7' 8""",7.862,85,127
163,164,164,Briny Baird,50,"7' 9""",8.977,97,118
164,T165,T165,Spencer Levin,59,"7' 10""",9.682,103,55
165,T165,T165,Troy Matteson,62,"7' 10""",11.557,123,168
166,T167,T167,Chesson Hadley,84,"7' 11""",10.146,107,153
167,T167,T167,George McNeill,79,"7' 11""",11.806,124,97
168,T167,T167,Hudson Swafford,75,"7' 11""",11.838,124,169
169,T170,T170,Jason Kokrak,65,"8' 0""",12.57,131,59
170,T170,T170,Kyle Stanley,87,"8' 0""",12.954,135,167
171,T170,T170,Josh Teater,90,"8' 0""",14.617,153,102
172,173,173,Chad Campbell,57,"8' 2""",8.902000000000001,91,51
173,T174,T174,Ángel Cabrera,69,"8' 5""",10.981,109,161
174,T174,T174,Tommy Gainey,73,"8' 5""",13.548,134,174
175,176,176,Danny Lee,84,"9' 1""",16.745,153,105
