,Scrambling_from_the_Rough_RANK THIS WEEK,Scrambling_from_the_Rough_RANK LAST WEEK,Scrambling_from_the_Rough_PLAYER NAME,Scrambling_from_the_Rough_ROUNDS,Scrambling_from_the_Rough_%,Scrambling_from_the_Rough_SUCCESSES,Scrambling_from_the_Rough_ATTEMPTS
0,1,1,Jim Furyk,84,70.21,99,141
1,2,2,Jason Day,54,70.11,61,87
2,3,3,Rory McIlroy,66,66.0,66,100
3,4,4,Justin Leonard,75,64.77,114,176
4,5,5,Zach Johnson,97,63.89,115,180
5,6,6,Jerry Kelly,80,63.87,99,155
6,7,7,Brendon Todd,108,62.92,151,240
7,8,8,Adam Scott,68,62.07,72,116
8,9,9,Jordan Spieth,102,62.01,142,229
9,10,10,Matt Kuchar,91,61.96,101,163
10,11,11,Phil Mickelson,71,61.72,79,128
11,12,12,Kevin Na,94,61.62,122,198
12,13,13,Brandt Snedeker,89,61.33,111,181
13,14,14,Brendon de Jonge,109,61.32,130,212
14,15,15,Rickie Fowler,91,61.27,106,173
15,16,16,Sergio Garcia,61,61.25,49,80
16,17,17,Justin Rose,70,61.02,72,118
17,18,18,Richard Lee,80,60.75,113,186
18,19,19,Bo Van Pelt,83,60.66,74,122
19,20,20,Jeff Overton,80,60.65,94,155
20,21,21,Russell Knox,92,60.51,118,195
21,22,22,Dustin Johnson,58,60.42,58,96
22,23,23,Charley Hoffman,93,60.22,112,186
23,T24,T24,Ernie Els,85,60.0,90,150
24,T24,T24,Chesson Hadley,84,60.0,123,205
25,26,26,Stuart Appleby,92,59.89,112,187
26,27,27,Gary Woodland,93,59.87,94,157
27,28,28,Brian Gay,81,59.34,108,182
28,29,29,Gonzalo Fernandez-Castaño,83,59.28,99,167
29,30,30,Pat Perez,84,58.8,127,216
30,31,31,Graham DeLaet,80,58.65,61,104
31,32,32,Matt Every,85,58.64,95,162
32,33,33,Danny Lee,84,58.62,102,174
33,T34,T34,Billy Hurley III,86,58.58,99,169
34,T34,T34,Chris Stroud,88,58.58,99,169
35,36,36,Luke Guthrie,85,58.46,114,195
36,37,37,Retief Goosen,94,58.38,115,197
37,38,38,Andres Romero,81,58.33,112,192
38,39,39,Bubba Watson,76,58.2,71,122
39,40,40,George McNeill,79,58.17,89,153
40,41,41,Luke Donald,57,58.16,57,98
41,42,42,Charl Schwartzel,64,58.14,75,129
42,43,43,Hideki Matsuyama,82,58.02,94,162
43,44,44,Aaron Baddeley,74,58.01,105,181
44,45,45,Ian Poulter,57,58.0,58,100
45,46,46,Webb Simpson,87,57.95,102,176
46,47,47,Robert Allenby,83,57.93,84,145
47,48,48,Sangmoon Bae,76,57.89,88,152
48,49,49,Lee Westwood,57,57.8,63,109
49,50,50,Andrew Svoboda,77,57.72,86,149
50,51,51,Bronson La'Cassie,51,57.66,64,111
51,52,52,Tim Wilkinson,86,57.65,113,196
52,53,53,Harris English,95,57.59,91,158
53,54,54,Bill Haas,107,57.58,95,165
54,55,55,Bryce Molder,77,57.31,98,171
55,56,56,Jimmy Walker,98,57.24,83,145
56,57,57,Freddie Jacobson,91,57.21,127,222
57,58,58,Cameron Tringale,111,56.95,127,223
58,59,59,Chad Collins,78,56.88,91,160
59,60,60,Brian Davis,93,56.82,100,176
60,61,61,Ryan Palmer,85,56.76,84,148
61,62,62,Matt Jones,83,56.73,97,171
62,63,63,"Ted Potter, Jr.",68,56.6,90,159
63,64,64,Chris Kirk,105,56.57,112,198
64,65,65,William McGirt,96,56.41,110,195
65,66,66,Ben Martin,80,56.36,93,165
66,67,67,Tyrone Van Aswegen,79,56.35,102,181
67,68,68,Chad Campbell,57,56.32,49,87
68,69,69,John Senden,99,56.28,103,183
69,70,70,Heath Slocum,71,56.2,68,121
70,71,71,Ben Crane,81,56.02,93,166
71,T72,T72,Jason Kokrak,65,55.92,85,152
72,T72,T72,Seung-Yul Noh,92,55.92,118,211
73,74,74,Scott Stallings,77,55.91,104,186
74,75,75,Robert Garrigus,80,55.79,106,190
75,76,76,Brendan Steele,89,55.77,87,156
76,77,77,Bud Cauley,56,55.75,63,113
77,78,78,David Toms,64,55.67,54,97
78,79,79,J.J. Henry,91,55.63,84,151
79,80,80,Charlie Wi,72,55.41,82,148
80,81,81,Carl Pettersson,91,55.38,108,195
81,82,82,Patrick Reed,92,55.33,109,197
82,83,83,Mike Weir,69,55.26,84,152
83,84,84,Brian Harman,111,55.23,132,239
84,85,85,Ken Duke,80,55.22,74,134
85,86,86,Jonathan Byrd,76,55.15,75,136
86,87,87,Woody Austin,63,55.13,86,156
87,88,88,J.B. Holmes,86,55.05,109,198
88,T89,T89,Will MacKenzie,82,55.03,104,189
89,T89,T89,Robert Streb,75,55.03,82,149
90,91,91,Brad Fritsch,50,55.0,55,100
91,92,92,Billy Horschel,92,54.92,67,122
92,93,93,Willy Wilcox,51,54.81,57,104
93,94,94,Steven Bowditch,93,54.77,109,199
94,95,95,Marc Leishman,81,54.6,95,174
95,96,96,Rory Sabbatini,82,54.59,101,185
96,T97,T97,Keegan Bradley,89,54.55,84,154
97,T97,T97,Charles Howell III,106,54.55,126,231
98,T97,T97,Jhonattan Vegas,77,54.55,72,132
99,100,100,Sean O'Hair,77,54.44,98,180
100,101,101,Brian Stuard,91,54.35,100,184
101,102,102,Wes Roach,67,54.25,83,153
102,103,103,John Huh,87,54.24,96,177
103,104,104,Ricky Barnes,92,54.22,90,166
104,105,105,John Peterson,62,54.17,65,120
105,106,106,Josh Teater,90,54.08,106,196
106,107,107,Michael Putnam,106,53.98,122,226
107,T108,T108,Jonas Blixt,64,53.91,69,128
108,T108,T108,Graeme McDowell,66,53.91,62,115
109,110,110,Vijay Singh,83,53.85,91,169
110,111,111,Paul Casey,56,53.68,51,95
111,112,112,Scott Langley,95,53.59,97,181
112,113,113,Erik Compton,88,53.55,98,183
113,114,114,David Lingmerth,80,53.53,91,170
114,115,115,Jeff Maggert,54,53.47,54,101
115,116,116,D.A. Points,75,53.28,73,137
116,117,117,K.J. Choi,80,53.23,99,186
117,118,118,Kevin Streelman,79,52.9,73,138
118,119,119,Kyle Stanley,87,52.8,85,161
119,120,120,Kevin Chappell,100,52.75,96,182
120,121,121,Morgan Hoffmann,103,52.69,137,260
121,T122,T122,Davis Love III,74,52.63,90,171
122,T122,T122,Y.E. Yang,79,52.63,90,171
123,124,124,Martin Flores,85,52.6,91,173
124,125,125,Johnson Wagner,69,52.55,72,137
125,126,126,Kevin Kisner,85,52.5,105,200
126,127,127,Jason Bohn,81,52.35,89,170
127,128,128,Daniel Summerhays,98,52.31,102,195
128,129,129,Ryan Moore,86,52.21,71,136
129,130,130,Justin Hicks,103,51.96,93,179
130,131,131,Roberto Castro,76,51.95,80,154
131,132,132,D.H. Lee,54,51.94,67,129
132,133,133,Spencer Levin,59,51.82,71,137
133,134,134,Nick Watney,80,51.79,58,112
134,135,135,Camilo Villegas,95,51.78,102,197
135,136,136,Mark Wilson,69,51.52,68,132
136,137,137,Lucas Glover,68,51.4,55,107
137,138,138,Martin Kaymer,65,51.24,62,121
138,139,139,Trevor Immelman,84,51.18,87,170
139,T140,T140,Scott Brown,100,51.14,112,219
140,T140,T140,David Hearn,97,51.14,90,176
141,142,142,Michael Thompson,74,51.09,70,137
142,143,143,Brice Garnett,92,50.85,90,177
143,144,144,Jamie Lovemark,64,50.71,71,140
144,145,145,Henrik Stenson,56,50.7,36,71
145,146,146,Hunter Mahan,88,50.64,79,156
146,147,147,Shawn Stefani,60,50.43,59,117
147,148,148,Ryo Ishikawa,75,50.33,77,153
148,T149,T149,Ángel Cabrera,69,50.0,75,150
149,T149,T149,James Hahn,82,50.0,87,174
150,T149,T149,Jim Herman,62,50.0,60,120
151,152,152,Briny Baird,50,49.46,46,93
152,153,153,Stewart Cink,91,49.41,84,170
153,154,154,Charlie Beljan,76,49.39,81,164
154,155,155,Louis Oosthuizen,50,49.35,38,77
155,156,156,Boo Weekley,73,49.07,53,108
156,157,157,Ben Curtis,77,49.06,78,159
157,158,158,Kevin Stadler,90,48.87,65,133
158,159,159,Kevin Tway,64,48.8,61,125
159,160,160,Troy Merritt,62,48.72,76,156
160,161,161,Geoff Ogilvy,84,48.66,91,187
161,162,162,Andrew Loupe,65,48.65,72,148
162,163,163,Nicholas Thompson,85,48.57,85,175
163,164,164,Tim Clark,75,48.48,64,132
164,165,165,Derek Ernst,80,48.11,89,185
165,166,166,Russell Henley,92,47.98,107,223
166,167,167,John Rollins,84,46.88,75,160
167,168,168,Greg Chalmers,85,46.35,89,192
168,169,169,Jason Dufner,57,46.23,49,106
169,170,170,John Merrick,87,46.15,60,130
170,171,171,Martin Laird,66,45.79,49,107
171,172,172,Brooks Koepka,56,44.79,43,96
172,173,173,James Driscoll,71,43.16,82,190
173,174,174,Troy Matteson,62,43.06,62,144
174,175,175,Tommy Gainey,73,42.65,58,136
175,176,176,Hudson Swafford,75,42.06,53,126
176,177,177,Jim Renner,61,39.69,52,131
