,Sand_Saves_from_30_yards_RANK THIS WEEK,Sand_Saves_from_30_yards_RANK LAST WEEK,Sand_Saves_from_30_yards_PLAYER NAME,Sand_Saves_from_30_yards_ROUNDS,Sand_Saves_from_30_yards_%,Sand_Saves_from_30_yards_# OF SAVES,Sand_Saves_from_30_yards_# OF BUNKERS
0,1,1,Luke Guthrie,85,80.0,8.0,10
1,2,2,Sean O'Hair,77,70.0,7.0,10
2,3,3,Spencer Levin,59,66.67,4.0,6
3,T4,T4,Robert Allenby,83,62.5,10.0,16
4,T4,T4,Ian Poulter,57,62.5,5.0,8
5,T4,T4,Vijay Singh,83,62.5,5.0,8
6,T4,T4,Mike Weir,69,62.5,5.0,8
7,T8,T8,Stuart Appleby,92,61.11,11.0,18
8,T8,T8,Morgan Hoffmann,103,61.11,11.0,18
9,T10,T10,Ben Crane,81,60.0,12.0,20
10,T10,T10,Brian Gay,81,60.0,6.0,10
11,12,12,John Senden,99,58.82,10.0,17
12,T13,T13,K.J. Choi,80,58.33,7.0,12
13,T13,T13,Marc Leishman,81,58.33,7.0,12
14,15,15,Jimmy Walker,98,57.89,11.0,19
15,T16,T16,Briny Baird,50,57.14,4.0,7
16,T16,T16,Jason Kokrak,65,57.14,4.0,7
17,T16,T16,Tim Wilkinson,86,57.14,8.0,14
18,T19,T19,Ryan Moore,86,55.56,5.0,9
19,T19,T19,Seung-Yul Noh,92,55.56,5.0,9
20,T21,T21,Richard Lee,80,54.55,6.0,11
21,T21,T21,Hunter Mahan,88,54.55,6.0,11
22,23,23,Michael Thompson,74,53.85,7.0,13
23,24,24,Stewart Cink,91,52.94,9.0,17
24,T25,T25,Luke Donald,57,50.0,8.0,16
25,T25,T25,Charles Howell III,106,50.0,6.0,12
26,T25,T25,Andrew Loupe,65,50.0,5.0,10
27,T25,T25,Bryce Molder,77,50.0,5.0,10
28,T25,T25,Ryan Palmer,85,50.0,7.0,14
29,T25,T25,Justin Rose,70,50.0,4.0,8
30,T25,T25,Chris Stroud,88,50.0,11.0,22
31,T25,T25,Daniel Summerhays,98,50.0,12.0,24
32,T25,T25,Bubba Watson,76,50.0,6.0,12
33,T34,T34,Brice Garnett,92,46.67,7.0,15
34,T34,T34,Russell Henley,92,46.67,7.0,15
35,T34,T34,Brendon Todd,108,46.67,7.0,15
36,T37,T37,Steven Bowditch,93,45.45,5.0,11
37,T37,T37,"Ted Potter, Jr.",68,45.45,5.0,11
38,T37,T37,Brendan Steele,89,45.45,5.0,11
39,40,40,Jordan Spieth,102,45.0,9.0,20
40,T41,T41,Sangmoon Bae,76,44.44,4.0,9
41,T41,T41,Charley Hoffman,93,44.44,4.0,9
42,T41,T41,Louis Oosthuizen,50,44.44,4.0,9
43,T41,T41,Charlie Wi,72,44.44,4.0,9
44,45,45,Greg Chalmers,85,43.75,7.0,16
45,T46,T46,Graham DeLaet,80,42.86,3.0,7
46,T46,T46,Retief Goosen,94,42.86,6.0,14
47,T46,T46,Justin Leonard,75,42.86,6.0,14
48,49,49,Cameron Tringale,111,42.31,11.0,26
49,T50,T50,Roberto Castro,76,41.67,5.0,12
50,T50,T50,Gonzalo Fernandez-Castaño,83,41.67,5.0,12
51,T50,T50,Bill Haas,107,41.67,5.0,12
52,T50,T50,Jerry Kelly,80,41.67,5.0,12
53,T50,T50,Lee Westwood,57,41.67,5.0,12
54,T55,T55,Erik Compton,88,40.0,6.0,15
55,T55,T55,Ben Curtis,77,40.0,6.0,15
56,T55,T55,Robert Garrigus,80,40.0,6.0,15
57,T55,T55,Lucas Glover,68,40.0,2.0,5
58,T55,T55,Justin Hicks,103,40.0,6.0,15
59,T55,T55,Martin Kaymer,65,40.0,6.0,15
60,T55,T55,Jamie Lovemark,64,40.0,2.0,5
61,T55,T55,Jeff Maggert,54,40.0,2.0,5
62,T55,T55,Troy Matteson,62,40.0,4.0,10
63,T64,T64,Jonathan Byrd,76,38.89,7.0,18
64,T64,T64,Tommy Gainey,73,38.89,7.0,18
65,T66,T66,Zach Johnson,97,38.46,5.0,13
66,T66,T66,Geoff Ogilvy,84,38.46,5.0,13
67,T66,T66,Adam Scott,68,38.46,5.0,13
68,T66,T66,Shawn Stefani,60,38.46,5.0,13
69,T70,T70,Russell Knox,92,37.5,3.0,8
70,T70,T70,Hideki Matsuyama,82,37.5,3.0,8
71,T70,T70,Camilo Villegas,95,37.5,6.0,16
72,T70,T70,Willy Wilcox,51,37.5,3.0,8
73,74,74,Brian Davis,93,36.84,7.0,19
74,T75,T75,Harris English,95,35.71,5.0,14
75,T75,T75,Matt Jones,83,35.71,5.0,14
76,T75,T75,Scott Langley,95,35.71,5.0,14
77,T75,T75,Jim Renner,61,35.71,5.0,14
78,79,79,Chris Kirk,105,35.29,6.0,17
79,80,80,Ernie Els,85,35.0,7.0,20
80,81,81,Freddie Jacobson,91,34.78,8.0,23
81,T82,T82,Paul Casey,56,33.33,1.0,3
82,T82,T82,Matt Every,85,33.33,3.0,9
83,T82,T82,Martin Flores,85,33.33,4.0,12
84,T82,T82,Brad Fritsch,50,33.33,2.0,6
85,T82,T82,James Hahn,82,33.33,5.0,15
86,T82,T82,George McNeill,79,33.33,5.0,15
87,T82,T82,Pat Perez,84,33.33,3.0,9
88,T82,T82,Kevin Stadler,90,33.33,2.0,6
89,T82,T82,Scott Stallings,77,33.33,2.0,6
90,T82,T82,Kevin Streelman,79,33.33,4.0,12
91,T82,T82,Hudson Swafford,75,33.33,3.0,9
92,93,93,Y.E. Yang,79,31.82,7.0,22
93,94,94,Ricky Barnes,92,31.58,6.0,19
94,T95,T95,J.B. Holmes,86,31.25,5.0,16
95,T95,T95,Matt Kuchar,91,31.25,5.0,16
96,T95,T95,Wes Roach,67,31.25,5.0,16
97,T95,T95,Brian Stuard,91,31.25,5.0,16
98,T99,T99,J.J. Henry,91,30.77,4.0,13
99,T99,T99,Trevor Immelman,84,30.77,4.0,13
