,Sand_Saves_from_10-20_yards_RANK THIS WEEK,Sand_Saves_from_10-20_yards_RANK LAST WEEK,Sand_Saves_from_10-20_yards_PLAYER NAME,Sand_Saves_from_10-20_yards_ROUNDS,Sand_Saves_from_10-20_yards_%,Sand_Saves_from_10-20_yards_# OF SAVES,Sand_Saves_from_10-20_yards_# OF BUNKERS
0,1,1,Jason Day,54,79.41,27,34
1,2,2,Heath Slocum,71,72.34,34,47
2,3,3,Gonzalo Fernandez-Castaño,83,70.27,52,74
3,4,4,Jonas Blixt,64,70.21,33,47
4,5,5,Harris English,95,69.81,37,53
5,6,6,Matt Kuchar,91,69.23,45,65
6,7,7,Phil Mickelson,71,67.69,44,65
7,8,8,Keegan Bradley,89,67.27,37,55
8,9,9,Kevin Na,94,66.23,51,77
9,10,10,Vijay Singh,83,65.75,48,73
10,11,11,Tim Clark,75,65.52,38,58
11,12,12,Justin Leonard,75,65.45,36,55
12,T13,T13,K.J. Choi,80,65.22,45,69
13,T13,T13,David Hearn,97,65.22,45,69
14,T15,T15,Webb Simpson,87,65.0,39,60
15,T15,T15,Charlie Wi,72,65.0,39,60
16,T17,T17,Retief Goosen,94,64.71,33,51
17,T17,T17,Brendon Todd,108,64.71,55,85
18,19,19,Chad Campbell,57,64.52,20,31
19,20,20,John Huh,87,64.41,38,59
20,21,21,Brian Harman,111,63.86,53,83
21,22,22,Graeme McDowell,66,63.64,28,44
22,T23,T23,Andres Romero,81,63.33,38,60
23,T23,T23,Tyrone Van Aswegen,79,63.33,38,60
24,25,25,Chad Collins,78,62.9,39,62
25,26,26,Brice Garnett,92,62.69,42,67
26,27,27,Adam Scott,68,62.5,40,64
27,T28,T28,Brian Gay,81,62.32,43,69
28,T28,T28,Russell Knox,92,62.32,43,69
29,T28,T28,Patrick Reed,92,62.32,43,69
30,T31,T31,Bud Cauley,56,62.07,18,29
31,T31,T31,Jordan Spieth,102,62.07,54,87
32,33,33,Josh Teater,90,61.76,42,68
33,34,34,Martin Kaymer,65,61.54,32,52
34,T35,T35,Sergio Garcia,61,61.11,22,36
35,T35,T35,Scott Langley,95,61.11,44,72
36,37,37,Jim Furyk,84,60.98,25,41
37,38,38,Greg Chalmers,85,60.76,48,79
38,39,39,Rickie Fowler,91,60.0,33,55
39,40,40,Brian Stuard,91,59.68,37,62
40,41,41,Jason Dufner,57,59.46,22,37
41,42,42,Richard Lee,80,59.38,38,64
42,43,43,"Ted Potter, Jr.",68,59.32,35,59
43,44,44,Hunter Mahan,88,59.26,48,81
44,45,45,Chris Kirk,105,59.21,45,76
45,46,46,James Driscoll,71,59.18,29,49
46,T47,T47,D.H. Lee,54,58.82,30,51
47,T47,T47,Tim Wilkinson,86,58.82,40,68
48,T47,T47,Mark Wilson,69,58.82,30,51
49,50,50,Spencer Levin,59,58.49,31,53
50,51,51,Mike Weir,69,58.33,35,60
51,T52,T52,Morgan Hoffmann,103,58.23,46,79
52,T52,T52,William McGirt,96,58.23,46,79
53,54,54,Bill Haas,107,58.21,39,67
54,55,55,Justin Rose,70,57.89,22,38
55,T56,T56,Zach Johnson,97,57.81,37,64
56,T56,T56,John Senden,99,57.81,37,64
57,58,58,Aaron Baddeley,74,57.63,34,59
58,59,59,Ken Duke,80,57.41,31,54
59,60,60,Rory Sabbatini,82,57.35,39,68
60,T61,T61,Troy Merritt,62,57.14,24,42
61,T61,T61,Carl Pettersson,91,57.14,48,84
62,T63,T63,Ryan Moore,86,56.86,29,51
63,T63,T63,Jhonattan Vegas,77,56.86,29,51
64,65,65,Briny Baird,50,56.82,25,44
65,T66,T66,Bronson La'Cassie,51,56.76,21,37
66,T66,T66,Henrik Stenson,56,56.76,21,37
67,68,68,D.A. Points,75,56.6,30,53
68,T69,T69,Ben Curtis,77,56.52,26,46
69,T69,T69,Jimmy Walker,98,56.52,39,69
70,71,71,Steven Bowditch,93,56.25,45,80
71,72,72,Stuart Appleby,92,55.95,47,84
72,T73,T73,Brendon de Jonge,109,55.56,50,90
73,T73,T73,Cameron Tringale,111,55.56,50,90
74,T75,T75,Luke Donald,57,55.26,21,38
75,T75,T75,Hideki Matsuyama,82,55.26,42,76
76,77,77,Billy Hurley III,86,55.0,33,60
77,T78,T78,Trevor Immelman,84,54.93,39,71
78,T78,T78,Geoff Ogilvy,84,54.93,39,71
79,80,80,Rory McIlroy,66,54.9,28,51
80,81,81,Jason Bohn,81,54.88,45,82
81,82,82,Freddie Jacobson,91,54.55,42,77
82,83,83,Chris Stroud,88,54.29,38,70
83,84,84,Jerry Kelly,80,54.24,32,59
84,85,85,Graham DeLaet,80,53.85,28,52
85,86,86,Ian Poulter,57,53.57,30,56
86,87,87,Ben Crane,81,53.52,38,71
87,88,88,Ryo Ishikawa,75,53.49,23,43
88,T89,T89,Chesson Hadley,84,53.42,39,73
89,T89,T89,Charles Howell III,106,53.42,39,73
90,T91,T91,Sangmoon Bae,76,53.33,32,60
91,T91,T91,Martin Flores,85,53.33,24,45
92,T91,T91,Jeff Overton,80,53.33,32,60
93,94,94,Seung-Yul Noh,92,53.23,33,62
94,95,95,Brian Davis,93,53.16,42,79
95,96,96,Matt Every,85,53.03,35,66
96,97,97,Bo Van Pelt,83,52.86,37,70
97,98,98,Charl Schwartzel,64,52.73,29,55
98,T99,T99,Andrew Loupe,65,52.63,30,57
99,T99,T99,Ryan Palmer,85,52.63,40,76
100,101,101,James Hahn,82,52.31,34,65
101,102,102,Brendan Steele,89,52.24,35,67
102,T103,T103,Paul Casey,56,52.17,24,46
103,T103,T103,Marc Leishman,81,52.17,36,69
104,105,105,Billy Horschel,92,51.92,27,52
105,106,106,Willy Wilcox,51,51.85,14,27
106,107,107,Ben Martin,80,51.61,32,62
107,108,108,Luke Guthrie,85,51.56,33,64
