,Proximity_to_Hole_from_20-30_yards_RANK THIS WEEK,Proximity_to_Hole_from_20-30_yards_RANK LAST WEEK,Proximity_to_Hole_from_20-30_yards_PLAYER NAME,Proximity_to_Hole_from_20-30_yards_ROUNDS,Proximity_to_Hole_from_20-30_yards_AVG DTP,Proximity_to_Hole_from_20-30_yards_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_20-30_yards_# OF SHOTS,Proximity_to_Hole_from_20-30_yards_SCRAMBLING RANK
0,1,1,Shawn Stefani,60,"7' 3""",594.6669999999999,82,67
1,2,2,David Toms,64,"7' 4""",521.5830000000001,71,23
2,3,3,Justin Leonard,75,"7' 5""",789.75,107,6
3,4,4,Justin Rose,70,"7' 6""",579.0830000000001,77,31
4,T5,T5,Jonathan Byrd,76,"7' 8""",781.6669999999999,102,99
5,T5,T5,Luke Donald,57,"7' 8""",513.1669999999999,67,38
6,T7,T7,Sergio Garcia,61,"7' 10""",382.667,49,2
7,T7,T7,Bill Haas,107,"7' 10""",1036.083,132,43
8,T7,T7,Bryce Molder,77,"7' 10""",780.4169999999999,100,44
9,T10,T10,Bud Cauley,56,"7' 11""",490.0,62,57
10,T10,T10,Brad Fritsch,50,"7' 11""",481.167,61,54
11,T10,T10,Ryo Ishikawa,75,"7' 11""",829.75,105,152
12,T10,T10,Chris Stroud,88,"7' 11""",870.75,110,18
13,T10,T10,Mike Weir,69,"7' 11""",825.0830000000001,104,56
14,15,15,Stuart Appleby,92,"8' 0""",945.1669999999999,118,34
15,16,16,Ernie Els,85,"8' 1""",868.0,107,26
16,T17,T17,Jason Bohn,81,"8' 2""",752.4169999999999,92,131
17,T17,T17,Scott Langley,95,"8' 2""",866.1669999999999,106,21
18,T17,T17,Patrick Reed,92,"8' 2""",1047.0,128,69
19,T17,T17,Y.E. Yang,79,"8' 2""",902.6669999999999,111,122
20,T21,T21,Brian Davis,93,"8' 3""",1280.333,155,25
21,T21,T21,Cameron Tringale,111,"8' 3""",1210.25,147,70
22,T23,T23,Tim Clark,75,"8' 4""",566.6669999999999,68,70
23,T23,T23,Brian Gay,81,"8' 4""",905.0830000000001,109,3
24,T23,T23,Retief Goosen,94,"8' 4""",1060.75,127,33
25,T23,T23,Bronson La'Cassie,51,"8' 4""",573.0,69,48
26,T23,T23,Kevin Na,94,"8' 4""",1026.25,123,4
27,T23,T23,Seung-Yul Noh,92,"8' 4""",1051.833,126,45
28,T29,T29,Roberto Castro,76,"8' 5""",889.25,106,136
29,T29,T29,Zach Johnson,97,"8' 5""",935.1669999999999,111,36
30,T29,T29,Martin Laird,66,"8' 5""",798.0830000000001,95,157
31,T29,T29,Louis Oosthuizen,50,"8' 5""",337.583,40,172
32,T29,T29,Charlie Wi,72,"8' 5""",887.75,105,15
33,T34,T34,Matt Jones,83,"8' 6""",951.25,112,133
34,T34,T34,Matt Kuchar,91,"8' 6""",936.8330000000001,110,12
35,T36,T36,Scott Brown,100,"8' 7""",1051.333,123,86
36,T36,T36,Kevin Chappell,100,"8' 7""",1021.5,119,114
37,T36,T36,K.J. Choi,80,"8' 7""",976.25,114,119
38,T36,T36,Ben Martin,80,"8' 7""",832.0,97,75
39,T36,T36,Charl Schwartzel,64,"8' 7""",812.3330000000001,95,21
40,T36,T36,Brendan Steele,89,"8' 7""",852.0830000000001,99,67
41,T42,T42,Steven Bowditch,93,"8' 8""",1226.5,141,120
42,T42,T42,Gonzalo Fernandez-Castaño,83,"8' 8""",932.5,108,100
43,T42,T42,Martin Flores,85,"8' 8""",957.5,111,111
44,T42,T42,Jim Furyk,84,"8' 8""",664.4169999999999,77,1
45,T42,T42,Brian Harman,111,"8' 8""",1208.75,139,60
