,Scrambling_from_the_Sand_RANK THIS WEEK,Scrambling_from_the_Sand_RANK LAST WEEK,Scrambling_from_the_Sand_PLAYER NAME,Scrambling_from_the_Sand_ROUNDS,Scrambling_from_the_Sand_%,Scrambling_from_the_Sand_SUCCESSES,Scrambling_from_the_Sand_ATTEMPTS
0,1,1,Seung-Yul Noh,92,68.13,62,91
1,2,2,Jason Day,54,66.67,32,48
2,3,3,Charlie Wi,72,66.3,61,92
3,4,4,Keegan Bradley,89,65.79,50,76
4,5,5,Brian Gay,81,65.14,71,109
5,6,6,Patrick Reed,92,64.89,61,94
6,7,7,Vijay Singh,83,64.71,66,102
7,8,8,Mike Weir,69,64.37,56,87
8,9,9,Richard Lee,80,64.22,70,109
9,10,10,Matt Kuchar,91,64.21,61,95
10,11,11,Phil Mickelson,71,63.86,53,83
11,12,12,Adam Scott,68,62.86,44,70
12,13,13,Heath Slocum,71,62.82,49,78
13,14,14,Gonzalo Fernandez-Castaño,83,62.24,61,98
14,15,15,John Senden,99,61.46,59,96
15,16,16,Brendon Todd,108,61.31,84,137
16,T17,T17,Sergio Garcia,61,61.22,30,49
17,T17,T17,Justin Leonard,75,61.22,60,98
18,T19,T19,David Hearn,97,61.21,71,116
19,T19,T19,Chris Kirk,105,61.21,71,116
20,T19,T19,Kevin Na,94,61.21,71,116
21,22,22,Chad Collins,78,61.11,66,108
22,23,23,Tim Clark,75,60.87,56,92
23,24,24,Martin Kaymer,65,60.71,34,56
24,25,25,Josh Teater,90,60.64,57,94
25,26,26,Greg Chalmers,85,59.7,80,134
26,27,27,Bill Haas,107,59.62,62,104
27,28,28,John Huh,87,59.57,56,94
28,29,29,"Ted Potter, Jr.",68,59.3,51,86
29,30,30,Sean O'Hair,77,59.29,67,113
30,31,31,Charl Schwartzel,64,59.21,45,76
31,32,32,Jonas Blixt,64,59.09,39,66
32,33,33,Scott Langley,95,58.88,63,107
33,34,34,Spencer Levin,59,58.67,44,75
34,35,35,D.A. Points,75,58.33,42,72
35,36,36,Jim Furyk,84,57.97,40,69
36,37,37,James Driscoll,71,57.94,62,107
37,38,38,Chris Stroud,88,57.89,55,95
38,39,39,Graeme McDowell,66,57.81,37,64
39,40,40,Retief Goosen,94,57.78,52,90
40,41,41,Marc Leishman,81,57.69,60,104
41,42,42,Billy Hurley III,86,57.65,49,85
42,43,43,Brian Davis,93,57.53,84,146
43,44,44,Briny Baird,50,57.35,39,68
44,45,45,Ken Duke,80,57.32,47,82
45,46,46,Aaron Baddeley,74,57.14,48,84
46,47,47,Brian Harman,111,57.02,65,114
47,48,48,Paul Casey,56,56.9,33,58
48,49,49,K.J. Choi,80,56.76,63,111
49,T50,T50,Russell Knox,92,56.7,55,97
50,T50,T50,Andres Romero,81,56.7,55,97
51,T52,T52,Luke Donald,57,56.25,36,64
52,T52,T52,Brooks Koepka,56,56.25,27,48
53,54,54,Rickie Fowler,91,56.16,41,73
54,55,55,D.H. Lee,54,55.91,52,93
55,56,56,Morgan Hoffmann,103,55.26,63,114
56,57,57,Jordan Spieth,102,55.2,69,125
57,T58,T58,Bud Cauley,56,55.1,27,49
58,T58,T58,Bryce Molder,77,55.1,54,98
59,T60,T60,Luke Guthrie,85,55.0,55,100
60,T60,T60,Zach Johnson,97,55.0,55,100
61,T60,T60,Geoff Ogilvy,84,55.0,55,100
62,63,63,Charles Howell III,106,54.9,56,102
63,64,64,Harris English,95,54.88,45,82
64,65,65,Tyrone Van Aswegen,79,54.44,49,90
65,66,66,Chad Campbell,57,54.35,25,46
66,67,67,Ben Crane,81,54.31,63,116
67,68,68,Hunter Mahan,88,53.98,61,113
68,69,69,Hideki Matsuyama,82,53.93,48,89
69,70,70,Jeff Maggert,54,53.85,35,65
70,71,71,Brian Stuard,91,53.77,57,106
71,72,72,Webb Simpson,87,53.76,50,93
72,T73,T73,Graham DeLaet,80,53.73,36,67
73,T73,T73,Bronson La'Cassie,51,53.73,36,67
74,75,75,Jason Dufner,57,53.7,29,54
75,76,76,Ben Martin,80,53.49,46,86
76,T77,T77,Brandt Snedeker,89,53.41,47,88
77,T77,T77,Brendan Steele,89,53.41,47,88
78,79,79,Tim Wilkinson,86,53.39,63,118
79,80,80,Billy Horschel,92,53.33,40,75
80,81,81,Ryan Moore,86,53.09,43,81
81,82,82,Cameron Tringale,111,52.99,71,134
82,83,83,Sangmoon Bae,76,52.81,47,89
