,SG_Around-the-Green_RANK THIS WEEK,SG_Around-the-Green_RANK LAST WEEK,SG_Around-the-Green_PLAYER NAME,SG_Around-the-Green_ROUNDS,SG_Around-the-Green_AVERAGE,SG_Around-the-Green_TOTAL SG:ARG,SG_Around-the-Green_MEASURED ROUNDS
0,1,1,Justin Leonard,75,0.5710000000000001,35.431,62
1,2,2,Ernie Els,85,0.529,33.299,63
2,3,3,Bud Cauley,56,0.467,21.479,46
3,4,4,Mike Weir,69,0.44299999999999995,23.46,53
4,5,5,Charl Schwartzel,64,0.42100000000000004,22.721,54
5,6,6,Jim Furyk,84,0.408,26.941,66
6,7,7,Jason Day,54,0.402,13.255,33
7,8,8,Brian Davis,93,0.39899999999999997,32.282,81
8,9,9,Kevin Na,94,0.397,30.945,78
9,10,10,Patrick Reed,92,0.39299999999999996,29.101,74
10,11,11,Charlie Wi,72,0.38299999999999995,24.866,65
11,12,12,Matt Kuchar,91,0.38,28.881999999999998,76
12,13,13,Roberto Castro,76,0.365,21.541,59
13,14,14,Justin Rose,70,0.36,18.737000000000002,52
14,15,15,Tim Wilkinson,86,0.354,25.112,71
15,16,16,Luke Donald,57,0.35100000000000003,15.447000000000001,44
16,17,17,Stuart Appleby,92,0.345,29.017,84
17,18,18,Steven Bowditch,93,0.307,23.908,78
18,19,19,Brendon Todd,108,0.289,26.266,91
19,20,20,Sergio Garcia,61,0.28600000000000003,11.421,40
20,21,21,J.B. Holmes,86,0.28300000000000003,21.825,77
21,22,22,Chris Stroud,88,0.278,20.038,72
22,23,23,Brian Gay,81,0.276,17.379,63
23,T24,T24,Bryce Molder,77,0.275,17.605999999999998,64
24,T24,T24,Webb Simpson,87,0.275,20.315,74
25,26,26,Chad Collins,78,0.273,16.64,61
26,27,27,Retief Goosen,94,0.26899999999999996,20.955,78
27,28,28,Phil Mickelson,71,0.266,13.319,50
28,29,29,Bill Haas,107,0.265,21.755,82
29,30,30,Scott Langley,95,0.262,20.714000000000002,79
30,31,31,Vijay Singh,83,0.261,19.824,76
31,32,32,Jordan Spieth,102,0.26,20.575,79
32,33,33,K.J. Choi,80,0.251,16.834,67
33,34,34,Seung-Yul Noh,92,0.248,18.570999999999998,75
34,35,35,Gonzalo Fernandez-Castaño,83,0.24,16.590999999999998,69
35,36,36,Cameron Tringale,111,0.23,22.566999999999997,98
36,37,37,Luke Guthrie,85,0.228,17.303,76
37,38,38,Jonas Blixt,64,0.221,9.509,43
38,39,39,Y.E. Yang,79,0.22,13.421,61
39,40,40,Brandt Snedeker,89,0.217,14.352,66
40,41,41,Russell Knox,92,0.215,17.832,83
41,42,42,Charles Howell III,106,0.201,19.139,95
