,Scrambling_10-20_yds_RTP_Score_RANK THIS WEEK,Scrambling_10-20_yds_RTP_Score_RANK LAST WEEK,Scrambling_10-20_yds_RTP_Score_PLAYER NAME,Scrambling_10-20_yds_RTP_Score_ROUNDS,Scrambling_10-20_yds_RTP_Score_AVG RTP,Scrambling_10-20_yds_RTP_Score_TOTAL HOLES,Scrambling_10-20_yds_RTP_Score_TOTAL RTP
0,1,1,Jim Furyk,84,0.19899999999999998,166,33.0
1,2,2,Russell Knox,92,0.23199999999999998,211,49.0
2,3,3,Justin Leonard,75,0.254,177,45.0
3,4,4,Jason Day,54,0.256,82,21.0
4,5,5,Charlie Wi,72,0.259,205,53.0
5,6,6,Brendon Todd,108,0.26,246,64.0
6,7,7,Bud Cauley,56,0.263,118,31.0
7,8,8,Andres Romero,81,0.264,220,58.0
8,9,9,Matt Kuchar,91,0.27,196,53.0
9,10,10,Graeme McDowell,66,0.271,129,35.0
10,T11,T11,David Hearn,97,0.272,213,58.0
11,T11,T11,Charl Schwartzel,64,0.272,151,41.0
12,T11,T11,David Toms,64,0.272,125,34.0
13,14,14,Mike Weir,69,0.276,152,42.0
14,15,15,Jonas Blixt,64,0.281,121,34.0
15,16,16,Zach Johnson,97,0.28600000000000003,199,57.0
16,17,17,D.H. Lee,54,0.287,136,39.0
17,T18,T18,Greg Chalmers,85,0.289,228,66.0
18,T18,T18,Rickie Fowler,91,0.289,149,43.0
19,T20,T20,Brad Fritsch,50,0.29100000000000004,103,30.0
20,T20,T20,Brian Harman,111,0.29100000000000004,278,81.0
21,T22,T22,Richard Lee,80,0.294,201,59.0
22,T22,T22,John Senden,99,0.294,194,57.0
23,24,24,Sergio Garcia,61,0.295,105,31.0
24,25,25,Tim Wilkinson,86,0.29600000000000004,203,60.0
25,26,26,Cameron Tringale,111,0.299,254,76.0
26,T27,T27,Ernie Els,85,0.301,183,55.0
27,T27,T27,Kevin Na,94,0.301,219,66.0
28,T27,T27,Heath Slocum,71,0.301,153,46.0
29,30,30,Justin Rose,70,0.303,122,37.0
30,31,31,Luke Donald,57,0.304,112,34.0
31,32,32,Patrick Reed,92,0.305,200,61.0
32,33,33,Gonzalo Fernandez-Castaño,83,0.306,206,63.0
33,34,34,Chris Kirk,105,0.307,228,70.0
34,35,35,Chad Collins,78,0.308,182,56.0
35,36,36,Adam Scott,68,0.309,139,43.0
36,T37,T37,Keegan Bradley,89,0.31,168,52.0
37,T37,T37,Ben Curtis,77,0.31,158,49.0
38,T37,T37,Jerry Kelly,80,0.31,171,53.0
39,T37,T37,Chris Stroud,88,0.31,184,57.0
40,41,41,John Huh,87,0.311,193,60.0
41,T42,T42,Vijay Singh,83,0.313,201,63.0
42,T42,T42,Tyrone Van Aswegen,79,0.313,195,61.0
43,T44,T44,Stuart Appleby,92,0.314,229,72.0
44,T44,T44,Jordan Spieth,102,0.314,245,77.0
45,T46,T46,Paul Casey,56,0.317,120,38.0
46,T46,T46,Charles Howell III,106,0.317,240,76.0
47,48,48,Scott Langley,95,0.319,226,72.0
48,T49,T49,Brian Gay,81,0.321,190,61.0
49,T49,T49,Spencer Levin,59,0.321,137,44.0
50,51,51,Tim Clark,75,0.322,183,59.0
51,52,52,Morgan Hoffmann,103,0.32299999999999995,235,76.0
52,53,53,Webb Simpson,87,0.324,179,58.0
53,54,54,K.J. Choi,80,0.325,197,64.0
54,T55,T55,Aaron Baddeley,74,0.326,175,57.0
55,T55,T55,Jeff Overton,80,0.326,181,59.0
56,T55,T55,Jimmy Walker,98,0.326,184,60.0
57,T58,T58,Robert Allenby,83,0.327,171,56.0
58,T58,T58,Brice Garnett,92,0.327,196,64.0
59,T58,T58,Retief Goosen,94,0.327,199,65.0
60,T58,T58,Jhonattan Vegas,77,0.327,162,53.0
61,62,62,Jamie Lovemark,64,0.32799999999999996,122,40.0
62,63,63,Pat Perez,84,0.33,182,60.0
63,64,64,Y.E. Yang,79,0.331,181,60.0
64,T65,T65,Harris English,95,0.33299999999999996,186,62.0
65,T65,T65,Johnson Wagner,69,0.33299999999999996,171,57.0
66,T67,T67,Ricky Barnes,92,0.335,230,77.0
67,T67,T67,Luke Guthrie,85,0.335,206,69.0
68,T67,T67,Bill Haas,107,0.335,188,63.0
69,T67,T67,Charley Hoffman,93,0.335,206,69.0
70,T71,T71,Chad Campbell,57,0.337,92,31.0
71,T71,T71,Trevor Immelman,84,0.337,184,62.0
72,T71,T71,Bo Van Pelt,83,0.337,166,56.0
73,74,74,Kevin Tway,64,0.33799999999999997,133,45.0
74,75,75,Matt Every,85,0.33899999999999997,180,61.0
75,T76,T76,Brendon de Jonge,109,0.34,256,87.0
76,T76,T76,Phil Mickelson,71,0.34,141,48.0
77,78,78,Lee Westwood,57,0.341,123,42.0
78,T79,T79,William McGirt,96,0.342,237,81.0
79,T79,T79,Andrew Svoboda,77,0.342,161,55.0
80,81,81,Bryce Molder,77,0.34299999999999997,166,57.0
81,T82,T82,Billy Horschel,92,0.345,142,49.0
82,T82,T82,Ian Poulter,57,0.345,116,40.0
83,T84,T84,Ryo Ishikawa,75,0.34600000000000003,159,55.0
84,T84,T84,Brandt Snedeker,89,0.34600000000000003,185,64.0
85,T84,T84,Mark Wilson,69,0.34600000000000003,159,55.0
86,87,87,Carl Pettersson,91,0.348,198,69.0
87,88,88,Brian Stuard,91,0.349,195,68.0
88,89,89,Brooks Koepka,56,0.35,117,41.0
89,T90,T90,Graham DeLaet,80,0.35100000000000003,131,46.0
90,T90,T90,Ken Duke,80,0.35100000000000003,168,59.0
91,T90,T90,Seung-Yul Noh,92,0.35100000000000003,168,59.0
92,T93,T93,Brian Davis,93,0.35200000000000004,219,77.0
93,T93,T93,Ryan Moore,86,0.35200000000000004,162,57.0
94,T95,T95,Freddie Jacobson,91,0.353,238,84.0
95,T95,T95,Bronson La'Cassie,51,0.353,116,41.0
96,97,97,Sean O'Hair,77,0.355,186,66.0
97,T98,T98,Billy Hurley III,86,0.35600000000000004,191,68.0
98,T98,T98,Ben Martin,80,0.35600000000000004,160,57.0
99,T98,T98,Rory McIlroy,66,0.35600000000000004,118,42.0
100,101,101,Will MacKenzie,82,0.35700000000000004,185,66.0
101,T102,T102,Martin Flores,85,0.358,173,62.0
102,T102,T102,Michael Putnam,106,0.358,240,86.0
103,104,104,Shawn Stefani,60,0.359,142,51.0
104,105,105,Rory Sabbatini,82,0.36,189,68.0
105,T106,T106,Jason Kokrak,65,0.361,166,60.0
106,T106,T106,Bubba Watson,76,0.361,133,48.0
107,108,108,Ben Crane,81,0.36200000000000004,218,79.0
108,109,109,Jonathan Byrd,76,0.363,182,66.0
109,T110,T110,Martin Kaymer,65,0.364,129,47.0
110,T110,T110,Jeff Maggert,54,0.364,121,44.0
111,112,112,Michael Thompson,74,0.365,148,54.0
112,T113,T113,Briny Baird,50,0.366,123,45.0
113,T113,T113,George McNeill,79,0.366,172,63.0
114,115,115,Sangmoon Bae,76,0.368,190,70.0
115,T116,T116,Chesson Hadley,84,0.369,195,72.0
116,T116,T116,Daniel Summerhays,98,0.369,233,86.0
117,118,118,James Driscoll,71,0.373,169,63.0
118,T119,T119,Erik Compton,88,0.376,229,86.0
119,T119,T119,Andrew Loupe,65,0.376,133,50.0
120,121,121,J.B. Holmes,86,0.377,223,84.0
121,122,122,Roberto Castro,76,0.37799999999999995,143,54.0
122,123,123,"Ted Potter, Jr.",68,0.38,166,63.0
123,124,124,Hideki Matsuyama,82,0.38299999999999995,201,77.0
124,125,125,David Lingmerth,80,0.385,187,72.0
125,126,126,Geoff Ogilvy,84,0.386,202,78.0
126,127,127,Hunter Mahan,88,0.38799999999999996,178,69.0
127,128,128,Steven Bowditch,93,0.389,208,81.0
128,T129,T129,Danny Lee,84,0.392,199,78.0
129,T129,T129,Troy Merritt,62,0.392,130,51.0
130,T131,T131,J.J. Henry,91,0.39299999999999996,178,70.0
131,T131,T131,Matt Jones,83,0.39299999999999996,173,68.0
132,T131,T131,Kevin Kisner,85,0.39299999999999996,173,68.0
133,T134,T134,Woody Austin,63,0.39399999999999996,165,65.0
134,T134,T134,James Hahn,82,0.39399999999999996,208,82.0
135,136,136,Gary Woodland,93,0.395,177,70.0
136,137,137,Dustin Johnson,58,0.396,96,38.0
137,138,138,Russell Henley,92,0.397,199,79.0
138,T139,T139,Scott Brown,100,0.39799999999999996,231,92.0
139,T139,T139,Marc Leishman,81,0.39799999999999996,166,66.0
140,141,141,Nick Watney,80,0.39899999999999997,138,55.0
141,142,142,Robert Garrigus,80,0.401,202,81.0
142,143,143,Kevin Chappell,100,0.402,204,82.0
143,144,144,Kevin Streelman,79,0.40399999999999997,166,67.0
