,Scrambling_Fringe_RTP_Score_RANK THIS WEEK,Scrambling_Fringe_RTP_Score_RANK LAST WEEK,Scrambling_Fringe_RTP_Score_PLAYER NAME,Scrambling_Fringe_RTP_Score_ROUNDS,Scrambling_Fringe_RTP_Score_AVG RTP,Scrambling_Fringe_RTP_Score_TOTAL HOLES,Scrambling_Fringe_RTP_Score_TOTAL RTP
0,1,1,Hideki Matsuyama,82,-.135,52,-7.00
1,2,2,Graeme McDowell,66,-.100,40,-4.00
2,T3,T3,Greg Chalmers,85,-.091,77,-7.00
3,T3,T3,Kevin Stadler,90,-.091,44,-4.00
4,5,5,Billy Horschel,92,-.081,37,-3.00
5,6,6,Jonas Blixt,64,-.067,30,-2.00
6,7,7,Dustin Johnson,58,-.061,33,-2.00
7,8,8,Kevin Kisner,85,-.056,72,-4.00
8,9,9,Brian Harman,111,-.055,91,-5.00
9,T10,T10,William McGirt,96,-.054,74,-4.00
10,T10,T10,Charlie Wi,72,-.054,74,-4.00
11,12,12,Matt Every,85,-.053,57,-3.00
12,T13,T13,Ángel Cabrera,69,-.052,58,-3.00
13,T13,T13,Nick Watney,80,-.052,58,-3.00
14,15,15,Scott Brown,100,-.046,87,-4.00
15,T16,T16,Rickie Fowler,91,-.045,44,-2.00
16,T16,T16,David Toms,64,-.045,44,-2.00
17,18,18,Justin Rose,70,-.044,45,-2.00
18,19,19,Chris Stroud,88,-.042,72,-3.00
19,20,20,Marc Leishman,81,-.037,54,-2.00
20,21,21,David Hearn,97,-.031,64,-2.00
21,22,22,Chris Kirk,105,-.029,70,-2.00
22,23,23,Kevin Chappell,100,-.028,72,-2.00
23,24,24,Lee Westwood,57,-.026,38,-1.00
24,T25,T25,Martin Kaymer,65,-.023,43,-1.00
25,T25,T25,Patrick Reed,92,-.023,44,-1.00
26,T27,T27,Jason Kokrak,65,-.020,49,-1.00
27,T27,T27,Brandt Snedeker,89,-.020,50,-1.00
28,29,29,Keegan Bradley,89,-.019,53,-1.00
29,T30,T30,Ben Curtis,77,-.017,58,-1.00
30,T30,T30,David Lingmerth,80,-.017,58,-1.00
31,T32,T32,Charley Hoffman,93,-.016,62,-1.00
32,T32,T32,J.B. Holmes,86,-.016,64,-1.00
33,34,34,Andres Romero,81,-.015,65,-1.00
34,35,35,Morgan Hoffmann,103,-.013,77,-1.00
35,T36,T36,Robert Allenby,83,E,63,E
36,T36,T36,Sangmoon Bae,76,E,60,E
37,T36,T36,Ricky Barnes,92,E,73,E
38,T36,T36,Paul Casey,56,E,34,E
39,T36,T36,Stewart Cink,91,E,66,E
40,T36,T36,Jason Day,54,E,26,E
41,T36,T36,Ernie Els,85,E,44,E
42,T36,T36,Gonzalo Fernandez-Castaño,83,E,52,E
43,T36,T36,Jim Furyk,84,E,61,E
44,T36,T36,Sergio Garcia,61,E,30,E
45,T36,T36,Zach Johnson,97,E,63,E
46,T36,T36,Justin Leonard,75,E,71,E
47,T36,T36,Andrew Loupe,65,E,47,E
48,T36,T36,Hunter Mahan,88,E,57,E
49,T36,T36,Jeff Overton,80,E,56,E
50,T36,T36,Webb Simpson,87,E,51,E
51,T36,T36,Hudson Swafford,75,E,52,E
52,T36,T36,Kevin Tway,64,E,34,E
53,T36,T36,Tyrone Van Aswegen,79,E,61,E
54,T36,T36,Camilo Villegas,95,E,76,E
55,T36,T36,Mike Weir,69,E,48,E
56,T36,T36,Gary Woodland,93,E,58,E
57,58,58,Charles Howell III,106,+.012,85,+1.00
58,T59,T59,Brendon de Jonge,109,+.014,69,+1.00
59,T59,T59,Robert Garrigus,80,+.014,71,+1.00
60,61,61,George McNeill,79,+.015,68,+1.00
61,62,62,Roberto Castro,76,+.016,63,+1.00
62,T63,T63,James Driscoll,71,+.018,57,+1.00
63,T63,T63,Troy Matteson,62,+.018,57,+1.00
64,T63,T63,John Senden,99,+.018,55,+1.00
65,66,66,Michael Thompson,74,+.020,49,+1.00
66,67,67,Bryce Molder,77,+.022,45,+1.00
67,T68,T68,Brian Davis,93,+.023,87,+2.00
68,T68,T68,Graham DeLaet,80,+.023,44,+1.00
69,T68,T68,Jim Herman,62,+.023,44,+1.00
70,71,71,Bronson La'Cassie,51,+.025,40,+1.00
71,T72,T72,D.A. Points,75,+.027,37,+1.00
72,T72,T72,Daniel Summerhays,98,+.027,75,+2.00
73,74,74,Brad Fritsch,50,+.028,36,+1.00
74,T75,T75,Jason Bohn,81,+.029,68,+2.00
75,T75,T75,Erik Compton,88,+.029,70,+2.00
76,77,77,Matt Jones,83,+.030,66,+2.00
77,T78,T78,Geoff Ogilvy,84,+.031,65,+2.00
78,T78,T78,Tim Wilkinson,86,+.031,65,+2.00
79,80,80,Russell Knox,92,+.032,93,+3.00
80,T81,T81,Wes Roach,67,+.033,60,+2.00
81,T81,T81,Jimmy Walker,98,+.033,60,+2.00
82,T83,T83,Seung-Yul Noh,92,+.034,58,+2.00
83,T83,T83,Josh Teater,90,+.034,59,+2.00
84,T85,T85,Luke Donald,57,+.036,28,+1.00
85,T85,T85,Scott Stallings,77,+.036,56,+2.00
86,87,87,Brendon Todd,108,+.037,81,+3.00
87,T88,T88,Ryan Moore,86,+.038,53,+2.00
88,T88,T88,Vijay Singh,83,+.038,53,+2.00
89,T88,T88,Mark Wilson,69,+.038,52,+2.00
90,91,91,Jerry Kelly,80,+.039,51,+2.00
91,92,92,J.J. Henry,91,+.040,75,+3.00
92,T93,T93,Martin Laird,66,+.043,47,+2.00
93,T93,T93,Charl Schwartzel,64,+.043,46,+2.00
94,T93,T93,Bubba Watson,76,+.043,47,+2.00
95,96,96,Cameron Tringale,111,+.044,68,+3.00
96,T97,T97,Retief Goosen,94,+.045,66,+3.00
97,T97,T97,Brooks Koepka,56,+.045,44,+2.00
98,T99,T99,Tim Clark,75,+.048,62,+3.00
99,T99,T99,Kevin Na,94,+.048,63,+3.00
100,101,101,D.H. Lee,54,+.050,40,+2.00
101,T102,T102,Aaron Baddeley,74,+.051,39,+2.00
102,T102,T102,Ryan Palmer,85,+.051,59,+3.00
103,T104,T104,Harris English,95,+.054,56,+3.00
104,T104,T104,Brice Garnett,92,+.054,74,+4.00
105,T104,T104,Phil Mickelson,71,+.054,37,+2.00
106,T107,T107,Jason Dufner,57,+.056,36,+2.00
107,T107,T107,Adam Scott,68,+.056,36,+2.00
108,T107,T107,Brendan Steele,89,+.056,72,+4.00
109,110,110,Freddie Jacobson,91,+.057,70,+4.00
110,T111,T111,Jim Renner,61,+.058,52,+3.00
111,T111,T111,Robert Streb,75,+.058,69,+4.00
112,T113,T113,Chad Campbell,57,+.059,34,+2.00
113,T113,T113,Scott Langley,95,+.059,85,+5.00
114,T115,T115,Rory Sabbatini,82,+.060,50,+3.00
115,T115,T115,Y.E. Yang,79,+.060,50,+3.00
116,T117,T117,Chesson Hadley,84,+.063,63,+4.00
117,T117,T117,Matt Kuchar,91,+.063,63,+4.00
118,T117,T117,Davis Love III,74,+.063,64,+4.00
119,T120,T120,Russell Henley,92,+.067,45,+3.00
120,T120,T120,Pat Perez,84,+.067,75,+5.00
121,122,122,Boo Weekley,73,+.071,42,+3.00
122,123,123,Stuart Appleby,92,+.075,80,+6.00
123,T124,T124,Brian Gay,81,+.076,66,+5.00
124,T124,T124,Jordan Spieth,102,+.076,66,+5.00
125,T124,T124,Andrew Svoboda,77,+.076,66,+5.00
126,T127,T127,Briny Baird,50,+.078,51,+4.00
127,T127,T127,Bud Cauley,56,+.078,51,+4.00
128,T127,T127,Ben Crane,81,+.078,64,+5.00
129,130,130,Johnson Wagner,69,+.080,50,+4.00
130,T131,T131,Bill Haas,107,+.081,62,+5.00
131,T131,T131,Ben Martin,80,+.081,62,+5.00
132,T133,T133,Danny Lee,84,+.082,85,+7.00
133,T133,T133,Kevin Streelman,79,+.082,49,+4.00
134,T135,T135,Luke Guthrie,85,+.083,60,+5.00
