,Scrambling_from_20-30_yards_RANK THIS WEEK,Scrambling_from_20-30_yards_RANK LAST WEEK,Scrambling_from_20-30_yards_PLAYER NAME,Scrambling_from_20-30_yards_ROUNDS,Scrambling_from_20-30_yards_%,Scrambling_from_20-30_yards_SUCCESSES,Scrambling_from_20-30_yards_ATTEMPTS
0,1,1,Luke Donald,57,67.92,36,53
1,2,2,Sergio Garcia,61,67.65,23,34
2,3,3,Shawn Stefani,60,66.1,39,59
3,4,4,Mike Weir,69,65.22,60,92
4,5,5,Bryce Molder,77,65.12,56,86
5,6,6,Jason Day,54,65.0,26,40
6,T7,T7,Ryo Ishikawa,75,64.71,55,85
7,T7,T7,Freddie Jacobson,91,64.71,66,102
8,9,9,Justin Leonard,75,63.54,61,96
9,10,10,Seung-Yul Noh,92,62.77,59,94
10,11,11,Jim Furyk,84,62.71,37,59
11,12,12,Brian Gay,81,62.24,61,98
12,13,13,Ryan Palmer,85,62.16,46,74
13,14,14,Charl Schwartzel,64,62.12,41,66
14,15,15,Bill Haas,107,61.96,57,92
15,T16,T16,Rickie Fowler,91,61.54,48,78
16,T16,T16,Ben Martin,80,61.54,48,78
17,18,18,Patrick Reed,92,61.0,61,100
18,19,19,Brandt Snedeker,89,60.98,50,82
19,20,20,Hideki Matsuyama,82,60.71,34,56
20,21,21,Chad Campbell,57,59.52,25,42
21,22,22,Cameron Tringale,111,59.46,66,111
22,23,23,Bubba Watson,76,58.82,30,51
23,24,24,Josh Teater,90,58.54,48,82
24,T25,T25,Brian Davis,93,58.33,77,132
25,T25,T25,Phil Mickelson,71,58.33,35,60
26,27,27,Robert Allenby,83,58.24,53,91
27,28,28,Ernie Els,85,58.23,46,79
28,29,29,Andrew Loupe,65,58.06,36,62
29,30,30,Kevin Na,94,57.78,52,90
30,31,31,Jordan Spieth,102,57.45,54,94
31,T32,T32,Stuart Appleby,92,57.14,60,105
32,T32,T32,Graham DeLaet,80,57.14,32,56
33,T32,T32,Kevin Kisner,85,57.14,52,91
34,35,35,Luke Guthrie,85,57.0,57,100
35,36,36,Will MacKenzie,82,56.99,53,93
36,37,37,Chris Kirk,105,56.88,62,109
37,38,38,Brendan Steele,89,56.58,43,76
38,T39,T39,Billy Hurley III,86,56.47,48,85
39,T39,T39,Scott Langley,95,56.47,48,85
40,T39,T39,Charlie Wi,72,56.47,48,85
41,42,42,David Hearn,97,56.44,57,101
42,43,43,Bronson La'Cassie,51,56.36,31,55
43,44,44,Webb Simpson,87,56.32,49,87
44,T45,T45,Keegan Bradley,89,56.25,45,80
45,T45,T45,Robert Streb,75,56.25,45,80
46,T45,T45,Bo Van Pelt,83,56.25,36,64
47,48,48,Matt Kuchar,91,56.18,50,89
48,49,49,Zach Johnson,97,55.91,52,93
49,50,50,Camilo Villegas,95,55.88,57,102
50,51,51,Richard Lee,80,55.79,53,95
51,T52,T52,Aaron Baddeley,74,55.56,45,81
52,T52,T52,Spencer Levin,59,55.56,40,72
53,54,54,Stewart Cink,91,55.41,41,74
54,55,55,Greg Chalmers,85,55.37,67,121
55,56,56,Charles Howell III,106,55.26,63,114
56,T57,T57,Paul Casey,56,55.1,27,49
57,T57,T57,Chad Collins,78,55.1,54,98
58,59,59,Erik Compton,88,55.06,49,89
59,60,60,John Rollins,84,54.88,45,82
60,61,61,Y.E. Yang,79,54.84,51,93
61,62,62,Brendon Todd,108,54.7,64,117
62,63,63,Nick Watney,80,54.55,24,44
63,64,64,Willy Wilcox,51,54.35,25,46
64,65,65,Kevin Chappell,100,54.26,51,94
65,66,66,Gary Woodland,93,54.02,47,87
66,67,67,Danny Lee,84,53.93,48,89
67,68,68,Retief Goosen,94,53.92,55,102
68,T69,T69,Ricky Barnes,92,53.85,49,91
69,T69,T69,Billy Horschel,92,53.85,35,65
70,T69,T69,Brooks Koepka,56,53.85,21,39
71,T69,T69,Pat Perez,84,53.85,49,91
72,73,73,D.H. Lee,54,53.73,36,67
73,74,74,Henrik Stenson,56,53.66,22,41
74,75,75,Scott Brown,100,53.61,52,97
75,76,76,Wes Roach,67,53.33,32,60
76,77,77,Russell Henley,92,53.13,51,96
77,T78,T78,J.B. Holmes,86,53.06,52,98
78,T78,T78,Graeme McDowell,66,53.06,26,49
79,80,80,Hudson Swafford,75,52.94,36,68
80,81,81,Tim Wilkinson,86,52.88,55,104
81,82,82,Sean O'Hair,77,52.87,46,87
82,83,83,Marc Leishman,81,52.86,37,70
83,84,84,Justin Rose,70,52.83,28,53
84,85,85,Dustin Johnson,58,52.78,19,36
85,86,86,Robert Garrigus,80,52.7,39,74
86,T87,T87,Jonas Blixt,64,52.63,30,57
87,T87,T87,Jamie Lovemark,64,52.63,30,57
88,89,89,Gonzalo Fernandez-Castaño,83,52.44,43,82
89,90,90,Jerry Kelly,80,52.33,45,86
90,91,91,John Senden,99,52.22,47,90
91,92,92,Mark Wilson,69,51.95,40,77
92,93,93,J.J. Henry,91,51.65,47,91
93,T94,T94,Morgan Hoffmann,103,51.35,57,111
94,T94,T94,Daniel Summerhays,98,51.35,57,111
95,96,96,D.A. Points,75,51.32,39,76
96,97,97,Brice Garnett,92,51.28,60,117
97,98,98,George McNeill,79,51.14,45,88
98,99,99,Jeff Maggert,54,50.88,29,57
99,100,100,Adam Scott,68,50.82,31,61
100,101,101,Chesson Hadley,84,50.65,39,77
101,T102,T102,Jonathan Byrd,76,50.63,40,79
102,T102,T102,Johnson Wagner,69,50.63,40,79
103,104,104,Matt Jones,83,50.56,45,89
104,T105,T105,Tim Clark,75,50.0,31,62
105,T105,T105,Ben Crane,81,50.0,51,102
106,T105,T105,Martin Flores,85,50.0,41,82
107,T105,T105,Nicholas Thompson,85,50.0,42,84
108,T105,T105,Michael Thompson,74,50.0,39,78
109,T105,T105,Jhonattan Vegas,77,50.0,36,72
110,T105,T105,Boo Weekley,73,50.0,35,70
111,112,112,Steven Bowditch,93,49.5,50,101
112,113,113,K.J. Choi,80,49.49,49,99
113,114,114,John Huh,87,49.41,42,85
114,115,115,Jimmy Walker,98,48.78,40,82
115,116,116,Ken Duke,80,48.57,34,70
116,117,117,Ángel Cabrera,69,48.53,33,68
117,118,118,Troy Merritt,62,48.48,32,66
118,119,119,Charley Hoffman,93,48.44,31,64
119,120,120,Andres Romero,81,48.35,44,91
120,121,121,Ben Curtis,77,48.21,54,112
121,122,122,Martin Laird,66,47.95,35,73
122,123,123,Harris English,95,47.89,34,71
123,124,124,Brian Harman,111,47.79,54,113
124,T125,T125,Michael Putnam,106,47.78,43,90
125,T125,T125,Chris Stroud,88,47.78,43,90
126,127,127,Geoff Ogilvy,84,47.62,50,105
127,T128,T128,Derek Ernst,80,47.56,39,82
128,T128,T128,Matt Every,85,47.56,39,82
129,T128,T128,Russell Knox,92,47.56,39,82
130,131,131,Ian Poulter,57,47.37,27,57
131,132,132,Brad Fritsch,50,47.17,25,53
132,133,133,Charlie Beljan,76,47.06,40,85
133,134,134,David Lingmerth,80,46.99,39,83
134,135,135,James Hahn,82,46.94,46,98
135,136,136,David Toms,64,46.88,30,64
136,137,137,Jim Herman,62,46.81,22,47
137,138,138,Briny Baird,50,46.77,29,62
138,139,139,Jason Bohn,81,46.75,36,77
139,T140,T140,James Driscoll,71,46.67,49,105
140,T140,T140,Andrew Svoboda,77,46.67,35,75
141,142,142,Vijay Singh,83,46.43,39,84
142,143,143,Brian Stuard,91,46.36,51,110
143,144,144,Sangmoon Bae,76,46.34,38,82
144,T145,T145,Roberto Castro,76,45.45,40,88
145,T145,T145,Troy Matteson,62,45.45,30,66
146,T147,T147,John Merrick,87,44.93,31,69
147,T147,T147,"Ted Potter, Jr.",68,44.93,31,69
148,149,149,Bud Cauley,56,44.9,22,49
149,150,150,Brendon de Jonge,109,44.64,50,112
150,T151,T151,Jeff Overton,80,44.44,32,72
151,T151,T151,Heath Slocum,71,44.44,32,72
152,153,153,Kevin Tway,64,44.26,27,61
153,154,154,Jason Dufner,57,44.19,19,43
154,155,155,William McGirt,96,44.07,52,118
155,156,156,Jason Kokrak,65,43.84,32,73
156,157,157,Rory Sabbatini,82,43.55,27,62
157,158,158,Martin Kaymer,65,43.48,20,46
158,159,159,Hunter Mahan,88,43.24,32,74
159,160,160,Rory McIlroy,66,42.86,18,42
160,161,161,Woody Austin,63,42.5,34,80
161,162,162,Kevin Stadler,90,42.42,28,66
162,163,163,Justin Hicks,103,42.16,43,102
163,164,164,Trevor Immelman,84,42.11,40,95
164,165,165,Tommy Gainey,73,41.77,33,79
165,166,166,Kyle Stanley,87,41.27,26,63
166,167,167,John Peterson,62,41.03,16,39
167,168,168,Scott Stallings,77,40.35,23,57
168,T169,T169,Davis Love III,74,40.3,27,67
169,T169,T169,Kevin Streelman,79,40.3,27,67
170,171,171,Tyrone Van Aswegen,79,39.34,24,61
171,172,172,Jim Renner,61,38.98,23,59
172,173,173,Louis Oosthuizen,50,38.89,14,36
173,174,174,Ryan Moore,86,38.33,23,60
174,175,175,Lee Westwood,57,38.3,18,47
175,176,176,Carl Pettersson,91,37.27,41,110
176,177,177,Lucas Glover,68,34.15,14,41
