,Proximity_to_Hole_from_Rough_RANK THIS WEEK,Proximity_to_Hole_from_Rough_RANK LAST WEEK,Proximity_to_Hole_from_Rough_PLAYER NAME,Proximity_to_Hole_from_Rough_ROUNDS,Proximity_to_Hole_from_Rough_AVG DTP,Proximity_to_Hole_from_Rough_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Rough_# OF SHOTS,Proximity_to_Hole_from_Rough_SCRAMBLING RANK
0,1,1,Jim Furyk,84,"6' 5""",989.0830000000001,154,1
1,T2,T2,Luke Donald,57,"6' 7""",720.8330000000001,109,38
2,T2,T2,Tyrone Van Aswegen,79,"6' 7""",1022.6669999999999,156,94
3,4,4,Stuart Appleby,92,"6' 8""",1179.333,177,34
4,5,5,Kevin Na,94,"6' 9""",1288.0,191,4
5,T6,T6,Bud Cauley,56,"6' 10""",727.5,106,57
6,T6,T6,Rickie Fowler,91,"6' 10""",1317.8329999999999,194,17
7,T6,T6,Phil Mickelson,71,"6' 10""",1020.8330000000001,150,20
8,T6,T6,Justin Rose,70,"6' 10""",1019.25,149,31
9,T10,T10,Briny Baird,50,"6' 11""",523.0,76,118
10,T10,T10,Jason Day,54,"6' 11""",599.6669999999999,87,5
11,T12,T12,Ernie Els,85,"7' 0""",1255.583,180,26
12,T12,T12,Gonzalo Fernandez-Castaño,83,"7' 0""",1364.9170000000001,196,100
13,T12,T12,Zach Johnson,97,"7' 0""",1342.0,191,36
14,T12,T12,Bryce Molder,77,"7' 0""",1084.333,154,44
15,T12,T12,Jordan Spieth,102,"7' 0""",1720.5829999999999,247,13
16,T17,T17,Roberto Castro,76,"7' 1""",1020.8330000000001,144,136
17,T17,T17,Ryo Ishikawa,75,"7' 1""",1011.3330000000001,142,152
18,T17,T17,Jerry Kelly,80,"7' 1""",1068.0,150,16
19,T17,T17,Bo Van Pelt,83,"7' 1""",895.1669999999999,126,101
20,T21,T21,Brian Gay,81,"7' 2""",1202.333,167,3
21,T21,T21,Robert Streb,75,"7' 2""",1233.25,173,80
22,T21,T21,David Toms,64,"7' 2""",661.0,92,23
23,T24,T24,Tim Clark,75,"7' 3""",864.4169999999999,119,70
24,T24,T24,Jason Dufner,57,"7' 3""",805.9169999999999,111,166
25,T24,T24,Rory McIlroy,66,"7' 3""",960.5830000000001,133,88
26,T24,T24,Lee Westwood,57,"7' 3""",915.8330000000001,127,127
27,T28,T28,Woody Austin,63,"7' 4""",1085.083,148,146
28,T28,T28,Sergio Garcia,61,"7' 4""",708.5,97,2
29,T28,T28,Matt Kuchar,91,"7' 4""",1236.417,169,12
30,T31,T31,Brendon de Jonge,109,"7' 5""",1691.0,229,117
31,T31,T31,Ken Duke,80,"7' 5""",1071.5,145,109
32,T31,T31,Charley Hoffman,93,"7' 5""",1492.75,202,64
33,T31,T31,Chris Kirk,105,"7' 5""",1556.3329999999999,210,9
34,T31,T31,Ryan Moore,86,"7' 5""",1183.25,159,103
35,T31,T31,Jim Renner,61,"7' 5""",866.25,117,177
36,T31,T31,Y.E. Yang,79,"7' 5""",1159.417,156,122
37,T38,T38,Paul Casey,56,"7' 6""",797.25,106,128
38,T38,T38,Chad Collins,78,"7' 6""",1124.667,150,60
39,T38,T38,J.B. Holmes,86,"7' 6""",1807.5829999999999,240,89
40,T38,T38,Freddie Jacobson,91,"7' 6""",1604.6670000000001,213,28
41,T38,T38,Dustin Johnson,58,"7' 6""",824.8330000000001,110,57
42,T38,T38,Louis Oosthuizen,50,"7' 6""",639.25,85,172
43,T38,T38,Brandt Snedeker,89,"7' 6""",1407.0,187,66
44,T38,T38,Brendon Todd,108,"7' 6""",1854.5,248,7
45,T38,T38,Tim Wilkinson,86,"7' 6""",1409.9170000000001,187,10
46,T47,T47,Kevin Chappell,100,"7' 7""",1502.1670000000001,199,114
47,T47,T47,Charles Howell III,106,"7' 7""",1880.25,247,30
48,T47,T47,Hideki Matsuyama,82,"7' 7""",1389.5829999999999,184,41
49,T47,T47,Ian Poulter,57,"7' 7""",801.75,106,98
50,T47,T47,Adam Scott,68,"7' 7""",1096.167,145,37
51,T52,T52,Harris English,95,"7' 8""",1404.8329999999999,183,110
52,T52,T52,Chris Stroud,88,"7' 8""",1347.5829999999999,175,18
53,T52,T52,Josh Teater,90,"7' 8""",1435.3329999999999,188,102
54,T55,T55,Ben Crane,81,"7' 9""",1452.9170000000001,187,75
55,T55,T55,Brian Harman,111,"7' 9""",1963.0,254,60
56,T55,T55,Justin Leonard,75,"7' 9""",1297.667,168,6
57,T55,T55,Will MacKenzie,82,"7' 9""",1538.8329999999999,198,134
58,T55,T55,Webb Simpson,87,"7' 9""",1366.5,176,77
59,T55,T55,Shawn Stefani,60,"7' 9""",978.4169999999999,126,67
60,T55,T55,Henrik Stenson,56,"7' 9""",718.8330000000001,93,171
61,T55,T55,Gary Woodland,93,"7' 9""",1594.5829999999999,206,50
62,T63,T63,David Hearn,97,"7' 10""",1467.75,188,35
63,T63,T63,Spencer Levin,59,"7' 10""",1039.167,132,55
64,T63,T63,Heath Slocum,71,"7' 10""",873.9169999999999,111,24
65,T63,T63,Cameron Tringale,111,"7' 10""",1847.5829999999999,237,70
66,T63,T63,Nick Watney,80,"7' 10""",946.5830000000001,121,132
67,T68,T68,Jason Bohn,81,"7' 11""",1445.5,183,131
68,T68,T68,K.J. Choi,80,"7' 11""",1455.8329999999999,183,119
69,T68,T68,Brad Fritsch,50,"7' 11""",725.25,92,54
70,T68,T68,Retief Goosen,94,"7' 11""",1465.5,186,33
71,T68,T68,Luke Guthrie,85,"7' 11""",1588.5,200,29
72,T68,T68,John Huh,87,"7' 11""",1447.25,182,107
73,T68,T68,Billy Hurley III,86,"7' 11""",1321.9170000000001,167,26
74,T68,T68,Jason Kokrak,65,"7' 11""",1205.75,153,59
75,T68,T68,Charlie Wi,72,"7' 11""",1186.583,150,15
76,T77,T77,Sangmoon Bae,76,"8' 0""",1300.583,163,112
77,T77,T77,Keegan Bradley,89,"8' 0""",1383.5,173,14
