,Proximity_to_Hole_from_10-20_yards_RANK THIS WEEK,Proximity_to_Hole_from_10-20_yards_RANK LAST WEEK,Proximity_to_Hole_from_10-20_yards_PLAYER NAME,Proximity_to_Hole_from_10-20_yards_ROUNDS,Proximity_to_Hole_from_10-20_yards_AVG DTP,Proximity_to_Hole_from_10-20_yards_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_10-20_yards_# OF SHOTS,Proximity_to_Hole_from_10-20_yards_SCRAMBLING RANK
0,1,1,Bud Cauley,56,"5' 3""",745.9169999999999,142,57
1,2,2,Jim Furyk,84,"5' 5""",969.6669999999999,178,1
2,T3,T3,Zach Johnson,97,"5' 8""",1274.5,224,36
3,T3,T3,Lee Westwood,57,"5' 8""",808.3330000000001,143,127
4,T5,T5,Jason Day,54,"5' 9""",559.5830000000001,97,5
5,T5,T5,Gonzalo Fernandez-Castaño,83,"5' 9""",1411.9170000000001,245,100
6,T5,T5,Vijay Singh,83,"5' 9""",1291.833,225,73
7,T8,T8,Matt Kuchar,91,"5' 10""",1262.083,215,12
8,T8,T8,Justin Rose,70,"5' 10""",835.1669999999999,144,31
9,T10,T10,Ryo Ishikawa,75,"5' 11""",1079.417,182,152
10,T10,T10,Mark Wilson,69,"5' 11""",1030.917,174,138
11,T12,T12,Luke Donald,57,"6' 0""",802.5,134,38
12,T12,T12,Harris English,95,"6' 0""",1381.1670000000001,230,110
13,T12,T12,Justin Leonard,75,"6' 0""",1173.5,196,6
14,T12,T12,Cameron Tringale,111,"6' 0""",1713.3329999999999,285,70
15,T16,T16,Rickie Fowler,91,"6' 1""",1131.75,186,17
16,T16,T16,Sergio Garcia,61,"6' 1""",717.4169999999999,118,2
17,T16,T16,D.H. Lee,54,"6' 1""",909.1669999999999,150,86
18,T16,T16,Kevin Na,94,"6' 1""",1522.0,251,4
19,T20,T20,Briny Baird,50,"6' 2""",826.25,134,118
20,T20,T20,Kevin Chappell,100,"6' 2""",1463.8329999999999,238,114
21,T20,T20,Ernie Els,85,"6' 2""",1433.0829999999999,232,26
22,T20,T20,Brian Gay,81,"6' 2""",1280.25,209,3
23,T20,T20,Ian Poulter,57,"6' 2""",857.8330000000001,139,98
24,T20,T20,Webb Simpson,87,"6' 2""",1278.0,208,77
