,Scrambling_RANK THIS WEEK,Scrambling_RANK LAST WEEK,Scrambling_PLAYER NAME,Scrambling_ROUNDS,Scrambling_%,Scrambling_PAR OR BETTER,Scrambling_MISSED GIR
0,1,1,Jim Furyk,84,69.33,312,450
1,2,2,Sergio Garcia,61,66.67,218,327
2,3,3,Brian Gay,81,65.69,381,580
3,4,4,Kevin Na,94,65.16,389,597
4,5,5,Jason Day,54,64.95,202,311
5,6,6,Justin Leonard,75,64.56,368,570
6,7,7,Brendon Todd,108,63.57,445,700
7,8,8,Russell Knox,92,63.4,336,530
8,9,9,Chris Kirk,105,63.3,433,684
9,10,10,Tim Wilkinson,86,63.19,357,565
10,11,11,"Ted Potter, Jr.",68,62.76,268,427
11,12,12,Matt Kuchar,91,62.4,327,524
12,13,13,Jordan Spieth,102,62.39,413,662
13,14,14,Keegan Bradley,89,62.31,329,528
14,15,15,Charlie Wi,72,62.27,307,493
15,16,16,Jerry Kelly,80,62.1,308,496
16,17,17,Rickie Fowler,91,62.06,337,543
17,18,18,Chris Stroud,88,61.89,341,551
18,19,19,Ricky Barnes,92,61.8,343,555
19,20,20,Phil Mickelson,71,61.71,274,444
20,T21,T21,Scott Langley,95,61.67,370,600
21,T21,T21,Charl Schwartzel,64,61.67,251,407
22,23,23,David Toms,64,61.6,215,349
23,24,24,Heath Slocum,71,61.58,250,406
24,25,25,Brian Davis,93,61.55,397,645
25,T26,T26,Ernie Els,85,61.36,335,546
26,T26,T26,Billy Hurley III,86,61.36,324,528
27,28,28,Freddie Jacobson,91,61.34,376,613
28,29,29,Luke Guthrie,85,61.29,342,558
29,30,30,Charles Howell III,106,61.26,378,617
30,31,31,Justin Rose,70,61.23,248,405
31,32,32,Richard Lee,80,61.21,344,562
32,33,33,Retief Goosen,94,61.12,360,589
33,34,34,Stuart Appleby,92,61.0,366,600
34,35,35,David Hearn,97,60.99,358,587
35,36,36,Zach Johnson,97,60.75,342,563
36,37,37,Adam Scott,68,60.73,232,382
37,38,38,Luke Donald,57,60.59,226,373
38,T39,T39,Graeme McDowell,66,60.47,231,382
39,T39,T39,Jeff Overton,80,60.47,283,468
40,T41,T41,Hideki Matsuyama,82,60.42,313,518
41,T41,T41,Brian Stuard,91,60.42,342,566
42,43,43,Bill Haas,107,60.37,358,593
43,44,44,Bryce Molder,77,60.34,286,474
44,45,45,Seung-Yul Noh,92,60.33,330,547
45,46,46,Pat Perez,84,60.3,325,539
46,47,47,Aaron Baddeley,74,60.27,314,521
47,48,48,Bronson La'Cassie,51,60.24,197,327
48,49,49,John Senden,99,60.21,345,573
49,50,50,Gary Woodland,93,60.11,333,554
50,51,51,Chad Campbell,57,60.08,158,263
51,T52,T52,Robert Allenby,83,59.96,283,472
52,T52,T52,Andres Romero,81,59.96,328,547
53,54,54,Brad Fritsch,50,59.93,181,302
54,55,55,Spencer Levin,59,59.89,227,379
55,56,56,Mike Weir,69,59.84,298,498
56,T57,T57,Bud Cauley,56,59.76,196,328
57,T57,T57,Dustin Johnson,58,59.76,196,328
58,59,59,Jason Kokrak,65,59.75,242,405
