,Proximity_to_Hole_from_30_yards_RANK THIS WEEK,Proximity_to_Hole_from_30_yards_RANK LAST WEEK,Proximity_to_Hole_from_30_yards_PLAYER NAME,Proximity_to_Hole_from_30_yards_ROUNDS,Proximity_to_Hole_from_30_yards_AVG DTP,Proximity_to_Hole_from_30_yards_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_30_yards_# OF SHOTS,Proximity_to_Hole_from_30_yards_SCRAMBLING RANK
0,1,1,Stuart Appleby,92,"8' 5""",665.0,79,34
1,2,2,Rory McIlroy,66,"8' 9""",350.667,40,88
2,3,3,"Ted Potter, Jr.",68,"9' 4""",335.0,36,11
3,4,4,Sean O'Hair,77,"9' 6""",532.1669999999999,56,63
4,5,5,Chris Stroud,88,"9' 7""",702.5830000000001,73,18
5,6,6,Woody Austin,63,"9' 8""",492.833,51,146
6,7,7,Justin Leonard,75,"9' 10""",571.5830000000001,58,6
7,T8,T8,Paul Casey,56,"10' 1""",140.667,14,128
8,T8,T8,Brandt Snedeker,89,"10' 1""",563.3330000000001,56,66
9,T8,T8,Brendan Steele,89,"10' 1""",432.75,43,67
10,11,11,Charley Hoffman,93,"10' 2""",608.0830000000001,60,64
11,T12,T12,Brian Davis,93,"10' 3""",746.3330000000001,73,25
12,T12,T12,Jason Day,54,"10' 3""",266.08299999999997,26,5
13,T12,T12,Matt Kuchar,91,"10' 3""",625.25,61,12
14,T12,T12,Jamie Lovemark,64,"10' 3""",380.167,37,129
15,T12,T12,Mike Weir,69,"10' 3""",571.8330000000001,56,56
16,17,17,Charles Howell III,106,"10' 5""",814.4169999999999,78,30
17,T18,T18,Kevin Na,94,"10' 6""",575.6669999999999,55,4
18,T18,T18,Shawn Stefani,60,"10' 6""",557.1669999999999,53,67
19,T20,T20,Roberto Castro,76,"10' 7""",539.75,51,136
20,T20,T20,Ben Crane,81,"10' 7""",685.25,65,75
21,T20,T20,J.B. Holmes,86,"10' 7""",812.0830000000001,77,89
22,T20,T20,Freddie Jacobson,91,"10' 7""",643.8330000000001,61,28
23,T20,T20,Geoff Ogilvy,84,"10' 7""",644.3330000000001,61,137
24,T20,T20,Charlie Wi,72,"10' 7""",572.8330000000001,54,15
25,26,26,Tim Wilkinson,86,"10' 8""",769.8330000000001,72,10
26,27,27,Jordan Spieth,102,"10' 9""",764.75,71,13
27,T28,T28,Chad Collins,78,"10' 10""",647.5830000000001,60,60
28,T28,T28,Luke Donald,57,"10' 10""",346.0,32,38
29,T28,T28,Jim Furyk,84,"10' 10""",345.583,32,1
30,T28,T28,John Merrick,87,"10' 10""",779.1669999999999,72,175
31,T28,T28,Webb Simpson,87,"10' 10""",627.3330000000001,58,77
32,T28,T28,Henrik Stenson,56,"10' 10""",292.25,27,171
33,T34,T34,Robert Allenby,83,"10' 11""",480.833,44,52
34,T34,T34,Tim Clark,75,"10' 11""",456.917,42,70
35,T34,T34,Boo Weekley,73,"10' 11""",403.0,37,160
36,T37,T37,Steven Bowditch,93,"11' 0""",691.4169999999999,63,120
37,T37,T37,Bud Cauley,56,"11' 0""",430.5,39,57
38,T37,T37,Graeme McDowell,66,"11' 0""",362.417,33,39
39,T40,T40,Jason Dufner,57,"11' 1""",453.833,41,166
40,T40,T40,David Lingmerth,80,"11' 1""",711.4169999999999,64,151
41,T40,T40,Gary Woodland,93,"11' 1""",729.6669999999999,66,50
42,43,43,Spencer Levin,59,"11' 2""",514.25,46,55
43,T44,T44,Scott Brown,100,"11' 3""",773.8330000000001,69,86
44,T44,T44,Tyrone Van Aswegen,79,"11' 3""",417.083,37,94
45,T44,T44,Willy Wilcox,51,"11' 3""",371.75,33,81
46,47,47,Andrew Loupe,65,"11' 4""",599.1669999999999,53,139
47,T48,T48,Matt Jones,83,"11' 5""",605.75,53,133
48,T48,T48,Phil Mickelson,71,"11' 5""",480.167,42,20
49,T48,T48,Nick Watney,80,"11' 5""",273.41700000000003,24,132
50,T51,T51,Keegan Bradley,89,"11' 6""",516.0,45,14
51,T51,T51,Harris English,95,"11' 6""",678.8330000000001,59,110
52,T51,T51,Luke Guthrie,85,"11' 6""",769.5830000000001,67,29
53,T51,T51,Martin Kaymer,65,"11' 6""",506.917,44,158
54,T51,T51,Bryce Molder,77,"11' 6""",483.417,42,44
55,T56,T56,Jonas Blixt,64,"11' 7""",590.75,51,84
56,T56,T56,David Hearn,97,"11' 7""",860.0830000000001,74,35
57,T56,T56,Adam Scott,68,"11' 7""",531.5830000000001,46,37
58,T59,T59,Bronson La'Cassie,51,"11' 8""",396.333,34,48
59,T59,T59,Troy Merritt,62,"11' 8""",491.167,42,130
60,T61,T61,Aaron Baddeley,74,"11' 9""",609.5830000000001,52,47
61,T61,T61,James Driscoll,71,"11' 9""",530.0,45,141
62,T61,T61,Derek Ernst,80,"11' 9""",669.0830000000001,57,173
63,T61,T61,Gonzalo Fernandez-Castaño,83,"11' 9""",670.25,57,100
64,T61,T61,Hideki Matsuyama,82,"11' 9""",422.917,36,41
65,T61,T61,Jim Renner,61,"11' 9""",506.833,43,177
66,T67,T67,Brice Garnett,92,"11' 10""",791.4169999999999,67,62
67,T67,T67,Trevor Immelman,84,"11' 10""",722.75,61,150
68,T67,T67,Ryan Palmer,85,"11' 10""",709.0,60,95
69,T70,T70,K.J. Choi,80,"11' 11""",584.25,49,119
70,T70,T70,Brian Gay,81,"11' 11""",633.4169999999999,53,3
71,T70,T70,Billy Horschel,92,"11' 11""",809.0830000000001,68,144
72,T70,T70,Jerry Kelly,80,"11' 11""",681.0,57,16
73,T70,T70,Seung-Yul Noh,92,"11' 11""",713.0830000000001,60,45
74,T70,T70,Brendon Todd,108,"11' 11""",961.9169999999999,81,7
75,T76,T76,Sangmoon Bae,76,"12' 0""",623.4169999999999,52,112
76,T76,T76,Davis Love III,74,"12' 0""",601.25,50,140
77,T76,T76,Robert Streb,75,"12' 0""",419.75,35,80
78,T79,T79,Brad Fritsch,50,"12' 1""",278.5,23,54
79,T79,T79,Morgan Hoffmann,103,"12' 1""",952.3330000000001,79,106
80,T79,T79,Justin Rose,70,"12' 1""",495.917,41,31
81,T82,T82,Briny Baird,50,"12' 2""",352.667,29,118
82,T82,T82,Graham DeLaet,80,"12' 2""",474.833,39,85
83,T82,T82,Lucas Glover,68,"12' 2""",341.75,28,176
84,T85,T85,Matt Every,85,"12' 3""",760.9169999999999,62,82
85,T85,T85,Russell Henley,92,"12' 3""",835.1669999999999,68,170
86,T85,T85,Russell Knox,92,"12' 3""",647.6669999999999,53,8
87,T85,T85,Scott Langley,95,"12' 3""",943.25,77,21
88,T85,T85,Richard Lee,80,"12' 3""",659.4169999999999,54,32
89,T90,T90,John Huh,87,"12' 4""",579.4169999999999,47,107
90,T90,T90,Martin Laird,66,"12' 4""",541.75,44,157
91,T90,T90,John Peterson,62,"12' 4""",444.667,36,134
92,T90,T90,Jimmy Walker,98,"12' 4""",816.5,66,91
93,T94,T94,Jason Kokrak,65,"12' 5""",583.8330000000001,47,59
94,T94,T94,Marc Leishman,81,"12' 5""",697.4169999999999,56,115
95,T94,T94,Carl Pettersson,91,"12' 5""",808.9169999999999,65,113
96,T94,T94,Ian Poulter,57,"12' 5""",409.583,33,98
97,T98,T98,Ben Curtis,77,"12' 6""",722.9169999999999,58,126
98,T98,T98,Ryan Moore,86,"12' 6""",610.8330000000001,49,103
99,T98,T98,John Rollins,84,"12' 6""",685.75,55,165
100,T98,T98,Y.E. Yang,79,"12' 6""",749.9169999999999,60,122
101,T102,T102,Billy Hurley III,86,"12' 7""",617.4169999999999,49,26
102,T102,T102,Michael Thompson,74,"12' 7""",604.0,48,90
103,104,104,Stewart Cink,91,"12' 8""",594.75,47,142
104,T105,T105,Zach Johnson,97,"12' 9""",753.1669999999999,59,36
105,T105,T105,Charl Schwartzel,64,"12' 9""",650.6669999999999,51,21
106,T105,T105,Vijay Singh,83,"12' 9""",750.9169999999999,59,73
107,T105,T105,Heath Slocum,71,"12' 9""",534.5830000000001,42,24
108,T109,T109,Kevin Chappell,100,"12' 10""",706.8330000000001,55,114
109,T109,T109,Ernie Els,85,"12' 10""",901.1669999999999,70,26
110,T109,T109,Dustin Johnson,58,"12' 10""",295.75,23,57
111,T109,T109,Chris Kirk,105,"12' 10""",911.8330000000001,71,9
112,T109,T109,Michael Putnam,106,"12' 10""",1066.25,83,122
113,T109,T109,Rory Sabbatini,82,"12' 10""",691.8330000000001,54,142
114,T109,T109,John Senden,99,"12' 10""",934.6669999999999,73,49
115,116,116,Ryo Ishikawa,75,"12' 11""",646.5830000000001,50,152
116,117,117,D.H. Lee,54,"13' 0""",596.0830000000001,46,86
117,T118,T118,Jeff Maggert,54,"13' 1""",456.5,35,93
118,T118,T118,Andres Romero,81,"13' 1""",864.9169999999999,66,52
119,T118,T118,Scott Stallings,77,"13' 1""",548.1669999999999,42,154
120,T118,T118,Kevin Streelman,79,"13' 1""",718.75,55,155
121,T122,T122,Jonathan Byrd,76,"13' 2""",738.8330000000001,56,99
122,T122,T122,Brendon de Jonge,109,"13' 2""",897.25,68,117
123,T122,T122,Bill Haas,107,"13' 2""",919.9169999999999,70,43
124,T122,T122,Kevin Kisner,85,"13' 2""",657.5830000000001,50,122
125,T122,T122,Will MacKenzie,82,"13' 2""",801.3330000000001,61,134
126,T122,T122,Andrew Svoboda,77,"13' 2""",789.6669999999999,60,77
127,T128,T128,Erik Compton,88,"13' 3""",926.9169999999999,70,83
128,T128,T128,Jeff Overton,80,"13' 3""",793.4169999999999,60,39
129,T128,T128,Wes Roach,67,"13' 3""",478.333,36,103
130,T131,T131,Ken Duke,80,"13' 4""",652.4169999999999,49,109
131,T131,T131,Ben Martin,80,"13' 4""",612.4169999999999,46,75
132,T131,T131,Troy Matteson,62,"13' 4""",533.0830000000001,40,168
133,134,134,Jhonattan Vegas,77,"13' 5""",924.1669999999999,69,72
134,T135,T135,Retief Goosen,94,"13' 6""",744.0830000000001,55,33
135,T135,T135,George McNeill,79,"13' 6""",838.1669999999999,62,97
136,T135,T135,Bo Van Pelt,83,"13' 6""",567.5830000000001,42,101
137,T138,T138,Greg Chalmers,85,"13' 7""",909.75,67,65
138,T138,T138,Rickie Fowler,91,"13' 7""",570.9169999999999,42,17
139,T138,T138,William McGirt,96,"13' 7""",1017.3330000000001,75,79
140,T138,T138,Kevin Stadler,90,"13' 7""",719.25,53,159
141,T138,T138,Camilo Villegas,95,"13' 7""",829.0830000000001,61,125
142,T143,T143,Pat Perez,84,"13' 8""",832.0,61,46
143,T143,T143,Patrick Reed,92,"13' 8""",901.1669999999999,66,69
144,T143,T143,Daniel Summerhays,98,"13' 8""",902.0830000000001,66,96
145,146,146,D.A. Points,75,"13' 9""",578.75,42,156
146,T147,T147,Ricky Barnes,92,"13' 10""",772.5,56,19
147,T147,T147,Danny Lee,84,"13' 10""",843.5,61,105
148,T147,T147,Hunter Mahan,88,"13' 10""",952.3330000000001,69,148
149,150,150,Martin Flores,85,"13' 11""",725.0830000000001,52,111
150,151,151,Robert Garrigus,80,"14' 1""",859.5,61,116
151,152,152,David Toms,64,"14' 2""",593.3330000000001,42,23
152,T153,T153,Chesson Hadley,84,"14' 4""",660.6669999999999,46,153
153,T153,T153,Josh Teater,90,"14' 4""",818.1669999999999,57,102
154,T155,T155,James Hahn,82,"14' 5""",677.5830000000001,47,145
155,T155,T155,Brian Stuard,91,"14' 5""",764.5830000000001,53,41
156,T155,T155,Kevin Tway,64,"14' 5""",561.9169999999999,39,162
157,T158,T158,Chad Campbell,57,"14' 6""",609.1669999999999,42,51
158,T158,T158,Tommy Gainey,73,"14' 6""",622.4169999999999,43,174
159,T160,T160,Kyle Stanley,87,"14' 7""",728.0830000000001,50,167
160,T160,T160,Lee Westwood,57,"14' 7""",639.8330000000001,44,127
161,162,162,J.J. Henry,91,"14' 8""",1027.0,70,121
162,163,163,Jason Bohn,81,"14' 10""",756.75,51,131
163,T164,T164,Brian Harman,111,"15' 0""",929.4169999999999,62,60
164,T164,T164,Mark Wilson,69,"15' 0""",599.4169999999999,40,138
165,166,166,Nicholas Thompson,85,"15' 1""",618.9169999999999,41,164
166,167,167,Sergio Garcia,61,"15' 2""",470.25,31,2
167,168,168,Cameron Tringale,111,"15' 3""",1446.4170000000001,95,70
168,169,169,Bubba Watson,76,"15' 4""",887.0,58,74
169,170,170,Louis Oosthuizen,50,"15' 7""",373.75,24,172
170,171,171,Hudson Swafford,75,"15' 8""",564.0,36,169
171,172,172,Ángel Cabrera,69,"15' 9""",786.9169999999999,50,161
172,173,173,Charlie Beljan,76,"16' 1""",594.3330000000001,37,162
173,T174,T174,Jim Herman,62,"16' 5""",475.333,29,149
174,T174,T174,Johnson Wagner,69,"16' 5""",819.0,50,92
175,176,176,Brooks Koepka,56,"16' 8""",498.75,30,108
176,177,177,Justin Hicks,103,"17' 1""",957.0830000000001,56,146
