,Proximity_to_Hole_from_Sand_RANK THIS WEEK,Proximity_to_Hole_from_Sand_RANK LAST WEEK,Proximity_to_Hole_from_Sand_PLAYER NAME,Proximity_to_Hole_from_Sand_ROUNDS,Proximity_to_Hole_from_Sand_AVG DTP,Proximity_to_Hole_from_Sand_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Sand_# OF SHOTS,Proximity_to_Hole_from_Sand_SCRAMBLING RANK
0,1,1,Mike Weir,69,"6' 9""",644.8330000000001,95,56
1,2,2,Vijay Singh,83,"6' 10""",811.0830000000001,118,73
2,3,3,Charlie Wi,72,"6' 11""",716.0830000000001,103,15
3,4,4,Justin Rose,70,"7' 1""",495.833,70,31
4,T5,T5,Bud Cauley,56,"7' 3""",385.583,53,57
5,T5,T5,Jason Day,54,"7' 3""",397.833,55,5
6,T7,T7,Bill Haas,107,"7' 4""",926.25,126,43
7,T7,T7,Matt Kuchar,91,"7' 4""",810.5830000000001,111,12
8,9,9,Kevin Na,94,"7' 9""",1026.417,133,4
9,T10,T10,K.J. Choi,80,"7' 11""",941.5,119,119
10,T10,T10,Tim Clark,75,"7' 11""",743.5830000000001,94,70
11,T10,T10,Retief Goosen,94,"7' 11""",805.75,102,33
12,T10,T10,Webb Simpson,87,"7' 11""",842.6669999999999,107,77
13,T14,T14,Brian Davis,93,"8' 0""",1226.917,153,25
14,T14,T14,Martin Flores,85,"8' 0""",686.75,86,111
15,T14,T14,Seung-Yul Noh,92,"8' 0""",908.3330000000001,114,45
16,T14,T14,Shawn Stefani,60,"8' 0""",704.8330000000001,88,67
17,T14,T14,Mark Wilson,69,"8' 0""",638.4169999999999,80,138
18,T19,T19,Jason Dufner,57,"8' 1""",575.0,71,166
19,T19,T19,Brandt Snedeker,89,"8' 1""",833.1669999999999,103,66
20,T21,T21,Aaron Baddeley,74,"8' 2""",868.4169999999999,106,47
21,T21,T21,Luke Donald,57,"8' 2""",603.8330000000001,74,38
22,T21,T21,Justin Leonard,75,"8' 2""",787.4169999999999,96,6
23,T21,T21,Troy Matteson,62,"8' 2""",578.0,71,168
24,T25,T25,Steven Bowditch,93,"8' 3""",1149.0,139,120
25,T25,T25,Jim Furyk,84,"8' 3""",629.9169999999999,76,1
26,T25,T25,Sergio Garcia,61,"8' 3""",563.3330000000001,68,2
27,T25,T25,J.B. Holmes,86,"8' 3""",1151.417,140,89
28,T25,T25,Ian Poulter,57,"8' 3""",650.3330000000001,79,98
29,T25,T25,Michael Putnam,106,"8' 3""",1138.0,138,122
30,T25,T25,Chris Stroud,88,"8' 3""",902.5830000000001,109,18
31,T32,T32,Briny Baird,50,"8' 4""",592.8330000000001,71,118
32,T32,T32,Roberto Castro,76,"8' 4""",884.75,106,136
33,T32,T32,Gonzalo Fernandez-Castaño,83,"8' 4""",932.4169999999999,112,100
34,T32,T32,Brian Gay,81,"8' 4""",958.5830000000001,115,3
35,T32,T32,Patrick Reed,92,"8' 4""",945.0,113,69
36,T32,T32,Camilo Villegas,95,"8' 4""",992.75,119,125
37,T32,T32,Tim Wilkinson,86,"8' 4""",1002.0,120,10
38,T39,T39,Jonas Blixt,64,"8' 5""",611.5830000000001,73,84
