,Scrambling_Rough_RTP_Score_RANK THIS WEEK,Scrambling_Rough_RTP_Score_RANK LAST WEEK,Scrambling_Rough_RTP_Score_PLAYER NAME,Scrambling_Rough_RTP_Score_ROUNDS,Scrambling_Rough_RTP_Score_AVG RTP,Scrambling_Rough_RTP_Score_TOTAL HOLES,Scrambling_Rough_RTP_Score_TOTAL RTP
0,1,1,Jim Furyk,84,0.27,141,38.0
1,2,2,Jason Day,54,0.287,87,25.0
2,3,3,Justin Leonard,75,0.341,176,60.0
3,4,4,Jerry Kelly,80,0.348,155,54.0
4,5,5,Sergio Garcia,61,0.35,80,28.0
5,6,6,Rory McIlroy,66,0.36,100,36.0
6,7,7,Zach Johnson,97,0.36700000000000005,180,66.0
7,8,8,Brendon Todd,108,0.371,240,89.0
8,9,9,Matt Kuchar,91,0.387,163,63.0
9,10,10,Adam Scott,68,0.38799999999999996,116,45.0
10,11,11,Ernie Els,85,0.39299999999999996,150,59.0
11,12,12,Kevin Na,94,0.39899999999999997,198,79.0
12,13,13,Jeff Overton,80,0.4,155,62.0
13,14,14,Danny Lee,84,0.402,174,70.0
14,15,15,Stuart Appleby,92,0.406,187,76.0
15,16,16,Justin Rose,70,0.40700000000000003,118,48.0
16,17,17,Brandt Snedeker,89,0.409,181,74.0
17,T18,T18,Brendon de Jonge,109,0.41,212,87.0
18,T18,T18,Russell Knox,92,0.41,195,80.0
19,20,20,Charl Schwartzel,64,0.41100000000000003,129,53.0
20,21,21,Graham DeLaet,80,0.413,104,43.0
21,22,22,Phil Mickelson,71,0.414,128,53.0
22,23,23,Jordan Spieth,102,0.415,229,95.0
23,T24,T24,Billy Hurley III,86,0.42,169,71.0
24,T24,T24,Chris Stroud,88,0.42,169,71.0
25,26,26,Brian Gay,81,0.423,182,77.0
26,T27,T27,Chad Campbell,57,0.425,87,37.0
27,T27,T27,Chad Collins,78,0.425,160,68.0
28,T27,T27,Richard Lee,80,0.425,186,79.0
29,30,30,Rickie Fowler,91,0.428,173,74.0
30,T31,T31,Ryan Palmer,85,0.43200000000000005,148,64.0
31,T31,T31,Andres Romero,81,0.43200000000000005,192,83.0
32,33,33,Brian Stuard,91,0.435,184,80.0
33,34,34,Aaron Baddeley,74,0.436,181,79.0
34,35,35,Hideki Matsuyama,82,0.43799999999999994,162,71.0
35,T36,T36,Chris Kirk,105,0.439,198,87.0
36,T36,T36,Gary Woodland,93,0.439,157,69.0
37,38,38,Pat Perez,84,0.44,216,95.0
38,39,39,Ben Martin,80,0.442,165,73.0
39,T40,T40,Charley Hoffman,93,0.446,186,83.0
40,T40,T40,Freddie Jacobson,91,0.446,222,99.0
41,42,42,Dustin Johnson,58,0.44799999999999995,96,43.0
42,T43,T43,Brian Davis,93,0.449,176,79.0
43,T43,T43,Gonzalo Fernandez-Castaño,83,0.449,167,75.0
44,T43,T43,Webb Simpson,87,0.449,176,79.0
45,T43,T43,Tim Wilkinson,86,0.449,196,88.0
46,T47,T47,Bronson La'Cassie,51,0.45,111,50.0
47,T47,T47,Bryce Molder,77,0.45,171,77.0
48,T47,T47,Robert Streb,75,0.45,149,67.0
49,T47,T47,Andrew Svoboda,77,0.45,149,67.0
50,T51,T51,Bud Cauley,56,0.451,113,51.0
51,T51,T51,William McGirt,96,0.451,195,88.0
52,T51,T51,Bo Van Pelt,83,0.451,122,55.0
