,Scrambling_Average_Distance_to_Hole_RANK THIS WEEK,Scrambling_Average_Distance_to_Hole_RANK LAST WEEK,Scrambling_Average_Distance_to_Hole_PLAYER NAME,Scrambling_Average_Distance_to_Hole_ROUNDS,Scrambling_Average_Distance_to_Hole_AVG DTP,Scrambling_Average_Distance_to_Hole_TOTAL DISTANCE (FEET),Scrambling_Average_Distance_to_Hole_ATTEMPTS
0,1,1,Jim Furyk,84,"6' 2""",2038.4170000000001,331
1,2,2,Charlie Wi,72,"6' 10""",2745.833,404
2,T3,T3,Luke Donald,57,"6' 11""",1648.4170000000001,237
3,T3,T3,Ernie Els,85,"6' 11""",2666.25,387
4,T3,T3,Sergio Garcia,61,"6' 11""",1381.3329999999999,200
5,6,6,Vijay Singh,83,"7' 0""",2948.917,419
6,T7,T7,Jason Day,54,"7' 1""",1323.9170000000001,186
7,T7,T7,Kevin Na,94,"7' 1""",3161.833,447
8,9,9,David Toms,64,"7' 2""",2029.75,283
9,T10,T10,Scott Langley,95,"7' 4""",3292.75,450
10,T10,T10,Justin Rose,70,"7' 4""",2021.8329999999999,276
11,T12,T12,Brian Harman,111,"7' 5""",4135.583,558
12,T12,T12,Matt Kuchar,91,"7' 5""",2971.75,399
13,T12,T12,Phil Mickelson,71,"7' 5""",2116.333,285
14,T12,T12,Bryce Molder,77,"7' 5""",2678.583,362
15,T16,T16,Brian Gay,81,"7' 6""",3147.917,419
16,T16,T16,Tyrone Van Aswegen,79,"7' 6""",2620.917,351
17,T18,T18,Retief Goosen,94,"7' 7""",3289.917,435
18,T18,T18,Zach Johnson,97,"7' 7""",3181.75,418
19,T18,T18,Justin Leonard,75,"7' 7""",3117.333,411
20,T18,T18,Webb Simpson,87,"7' 7""",2831.833,373
21,T22,T22,Paul Casey,56,"7' 8""",1863.3329999999999,242
22,T22,T22,Roberto Castro,76,"7' 8""",2665.583,346
23,T22,T22,Chad Collins,78,"7' 8""",2950.667,384
24,T22,T22,Charles Howell III,106,"7' 8""",3953.083,517
25,T22,T22,Billy Hurley III,86,"7' 8""",2998.25,392
26,T22,T22,Hideki Matsuyama,82,"7' 8""",2866.75,375
27,T28,T28,Steven Bowditch,93,"7' 9""",3392.417,439
28,T28,T28,Brian Davis,93,"7' 9""",3989.083,513
29,T28,T28,Ryo Ishikawa,75,"7' 9""",2629.167,339
30,T28,T28,Ben Martin,80,"7' 9""",2646.583,340
31,T28,T28,Boo Weekley,73,"7' 9""",2290.667,294
32,T28,T28,Mike Weir,69,"7' 9""",2625.083,339
33,T34,T34,Stuart Appleby,92,"7' 10""",3829.333,489
34,T34,T34,Ken Duke,80,"7' 10""",2735.083,350
35,T34,T34,Jamie Lovemark,64,"7' 10""",2012.0829999999999,257
36,T34,T34,Chris Stroud,88,"7' 10""",3153.833,403
37,T34,T34,Jhonattan Vegas,77,"7' 10""",2599.833,333
38,T39,T39,Bud Cauley,56,"7' 11""",1883.6670000000001,239
39,T39,T39,Kevin Chappell,100,"7' 11""",3517.333,443
40,T39,T39,Graham DeLaet,80,"7' 11""",2228.833,283
41,T39,T39,Jason Dufner,57,"7' 11""",1805.5829999999999,228
42,T39,T39,Luke Guthrie,85,"7' 11""",3411.5,430
43,T39,T39,Charley Hoffman,93,"7' 11""",3034.0,385
44,T39,T39,Charl Schwartzel,64,"7' 11""",2489.083,315
45,T39,T39,Shawn Stefani,60,"7' 11""",2384.75,302
46,T39,T39,Brendon Todd,108,"7' 11""",4291.5,541
47,T48,T48,Ricky Barnes,92,"8' 0""",3511.167,441
48,T48,T48,Jonathan Byrd,76,"8' 0""",3006.667,375
49,T48,T48,Harris English,95,"8' 0""",2897.25,364
50,T48,T48,Jerry Kelly,80,"8' 0""",2984.25,372
51,T48,T48,Russell Knox,92,"8' 0""",3461.917,434
52,T48,T48,Jordan Spieth,102,"8' 0""",3910.917,489
53,T48,T48,Nick Watney,80,"8' 0""",2119.25,266
54,T48,T48,Tim Wilkinson,86,"8' 0""",3614.0,452
55,T56,T56,Freddie Jacobson,91,"8' 1""",3859.25,475
56,T56,T56,Geoff Ogilvy,84,"8' 1""",3336.25,412
57,T56,T56,Bo Van Pelt,83,"8' 1""",2638.25,328
58,T59,T59,Jonas Blixt,64,"8' 2""",2189.0,267
59,T59,T59,Gonzalo Fernandez-Castaño,83,"8' 2""",3465.667,425
60,T59,T59,J.B. Holmes,86,"8' 2""",3843.833,471
61,T62,T62,Rickie Fowler,91,"8' 3""",2735.667,331
62,T62,T62,Lucas Glover,68,"8' 3""",1917.3329999999999,232
63,T62,T62,Bill Haas,107,"8' 3""",3440.167,418
64,T62,T62,Martin Laird,66,"8' 3""",2416.583,292
65,T62,T62,Marc Leishman,81,"8' 3""",3082.583,374
66,T62,T62,Ryan Palmer,85,"8' 3""",2983.583,362
67,T62,T62,D.A. Points,75,"8' 3""",2509.417,305
68,T62,T62,Heath Slocum,71,"8' 3""",2609.917,317
69,T70,T70,Chad Campbell,57,"8' 4""",1649.4170000000001,197
70,T70,T70,Tim Clark,75,"8' 4""",2810.75,336
71,T70,T70,Matt Every,85,"8' 4""",3213.5,387
72,T70,T70,Spencer Levin,59,"8' 4""",2479.75,299
73,T70,T70,Jeff Maggert,54,"8' 4""",2060.5,247
74,T70,T70,William McGirt,96,"8' 4""",4149.0,496
75,T70,T70,Henrik Stenson,56,"8' 4""",1564.8329999999999,188
76,T70,T70,Josh Teater,90,"8' 4""",3457.333,413
77,T70,T70,Gary Woodland,93,"8' 4""",3243.917,389
78,T79,T79,K.J. Choi,80,"8' 5""",3460.333,411
79,T79,T79,Ben Crane,81,"8' 5""",3827.917,454
80,T79,T79,Chris Kirk,105,"8' 5""",4155.917,494
81,T79,T79,Bronson La'Cassie,51,"8' 5""",1944.6670000000001,231
82,T79,T79,Richard Lee,80,"8' 5""",3393.75,402
83,T79,T79,Troy Merritt,62,"8' 5""",2562.917,304
84,T79,T79,Ian Poulter,57,"8' 5""",2052.0,244
85,T79,T79,Kevin Tway,64,"8' 5""",2119.5,251
86,T79,T79,Willy Wilcox,51,"8' 5""",1781.75,212
87,T79,T79,Mark Wilson,69,"8' 5""",2755.5,326
88,T89,T89,Sangmoon Bae,76,"8' 6""",3185.25,376
89,T89,T89,Keegan Bradley,89,"8' 6""",3028.917,355
90,T89,T89,Scott Brown,100,"8' 6""",3956.083,466
