,Scrambling_from_Other_Locations_RANK THIS WEEK,Scrambling_from_Other_Locations_RANK LAST WEEK,Scrambling_from_Other_Locations_PLAYER NAME,Scrambling_from_Other_Locations_ROUNDS,Scrambling_from_Other_Locations_%,Scrambling_from_Other_Locations_SUCCESSES,Scrambling_from_Other_Locations_ATTEMPTS
0,1,1,Sergio Garcia,61,74.19,46,62
1,2,2,Jim Furyk,84,71.43,70,98
2,3,3,Brian Gay,81,70.47,105,149
3,4,4,Kevin Na,94,70.32,109,155
4,5,5,Tim Wilkinson,86,70.29,123,175
5,6,6,David Toms,64,69.92,86,123
6,7,7,"Ted Potter, Jr.",68,68.47,76,111
7,8,8,Ricky Barnes,92,68.06,130,191
8,9,9,Justin Rose,70,67.37,64,95
9,10,10,Shawn Stefani,60,66.67,68,102
10,11,11,Keegan Bradley,89,66.42,89,134
11,12,12,Luke Guthrie,85,66.29,116,175
12,13,13,Freddie Jacobson,91,66.27,112,169
13,14,14,Y.E. Yang,79,66.21,96,145
14,15,15,Gary Woodland,93,65.6,82,125
15,16,16,Charl Schwartzel,64,65.56,59,90
16,17,17,Jordan Spieth,102,65.47,91,139
17,18,18,Ernie Els,85,65.38,85,130
18,19,19,Hideki Matsuyama,82,64.81,70,108
19,20,20,J.B. Holmes,86,64.6,104,161
20,21,21,Cameron Tringale,111,64.52,120,186
21,22,22,Robert Streb,75,64.35,74,115
22,23,23,Ryan Moore,86,64.29,72,112
23,24,24,Jerry Kelly,80,64.24,97,151
24,T25,T25,Brice Garnett,92,64.0,112,175
25,T25,T25,Patrick Reed,92,64.0,96,150
26,27,27,David Hearn,97,63.89,115,180
27,28,28,Billy Hurley III,86,63.83,90,141
28,29,29,Chris Kirk,105,63.78,118,185
29,T30,T30,Brian Davis,93,63.64,119,187
30,T30,T30,Phil Mickelson,71,63.64,56,88
31,32,32,Brad Fritsch,50,63.44,59,93
32,33,33,Scott Langley,95,63.19,115,182
33,34,34,Johnson Wagner,69,63.16,96,152
34,35,35,Graeme McDowell,66,62.96,51,81
35,36,36,Daniel Summerhays,98,62.72,106,169
36,37,37,Willy Wilcox,51,62.63,62,99
37,38,38,Webb Simpson,87,62.6,77,123
38,T39,T39,Chad Collins,78,62.5,115,184
39,T39,T39,Luke Donald,57,62.5,55,88
40,41,41,Charles Howell III,106,62.35,106,170
41,42,42,Jason Day,54,62.3,38,61
42,43,43,Ian Poulter,57,62.16,46,74
43,44,44,Spencer Levin,59,62.07,72,116
44,45,45,Stuart Appleby,92,61.88,112,181
45,46,46,Kevin Tway,64,61.79,76,123
46,47,47,Erik Compton,88,61.71,108,175
47,48,48,D.H. Lee,54,61.7,58,94
48,49,49,Ryan Palmer,85,61.54,80,130
49,50,50,John Senden,99,61.49,91,148
50,51,51,Greg Chalmers,85,61.4,105,171
51,52,52,Brian Stuard,91,61.27,106,173
52,53,53,Jason Kokrak,65,60.98,75,123
53,54,54,Jeff Overton,80,60.93,92,151
54,55,55,Scott Brown,100,60.92,106,174
55,56,56,William McGirt,96,60.85,115,189
56,57,57,Billy Horschel,92,60.8,76,125
57,58,58,Martin Flores,85,60.78,93,153
58,59,59,Kevin Kisner,85,60.58,83,137
59,60,60,Heath Slocum,71,60.56,86,142
60,61,61,Charley Hoffman,93,60.54,89,147
61,T62,T62,Bill Haas,107,60.43,84,139
62,T62,T62,Jhonattan Vegas,77,60.43,84,139
63,64,64,Jamie Lovemark,64,60.36,67,111
64,65,65,Jonathan Byrd,76,60.26,91,151
65,66,66,Andrew Svoboda,77,60.25,97,161
66,67,67,Brendon Todd,108,60.23,106,176
