,Sand_Save_Percentage_RANK THIS WEEK,Sand_Save_Percentage_RANK LAST WEEK,Sand_Save_Percentage_PLAYER NAME,Sand_Save_Percentage_ROUNDS,Sand_Save_Percentage_%,Sand_Save_Percentage_# SAVES,Sand_Save_Percentage_# BUNKERS,Sand_Save_Percentage_TOTAL O/U PAR
0,1,1,Bill Haas,107,62.15,110,177,27.0
1,2,2,Mike Weir,69,61.95,70,113,33.0
2,3,3,Vijay Singh,83,61.36,81,132,40.0
3,4,4,Phil Mickelson,71,61.27,87,142,35.0
4,5,5,Charlie Wi,72,61.02,72,118,26.0
5,6,6,Tim Clark,75,60.98,75,123,43.0
6,7,7,Justin Leonard,75,60.58,83,137,47.0
7,8,8,Seung-Yul Noh,92,60.28,85,141,33.0
8,9,9,Jonas Blixt,64,59.29,67,113,31.0
9,T10,T10,Brian Gay,81,59.18,87,147,56.0
10,T10,T10,Heath Slocum,71,59.18,58,98,21.0
11,12,12,Retief Goosen,94,59.15,84,142,37.0
12,13,13,John Senden,99,59.01,95,161,36.0
13,14,14,Patrick Reed,92,58.97,92,156,55.0
14,15,15,Brendon Todd,108,58.24,106,182,60.0
15,16,16,Justin Rose,70,58.16,57,98,17.0
16,17,17,Greg Chalmers,85,58.08,97,167,65.0
17,18,18,Chris Kirk,105,57.89,99,171,35.0
18,19,19,Jordan Spieth,102,57.64,117,203,54.0
19,20,20,Jason Day,54,57.3,51,89,16.0
20,21,21,Marc Leishman,81,56.94,82,144,46.0
21,T22,T22,Morgan Hoffmann,103,56.89,95,167,47.0
22,T22,T22,Kevin Na,94,56.89,95,167,48.0
23,24,24,Richard Lee,80,56.83,79,139,43.0
24,25,25,Chad Collins,78,56.52,78,138,44.0
25,26,26,Sergio Garcia,61,56.36,62,110,12.0
26,T27,T27,Gonzalo Fernandez-Castaño,83,56.34,80,142,44.0
27,T27,T27,Matt Kuchar,91,56.34,80,142,36.0
28,29,29,Brian Davis,93,56.22,104,185,67.0
29,30,30,James Driscoll,71,55.97,75,134,43.0
30,31,31,Scott Langley,95,55.63,84,151,54.0
31,32,32,Charles Howell III,106,55.32,78,141,35.0
32,33,33,Russell Knox,92,55.2,69,125,37.0
33,34,34,Tim Wilkinson,86,55.07,76,138,56.0
34,35,35,David Hearn,97,54.88,90,164,51.0
35,36,36,Charl Schwartzel,64,54.78,63,115,30.0
36,37,37,"Ted Potter, Jr.",68,54.7,64,117,29.0
37,38,38,Bryce Molder,77,54.62,65,119,44.0
38,39,39,Sangmoon Bae,76,54.61,77,141,31.0
39,T40,T40,Aaron Baddeley,74,54.41,74,136,51.0
40,T40,T40,Ben Crane,81,54.41,74,136,53.0
41,42,42,John Huh,87,54.33,69,127,48.0
42,43,43,Hunter Mahan,88,54.32,88,162,51.0
43,44,44,K.J. Choi,80,54.3,82,151,54.0
