,Ryder_Cup_Points_RANK THIS WEEK,Ryder_Cup_Points_RANK LAST WEEK,Ryder_Cup_Points_PLAYER NAME,Ryder_Cup_Points_EVENTS,Ryder_Cup_Points_POINTS
0,1,1,Tiger Woods,36,1265.0
1,2,2,Jim Furyk,52,789.4789999999999
2,3,3,Davis Love III,49,661.25
3,4,4,Kenny Perry,53,575.357
4,5,5,Phil Mickelson,49,550.25
5,6,6,David Toms,53,496.375
6,7,7,Chad Campbell,61,428.75
7,8,8,Fred Funk,62,358.625
8,9,9,Chris Riley,57,357.5
9,10,10,Jerry Kelly,59,298.625
10,11,11,Bob Tway,54,290.72900000000004
11,12,12,Chris DiMarco,56,285.441
12,13,13,Rich Beem,56,284.464
13,14,14,Jay Haas,49,284.25
14,15,15,Justin Leonard,49,283.607
15,16,16,Brad Faxon,52,278.75
16,17,17,Rocco Mediate,47,268.75
17,18,18,Shaun Micheel,58,263.215
18,19,19,Tim Herron,59,260.83299999999997
19,20,20,J.L. Lewis,62,247.5
20,21,21,Charles Howell III,63,245.358
21,22,22,Len Mattiace,55,239.25
22,23,23,Jonathan Kaye,54,226.75
23,24,24,Scott Verplank,52,226.25
24,25,25,Ben Curtis,21,225.0
25,26,26,Scott Hoch,38,200.875
26,27,27,Jeff Maggert,51,197.143
27,28,28,John Rollins,61,196.75
28,29,29,Steve Flesch,65,190.937
29,30,30,Loren Roberts,49,189.643
30,31,31,Kirk Triplett,50,187.107
31,32,32,Bob Estes,51,186.547
32,33,33,Jonathan Byrd,61,184.25
33,34,34,Briny Baird,66,176.75
34,35,35,John Huston,49,174.643
35,36,36,Stewart Cink,55,165.179
36,37,37,Tim Petrovic,63,162.5
37,38,38,Steve Lowery,57,157.678
38,39,39,Jeff Sluman,63,143.625
39,40,40,Mark Calcavecchia,49,136.438
40,41,41,Frank Lickliter II,60,134.227
41,42,42,Scott McCarron,55,130.834
42,43,43,Ben Crane,57,129.375
43,44,44,Billy Mayfair,62,125.5
44,45,45,Fred Couples,36,124.375
45,46,46,Robert Gamez,52,119.0
46,47,47,Dan Forsman,52,118.214
47,48,48,Lee Janzen,54,117.5
48,49,49,Matt Gogel,50,109.68700000000001
49,50,50,Harrison Frazar,55,106.875
50,51,51,Tom Pernice Jr.,62,105.0
51,52,52,Pat Perez,63,103.375
52,53,53,Duffy Waldorf,52,102.23200000000001
53,54,54,Craig Barlow,51,100.0
54,55,55,Hank Kuehne,29,95.5
55,56,56,Heath Slocum,64,94.68700000000001
56,57,57,Woody Austin,67,93.75
57,58,58,Peter Jacobsen,43,92.5
58,59,59,David Gossett,57,91.75
59,60,60,Tommy Armour III,53,87.292
60,61,61,Brandt Jobe,50,85.0
61,62,62,Joe Durant,56,82.5
62,63,63,Joey Sindelar,61,81.25
63,64,64,Chris Smith,60,80.937
64,65,65,Tom Lehman,47,78.75
65,66,66,John Cook,35,77.813
66,67,67,Hal Sutton,50,77.5
67,68,68,Craig Stadler,32,75.5
68,69,69,Paul Stankowski,52,73.333
69,70,70,Glen Day,62,72.5
70,71,71,Kevin Sutherland,55,70.893
71,72,72,Billy Andrade,60,70.833
72,73,73,J.P. Hayes,49,66.25
73,74,74,Matt Kuchar,50,65.625
74,75,75,David Peoples,60,62.917
75,76,76,Notah Begay III,56,59.875
76,77,77,Dudley Hart,48,58.75
77,78,78,Mark O'Meara,49,58.0
78,79,79,Dennis Paulson,45,57.5
79,80,80,Bob Burns,58,56.25
80,81,81,Neal Lancaster,66,55.25
81,82,82,Brett Quigley,59,55.0
82,83,83,Spike McRoy,60,53.437
83,84,84,John Daly,43,51.25
84,85,85,Cameron Beckman,52,50.58
85,86,86,Brent Geiberger,45,48.391999999999996
86,87,87,Cliff Kresge,34,48.0
87,88,88,Arron Oberholser,25,47.5
88,89,89,Andrew Magee,54,47.25
89,90,90,Jay Williamson,61,45.625
90,91,91,Skip Kendall,61,43.75
91,92,92,Todd Fischer,33,41.667
92,93,93,Brian Gay,68,41.25
93,T94,T94,Mark Brooks,63,40.0
94,T94,T94,Gene Sauers,41,40.0
95,96,96,Jim Carter,62,37.5
96,97,97,Paul Goydos,45,35.084
97,98,98,Mark Wilson,31,35.0
98,99,99,Pat Bates,64,33.375
99,100,100,Aaron Barber,32,32.5
100,T101,T101,Chris Anderson,31,30.0
101,T101,T101,Steve Pate,37,30.0
102,T101,T101,Dean Wilson,31,30.0
103,104,104,Joel Edwards,51,29.791999999999998
104,105,105,Tom Byrum,54,29.375
105,106,106,Robert Damron,60,28.125
106,T107,T107,Paul Azinger,46,26.25
107,T107,T107,Carl Paulson,60,26.25
108,T107,T107,Kenneth Staton,58,26.25
109,110,110,J.J. Henry,65,23.125
110,T111,T111,"David Berganio, Jr.",45,22.5
111,T111,T111,David Duval,44,22.5
112,113,113,Jeff Brehaut,61,21.875
113,T114,T114,Jay Don Blake,61,20.0
114,T114,T114,Brad Elder,46,20.0
115,T114,T114,Jeff Gallagher,25,20.0
116,T114,T114,Garrett Willis,61,20.0
117,118,118,Mike Grob,28,18.333
118,T119,T119,Michael Clark II,54,17.5
119,T119,T119,John Maginnes,31,17.5
120,121,121,John Morse,16,16.25
121,122,122,Olin Browne,67,15.625
122,123,123,Mike Sposa,59,15.417
123,T124,T124,Tom Gillis,27,15.0
124,T124,T124,Brian Henninger,37,15.0
125,126,126,"Jim Gallagher, Jr.",24,13.75
126,T127,T127,Mike Heinen,44,12.5
127,T127,T127,Tom Scherrer,50,12.5
128,T127,T127,Jerry Smith,34,12.5
129,T130,T130,Tripp Isenhour,21,11.25
