,Presidents_Cup_International_RANK THIS WEEK,Presidents_Cup_International_RANK LAST WEEK,Presidents_Cup_International_PLAYER NAME,Presidents_Cup_International_EVENTS,Presidents_Cup_International_AVG POINTS,Presidents_Cup_International_TOTAL POINTS,Presidents_Cup_International_POINTS LOST,Presidents_Cup_International_POINTS GAINED
0,1,1,Ernie Els,53,8.54,452.7,-393.91,477.13
1,2,2,Vijay Singh,57,9.98,569.13,-308.12,550.87
2,3,3,Mike Weir,46,6.58,302.59,-206.82,390.81
3,4,4,Nick Price,40,4.22,168.64,-160.22,158.91
4,5,5,Retief Goosen,59,6.05,357.09,-316.25,303.62
5,6,6,Robert Allenby,57,3.73,212.74,-175.25,184.59
6,7,7,Stephen Leaney,48,2.61,125.3,-97.57,119.82
7,8,8,Peter Lonard,65,2.48,161.33,-136.99,137.19
8,9,9,Adam Scott,59,3.11,183.44,-134.18,162.7
9,10,10,Stuart Appleby,59,3.91,230.95,-135.58,196.93
10,11,11,K.J. Choi,64,3.46,221.58,-120.99,193.32
11,12,12,Eduardo Romero,44,2.42,106.43,-93.52,61.31
12,13,13,Michael Campbell,50,2.5,125.02,-134.01,78.18
13,14,14,Ángel Cabrera,46,2.02,92.72,-127.94,54.13
14,15,15,Trevor Immelman,64,2.16,138.0,-101.9,142.56
15,16,16,Tim Clark,60,2.01,120.41,-78.83,116.86
16,17,17,Craig Parry,52,1.88,97.51,-109.99,48.42
17,18,18,Toshi Izawa,46,2.32,106.76,-98.97,98.4
18,19,19,Rory Sabbatini,52,1.8,93.39,-84.48,99.89
19,20,20,Shigeki Maruyama,52,2.65,137.58,-123.84,100.7
20,21,21,Shingo Katayama,56,2.11,118.3,-101.73,90.38
21,22,22,Andre Stolz,42,1.35,56.77,-45.03,57.13
22,23,23,Toru Taniguchi,51,1.43,72.97,-91.32,28.53
23,24,24,Phil Tataurangi,40,1.39,55.63,-65.21,24.08
24,25,25,Geoff Ogilvy,59,1.81,106.71,-65.7,100.33
25,26,26,Aaron Baddeley,53,1.35,71.35,-45.11,70.99
26,27,27,Stephen Ames,55,1.45,79.94,-66.9,69.86
27,28,28,David Smail,54,1.42,76.46,-67.69,44.09
28,29,29,Mark McNulty,43,1.29,55.3,-35.27,47.9
29,30,30,S.K. Ho,43,1.03,44.11,-32.72,31.02
30,31,31,Ricardo Gonzalez,42,1.7,71.27,-61.57,54.56
31,32,32,Peter O'Malley,52,1.02,52.93,-76.47,31.62
32,33,33,Taichi Teshima,56,1.21,67.76,-64.74,66.14
33,34,34,Nobuhito Sato,54,1.06,57.03,-60.36,30.69
34,35,35,Brendan Jones,57,1.36,77.49,-36.38,62.23
35,36,36,Rod Pampling,62,1.31,81.23,-57.01,78.69
36,37,37,Lian-Wei Zhang,58,0.98,56.56,-38.14,47.71
37,38,38,Steve Elkington,40,0.8,32.17,-56.27,10.36
38,39,39,Katsumasa Miyamoto,53,1.26,66.73,-48.09,56.26
39,40,40,Hidemichi Tanaka,64,1.26,80.33,-67.8,66.63
40,41,41,Craig Perks,58,0.78,45.41,-65.89,21.12
41,42,42,Tommy Nakajima,40,0.88,35.26,-51.52,10.07
42,43,43,Steve Allan,57,1.01,57.71,-32.65,40.53
43,44,44,Jarrod Moseley,60,1.16,69.54,-48.2,53.97
44,45,45,Carlos Franco,62,0.78,48.34,-44.58,43.36
45,46,46,Hirofumi Miyase,49,1.06,51.95,-34.32,48.0
46,47,47,Hennie Otto,53,1.13,59.99,-27.99,59.91
47,48,48,Darren Fichardt,58,0.78,45.24,-42.23,46.12
48,49,49,Nick O'Hern,52,1.36,70.67,-43.27,69.25
49,50,50,Tetsuji Hiratsuka,57,1.58,90.15,-29.9,87.04
50,51,51,Hiroyuki Fujita,54,1.35,72.75,-48.98,43.33
51,52,52,Peter Fowler,58,0.95,54.88,-40.39,53.6
52,55,55,Masashi Jumbo Ozaki,53,1.15,60.8,-49.17,39.05
53,60,60,Marcus Fraser,40,0.76,30.5,-5.16,35.66
54,61,61,Jong-Duck Kim,46,0.92,42.33,-27.79,23.4
