,Presidents_Cup_United_States_RANK THIS WEEK,Presidents_Cup_United_States_RANK LAST WEEK,Presidents_Cup_United_States_PLAYER NAME,Presidents_Cup_United_States_POINTS
0,1,1,Tiger Woods,19421505
1,2,2,Davis Love III,13884967
2,3,3,Jim Furyk,12582243
3,4,4,David Toms,11953017
4,5,5,Kenny Perry,11003140
5,6,6,Phil Mickelson,9333675
6,7,7,Justin Leonard,8048806
7,8,8,Chris DiMarco,8030175
8,9,9,Jerry Kelly,6904024
9,10,10,Charles Howell III,6671786
10,11,11,Fred Funk,6416679
11,12,12,Bob Estes,6361500
12,13,13,Chad Campbell,5974851
13,14,14,Jeff Sluman,5790309
14,15,15,Scott Verplank,5730490
15,16,16,Jay Haas,5484357
16,17,17,Brad Faxon,5339568
17,18,18,Scott Hoch,5187081
18,19,19,Chris Riley,5179548
19,20,20,Rich Beem,5072048
20,21,21,Steve Flesch,4853644
21,22,22,John Rollins,4803992
22,23,23,Rocco Mediate,4669206
23,24,24,Len Mattiace,4564580
24,25,25,Jonathan Kaye,4456083
25,26,26,Stewart Cink,4315314
26,27,27,Shaun Micheel,4257341
27,28,28,Briny Baird,4247558
28,29,29,Mark Calcavecchia,4237746
29,30,30,Bob Tway,4220478
30,31,31,Scott McCarron,4180506
31,32,32,Kirk Triplett,4056985
32,33,33,Kevin Sutherland,4055035
33,34,34,Fred Couples,3996384
34,35,35,Steve Lowery,3973413
35,36,36,Lee Janzen,3820604
36,37,37,Tom Lehman,3780432
37,38,38,Tim Herron,3731396
38,39,39,Loren Roberts,3634740
39,40,40,Robert Gamez,3555376
40,41,41,Joe Durant,3517537
41,42,42,Frank Lickliter II,3425410
42,43,43,Ben Crane,3416646
43,44,44,John Huston,3374650
44,45,45,Billy Mayfair,3179458
45,46,46,Woody Austin,3101401
46,47,47,J.L. Lewis,3068333
47,48,48,Jonathan Byrd,3005907
48,49,49,Tim Petrovic,2988892
49,50,50,Hal Sutton,2950997
50,51,51,Tom Pernice Jr.,2932112
51,52,52,Duffy Waldorf,2928809
52,53,53,Billy Andrade,2875602
53,54,54,Dan Forsman,2861373
54,55,55,Skip Kendall,2731446
55,56,56,Ben Curtis,2636948
56,57,57,Chris Smith,2601273
57,58,58,Peter Jacobsen,2482261
58,59,59,David Peoples,2467310
59,60,60,Dudley Hart,2442405
60,61,61,Brandt Jobe,2422879
61,62,62,David Duval,2408341
62,63,63,Jeff Maggert,2407964
63,64,64,David Gossett,2374008
64,65,65,Joey Sindelar,2335059
65,66,66,Heath Slocum,2334830
66,67,67,John Cook,2293345
67,68,68,Matt Gogel,2277684
68,69,69,Harrison Frazar,2272496
69,70,70,Cameron Beckman,2263873
70,71,71,Brian Gay,2256808
71,72,72,Pat Perez,2244914
72,73,73,J.P. Hayes,2220534
73,74,74,J.J. Henry,2202221
74,75,75,Brett Quigley,2118170
75,76,76,Brent Geiberger,2115254
76,77,77,Glen Day,2036628
77,78,78,Joel Edwards,1961180
78,79,79,Jay Williamson,1918205
79,80,80,Neal Lancaster,1886722
80,81,81,Matt Kuchar,1876154
81,82,82,Steve Stricker,1853031
82,83,83,Olin Browne,1823858
83,84,84,Bob Burns,1811482
84,85,85,Craig Stadler,1773475
85,86,86,Hank Kuehne,1744440
86,87,87,Paul Azinger,1743514
87,88,88,Robert Damron,1717694
88,89,89,Mark O'Meara,1711020
89,90,90,Paul Stankowski,1680795
90,91,91,Andrew Magee,1650436
91,92,92,Spike McRoy,1641826
92,93,93,Tom Byrum,1559135
93,94,94,Cliff Kresge,1552887
94,95,95,Notah Begay III,1541791
95,96,96,John Daly,1449346
96,97,97,Paul Goydos,1448665
97,98,98,Mark Brooks,1444685
98,99,99,Pat Bates,1378002
99,100,100,Craig Barlow,1361748
100,101,101,Jim Carter,1341776
101,102,102,Garrett Willis,1336130
102,103,103,Mike Sposa,1256074
103,104,104,Marco Dawson,1244326
104,105,105,Carl Paulson,1236502
105,106,106,Dennis Paulson,1228738
106,107,107,Gene Sauers,1217077
107,108,108,Todd Fischer,1169257
108,109,109,"David Berganio, Jr.",1163822
109,110,110,Corey Pavin,1132298
110,111,111,Jeff Brehaut,1128099
111,112,112,Dean Wilson,1090352
112,113,113,Kent Jones,1038547
113,114,114,John Riegger,1013369
114,115,115,Dicky Pride,956757
115,116,116,Bob May,943862
116,117,117,Arron Oberholser,935064
117,118,118,Jay Don Blake,896902
118,119,119,Brandel Chamblee,882490
119,120,120,Patrick Sheehan,869828
120,121,121,Mark Wilson,803090
121,122,122,Mike Heinen,781803
122,123,123,Tommy Armour III,765422
123,124,124,Steve Pate,698233
124,125,125,Donnie Hammond,684132
125,126,126,David Sutherland,671157
126,127,127,Brian Watts,661160
127,128,128,Brad Elder,658895
128,129,129,Brian Bateman,655883
129,130,130,Tom Gillis,596761
130,131,131,Kenneth Staton,595724
131,132,132,John Maginnes,592478
132,133,133,Aaron Barber,587285
133,134,134,Brian Henninger,572316
134,135,135,Greg Kraft,571779
135,136,136,Scott Simpson,521176
136,137,137,Tom Scherrer,510502
137,138,138,Darron Stiles,510022
138,139,139,Doug Barron,482264
139,140,140,Robin Freeman,446491
140,141,141,Steve Jones,439055
141,142,142,Brent Schwarzrock,430154
142,143,143,Michael Clark II,425138
143,144,144,Mike Grob,418045
144,145,145,Jason Gore,403812
145,146,146,Willie Wood,401648
146,147,147,Tom Watson,401139
147,148,148,Larry Mize,400030
148,149,149,Blaine McCallister,382683
149,150,150,Bart Bryant,366172
150,151,151,Todd Barranger,364450
151,152,152,Russ Cochran,357389
152,153,153,Jason Caron,352622
153,154,154,Danny Ellis,339369
154,155,155,Jay Delsing,317770
155,156,156,Bill Glasson,303805
156,157,157,Jim McGovern,288429
157,158,158,Chris Perry,284196
158,159,159,"Dave Stockton, Jr.",280389
159,160,160,Ty Tryon,245790
160,161,161,"Jim Gallagher, Jr.",228555
161,162,162,Kelly Gibson,208880
162,163,163,David Edwards,208515
163,164,164,Andy Miller,208044
164,165,165,Chris Anderson,180002
165,166,166,Ted Tryba,171730
166,167,167,Tom Kite,159976
167,168,168,Stan Utley,155917
168,169,169,John Morse,154803
169,170,170,Mark Wiebe,154396
170,171,171,Ken Green,152262
171,172,172,Ronnie Black,150062
172,173,173,Vance Veazey,144023
173,174,174,Michael Bradley,141306
174,175,175,Mike Springer,133063
175,176,176,Guy Boros,132996
176,177,177,Brian Claar,113517
177,178,178,D.A. Weibring,109416
178,179,179,Brad Lardon,104311
179,180,180,Curtis Strange,90523
180,181,181,Mike Standly,86453
181,182,182,Joel Kribel,78240
182,183,183,Mike Hulbert,72748
183,184,184,Brad Fabel,70470
184,185,185,Jason Buha,68761
185,186,186,Tag Ridings,62550
186,187,187,Jeff Klein,54360
187,188,188,Cameron Yancey,51980
188,189,189,Gary Hallberg,45081
189,190,190,Phil Blackmar,43100
190,191,191,Keith Fergus,40910
191,192,192,Scott Gump,39561
192,193,193,Patrick Moore,38823
193,194,194,Nolan Henke,34950
194,195,195,Keith Clearwater,33089
195,196,196,Dave Rummells,27349
196,197,197,Dan Pohl,24570
197,198,198,Mike Reid,23804
198,199,199,Andy Bean,23345
199,200,200,Mark Carnevale,21880
200,201,201,Fuzzy Zoeller,19265
201,202,202,Fred Wadsworth,16854
202,203,203,Brad Bryant,16606
203,204,204,Jerry Pate,15372
204,205,205,Tom Purtzer,10952
205,206,206,Larry Rinker,9263
206,207,207,Jack Nicklaus,8910
207,208,208,Doug Tewell,8080
208,209,209,Sam Randolph,7494
209,210,210,Greg Twiggs,6941
210,211,211,Hale Irwin,6582
211,212,212,Ed Fiori,6380
212,213,213,Dick Mast,5086
213,214,214,Bruce Lietzke,4420
214,215,215,Ben Crenshaw,3885
215,216,216,Mark McCumber,3638
216,217,217,Gary Koch,3413
217,218,218,David Ogrin,3015
218,219,219,Rick Fehr,2700
219,220,220,Bobby Wadkins,2443
220,221,221,Bob Lohr,2150
221,222,222,Morris Hatalsky,2000
222,223,223,Wayne Levi,1940
223,224,224,Ernie Gonzalez,1720
