,Power_Rating_RANK THIS WEEK,Power_Rating_RANK LAST WEEK,Power_Rating_PLAYER NAME,Power_Rating_EVENTS,Power_Rating_RATING
0,T1,T1,Ricky Barnes,1,9.8
1,T1,T1,Hank Kuehne,13,9.8
2,T1,T1,Nick Watney,1,9.8
3,4,4,John Daly,6,9.7
4,5,5,Darren Clarke,9,9.5
5,T6,T6,Phil Mickelson,13,9.4
6,T6,T6,Vijay Singh,20,9.4
7,T8,T8,Barry Cheesman,1,9.3
8,T8,T8,Tag Ridings,1,9.3
9,T10,T10,Ernie Els,11,9.2
10,T10,T10,James McLean,5,9.2
11,12,12,"Joe Acosta, Jr.",1,9.1
12,13,13,Davis Love III,15,9.0
13,T14,T14,Chris Downes,1,8.9
14,T14,T14,"Jim Gallagher, Jr.",2,8.9
15,T14,T14,Brenden Pappas,17,8.9
16,T14,T14,Charles Warren,1,8.9
17,T14,T14,Tiger Woods,13,8.9
18,T19,T19,Retief Goosen,12,8.8
19,T19,T19,Jon Mills,1,8.8
20,T19,T19,Deane Pappas,13,8.8
21,T19,T19,Tyler Swanson,1,8.8
22,T23,T23,Sergio Garcia,7,8.7
23,T23,T23,Adam Scott,8,8.7
24,T23,T23,Ty Tryon,4,8.7
25,T26,T26,Jason Caron,6,8.6
26,T26,T26,Derek Gillespie,1,8.6
27,T26,T26,Mathias Grönberg,1,8.6
28,T26,T26,Mike Heinen,15,8.6
29,T26,T26,Mark Hensby,1,8.6
30,T26,T26,Dennis Paulson,9,8.6
31,T32,T32,Jonathan Byrd,19,8.5
32,T32,T32,Mathew Goggin,14,8.5
33,T32,T32,Andrew Magee,18,8.5
34,35,35,Raphael Jacquelin,1,8.4
35,T36,T36,Ángel Cabrera,3,8.3
36,T36,T36,Paul Casey,2,8.3
37,T36,T36,Brent Schwarzrock,10,8.3
38,T39,T39,Carlos Franco,18,8.2
39,T39,T39,Harrison Frazar,16,8.2
40,T39,T39,Robert Karlsson,1,8.2
41,T42,T42,Chris Baryla,1,8.1
42,T42,T42,Tom Carter,2,8.1
43,T42,T42,Jonathan Kaye,15,8.1
44,T42,T42,Craig Perks,11,8.1
45,T46,T46,Ignacio Garrido,2,8.0
46,T46,T46,Kenny Perry,19,8.0
47,T46,T46,Chris Smith,14,8.0
48,T46,T46,Mike Standly,4,8.0
49,T46,T46,Kenneth Staton,7,8.0
50,T51,T51,Robert Allenby,15,7.9
51,T51,T51,Stuart Appleby,15,7.9
52,T51,T51,Tommy Armour III,10,7.9
53,T51,T51,Rich Beem,11,7.9
54,T51,T51,Jason Gore,11,7.9
55,T51,T51,Hunter Mahan,4,7.9
56,T51,T51,Bob May,5,7.9
57,T51,T51,Yusaku Miyazato,1,7.9
58,T51,T51,Brett Quigley,16,7.9
59,T51,T51,Eduardo Romero,3,7.9
60,T51,T51,Rory Sabbatini,18,7.9
61,T62,T62,Todd Barranger,7,7.8
62,T62,T62,Charles Howell III,23,7.8
63,T62,T62,Peter Lonard,17,7.8
64,T62,T62,Steve Lowery,12,7.8
65,T62,T62,Patrick Moore,2,7.8
66,T62,T62,Justin Rose,6,7.8
67,T62,T62,Patrick Sheehan,17,7.8
68,T62,T62,Phil Tataurangi,2,7.8
69,T70,T70,Craig Barlow,17,7.7
70,T70,T70,Brian Bateman,9,7.7
71,T70,T70,Marco Dawson,9,7.7
72,T70,T70,Kelly Gibson,5,7.7
73,T70,T70,Neal Lancaster,19,7.7
74,T70,T70,Ian Leggatt,9,7.7
75,T70,T70,Troy Matteson,2,7.7
76,T70,T70,Rod Pampling,13,7.7
77,T78,T78,Woody Austin,19,7.6
78,T78,T78,K.J. Choi,19,7.6
79,T78,T78,John Morgan,11,7.6
80,T78,T78,Geoff Ogilvy,14,7.6
81,T78,T78,Darron Stiles,14,7.6
82,T83,T83,Briny Baird,22,7.5
83,T83,T83,Brad Bryant,2,7.5
84,T83,T83,Joel Kribel,3,7.5
85,T83,T83,Brad Lardon,1,7.5
86,T83,T83,Scott McCarron,11,7.5
87,T83,T83,Mike Springer,4,7.5
88,T89,T89,Jeff Brehaut,21,7.4
89,T89,T89,Chad Campbell,21,7.4
90,T89,T89,Ken Green,2,7.4
91,T89,T89,Toshi Izawa,2,7.4
92,T89,T89,Paul Stankowski,12,7.4
93,T89,T89,Vance Veazey,7,7.4
94,T95,T95,Brent Geiberger,9,7.3
95,T95,T95,J.J. Henry,17,7.3
96,T95,T95,Brandt Jobe,15,7.3
97,T95,T95,Chip Sullivan,1,7.3
98,T95,T95,D.J. Trahan,1,7.3
99,T100,T100,Thomas Bjørn,2,7.2
100,T100,T100,Fred Couples,12,7.2
101,T100,T100,J.L. Lewis,15,7.2
102,T100,T100,Andy Miller,11,7.2
103,T100,T100,Grant Waite,5,7.2
104,T105,T105,Cameron Beckman,17,7.1
105,T105,T105,Joe Durant,18,7.1
106,T105,T105,Carl Paulson,18,7.1
107,T108,T108,Tim Herron,19,7.0
108,T108,T108,Shaun Micheel,19,7.0
109,T110,T110,Mark Calcavecchia,16,6.9
110,T110,T110,Russ Cochran,2,6.9
111,T110,T110,Mark Foster,1,6.9
112,T110,T110,Robert Gamez,23,6.9
113,T114,T114,Hennie Otto,2,6.8
114,T114,T114,Ian Poulter,2,6.8
115,T116,T116,Steve Allan,7,6.7
116,T116,T116,Danny Briggs,1,6.7
117,T116,T116,Brian Davis,1,6.7
118,T116,T116,David Gossett,17,6.7
119,T116,T116,Pat Perez,14,6.7
120,T116,T116,Mike Sposa,10,6.7
121,T122,T122,Jason Buha,5,6.6
122,T122,T122,Greg Chalmers,16,6.6
123,T122,T122,Carl Pettersson,14,6.6
124,T122,T122,John Senden,20,6.6
125,T122,T122,Garrett Willis,16,6.6
126,T127,T127,Aaron Baddeley,13,6.5
127,T127,T127,Ben Crane,18,6.5
128,T127,T127,Bill Glasson,7,6.5
129,T127,T127,Paul Gow,9,6.5
130,T127,T127,Per-Ulrik Johansson,15,6.5
131,T127,T127,Paul Lawrie,3,6.5
132,T127,T127,Tom Lehman,15,6.5
133,T127,T127,Greg Norman,2,6.5
134,T127,T127,Kevin Sutherland,16,6.5
135,T127,T127,David Toms,14,6.5
136,T137,T137,David Duval,3,6.4
137,T137,T137,Niclas Fasth,7,6.4
138,T137,T137,Michael Flynn,1,6.4
139,T137,T137,David Howell,1,6.4
140,T137,T137,Tom Pernice Jr.,19,6.4
141,T137,T137,Craig Stadler,2,6.4
142,T137,T137,Jay Williamson,15,6.4
143,T144,T144,Trevor Dodds,1,6.3
144,T144,T144,Robin Freeman,3,6.3
145,T144,T144,Tom Gillis,10,6.3
146,T144,T144,John Huston,16,6.3
147,T144,T144,Cliff Kresge,17,6.3
148,T144,T144,Mike Small,1,6.3
149,T144,T144,Duffy Waldorf,16,6.3
150,T151,T151,John Riegger,10,6.2
151,T151,T151,Joey Sindelar,17,6.2
152,T151,T151,"Dave Stockton, Jr.",6,6.2
153,T151,T151,Bob Tway,16,6.2
154,T155,T155,Billy Andrade,18,6.1
155,T155,T155,Michael Bradley,1,6.1
156,T155,T155,Stewart Cink,20,6.1
157,T155,T155,Mike Weir,14,6.1
158,T155,T155,Lee Westwood,5,6.1
159,T160,T160,Brad Elder,5,6.0
160,T160,T160,Thomas Levet,15,6.0
161,T160,T160,Anthony Painter,11,6.0
162,T160,T160,David Sutherland,11,6.0
163,T160,T160,Cameron Yancey,5,6.0
164,T165,T165,Andy Bean,1,5.9
165,T165,T165,Jay Delsing,5,5.9
166,T165,T165,Edward Fryatt,1,5.9
167,T165,T165,Trevor Immelman,4,5.9
168,T165,T165,Freddie Jacobson,5,5.9
169,T165,T165,Billy Mayfair,17,5.9
170,T171,T171,Gary Hallberg,2,5.8
171,T171,T171,Kent Jones,12,5.8
172,T171,T171,Jim McGovern,4,5.8
173,T171,T171,Kevin Na,1,5.8
174,T171,T171,Arron Oberholser,15,5.8
175,T171,T171,John Rollins,12,5.8
176,T171,T171,Hal Sutton,14,5.8
177,T178,T178,Bart Bryant,6,5.7
178,T178,T178,Michael Campbell,2,5.7
179,T178,T178,Mike Grob,13,5.7
180,T178,T178,Jesper Parnevik,17,5.7
181,T178,T178,Phillip Price,4,5.7
182,T178,T178,Tom Scherrer,7,5.7
183,T184,T184,Alex Cejka,16,5.6
184,T184,T184,Gabriel Hjertstedt,1,5.6
185,T184,T184,Lee Janzen,13,5.6
186,T184,T184,Steve Jones,5,5.6
187,T184,T184,Jerry Kelly,21,5.6
188,T184,T184,Steve Stricker,7,5.6
189,T190,T190,Stephen Ames,19,5.5
190,T190,T190,"David Berganio, Jr.",6,5.5
191,T190,T190,Danny Ellis,7,5.5
192,T190,T190,Peter Jacobsen,14,5.5
193,T190,T190,Tim Petrovic,18,5.5
194,T195,T195,Guy Boros,3,5.4
195,T195,T195,Scott Dunlap,1,5.4
