,Last_15_Events_-_Scoring_RANK THIS WEEK,Last_15_Events_-_Scoring_RANK LAST WEEK,Last_15_Events_-_Scoring_PLAYER NAME,Last_15_Events_-_Scoring_EVENTS,Last_15_Events_-_Scoring_RATING
0,1,1,Vijay Singh,11,9.0
1,2,3,Michael Bradley,1,8.8
2,2,3,Chris Downes,1,8.8
3,2,3,Mathias Grönberg,1,8.8
4,2,2,Tiger Woods,10,8.8
5,6,6,Geoff Ogilvy,6,8.7
6,7,8,Ricky Barnes,1,8.6
7,7,8,Barry Cheesman,1,8.6
8,7,8,Russ Cochran,2,8.6
9,7,6,Fred Couples,8,8.6
10,7,8,Retief Goosen,9,8.6
11,7,8,Padraig Harrington,5,8.6
12,7,8,Scott McCarron,7,8.6
13,7,8,Rod Pampling,6,8.6
14,7,8,Kenny Perry,10,8.6
15,16,17,Robert Allenby,9,8.5
16,16,17,Paul Casey,2,8.5
17,16,17,Michael Clark II,3,8.5
18,16,17,Brad Faxon,10,8.5
19,16,8,Davis Love III,9,8.5
20,16,17,Chris Riley,9,8.5
21,16,17,Paul Stankowski,7,8.5
22,16,17,Mike Weir,8,8.5
23,24,24,Stuart Appleby,9,8.4
24,24,24,Darren Clarke,8,8.4
25,24,24,Marco Dawson,2,8.4
26,24,24,Glen Day,10,8.4
27,24,24,Ernie Els,9,8.4
28,24,24,Niclas Fasth,7,8.4
29,24,24,Jim Furyk,12,8.4
30,24,24,Matt Gogel,5,8.4
31,24,24,Yasuharu Imano,1,8.4
32,24,24,John Morgan,5,8.4
33,24,24,Matt Peterson,1,8.4
34,24,24,Phil Tataurangi,3,8.4
35,24,24,David Toms,10,8.4
36,24,24,Nick Watney,1,8.4
37,38,38,Briny Baird,9,8.3
38,38,38,Jeff Brehaut,9,8.3
39,38,38,Tom Carter,2,8.3
40,38,38,K.J. Choi,10,8.3
41,38,38,Stewart Cink,10,8.3
42,38,38,John Daly,3,8.3
43,38,38,Trevor Dodds,1,8.3
44,38,38,Dan Forsman,10,8.3
45,38,38,Tom Gillis,6,8.3
46,38,38,David Gossett,8,8.3
47,38,38,John Huston,9,8.3
48,38,38,Toshi Izawa,2,8.3
49,38,38,Lee Janzen,5,8.3
50,38,38,Per-Ulrik Johansson,5,8.3
51,38,38,Kent Jones,9,8.3
52,38,38,Bernhard Langer,8,8.3
53,38,38,Scott Laycock,5,8.3
54,38,38,Justin Leonard,9,8.3
55,38,38,Peter Lonard,10,8.3
56,38,38,Shigeki Maruyama,9,8.3
57,38,38,Jim McGovern,4,8.3
58,38,38,Brenden Pappas,7,8.3
59,38,38,David Peoples,10,8.3
60,38,38,Tim Petrovic,8,8.3
61,38,38,Tag Ridings,1,8.3
62,38,38,Loren Roberts,10,8.3
63,38,38,Dave Rummells,1,8.3
64,38,38,Chris Smith,6,8.3
65,38,38,Hal Sutton,10,8.3
66,38,38,Garrett Willis,7,8.3
67,68,68,Stephen Ames,10,8.2
68,68,68,Tommy Armour III,9,8.2
69,68,68,Craig Barlow,11,8.2
70,68,68,Cameron Beckman,8,8.2
71,68,68,Tom Byrum,8,8.2
72,68,68,Chad Campbell,10,8.2
73,68,68,Ben Crane,8,8.2
74,68,68,Robert Damron,9,8.2
75,68,68,Jay Delsing,5,8.2
76,68,68,Steve Flesch,11,8.2
77,68,68,Fred Funk,7,8.2
78,68,68,Paul Goydos,10,8.2
79,68,68,Ken Green,3,8.2
80,68,68,Jay Haas,9,8.2
81,68,68,Charles Howell III,11,8.2
82,68,68,Pete Jordan,1,8.2
83,68,68,Jonathan Kaye,9,8.2
84,68,68,Jerry Kelly,11,8.2
85,68,68,Skip Kendall,11,8.2
86,68,68,Paul Lawrie,3,8.2
87,68,68,J.L. Lewis,8,8.2
88,68,68,Steve Lowery,6,8.2
89,68,68,Rocco Mediate,7,8.2
90,68,68,Arron Oberholser,7,8.2
91,68,68,John Senden,8,8.2
92,68,68,Patrick Sheehan,8,8.2
93,68,68,Jeff Sluman,8,8.2
94,68,68,Kevin Sutherland,8,8.2
95,68,68,Grant Waite,4,8.2
96,97,97,Steve Allan,6,8.1
97,97,97,Woody Austin,6,8.1
98,97,97,Todd Barranger,2,8.1
99,97,97,Guy Boros,3,8.1
100,97,97,Jonathan Byrd,12,8.1
101,97,97,Mark Calcavecchia,7,8.1
102,97,97,Alex Cejka,9,8.1
103,97,97,Joe Durant,10,8.1
104,97,97,Bob Estes,10,8.1
105,97,97,Todd Fischer,9,8.1
106,97,97,Harrison Frazar,9,8.1
107,97,97,David Frost,10,8.1
108,97,97,Brian Gay,6,8.1
109,97,97,Brent Geiberger,8,8.1
110,97,97,Paul Gow,8,8.1
111,97,97,J.P. Hayes,8,8.1
112,97,97,Mike Heinen,8,8.1
113,97,97,Brandt Jobe,12,8.1
114,97,97,Andrew Magee,11,8.1
115,97,97,James McLean,4,8.1
116,97,97,Dennis Paulson,9,8.1
117,97,97,Carl Pettersson,8,8.1
118,97,97,Brett Quigley,10,8.1
119,97,97,John Rollins,6,8.1
120,97,97,Joey Sindelar,11,8.1
121,97,97,Darron Stiles,6,8.1
122,97,97,David Sutherland,6,8.1
123,97,97,Mario Tiziani,1,8.1
124,97,97,Kirk Triplett,12,8.1
125,97,97,Bob Tway,9,8.1
126,97,97,Scott Verplank,11,8.1
127,128,97,Chris DiMarco,9,8.0
128,128,129,Luke Donald,10,8.0
129,128,129,Joel Edwards,6,8.0
130,128,129,Brad Elder,4,8.0
131,128,129,Steve Elkington,6,8.0
132,128,129,Jeff Gallagher,5,8.0
133,128,129,Robert Gamez,12,8.0
134,128,129,Sergio Garcia,4,8.0
135,128,129,Mathew Goggin,7,8.0
136,128,129,Tim Herron,8,8.0
137,128,129,Trevor Immelman,4,8.0
138,128,129,Freddie Jacobson,5,8.0
139,128,129,Richard Johnson,9,8.0
140,128,129,Kenichi Kuboya,8,8.0
141,128,129,Hank Kuehne,8,8.0
142,128,129,Neal Lancaster,11,8.0
143,128,129,Tom Lehman,9,8.0
144,128,129,Frank Lickliter II,9,8.0
145,128,129,Jeff Maggert,8,8.0
146,128,129,Hunter Mahan,4,8.0
147,128,129,Shaun Micheel,7,8.0
148,128,129,Deane Pappas,8,8.0
149,128,129,Steve Pate,3,8.0
150,128,129,Nick Price,10,8.0
151,128,129,Justin Rose,6,8.0
152,128,129,Rory Sabbatini,10,8.0
153,128,129,Adam Scott,8,8.0
154,128,129,Mike Small,1,8.0
155,128,129,Hidemichi Tanaka,12,8.0
156,128,129,Duffy Waldorf,9,8.0
157,158,158,Chris Anderson,9,7.9
158,158,158,Billy Andrade,10,7.9
159,158,158,"David Berganio, Jr.",6,7.9
160,158,158,Mark Brooks,7,7.9
161,158,158,Carlos Franco,7,7.9
162,158,158,J.J. Henry,9,7.9
163,158,158,Greg Kraft,6,7.9
164,158,158,Thomas Levet,8,7.9
165,158,158,Billy Mayfair,7,7.9
166,158,158,Phil Mickelson,8,7.9
167,158,158,Colin Montgomerie,3,7.9
168,158,158,Tom Pernice Jr.,9,7.9
169,158,158,Dicky Pride,7,7.9
170,158,158,Jeff Quinney,1,7.9
171,158,158,Heath Slocum,11,7.9
172,158,158,Mike Springer,4,7.9
173,158,158,Mike Standly,4,7.9
174,158,158,Jay Williamson,5,7.9
175,158,158,Richard Zokol,2,7.9
176,177,177,Aaron Baddeley,10,7.8
177,177,177,Notah Begay III,7,7.8
178,177,177,Danny Briggs,1,7.8
179,177,177,Jason Buha,4,7.8
180,177,177,Jim Carter,6,7.8
181,177,177,José Coceres,7,7.8
182,177,203,Ben Curtis,8,7.8
183,177,177,Michael Flynn,1,7.8
184,177,177,Glen Hnatiuk,6,7.8
185,177,177,David Howell,1,7.8
186,177,177,Joel Kribel,3,7.8
187,177,177,Ian Leggatt,5,7.8
188,177,177,Bob May,6,7.8
189,177,177,Spike McRoy,7,7.8
190,177,177,Greg Norman,2,7.8
191,177,177,Mark O'Meara,2,7.8
192,177,177,Corey Pavin,9,7.8
193,177,177,John Riegger,8,7.8
194,177,177,Eduardo Romero,3,7.8
195,177,177,Tom Scherrer,7,7.8
196,177,177,Brent Schwarzrock,8,7.8
197,177,177,Scott Simpson,3,7.8
198,177,177,Kenneth Staton,4,7.8
199,177,177,"Dave Stockton, Jr.",3,7.8
200,177,177,Steve Stricker,4,7.8
201,177,177,Chip Sullivan,1,7.8
202,177,177,Dean Wilson,6,7.8
203,204,203,Doug Barron,4,7.7
204,204,203,Brian Bateman,5,7.7
205,204,203,Pat Bates,8,7.7
206,204,203,Rich Beem,7,7.7
207,204,203,Jay Don Blake,7,7.7
208,204,203,Olin Browne,8,7.7
209,204,203,Brad Bryant,2,7.7
210,204,203,Ángel Cabrera,3,7.7
211,204,203,Greg Chalmers,6,7.7
212,204,203,Brian Claar,1,7.7
213,204,203,Tim Clark,8,7.7
214,204,203,David Edwards,8,7.7
215,204,203,Jason Gore,6,7.7
216,204,203,Donnie Hammond,9,7.7
217,204,203,Michael Harris,1,7.7
218,204,203,Brian Henninger,8,7.7
219,204,203,John Maginnes,5,7.7
220,204,203,Len Mattiace,10,7.7
221,204,203,Blaine McCallister,4,7.7
222,204,203,David Morland IV,1,7.7
223,204,203,Jesper Parnevik,9,7.7
224,204,203,Carl Paulson,10,7.7
225,204,203,Pat Perez,9,7.7
226,204,203,Akio Sadakata,6,7.7
227,204,203,Mike Sposa,4,7.7
228,204,203,Brian Watts,5,7.7
229,230,230,Paul Azinger,9,7.6
230,230,230,Thomas Bjørn,2,7.6
231,230,230,Bart Bryant,6,7.6
232,230,230,Brandel Chamblee,6,7.6
233,230,230,David Duval,2,7.6
234,230,230,Danny Ellis,7,7.6
235,230,230,Kelly Gibson,5,7.6
236,230,230,Dudley Hart,8,7.6
237,230,230,Peter Jacobsen,8,7.6
238,230,230,Cliff Kresge,9,7.6
239,230,230,Matt Kuchar,5,7.6
240,230,230,Jon Mills,1,7.6
241,230,230,Kelly Mitchum,2,7.6
242,230,230,Patrick Moore,2,7.6
243,230,230,Esteban Toledo,7,7.6
244,230,230,Charles Warren,1,7.6
245,246,246,Steven Alker,7,7.5
246,246,246,Aaron Barber,8,7.5
247,246,246,Robert-Jan Derksen,1,7.5
248,246,246,"Jim Gallagher, Jr.",2,7.5
249,246,246,Derek Gillespie,1,7.5
250,246,246,Mike Grob,7,7.5
251,246,246,Steve Jones,5,7.5
252,246,246,Brad Lardon,1,7.5
253,246,246,Stephen Leaney,3,7.5
254,246,246,Andy Miller,7,7.5
255,246,246,Larry Mize,3,7.5
256,246,246,Alan Morin,1,7.5
257,246,246,John Morse,2,7.5
258,246,246,Gary Nicklaus,2,7.5
259,246,246,Craig Perks,5,7.5
260,246,246,Craig Stadler,3,7.5
261,246,246,Stan Utley,6,7.5
262,246,246,Lee Westwood,5,7.5
263,246,246,Mark Wilson,4,7.5
264,265,265,Chris Baryla,1,7.4
265,265,265,Bob Burns,7,7.4
266,265,265,Brian Davis,1,7.4
267,265,265,Nick Faldo,4,7.4
268,265,265,Graeme McDowell,1,7.4
269,265,265,Michael Muehr,3,7.4
270,265,265,José María Olazábal,4,7.4
271,265,265,Hennie Otto,2,7.4
272,265,265,Anthony Painter,5,7.4
273,265,265,Ian Poulter,2,7.4
274,265,265,Phillip Price,4,7.4
275,265,265,D.A. Weibring,2,7.4
276,265,265,Willie Wood,6,7.4
277,278,278,Arjun Atwal,1,7.3
278,278,278,Jason Caron,2,7.3
279,278,278,John Cook,3,7.3
280,278,278,Alastair Forsyth,1,7.3
281,278,278,Ignacio Garrido,2,7.3
282,278,278,Philip Golding,1,7.3
283,278,278,Mark Hensby,1,7.3
284,278,278,Troy Matteson,2,7.3
285,278,278,Yusaku Miyazato,1,7.3
286,278,278,Craig Parry,6,7.3
287,278,278,Ty Tryon,3,7.3
288,278,278,Kaname Yokoo,5,7.3
289,290,290,Gavin Coles,4,7.2
290,290,290,Bill Glasson,7,7.2
291,290,290,Gary Hallberg,3,7.2
292,290,290,Vance Veazey,6,7.2
293,294,294,Kevin Na,1,7.1
294,294,294,Gene Sauers,4,7.1
295,294,294,D.J. Trahan,1,7.1
296,297,297,Keith Fergus,2,7.0
297,297,297,Nolan Henke,2,7.0
298,297,297,Gabriel Hjertstedt,1,7.0
299,297,297,Thongchai Jaidee,1,7.0
300,297,297,Søren Kjeldsen,1,7.0
301,297,297,Peter O'Malley,2,7.0
302,297,297,Tyler Swanson,1,7.0
303,297,297,Cameron Yancey,2,7.0
304,305,305,"Joe Acosta, Jr.",1,6.9
305,305,305,Mike Hulbert,1,6.9
306,305,305,Jarrod Moseley,1,6.9
307,308,308,Andy Bean,1,6.8
308,308,308,Phil Blackmar,1,6.8
309,308,308,Robin Freeman,4,6.8
310,308,308,Paul McGinley,1,6.8
311,308,308,Jyoti Randhawa,1,6.8
312,313,313,Taichi Teshima,1,6.7
313,314,314,Mark Foster,1,6.6
314,314,314,Scott Hoch,4,6.6
315,314,314,Ryuji Imada,1,6.6
316,314,314,Steen Tinning,1,6.6
317,318,318,Scott Dunlap,1,6.5
318,318,318,Raphael Jacquelin,1,6.5
319,320,320,Fulton Allem,2,6.4
320,320,320,Pierre Fulke,1,6.4
321,320,320,David Ogrin,1,6.4
322,323,323,Dan Halldorson,1,6.3
323,323,323,Robert Karlsson,1,6.3
324,325,325,Jeff Klein,3,6.2
325,325,325,Tim Wilkinson,1,6.2
326,327,327,Michael Campbell,2,6.1
327,328,328,Todd Rose,1,6.0
328,329,329,Todd Hamilton,1,5.9
329,329,329,Mark Walker,1,5.9
330,331,331,Edward Fryatt,1,5.7
