,PGA_Championship_Points_RANK THIS WEEK,PGA_Championship_Points_RANK LAST WEEK,PGA_Championship_Points_PLAYER NAME,PGA_Championship_Points_EVENTS,PGA_Championship_Points_POINTS
0,1,1,Vijay Singh,10,3519683
1,2,2,Chad Campbell,8,2071175
2,3,3,Retief Goosen,8,1983600
3,4,4,Tiger Woods,6,1862917
4,5,5,Davis Love III,9,1859858
5,6,6,Stuart Appleby,9,1793092
6,7,7,Bob Tway,9,1477025
7,8,8,Brad Faxon,9,1443850
8,9,9,Charles Howell III,10,1245093
9,10,10,Shaun Micheel,7,1197778
10,11,11,Shigeki Maruyama,9,1157365
11,12,12,J.L. Lewis,10,1139838
12,13,13,Tim Herron,10,1122760
13,14,14,Adam Scott,5,1009586
14,15,15,Jonathan Kaye,7,982250
15,16,16,Rocco Mediate,9,960000
16,17,17,Chris Riley,10,944905
17,18,18,K.J. Choi,11,892085
18,19,19,Robert Allenby,9,890343
19,20,20,Briny Baird,11,799997
20,21,21,Tommy Armour III,9,799391
21,22,22,Jim Furyk,8,781552
22,23,23,Loren Roberts,7,761577
23,24,24,Scott Verplank,8,745831
24,25,25,Kirk Triplett,8,741755
25,26,26,Steve Flesch,11,740866
26,27,27,Tim Clark,7,708450
27,28,28,Tim Petrovic,11,686867
28,29,29,Ernie Els,6,680615
29,30,30,Scott McCarron,7,680080
30,31,31,Jonathan Byrd,9,661041
31,32,32,John Huston,6,653633
32,33,33,Geoff Ogilvy,7,630295
33,34,34,Fred Funk,10,612767
34,35,35,Mike Weir,7,597188
35,36,36,Stewart Cink,9,587091
36,37,37,Matt Gogel,7,585755
37,38,38,Hidemichi Tanaka,8,561197
38,39,39,Jerry Kelly,9,552676
39,40,40,Chris DiMarco,8,540258
40,41,41,Jay Haas,7,538043
41,42,42,Frank Lickliter II,10,530138
42,43,43,Brenden Pappas,11,522277
43,44,44,Dan Forsman,8,476467
44,45,45,David Toms,7,469765
45,46,46,Kenny Perry,6,444868
46,47,47,Phil Mickelson,7,439006
47,48,48,Alex Cejka,7,438125
48,49,49,Tom Pernice Jr.,9,435230
49,50,50,Peter Lonard,10,416236
50,51,51,John Rollins,9,388601
51,52,52,Glen Day,9,379153
52,53,53,Stephen Ames,10,369993
53,54,54,Billy Andrade,9,368508
54,55,55,Kent Jones,10,357230
55,56,56,Steve Lowery,9,354068
56,57,57,Rod Pampling,6,347932
57,58,58,Paul Stankowski,7,347586
58,59,59,Duffy Waldorf,8,347467
59,60,60,Justin Rose,4,340000
60,61,61,Craig Barlow,9,325667
61,62,62,Bob Estes,8,322283
62,63,63,Paul Goydos,7,318063
63,64,64,Jesper Parnevik,11,315738
64,65,65,Darren Clarke,7,314970
65,66,66,Kevin Sutherland,8,304059
66,67,67,Jeff Sluman,9,300175
67,68,68,Fred Couples,5,298150
68,69,69,Thomas Levet,8,294078
69,70,70,Robert Gamez,8,292693
70,71,71,Woody Austin,11,287268
71,72,72,David Frost,9,279832
72,73,73,Jeff Brehaut,11,276998
73,74,74,Rory Sabbatini,8,273853
74,75,75,Bernhard Langer,7,268328
75,76,76,Justin Leonard,6,253375
76,77,77,Chris Anderson,11,252027
77,78,78,David Peoples,9,240618
78,79,79,Neal Lancaster,11,235776
79,80,80,Tom Lehman,8,234752
80,81,81,John Senden,10,232820
81,82,82,Luke Donald,10,231925
82,83,83,Aaron Baddeley,8,231220
83,84,84,John Morgan,11,226843
84,85,85,Carl Pettersson,10,220030
85,86,86,Tom Byrum,10,219273
86,87,87,Harrison Frazar,8,218565
87,88,88,Dennis Paulson,6,213116
88,89,89,Cameron Beckman,6,208850
89,90,90,Kenichi Kuboya,12,201745
90,91,91,Brett Quigley,8,201153
91,92,92,Len Mattiace,9,197733
92,93,93,Steve Allan,6,194155
93,94,94,Garrett Willis,11,192398
94,95,95,Joe Durant,8,191262
95,96,96,David Sutherland,10,189828
96,97,97,J.J. Henry,9,187630
97,98,98,Glen Hnatiuk,10,187140
98,99,99,Ben Crane,11,186018
99,100,100,Patrick Sheehan,11,183105
100,101,101,José Coceres,7,183011
101,102,102,Robert Damron,8,181970
102,103,103,Pat Perez,11,181547
103,104,104,Mike Heinen,11,177651
104,105,105,Michael Clark II,9,176567
105,106,106,Niclas Fasth,5,173300
106,107,107,Skip Kendall,9,171744
107,108,108,Nick Price,4,165770
108,109,109,Brent Schwarzrock,8,162405
109,110,110,Sergio Garcia,6,162245
110,111,111,Carl Paulson,11,158441
111,112,112,Tom Gillis,10,153477
112,113,113,Arron Oberholser,5,152333
113,114,114,Richard Johnson,10,148818
114,115,115,Mathew Goggin,11,145801
115,116,116,Mike Grob,12,139954
116,117,117,Dean Wilson,8,137355
117,118,118,Paul Casey,4,136700
118,119,119,Peter Jacobsen,7,132231
119,120,120,Notah Begay III,11,131824
120,121,121,Aaron Barber,10,131635
121,122,122,Brian Gay,11,130871
122,123,123,Dicky Pride,11,128328
123,124,124,Billy Mayfair,9,125830
124,125,125,Bob Burns,9,120495
125,126,126,Ben Curtis,6,117942
126,127,127,Phillip Price,6,117833
127,128,128,Mark Brooks,11,117018
128,129,129,Paul Gow,9,114293
129,130,130,Paul Azinger,10,113131
130,131,131,John Riegger,8,109810
131,132,132,J.P. Hayes,6,108440
132,133,133,David Gossett,9,108022
133,134,134,Tom Carter,8,105143
134,135,135,Darron Stiles,11,103858
135,136,136,Heath Slocum,10,103672
136,137,137,Russ Cochran,2,103400
137,138,138,Mark Calcavecchia,7,103345
138,139,139,Jay Don Blake,9,102519
139,140,140,Carlos Franco,9,102083
140,141,141,Per-Ulrik Johansson,9,99140
141,142,142,Tom Scherrer,8,98531
142,143,143,"Dave Stockton, Jr.",10,97215
143,144,144,Chris Smith,7,92636
144,145,145,Pat Bates,11,90794
145,146,146,Scott Laycock,8,89618
146,T147,T147,Olin Browne,11,89086
147,T147,T147,Bill Glasson,6,89086
148,149,149,Steven Alker,11,88868
149,150,150,Corey Pavin,10,88368
150,151,151,Jeff Maggert,8,88184
151,152,152,Mark Wilson,11,84389
152,153,153,Donnie Hammond,10,83206
153,154,154,Joey Sindelar,9,82889
154,155,155,Jim McGovern,6,82238
155,156,156,Hal Sutton,5,77208
156,157,157,Guy Boros,4,74312
157,158,158,Nick Watney,4,73255
158,159,159,Toshi Izawa,3,73000
159,160,160,José María Olazábal,2,71570
160,161,161,Deane Pappas,11,70135
161,162,162,David Edwards,5,69755
162,163,163,Bart Bryant,5,69291
163,164,164,Spike McRoy,10,68680
164,165,165,Andrew Magee,7,68635
165,166,166,Scott Hoch,4,68575
166,167,167,Brandt Jobe,5,68170
167,168,168,Todd Fischer,11,66770
168,169,169,Ángel Cabrera,3,65500
169,170,170,Cliff Kresge,10,64071
170,171,171,Rich Beem,7,62250
171,172,172,Michael Campbell,3,61600
172,173,173,Mathias Grönberg,2,61250
173,174,174,Brian Henninger,7,60855
174,175,175,Hunter Mahan,3,60080
175,176,176,Craig Parry,3,55500
176,177,177,Mike Standly,4,55311
177,178,178,Jason Gore,11,52008
178,179,179,Lee Janzen,8,50676
179,180,180,Steve Stricker,5,49238
180,181,181,Esteban Toledo,11,49121
181,182,182,Jason Buha,10,48253
182,183,183,Greg Chalmers,11,45558
183,184,184,Grant Waite,7,45550
184,185,185,Jay Williamson,9,44760
185,186,186,Brian Bateman,10,44094
186,187,187,Kaname Yokoo,11,41958
187,188,188,Greg Norman,4,41500
188,189,189,Hank Kuehne,8,40339
189,190,190,Jim Carter,11,39827
190,191,191,Vance Veazey,9,39145
191,192,192,Andy Miller,7,37305
192,193,193,Mike Springer,5,36803
193,T194,T194,Todd Hamilton,2,36600
194,T194,T194,Padraig Harrington,3,36600
195,196,196,Gavin Coles,11,34330
196,197,197,Akio Sadakata,10,31589
197,198,198,Gene Sauers,10,30009
198,199,199,Brad Bryant,3,29536
199,200,200,Anthony Painter,12,29369
200,201,201,Danny Ellis,5,29050
201,202,202,Kelly Gibson,5,28440
202,203,203,Jeff Gallagher,4,26423
203,204,204,Brad Elder,9,25581
204,205,205,Ian Leggatt,9,24784
205,206,206,Jason Caron,11,24750
206,207,207,Mike Sposa,10,24197
207,208,208,John Maginnes,9,23540
208,209,209,Greg Kraft,4,23075
209,210,210,Marco Dawson,10,22750
210,211,211,Steve Pate,7,21485
211,212,212,Craig Perks,8,18480
212,213,213,Cameron Yancey,9,17820
213,214,214,Brandel Chamblee,6,16500
214,215,215,Stan Utley,5,16184
215,216,216,"Jim Gallagher, Jr.",5,15525
216,217,217,Trevor Immelman,3,14733
217,218,218,Dave Rummells,4,14280
218,219,219,Todd Barranger,11,14175
219,220,220,Jeff Klein,9,13500
220,221,221,Gary Evans,1,13320
221,222,222,Jay Delsing,4,13205
222,223,223,Kenneth Staton,9,12432
223,T224,T224,Ian Poulter,3,12000
224,T224,T224,Phil Tataurangi,1,12000
225,226,226,Doug Barron,10,10100
226,227,227,Tim Wilkinson,1,9900
227,228,228,Kelly Mitchum,1,9495
228,229,229,Michael Harris,1,9450
229,230,230,Willie Wood,5,9420
230,T231,T231,Derek Gillespie,1,8988
231,T231,T231,Jon Mills,1,8988
232,233,233,John Morse,4,8560
233,234,234,Richard Zokol,3,8505
234,235,235,D.A. Weibring,1,8064
235,236,236,David Morland IV,1,8022
236,T237,T237,Gabriel Hjertstedt,4,7560
237,T237,T237,Larry Mize,4,7560
238,T237,T237,Mark O'Meara,8,7560
239,240,240,Ty Tryon,6,7290
240,241,241,Edward Fryatt,1,7280
241,242,242,Robin Freeman,3,7131
242,243,243,Scott Simpson,4,6755
243,244,244,Blaine McCallister,1,6300
244,245,245,Nolan Henke,1,5970
245,T246,T246,Gary Hallberg,3,5700
246,T246,T246,David Ogrin,2,5700
