,All-Around_Ranking_RANK THIS WEEK,All-Around_Ranking_RANK LAST WEEK,All-Around_Ranking_PLAYER NAME,All-Around_Ranking_EVENTS,All-Around_Ranking_TOTAL
0,1,1,Phil Mickelson,26,261
1,2,2,David Toms,27,267
2,3,3,Retief Goosen,15,279
3,4,4,Tiger Woods,18,288
4,5,5,Vijay Singh,28,304
5,6,6,Robert Allenby,27,336
6,7,7,Justin Leonard,26,346
7,8,8,Davis Love III,26,354
8,9,9,John Huston,26,362
9,10,10,Fred Funk,29,385
10,11,11,Scott McCarron,28,415
11,12,12,Jonathan Byrd,32,418
12,13,13,Cameron Beckman,26,423
13,T14,T14,Chris DiMarco,29,434
14,T14,T14,Kenny Perry,27,434
15,16,16,Robert Gamez,21,441
16,17,17,Peter Lonard,24,442
17,T18,T18,David Duval,24,443
18,T18,T18,Joel Edwards,28,443
19,T18,T18,Sergio Garcia,21,443
20,21,21,David Peoples,30,447
21,22,22,Scott Verplank,26,455
22,23,23,Charles Howell III,32,462
23,24,24,John Rollins,34,465
24,25,25,Rocco Mediate,23,468
25,26,26,Steve Flesch,32,472
26,27,27,Lee Janzen,29,492
27,28,28,Stuart Appleby,28,497
28,29,29,Nick Price,18,498
29,T30,T30,Mark Calcavecchia,25,502
30,T30,T30,K.J. Choi,27,502
31,32,32,Dan Forsman,25,528
32,33,33,Kirk Triplett,25,537
33,34,34,Ernie Els,18,541
34,35,35,Dudley Hart,26,553
35,36,36,Bob Estes,26,565
36,37,37,Shigeki Maruyama,24,578
37,38,38,Chris Riley,28,585
38,T39,T39,Fred Couples,18,586
39,T39,T39,Mike Weir,25,586
40,T41,T41,Rod Pampling,29,592
41,T41,T41,John Senden,30,592
42,43,43,Duffy Waldorf,27,593
43,T44,T44,Ian Leggatt,29,597
44,T44,T44,Craig Stadler,22,597
45,46,46,Pat Perez,30,598
46,47,47,Chad Campbell,34,609
47,T48,T48,Ben Crane,30,611
48,T48,T48,John Riegger,29,611
49,50,50,Tripp Isenhour,21,613
50,51,51,Geoff Ogilvy,27,614
51,T52,T52,Tim Herron,30,619
52,T52,T52,Jeff Sluman,32,619
