,Presidents_Cup_United_States_RANK THIS WEEK,Presidents_Cup_United_States_RANK LAST WEEK,Presidents_Cup_United_States_PLAYER NAME,Presidents_Cup_United_States_POINTS
0,1,1,Tiger Woods,9756513
1,2,2,Phil Mickelson,6513912
2,3,3,David Toms,5355537
3,4,4,Chris DiMarco,3904031
4,5,5,Jerry Kelly,3692693
5,6,6,Davis Love III,3640891
6,7,7,Jim Furyk,3633617
7,8,8,Justin Leonard,3630156
8,9,9,Charles Howell III,3463063
9,10,10,Bob Estes,3332338
10,11,11,Jeff Sluman,3171163
11,12,12,Rich Beem,3168648
12,13,13,Fred Funk,3001573
13,14,14,Scott Hoch,2902832
14,15,15,Kenny Perry,2821631
15,16,16,Scott McCarron,2793467
16,17,17,Brad Faxon,2790377
17,18,18,Rocco Mediate,2777893
18,19,19,Steve Lowery,2751963
19,20,20,Chris Riley,2632091
20,21,21,Scott Verplank,2608723
21,22,22,Len Mattiace,2490454
22,23,23,Kevin Sutherland,2331315
23,24,24,David Duval,2238925
24,25,25,Loren Roberts,2211083
25,26,26,Mark Calcavecchia,2158297
26,27,27,John Cook,2135484
27,28,28,Billy Andrade,2022230
28,29,29,John Rollins,1956565
29,30,30,Chris Smith,1827499
30,31,31,Tom Lehman,1822461
31,32,32,Steve Flesch,1796117
32,33,33,Stewart Cink,1765726
33,34,34,Billy Mayfair,1722747
34,35,35,Bob Tway,1721328
35,36,36,Frank Lickliter II,1711416
36,37,37,Dudley Hart,1678935
37,38,38,Joel Edwards,1674415
38,39,39,Steve Stricker,1627827
39,40,40,Joe Durant,1618059
40,41,41,David Peoples,1600102
41,42,42,Lee Janzen,1580554
42,43,43,Brian Gay,1576416
43,44,44,John Huston,1551679
44,45,45,Kirk Triplett,1537374
45,46,46,Dan Forsman,1533887
46,47,47,Paul Azinger,1524491
47,48,48,Matt Kuchar,1524060
48,49,49,Jonathan Byrd,1466913
49,50,50,Matt Gogel,1454374
50,51,51,Pat Perez,1451726
51,52,52,Cameron Beckman,1443411
52,53,53,Tim Herron,1427637
53,54,54,Jonathan Kaye,1424408
54,55,55,Bob Burns,1376325
55,56,56,Tom Pernice Jr.,1304490
56,57,57,J.P. Hayes,1266753
57,58,58,Briny Baird,1223514
58,59,59,Glen Day,1217820
59,60,60,J.L. Lewis,1211491
60,61,61,Hal Sutton,1181975
61,62,62,Mark Brooks,1181393
62,63,63,Brandt Jobe,1176012
63,64,64,Neal Lancaster,1142020
64,65,65,Harrison Frazar,1127523
65,66,66,Duffy Waldorf,1122734
66,67,67,Joey Sindelar,1118182
67,68,68,J.J. Henry,1106798
68,69,69,Jeff Maggert,1090001
69,70,70,David Gossett,1050371
70,71,71,Skip Kendall,1030445
71,72,72,Olin Browne,1023647
72,73,73,John Daly,1008051
73,74,74,Jay Haas,1005353
74,75,75,Jim Carter,985309
75,76,76,Chad Campbell,955074
76,77,77,Mark O'Meara,949443
77,78,78,Brent Geiberger,938188
78,79,79,Paul Stankowski,937096
79,80,80,Robert Damron,921461
80,81,81,Ben Crane,921076
81,82,82,"David Berganio, Jr.",915692
82,83,83,Robert Gamez,904654
83,84,84,Heath Slocum,887450
84,85,85,Brett Quigley,882889
85,86,86,Fred Couples,839695
86,87,87,Carl Paulson,823028
87,88,88,Spike McRoy,817641
88,89,89,Shaun Micheel,816997
89,90,90,Tom Byrum,816242
90,91,91,Tim Petrovic,802928
91,92,92,Garrett Willis,786501
92,93,93,Jay Williamson,753461
93,94,94,Mike Sposa,751574
94,95,95,Dennis Paulson,749674
95,96,96,Craig Barlow,735638
96,97,97,Gene Sauers,719805
97,98,98,Jay Don Blake,713354
98,99,99,Bob May,675246
99,100,100,Notah Begay III,674294
100,101,101,Brandel Chamblee,663306
101,102,102,Andrew Magee,630589
102,103,103,Craig Stadler,603815
103,104,104,Paul Goydos,595124
104,105,105,Corey Pavin,591212
105,106,106,Jerry Smith,565968
106,107,107,John Riegger,561786
107,108,108,Brad Elder,561376
108,109,109,Pat Bates,537284
109,110,110,Kent Jones,533533
110,111,111,Woody Austin,510525
111,112,112,Tommy Armour III,498236
112,113,113,Greg Kraft,474417
113,114,114,Tripp Isenhour,468936
114,115,115,Tom Scherrer,462702
115,116,116,Kenneth Staton,453816
116,117,117,Bryce Molder,453580
117,118,118,Peter Jacobsen,421271
118,119,119,Franklin Langham,404730
119,120,120,Brian Watts,391350
120,121,121,Scott Simpson,378380
121,122,122,Tommy Tolles,366062
122,123,123,Brian Henninger,362021
123,124,124,Jeff Brehaut,361857
124,125,125,Michael Clark II,357918
125,126,126,Russ Cochran,357389
126,127,127,Steve Pate,356167
127,128,128,Scott Dunlap,354842
128,129,129,Lee Porter,352626
129,130,130,Robin Freeman,351451
130,131,131,Bart Bryant,346822
131,132,132,Donnie Hammond,339715
132,133,133,Brent Schwarzrock,321841
133,134,134,Michael Muehr,302155
134,135,135,Steve Jones,301543
135,136,136,Pete Jordan,294374
136,137,137,Chris Perry,284196
137,138,138,Brian Bateman,281421
138,139,139,Mike Heinen,272271
139,140,140,Jeff Gove,271652
140,141,141,Matt Peterson,266543
141,142,142,Blaine McCallister,263643
142,143,143,Dicky Pride,245566
143,144,144,Larry Mize,227723
144,145,145,Jim McGovern,222609
145,146,146,Joe Ogilvie,219291
146,147,147,"Jim Gallagher, Jr.",215115
147,148,148,Brett Wetterich,203034
148,149,149,Stephen Gangluff,199042
149,150,150,Danny Ellis,194583
150,151,151,Tom Watson,185105
151,152,152,Willie Wood,183928
152,153,153,Ted Tryba,171730
153,154,154,Tom Kite,159976
154,155,155,Paul Claxton,156696
155,156,156,Jess Daley,154675
156,157,157,Michael Allen,154644
157,158,158,Kelly Gibson,154459
158,159,159,Mark Wiebe,154396
159,160,160,Jason Hill,150860
160,161,161,Ronnie Black,150062
161,162,162,Gary Nicklaus,146915
162,163,163,Bo Van Pelt,139357
163,164,164,Bob Heintz,127346
164,165,165,John Morse,127200
165,166,166,Mike Springer,99763
166,167,167,Boo Weekley,95206
167,168,168,Bill Glasson,94820
168,169,169,D.A. Weibring,90966
169,170,170,Curtis Strange,90523
170,171,171,Guy Boros,90396
171,172,172,David Edwards,89285
172,173,173,Brian Claar,78517
173,174,174,Brad Lardon,71511
174,175,175,Mike Standly,71093
175,176,176,Brad Fabel,70470
176,177,177,David Sutherland,66928
177,178,178,Mike Hulbert,60148
178,179,179,Kevin Wentworth,42810
179,180,180,Michael Bradley,42306
180,181,181,Scott Gump,39561
181,182,182,Keith Clearwater,33089
182,183,183,Jeff Gallagher,32203
183,184,184,Stan Utley,30193
184,185,185,Dave Rummells,27349
185,186,186,Jay Delsing,24873
186,187,187,Phil Blackmar,24650
187,188,188,Dan Pohl,24570
188,189,189,Mike Reid,23804
189,190,190,Mark Carnevale,21880
190,191,191,Fuzzy Zoeller,19265
191,192,192,Nolan Henke,18950
192,193,193,Fred Wadsworth,16854
193,194,194,Brad Bryant,16606
194,195,195,Jerry Pate,15372
195,196,196,Ken Green,10995
196,197,197,Tom Purtzer,10952
197,198,198,Larry Rinker,9263
198,199,199,Jack Nicklaus,8910
199,200,200,Ty Tryon,8620
200,201,201,Doug Tewell,8080
201,202,202,Gary Hallberg,7648
202,203,203,Sam Randolph,7494
203,204,204,Greg Twiggs,6941
204,205,205,Hale Irwin,6582
205,206,206,Ed Fiori,6380
206,207,207,Andy Bean,6245
207,208,208,Dick Mast,5086
208,209,209,Bruce Lietzke,4420
209,210,210,Ben Crenshaw,3885
210,211,211,Mark McCumber,3638
211,212,212,Gary Koch,3413
212,213,213,David Ogrin,3015
213,214,214,Rick Fehr,2700
214,215,215,Bobby Wadkins,2443
215,216,216,Bob Lohr,2150
216,217,217,Morris Hatalsky,2000
217,218,218,Wayne Levi,1940
218,219,219,Ernie Gonzalez,1720
