,Ryder_Cup_Points_RANK THIS WEEK,Ryder_Cup_Points_RANK LAST WEEK,Ryder_Cup_Points_PLAYER NAME,Ryder_Cup_Points_EVENTS,Ryder_Cup_Points_POINTS
0,1,1,Tiger Woods,18,605.0
1,2,2,Phil Mickelson,26,342.125
2,3,3,Rich Beem,30,238.75
3,4,4,David Toms,27,173.375
4,5,5,Fred Funk,29,165.625
5,6,6,Justin Leonard,26,153.107
6,7,7,Chris Riley,28,145.0
7,8,8,Jerry Kelly,29,139.375
8,9,9,Rocco Mediate,23,123.75
9,10,10,Charles Howell III,32,119.10799999999999
10,11,11,Jim Furyk,25,111.979
11,12,12,Chris DiMarco,29,110.35700000000001
12,13,13,Scott Hoch,21,103.375
13,14,14,Kenny Perry,27,92.85700000000001
14,15,15,Len Mattiace,28,91.75
15,16,16,Davis Love III,26,91.25
16,17,17,Loren Roberts,25,89.64299999999999
17,18,18,Jeff Sluman,32,88.0
18,19,19,Scott McCarron,28,85.0
19,20,20,Jeff Maggert,27,82.14299999999999
20,21,21,Pat Perez,30,80.25
21,22,22,John Cook,25,77.813
22,23,23,Billy Mayfair,31,77.5
23,24,24,Mark Calcavecchia,25,76.438
24,25,25,Steve Lowery,28,75.178
25,26,26,Brad Faxon,25,75.0
26,27,27,Bob Estes,26,70.208
27,28,28,John Rollins,34,69.25
28,T29,T29,Jonathan Byrd,32,68.75
29,T29,T29,Dan Forsman,25,68.75
30,31,31,Matt Kuchar,27,65.625
31,32,32,Chris Smith,30,60.937
32,33,33,Jonathan Kaye,27,58.125
33,34,34,Bob Burns,30,56.25
34,35,35,John Huston,26,54.643
35,36,36,J.L. Lewis,31,52.5
36,37,37,Billy Andrade,31,51.458
37,38,38,J.P. Hayes,24,51.25
38,39,39,Spike McRoy,25,50.937
39,T40,T40,Lee Janzen,29,50.0
40,T40,T40,Brandt Jobe,28,50.0
41,42,42,Bob Tway,28,49.062
42,43,43,Dudley Hart,26,48.75
43,44,44,David Peoples,30,47.917
44,45,45,Robert Gamez,21,46.5
45,46,46,Steve Flesch,32,42.813
46,47,47,Matt Gogel,25,42.187
47,48,48,Joey Sindelar,32,41.25
48,49,49,Kevin Sutherland,28,40.268
49,T50,T50,Mark Brooks,32,40.0
50,T50,T50,Mark O'Meara,24,40.0
51,52,52,Scott Verplank,26,39.0
52,53,53,Tim Herron,30,38.333
53,T54,T54,Jim Carter,29,37.5
54,T54,T54,Glen Day,31,37.5
55,T54,T54,Gene Sauers,11,37.5
56,T57,T57,Chad Campbell,34,36.25
57,T57,T57,Brian Gay,34,36.25
58,59,59,Craig Barlow,22,35.0
59,60,60,John Daly,21,33.75
60,61,61,Harrison Frazar,28,33.125
61,62,62,Neal Lancaster,31,32.75
62,63,63,Kirk Triplett,25,31.607
63,T64,T64,Briny Baird,33,31.25
64,T64,T64,Ben Crane,30,31.25
65,66,66,Joel Edwards,28,29.791999999999998
66,67,67,Tom Byrum,23,29.375
67,68,68,David Gossett,29,29.25
68,69,69,Heath Slocum,32,27.186999999999998
69,70,70,Duffy Waldorf,27,26.518
70,T71,T71,Paul Azinger,20,26.25
71,T71,T71,Carl Paulson,28,26.25
72,T71,T71,Kenneth Staton,36,26.25
73,74,74,Cameron Beckman,26,25.58
74,75,75,Shaun Micheel,30,25.0
75,76,76,Stewart Cink,27,24.554000000000002
76,77,77,Tom Lehman,22,23.75
77,T78,T78,"David Berganio, Jr.",30,22.5
78,T78,T78,David Duval,24,22.5
79,T78,T78,Tim Petrovic,31,22.5
80,81,81,Notah Begay III,26,22.375
81,82,82,Fred Couples,18,21.875
82,T83,T83,Jay Don Blake,34,20.0
83,T83,T83,Brad Elder,26,20.0
84,T83,T83,Garrett Willis,29,20.0
85,86,86,J.J. Henry,34,19.375
86,87,87,Andrew Magee,28,19.25
87,88,88,Tom Pernice Jr.,31,17.5
88,T89,T89,Jay Haas,24,16.25
89,T89,T89,John Morse,8,16.25
90,91,91,Olin Browne,33,15.625
91,T92,T92,Brian Henninger,20,15.0
92,T92,T92,Cliff Kresge,2,15.0
93,T92,T92,Brett Quigley,32,15.0
94,T95,T95,"Jim Gallagher, Jr.",15,13.75
95,T95,T95,Mike Sposa,34,13.75
96,97,97,Peter Jacobsen,21,13.125
97,T98,T98,Mike Heinen,15,12.5
98,T98,T98,Tom Scherrer,34,12.5
99,T98,T98,Jerry Smith,33,12.5
100,101,101,Tommy Armour III,30,12.292
101,T102,T102,Tripp Isenhour,21,11.25
102,T102,T102,Steve Stricker,22,11.25
103,104,104,Frank Lickliter II,30,10.892999999999999
104,105,105,Pat Bates,29,10.875
105,106,106,Jay Williamson,30,10.625
106,107,107,Tom Watson,4,10.0
107,T108,T108,Robin Freeman,27,8.75
108,T108,T108,Skip Kendall,31,8.75
109,T108,T108,Corey Pavin,24,8.75
110,111,111,Brent Geiberger,29,8.392000000000001
111,112,112,Jeff Brehaut,29,6.25
112,113,113,Brandel Chamblee,30,5.357
113,T114,T114,John Riegger,29,5.0
114,T114,T114,Brett Wetterich,32,5.0
115,T116,T116,Russ Cochran,24,4.688
116,T116,T116,Greg Kraft,31,4.688
117,118,118,Paul Goydos,20,4.25
118,119,119,Kent Jones,33,3.75
119,120,120,Paul Stankowski,31,2.5
120,T121,T121,Bart Bryant,20,1.875
121,T121,T121,Donnie Hammond,17,1.875
122,123,123,Bryce Molder,22,1.5
123,124,124,Woody Austin,36,1.25
124,125,125,Jeff Gove,30,0.833
125,T126,T126,Robert Damron,28,0.625
126,T126,T126,Scott Dunlap,30,0.625
127,T126,T126,Matt Peterson,27,0.625
128,129,129,Craig Stadler,22,0.5
