,Early_Par_5_Scoring_Average_RANK THIS WEEK,Early_Par_5_Scoring_Average_RANK LAST WEEK,Early_Par_5_Scoring_Average_PLAYER NAME,Early_Par_5_Scoring_Average_ROUNDS,Early_Par_5_Scoring_Average_AVG,Early_Par_5_Scoring_Average_TOTAL STROKES,Early_Par_5_Scoring_Average_TOTAL HOLES
0,T1,T1,Dustin Johnson,58,4.49,292,65
1,T1,T1,Martin Laird,66,4.49,512,114
2,T1,T1,Adam Scott,68,4.49,274,61
3,4,4,Hideki Matsuyama,82,4.5,527,117
4,5,5,Ryo Ishikawa,75,4.51,546,121
5,6,6,Paul Casey,56,4.52,425,94
6,T7,T7,Brad Fritsch,50,4.54,313,69
7,T7,T7,Willy Wilcox,51,4.54,295,65
8,T9,T9,Brooks Koepka,56,4.55,450,99
9,T9,T9,Rory McIlroy,66,4.55,323,71
10,T11,T11,Aaron Baddeley,74,4.57,498,109
11,T11,T11,Bud Cauley,56,4.57,329,72
12,T11,T11,Jason Day,54,4.57,247,54
13,T11,T11,Ian Poulter,57,4.57,448,98
14,T15,T15,Steven Bowditch,93,4.58,687,150
15,T15,T15,Charles Howell III,106,4.58,765,167
16,T15,T15,Matt Jones,83,4.58,651,142
17,T15,T15,Graeme McDowell,66,4.58,412,90
18,T15,T15,Kevin Na,94,4.58,582,127
19,T15,T15,Charl Schwartzel,64,4.58,366,80
20,T15,T15,Hudson Swafford,75,4.58,486,106
21,T22,T22,K.J. Choi,80,4.59,670,146
22,T22,T22,Brian Davis,93,4.59,707,154
23,T22,T22,Rickie Fowler,91,4.59,666,145
24,T22,T22,Jhonattan Vegas,77,4.59,542,118
25,T26,T26,Bill Haas,107,4.6,795,173
26,T26,T26,Matt Kuchar,91,4.6,432,94
27,T26,T26,Bubba Watson,76,4.6,442,96
28,T29,T29,Kevin Chappell,100,4.61,742,161
29,T29,T29,Danny Lee,84,4.61,526,114
30,T29,T29,Marc Leishman,81,4.61,544,118
31,T29,T29,Will MacKenzie,82,4.61,595,129
32,T29,T29,Jordan Spieth,102,4.61,548,119
33,T29,T29,Brendan Steele,89,4.61,770,167
34,T29,T29,Cameron Tringale,111,4.61,921,200
35,T36,T36,Lucas Glover,68,4.62,522,113
36,T36,T36,Billy Horschel,92,4.62,679,147
37,T36,T36,Henrik Stenson,56,4.62,300,65
38,T39,T39,Chris Kirk,105,4.63,681,147
39,T39,T39,Jason Kokrak,65,4.63,417,90
40,T39,T39,Jamie Lovemark,64,4.63,458,99
41,T39,T39,Justin Rose,70,4.63,407,88
42,T39,T39,Kevin Stadler,90,4.63,727,157
43,T44,T44,Stewart Cink,91,4.64,701,151
44,T44,T44,Ben Curtis,77,4.64,562,121
45,T44,T44,Graham DeLaet,80,4.64,515,111
46,T44,T44,James Driscoll,71,4.64,520,112
47,T44,T44,Harris English,95,4.64,640,138
48,T44,T44,Russell Knox,92,4.64,728,157
49,T44,T44,Phil Mickelson,71,4.64,543,117
50,T44,T44,Geoff Ogilvy,84,4.64,585,126
51,T44,T44,"Ted Potter, Jr.",68,4.64,520,112
52,T44,T44,Patrick Reed,92,4.64,627,135
53,T44,T44,Vijay Singh,83,4.64,617,133
54,T44,T44,Brandt Snedeker,89,4.64,608,131
55,T44,T44,Gary Woodland,93,4.64,677,146
56,T57,T57,Sangmoon Bae,76,4.65,623,134
57,T57,T57,Briny Baird,50,4.65,470,101
58,T57,T57,Jonathan Byrd,76,4.65,488,105
59,T57,T57,Chad Collins,78,4.65,525,113
