,Tenth_Tee_Late_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Scoring_Average_ROUNDS,Tenth_Tee_Late_Scoring_Average_AVG,Tenth_Tee_Late_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Scoring_Average_TOTAL 10TH TEE LATE RNDS.
0,1,1,Adam Scott,68,66.0,66,1
1,2,2,Rory McIlroy,66,66.5,133,2
2,3,3,Jordan Spieth,102,67.0,67,1
3,4,4,Patrick Reed,92,67.86,475,7
4,5,5,Bubba Watson,76,68.0,272,4
5,T6,T6,Jason Day,54,68.67,206,3
6,T6,T6,Martin Kaymer,65,68.67,412,6
7,8,8,Sergio Garcia,61,68.75,275,4
8,9,9,Brad Fritsch,50,68.88,551,8
9,T10,T10,Jerry Kelly,80,69.0,828,12
10,T10,T10,Hideki Matsuyama,82,69.0,552,8
11,T10,T10,Justin Rose,70,69.0,207,3
12,13,13,Brandt Snedeker,89,69.14,484,7
13,14,14,Ryan Palmer,85,69.15,899,13
14,T15,T15,Ryan Moore,86,69.17,830,12
15,T15,T15,Kevin Na,94,69.17,1245,18
16,17,17,Charl Schwartzel,64,69.22,623,9
17,18,18,Keegan Bradley,89,69.25,554,8
18,19,19,Henrik Stenson,56,69.29,485,7
19,20,20,Brendon de Jonge,109,69.3,1386,20
20,T21,T21,Chad Campbell,57,69.33,624,9
21,T21,T21,Bill Haas,107,69.33,832,12
22,23,23,James Hahn,82,69.4,1041,15
23,24,24,Heath Slocum,71,69.59,1183,17
24,25,25,Billy Horschel,92,69.64,975,14
25,26,26,Jimmy Walker,98,69.75,279,4
26,27,27,Morgan Hoffmann,103,69.77,907,13
27,28,28,Andrew Svoboda,77,69.79,977,14
28,29,29,Brendon Todd,108,69.81,1117,16
29,30,30,Brian Harman,111,69.89,1258,18
30,T31,T31,Trevor Immelman,84,69.9,699,10
31,T31,T31,Shawn Stefani,60,69.9,699,10
32,33,33,Kevin Chappell,100,69.93,979,14
33,T34,T34,Jason Dufner,57,70.0,280,4
34,T34,T34,Zach Johnson,97,70.0,280,4
35,T34,T34,Matt Kuchar,91,70.0,70,1
36,T34,T34,Marc Leishman,81,70.0,1120,16
37,T34,T34,Camilo Villegas,95,70.0,1260,18
38,39,39,Seung-Yul Noh,92,70.06,1261,18
39,T40,T40,George McNeill,79,70.08,841,12
40,T40,T40,Boo Weekley,73,70.08,841,12
41,42,42,Daniel Summerhays,98,70.13,1122,16
42,43,43,Charles Howell III,106,70.15,1824,26
43,44,44,Ricky Barnes,92,70.17,1263,18
44,45,45,Harris English,95,70.25,562,8
45,46,46,Freddie Jacobson,91,70.27,1054,15
46,T47,T47,Robert Garrigus,80,70.29,984,14
47,T47,T47,Russell Knox,92,70.29,984,14
48,T47,T47,Jason Kokrak,65,70.29,984,14
49,50,50,Carl Pettersson,91,70.3,1406,20
50,51,51,Jim Furyk,84,70.33,211,3
51,52,52,John Senden,99,70.35,1196,17
52,53,53,Scott Langley,95,70.38,1126,16
53,54,54,Charley Hoffman,93,70.43,1479,21
54,T55,T55,Matt Every,85,70.45,1409,20
55,T55,T55,Troy Merritt,62,70.45,775,11
56,T57,T57,Kevin Stadler,90,70.47,1198,17
57,T57,T57,Charlie Wi,72,70.47,1057,15
58,T59,T59,Ángel Cabrera,69,70.5,564,8
59,T59,T59,Tim Clark,75,70.5,1269,18
60,T59,T59,Chris Stroud,88,70.5,846,12
61,62,62,Justin Hicks,103,70.52,1622,23
62,63,63,Scott Brown,100,70.54,1834,26
63,64,64,Jason Bohn,81,70.6,1059,15
64,65,65,Kevin Kisner,85,70.61,1624,23
65,66,66,Gary Woodland,93,70.64,989,14
66,67,67,Bo Van Pelt,83,70.67,1272,18
67,68,68,Bryce Molder,77,70.7,707,10
68,T69,T69,Woody Austin,63,70.73,1061,15
69,T69,T69,Sean O'Hair,77,70.73,1061,15
70,71,71,Josh Teater,90,70.74,1344,19
71,T72,T72,Brice Garnett,92,70.75,1415,20
72,T72,T72,Hunter Mahan,88,70.75,1132,16
73,74,74,Justin Leonard,75,70.77,920,13
74,75,75,Johnson Wagner,69,70.79,991,14
75,76,76,Jamie Lovemark,64,70.8,708,10
76,77,77,Tim Wilkinson,86,70.81,1133,16
77,78,78,Jim Herman,62,70.82,779,11
78,79,79,Y.E. Yang,79,70.84,1346,19
79,80,80,Jonathan Byrd,76,70.85,921,13
80,81,81,Michael Putnam,106,70.88,1134,16
81,T82,T82,Roberto Castro,76,70.89,1347,19
82,T82,T82,Jhonattan Vegas,77,70.89,1276,18
