,Total_Birdies_RANK THIS WEEK,Total_Birdies_RANK LAST WEEK,Total_Birdies_PLAYER NAME,Total_Birdies_ROUNDS,Total_Birdies_TOTAL
0,1,1,Jimmy Walker,98,401
1,T2,T2,Brian Harman,111,389
2,T2,T2,Jordan Spieth,102,389
3,4,4,Charles Howell III,106,387
4,T5,T5,Chris Kirk,105,383
5,T5,T5,Brendon Todd,108,383
6,7,7,Bill Haas,107,374
7,8,8,Cameron Tringale,111,372
8,9,9,Kevin Chappell,100,367
9,10,10,Morgan Hoffmann,103,366
10,11,11,Charley Hoffman,93,362
11,12,12,Scott Brown,100,361
12,13,13,Brendon de Jonge,109,359
13,14,14,Camilo Villegas,95,353
14,15,15,Harris English,95,349
15,T16,T16,Zach Johnson,97,347
16,T16,T16,Kevin Na,94,347
17,T18,T18,Justin Hicks,103,342
18,T18,T18,Chris Stroud,88,342
19,T20,T20,Michael Putnam,106,341
20,T20,T20,John Senden,99,341
21,22,22,Daniel Summerhays,98,338
22,T23,T23,Keegan Bradley,89,336
23,T23,T23,David Hearn,97,336
24,T23,T23,Matt Kuchar,91,336
25,T23,T23,Gary Woodland,93,336
26,27,27,William McGirt,96,335
27,28,28,Ryan Palmer,85,334
28,29,29,Rickie Fowler,91,330
29,30,30,Russell Henley,92,325
30,31,31,Stuart Appleby,92,324
31,T32,T32,Billy Horschel,92,323
32,T32,T32,Scott Langley,95,323
33,34,34,Brian Stuard,91,322
34,T35,T35,J.B. Holmes,86,321
35,T35,T35,Seung-Yul Noh,92,321
36,T35,T35,Kevin Stadler,90,321
37,38,38,Ryan Moore,86,319
38,T39,T39,Freddie Jacobson,91,317
39,T39,T39,Carl Pettersson,91,317
40,T41,T41,Steven Bowditch,93,315
41,T41,T41,Webb Simpson,87,315
42,43,43,Patrick Reed,92,314
43,44,44,Brian Davis,93,313
44,45,45,Russell Knox,92,312
45,46,46,Hideki Matsuyama,82,311
46,47,47,Luke Guthrie,85,310
47,48,48,Kevin Kisner,85,309
48,T49,T49,Ricky Barnes,92,308
49,T49,T49,Matt Every,85,308
