,Sub-Par_Rounds_RANK THIS WEEK,Sub-Par_Rounds_RANK LAST WEEK,Sub-Par_Rounds_PLAYER NAME,Sub-Par_Rounds_EVENTS
0,1,1,Charles Howell III,29
1,T2,T2,Brian Harman,32
2,T2,T2,Brendon Todd,29
3,T2,T2,Jimmy Walker,27
4,5,5,Bill Haas,28
5,T6,T6,David Hearn,28
6,T6,T6,Chris Kirk,28
7,T6,T6,Kevin Na,27
8,T6,T6,Cameron Tringale,31
9,T10,T10,Scott Brown,30
10,T10,T10,Charley Hoffman,25
11,T10,T10,Zach Johnson,26
12,T10,T10,Jordan Spieth,27
13,T14,T14,Harris English,28
14,T14,T14,Matt Kuchar,24
15,16,16,Keegan Bradley,26
16,T17,T17,Rickie Fowler,26
17,T17,T17,Jim Furyk,21
18,T17,T17,Ryan Palmer,23
19,T17,T17,John Senden,27
20,T17,T17,Chris Stroud,25
21,T17,T17,Gary Woodland,25
22,T23,T23,Kevin Chappell,28
23,T23,T23,Justin Hicks,30
24,T23,T23,Ryan Moore,24
25,T26,T26,Graham DeLaet,24
26,T26,T26,Billy Horschel,27
27,T26,T26,Freddie Jacobson,27
28,T26,T26,Russell Knox,26
29,T26,T26,Daniel Summerhays,27
30,T31,T31,Morgan Hoffmann,32
31,T31,T31,Seung-Yul Noh,27
32,T33,T33,William McGirt,29
33,T33,T33,Rory McIlroy,17
34,T33,T33,Camilo Villegas,29
35,T36,T36,Brendon de Jonge,31
36,T36,T36,Luke Guthrie,26
37,T36,T36,Jerry Kelly,23
38,T36,T36,Pat Perez,25
39,T40,T40,Scott Langley,29
40,T40,T40,Will MacKenzie,27
41,T40,T40,Adam Scott,17
42,T43,T43,Ricky Barnes,27
43,T43,T43,Kevin Kisner,26
44,T43,T43,Hideki Matsuyama,24
45,T43,T43,Michael Putnam,30
46,T47,T47,Retief Goosen,26
47,T47,T47,Ben Martin,26
48,T47,T47,Carl Pettersson,28
49,T47,T47,Patrick Reed,28
50,T47,T47,Brandt Snedeker,25
51,T47,T47,Kevin Stadler,26
52,T53,T53,Stewart Cink,25
53,T53,T53,Jeff Overton,24
54,T53,T53,Justin Rose,19
55,T53,T53,Brian Stuard,29
56,T53,T53,Bubba Watson,21
57,T58,T58,Matt Every,26
58,T58,T58,Brice Garnett,28
59,T58,T58,Robert Garrigus,25
60,T58,T58,Billy Hurley III,26
61,T58,T58,Marc Leishman,24
62,T58,T58,George McNeill,24
63,T58,T58,Brendan Steele,26
64,T58,T58,Bo Van Pelt,25
65,T66,T66,K.J. Choi,23
66,T66,T66,Erik Compton,28
67,T66,T66,Chesson Hadley,29
68,T66,T66,J.B. Holmes,24
69,T66,T66,Matt Jones,25
70,T66,T66,Webb Simpson,25
71,T66,T66,Vijay Singh,25
72,73,73,Stuart Appleby,29
73,T74,T74,Steven Bowditch,30
74,T74,T74,Ben Crane,25
75,T74,T74,Russell Henley,29
76,T74,T74,Danny Lee,28
77,T74,T74,Josh Teater,28
78,T79,T79,Greg Chalmers,27
79,T79,T79,Brian Davis,28
80,T79,T79,Sergio Garcia,16
81,T79,T79,James Hahn,27
82,T79,T79,J.J. Henry,28
83,T79,T79,Ryo Ishikawa,24
84,T79,T79,Jason Kokrak,19
85,T79,T79,Charl Schwartzel,18
86,T79,T79,David Toms,20
87,T88,T88,Jason Bohn,25
