,Birdie_or_Better_Percentage_-__125_yard_RANK THIS WEEK,Birdie_or_Better_Percentage_-__125_yard_RANK LAST WEEK,Birdie_or_Better_Percentage_-__125_yard_PLAYER NAME,Birdie_or_Better_Percentage_-__125_yard_ROUNDS,Birdie_or_Better_Percentage_-__125_yard_%,Birdie_or_Better_Percentage_-__125_yard_TOTAL BIRDIES,Birdie_or_Better_Percentage_-__125_yard_TOTAL HOLES
0,1,1,Stuart Appleby,92,29.43,93,316
1,2,2,Jimmy Walker,98,29.21,78,267
2,3,3,Ian Poulter,57,29.08,41,141
3,4,4,Kevin Streelman,79,29.03,72,248
4,5,5,Justin Leonard,75,28.82,66,229
5,6,6,Matt Every,85,28.77,61,212
6,7,7,George McNeill,79,28.69,68,237
7,8,8,Jason Dufner,57,28.48,43,151
8,9,9,Rory McIlroy,66,28.25,50,177
9,10,10,Hideki Matsuyama,82,28.0,56,200
10,11,11,Jerry Kelly,80,27.54,65,236
11,12,12,Brad Fritsch,50,27.2,34,125
12,13,13,Richard Lee,80,27.16,63,232
13,14,14,Geoff Ogilvy,84,26.9,78,290
14,T15,T15,Luke Donald,57,26.67,40,150
15,T15,T15,Rickie Fowler,91,26.67,60,225
16,17,17,Tim Clark,75,26.53,65,245
17,T18,T18,Greg Chalmers,85,26.52,74,279
18,T18,T18,Camilo Villegas,95,26.52,87,328
19,20,20,Danny Lee,84,26.34,59,224
20,21,21,Matt Kuchar,91,26.3,81,308
21,22,22,Adam Scott,68,26.2,49,187
22,23,23,Graeme McDowell,66,26.01,45,173
23,24,24,Henrik Stenson,56,25.98,33,127
24,25,25,Ryo Ishikawa,75,25.96,61,235
25,T26,T26,Zach Johnson,97,25.95,82,316
26,T26,T26,Webb Simpson,87,25.95,75,289
27,28,28,Charl Schwartzel,64,25.91,50,193
28,29,29,Bubba Watson,76,25.75,69,268
29,30,30,Billy Hurley III,86,25.74,70,272
30,31,31,Russell Henley,92,25.6,75,293
31,32,32,Brian Davis,93,25.45,85,334
32,33,33,Will MacKenzie,82,25.29,66,261
33,34,34,Tommy Gainey,73,25.2,64,254
34,35,35,Ben Curtis,77,25.12,53,211
35,T36,T36,Jim Furyk,84,25.0,57,228
36,T36,T36,Brian Harman,111,25.0,107,428
37,T36,T36,Scott Langley,95,25.0,76,304
38,T39,T39,K.J. Choi,80,24.9,61,245
39,T39,T39,Robert Streb,75,24.9,60,241
40,41,41,Keegan Bradley,89,24.89,57,229
41,42,42,David Toms,64,24.88,53,213
42,43,43,Paul Casey,56,24.81,33,133
43,44,44,Bryce Molder,77,24.79,59,238
44,45,45,Justin Hicks,103,24.78,84,339
45,46,46,Carl Pettersson,91,24.76,78,315
46,47,47,Ángel Cabrera,69,24.68,57,231
47,48,48,Jason Day,54,24.63,33,134
48,49,49,Chris Stroud,88,24.61,63,256
49,50,50,Cameron Tringale,111,24.57,86,350
50,51,51,Sangmoon Bae,76,24.39,60,246
51,52,52,Brian Stuard,91,24.31,62,255
52,53,53,Ryan Moore,86,24.29,51,210
53,54,54,Charles Howell III,106,24.19,97,401
54,55,55,David Hearn,97,24.17,73,302
55,56,56,Marc Leishman,81,24.06,51,212
56,57,57,Rory Sabbatini,82,24.03,62,258
57,58,58,Y.E. Yang,79,24.02,49,204
58,59,59,Luke Guthrie,85,23.99,71,296
59,60,60,David Lingmerth,80,23.95,63,263
60,61,61,Martin Laird,66,23.88,48,201
61,62,62,Pat Perez,84,23.86,68,285
62,63,63,Chris Kirk,105,23.85,78,327
63,64,64,Nick Watney,80,23.79,49,206
64,65,65,Phil Mickelson,71,23.76,48,202
65,66,66,Brendan Steele,89,23.68,63,266
66,67,67,Tim Wilkinson,86,23.66,62,262
67,68,68,Hunter Mahan,88,23.62,64,271
68,69,69,Kevin Kisner,85,23.57,66,280
69,T70,T70,Seung-Yul Noh,92,23.44,60,256
70,T70,T70,Gary Woodland,93,23.44,60,256
71,72,72,Kevin Chappell,100,23.34,81,347
72,T73,T73,Ben Martin,80,23.32,52,223
73,T73,T73,Andres Romero,81,23.32,66,283
74,T73,T73,Jhonattan Vegas,77,23.32,52,223
75,76,76,Vijay Singh,83,23.3,72,309
76,T77,T77,Martin Flores,85,23.22,62,267
77,T77,T77,Jordan Spieth,102,23.22,75,323
78,79,79,William McGirt,96,23.21,68,293
79,80,80,Woody Austin,63,23.18,51,220
80,81,81,Chesson Hadley,84,23.14,59,255
81,82,82,Justin Rose,70,23.12,43,186
82,T83,T83,Troy Matteson,62,23.08,48,208
83,T83,T83,John Rollins,84,23.08,57,247
84,85,85,Scott Brown,100,23.05,74,321
85,86,86,Andrew Svoboda,77,22.98,54,235
86,87,87,Jason Bohn,81,22.97,65,283
87,88,88,Brendon Todd,108,22.86,80,350
88,T89,T89,John Merrick,87,22.71,57,251
89,T89,T89,Jim Renner,61,22.71,47,207
90,91,91,Chad Campbell,57,22.7,37,163
91,92,92,Kevin Na,94,22.69,54,238
92,93,93,Louis Oosthuizen,50,22.58,28,124
93,94,94,Jeff Maggert,54,22.53,41,182
94,95,95,Brendon de Jonge,109,22.52,68,302
95,96,96,Robert Allenby,83,22.48,49,218
96,97,97,Jonas Blixt,64,22.46,42,187
97,T98,T98,Stewart Cink,91,22.4,56,250
98,T98,T98,Jim Herman,62,22.4,43,192
99,100,100,Michael Putnam,106,22.39,60,268
100,101,101,Andrew Loupe,65,22.22,54,243
101,102,102,Ryan Palmer,85,22.18,57,257
102,103,103,Aaron Baddeley,74,22.11,42,190
103,104,104,Harris English,95,21.96,56,255
104,105,105,Ken Duke,80,21.95,54,246
105,106,106,Jonathan Byrd,76,21.89,51,233
106,107,107,Charlie Wi,72,21.82,48,220
107,108,108,Boo Weekley,73,21.76,47,216
108,109,109,Brandt Snedeker,89,21.69,54,249
