,Birdie_or_Better_Percentage_-_125-150_ya_RANK THIS WEEK,Birdie_or_Better_Percentage_-_125-150_ya_RANK LAST WEEK,Birdie_or_Better_Percentage_-_125-150_ya_PLAYER NAME,Birdie_or_Better_Percentage_-_125-150_ya_ROUNDS,Birdie_or_Better_Percentage_-_125-150_ya_%,Birdie_or_Better_Percentage_-_125-150_ya_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_125-150_ya_TOTAL HOLES
0,1,1,Ryan Moore,86,26.74,46,172
1,2,2,Matt Kuchar,91,26.24,53,202
2,3,3,Tim Clark,75,25.56,46,180
3,4,4,Wes Roach,67,25.35,36,142
4,5,5,Troy Merritt,62,25.31,41,162
5,6,6,Jason Day,54,25.27,23,91
6,7,7,Robert Garrigus,80,24.9,62,249
7,8,8,Rory McIlroy,66,24.84,38,153
8,9,9,Webb Simpson,87,24.62,48,195
9,10,10,Brendon Todd,108,24.51,63,257
10,11,11,Hideki Matsuyama,82,24.48,47,192
11,12,12,Sergio Garcia,61,23.97,29,121
12,13,13,Jason Bohn,81,23.67,49,207
13,14,14,Andrew Svoboda,77,23.24,43,185
14,15,15,Adam Scott,68,22.89,38,166
15,16,16,Spencer Levin,59,22.79,31,136
16,17,17,Robert Allenby,83,22.64,48,212
17,18,18,Ryan Palmer,85,22.55,46,204
18,19,19,Graeme McDowell,66,22.48,29,129
19,20,20,Kevin Na,94,22.46,53,236
20,21,21,Billy Hurley III,86,22.4,43,192
21,22,22,Jim Furyk,84,22.29,39,175
22,23,23,Justin Rose,70,22.22,30,135
23,24,24,Bill Haas,107,22.08,53,240
24,25,25,Martin Flores,85,21.86,40,183
25,26,26,David Toms,64,21.79,39,179
26,27,27,Luke Donald,57,21.55,25,116
27,28,28,David Hearn,97,21.46,53,247
28,T29,T29,Ken Duke,80,21.39,40,187
29,T29,T29,David Lingmerth,80,21.39,40,187
30,31,31,Jason Kokrak,65,21.31,39,183
31,32,32,Davis Love III,74,21.21,42,198
32,33,33,Seung-Yul Noh,92,21.2,46,217
33,34,34,Brian Stuard,91,21.17,47,222
34,35,35,Henrik Stenson,56,21.11,19,90
35,36,36,Chad Collins,78,21.02,37,176
36,37,37,K.J. Choi,80,20.86,39,187
37,38,38,Lee Westwood,57,20.63,26,126
38,39,39,Charlie Beljan,76,20.59,42,204
39,40,40,Ángel Cabrera,69,20.54,38,185
40,41,41,Charlie Wi,72,20.48,43,210
41,42,42,Ryo Ishikawa,75,20.42,39,191
42,T43,T43,Graham DeLaet,80,20.41,40,196
43,T43,T43,Freddie Jacobson,91,20.41,50,245
44,45,45,Brendan Steele,89,20.35,47,231
45,46,46,Zach Johnson,97,20.34,48,236
46,47,47,Matt Every,85,20.28,43,212
47,T48,T48,Sangmoon Bae,76,20.22,36,178
48,T48,T48,Michael Thompson,74,20.22,36,178
49,50,50,D.H. Lee,54,20.16,25,124
50,51,51,Paul Casey,56,20.14,28,139
51,52,52,Daniel Summerhays,98,20.08,50,249
52,53,53,Chris Kirk,105,20.07,57,284
53,T54,T54,Aaron Baddeley,74,20.0,34,170
54,T54,T54,Billy Horschel,92,20.0,37,185
55,T54,T54,Russell Knox,92,20.0,49,245
56,57,57,Jordan Spieth,102,19.91,44,221
57,58,58,Jeff Overton,80,19.89,37,186
58,59,59,Martin Kaymer,65,19.87,30,151
59,60,60,Morgan Hoffmann,103,19.85,54,272
60,T61,T61,Stuart Appleby,92,19.84,49,247
61,T61,T61,John Senden,99,19.84,50,252
62,63,63,Scott Langley,95,19.83,47,237
63,T64,T64,Hunter Mahan,88,19.71,41,208
64,T64,T64,Bo Van Pelt,83,19.71,41,208
65,66,66,William McGirt,96,19.68,49,249
66,67,67,Brian Davis,93,19.65,45,229
67,68,68,Marc Leishman,81,19.63,43,219
68,69,69,Chesson Hadley,84,19.62,41,209
69,70,70,Charley Hoffman,93,19.48,45,231
70,71,71,Sean O'Hair,77,19.47,37,190
71,72,72,Kevin Kisner,85,19.42,40,206
72,73,73,"Ted Potter, Jr.",68,19.34,35,181
73,74,74,Chad Campbell,57,19.21,29,151
74,75,75,Erik Compton,88,19.14,40,209
75,76,76,Kevin Streelman,79,19.08,33,173
76,77,77,Tim Wilkinson,86,19.07,41,215
77,78,78,Justin Hicks,103,19.01,54,284
78,79,79,Phil Mickelson,71,18.88,27,143
79,80,80,Geoff Ogilvy,84,18.87,40,212
80,81,81,Ricky Barnes,92,18.8,47,250
81,82,82,Danny Lee,84,18.78,37,197
82,T83,T83,John Rollins,84,18.72,41,219
83,T83,T83,Andres Romero,81,18.72,38,203
84,85,85,Boo Weekley,73,18.64,33,177
85,86,86,Ben Crane,81,18.6,40,215
86,87,87,Brandt Snedeker,89,18.48,34,184
87,88,88,Charles Howell III,106,18.47,58,314
88,T89,T89,Jerry Kelly,80,18.42,35,190
89,T89,T89,Carl Pettersson,91,18.42,49,266
90,91,91,Kevin Chappell,100,18.39,48,261
91,92,92,Rickie Fowler,91,18.35,29,158
92,93,93,Greg Chalmers,85,18.32,37,202
93,94,94,Matt Jones,83,18.28,34,186
94,95,95,Dustin Johnson,58,18.25,25,137
95,T96,T96,Woody Austin,63,18.18,30,165
96,T96,T96,Brian Gay,81,18.18,34,187
97,98,98,Briny Baird,50,18.12,25,138
98,99,99,Ian Poulter,57,18.02,20,111
99,T100,T100,Ben Curtis,77,17.91,36,201
100,T100,T100,Ben Martin,80,17.91,36,201
101,102,102,Patrick Reed,92,17.87,37,207
102,103,103,Luke Guthrie,85,17.79,37,208
103,104,104,John Huh,87,17.76,38,214
104,T105,T105,Justin Leonard,75,17.71,31,175
105,T105,T105,Nick Watney,80,17.71,31,175
106,107,107,George McNeill,79,17.68,32,181
107,T108,T108,Brooks Koepka,56,17.65,24,136
108,T108,T108,Chris Stroud,88,17.65,36,204
109,110,110,Retief Goosen,94,17.62,40,227
110,T111,T111,Tyrone Van Aswegen,79,17.47,40,229
111,T111,T111,Jimmy Walker,98,17.47,40,229
112,T113,T113,Troy Matteson,62,17.44,30,172
113,T113,T113,Hudson Swafford,75,17.44,34,195
114,T113,T113,Bubba Watson,76,17.44,30,172
115,116,116,Vijay Singh,83,17.41,35,201
116,117,117,Robert Streb,75,17.37,37,213
117,118,118,Bud Cauley,56,17.33,26,150
118,119,119,Jim Renner,61,17.31,27,156
119,120,120,Heath Slocum,71,17.28,33,191
120,121,121,Scott Brown,100,17.27,43,249
121,122,122,Gonzalo Fernandez-Castaño,83,17.09,34,199
122,123,123,Scott Stallings,77,17.06,36,211
123,124,124,Mike Weir,69,17.05,22,129
124,125,125,Jason Dufner,57,17.04,23,135
125,126,126,Jonas Blixt,64,16.98,18,106
126,T127,T127,Jim Herman,62,16.67,23,138
127,T127,T127,J.B. Holmes,86,16.67,34,204
128,T127,T127,Shawn Stefani,60,16.67,28,168
129,130,130,James Hahn,82,16.59,35,211
130,131,131,Mark Wilson,69,16.55,24,145
131,132,132,Kevin Stadler,90,16.49,32,194
132,133,133,Y.E. Yang,79,16.42,33,201
133,134,134,Gary Woodland,93,16.35,34,208
134,135,135,Keegan Bradley,89,16.33,32,196
135,136,136,Martin Laird,66,16.08,23,143
136,137,137,Michael Putnam,106,16.03,42,262
137,138,138,Russell Henley,92,15.93,36,226
138,139,139,Camilo Villegas,95,15.89,41,258
139,140,140,Steven Bowditch,93,15.87,40,252
140,141,141,Stewart Cink,91,15.86,36,227
141,142,142,Andrew Loupe,65,15.79,24,152
142,143,143,Brice Garnett,92,15.75,40,254
143,144,144,Bronson La'Cassie,51,15.74,17,108
144,145,145,Will MacKenzie,82,15.7,35,223
145,146,146,Cameron Tringale,111,15.68,45,287
146,T147,T147,Derek Ernst,80,15.65,36,230
147,T147,T147,Brian Harman,111,15.65,46,294
148,T149,T149,Charl Schwartzel,64,15.63,25,160
149,T149,T149,Willy Wilcox,51,15.63,20,128
150,151,151,Pat Perez,84,15.53,34,219
151,152,152,Jonathan Byrd,76,15.38,30,195
152,153,153,Bryce Molder,77,15.35,31,202
153,154,154,Louis Oosthuizen,50,15.31,15,98
154,155,155,J.J. Henry,91,15.13,41,271
155,156,156,Johnson Wagner,69,14.95,29,194
156,157,157,Jeff Maggert,54,14.93,20,134
157,158,158,Roberto Castro,76,14.79,25,169
158,159,159,Lucas Glover,68,14.6,20,137
159,160,160,Kevin Tway,64,14.48,21,145
160,161,161,Brendon de Jonge,109,14.44,40,277
161,162,162,Josh Teater,90,14.34,35,244
162,163,163,Harris English,95,14.29,32,224
163,164,164,Richard Lee,80,14.14,28,198
164,165,165,James Driscoll,71,14.12,25,177
165,166,166,Jamie Lovemark,64,14.01,22,157
166,167,167,Kyle Stanley,87,13.6,34,250
167,168,168,Jhonattan Vegas,77,13.59,28,206
168,169,169,Rory Sabbatini,82,13.17,27,205
169,170,170,D.A. Points,75,13.16,20,152
170,171,171,Brad Fritsch,50,13.14,18,137
171,172,172,Tommy Gainey,73,12.64,22,174
172,173,173,Nicholas Thompson,85,12.5,25,200
173,174,174,John Merrick,87,12.38,26,210
174,175,175,Trevor Immelman,84,12.24,24,196
175,176,176,Ernie Els,85,11.73,19,162
176,177,177,John Peterson,62,9.66,17,176
